label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_bulk_shape,score_rizk_prior,score_swig_diag,trial_number,state,profile_Dv_fixed,profile_subdir,score_data,score_prior,p_d_over_eq_1p3_1200K,p_d_over_eq_1p3_1400K,p_d_over_eq_1p3_1600K,p_d_over_eq_1p3_1700K,p_b_over_eq_1p3_1600K,p_d_over_eq_3p2_1600K,p_b_over_eq_3p2_1600K,p_d_over_eq_max_1p3_1200_1700K,p_b_over_eq_max_1p3_1200_1700K,p_d_over_eq_max_3p2_1200_1700K,p_b_over_eq_max_3p2_1200_1700K,balanced_metric,rizk_distance_metric,pressure_metric
capture_only_v2_trial_00086,1.3980883772782533,0.8641459601292089,0.27528462005613935,0.0,0.1633241635596129,0.06608270763235065,0.17492771312740968,0.03443707944730936,1.5040781782229062,2.546599181054665e-07,648457.8815174045,35349769915897.875,7.479933166845849e+19,1.0,0.5332926825020815,3.065510358735287,0.4625270229443919,4.50670527974943,6.997011879783073,0.1400949374295444,2.7518730108198253,0.4426591573881199,85.92010933246755,1.0357508934552027e+19,1.853545645441799e+19,2.006474593026151e+18,-0.9655696205863368,3.7077970807218046,1.5139673439073702,6.522147668567157e-05,0.008677267919878473,0.008677267919878473,12.0,22,0,4.2934800659537927e-19,3.736380896950266e-105,2.773635502805564e-86,1.5746671256700067e-104,4.2144180936030695,1.3837876358664822e-19,3.027645321986162e-19,2.0594492878976158e-20,capture_only,0.08868376036516595,0.23057977241823763,0.916973448416361,86,TrialState.COMPLETE,1.0,UN_M7_codex_results/capture_only_dv_profile/dv_1p00,1.1410754613014673,0.23057977241823763,2.449462832544037,1.6644415709690576,1.1548695241757265,1.3975206852622357,1.000693972925625,1.1156528843759261,1.0002084531275115,2.449462832544037,1.0011620181733727,2.0582728287095735,1.0004500811877832,1.2268410403645253,0.23057977241823763,2.449462832544037
capture_only_v2_trial_00094,1.3745603055967162,0.8961793345953426,0.28742163725409364,0.0,0.15185003623852705,0.03238782543552694,0.18040192705163627,0.05221132252622868,1.0724020081199408,1.084698728492353e-08,608528.3455471111,29302867373330.91,7.574813271091406e+19,0.5,2.2168643768455603,0.7010456268229871,0.24158682562031347,0.636588335947412,8.264535112525898,0.07125679134018344,2.365271768303979,0.5118238530764525,89.06411672572982,7.992527571174221e+18,1.4562808498524064e+19,1.8818032459195405e+18,-0.8886709252505101,3.062457376254947,1.6702529611622208,3.3539675195885156e-05,0.004100278875186706,0.004100278875186706,12.0,22,0,4.2934800659537927e-19,3.760003506585016e-105,1.0537282331244323e-86,6.000793165665471e-105,1.59595414077569,1.4013404551519102e-19,1.2624644745768302e-18,1.0298967077002576e-20,capture_only,0.0898648414332025,0.20725699747758708,0.7109729597583062,94,TrialState.COMPLETE,0.5,UN_M7_codex_results/capture_only_dv_profile/dv_0p50,1.1741134205536197,0.20725699747758708,3.184923184483813,2.0260770090990814,1.2925034697298987,1.5400053706912757,1.0007243014116682,1.1520268439385013,1.0000737333048038,3.184923184483813,1.0138074733820686,2.3583469450770687,1.011275649849736,1.255779681353551,0.20725699747758708,3.184923184483813
capture_only_v2_trial_00098,1.4180821362689464,0.8303965806990392,0.33983236793308763,0.0,0.19540659919875397,0.062246300338142456,0.13574631063105463,0.10148352612203904,1.4466870279543427,1.9043270221356258e-07,633679.6020719425,48099413720427.445,6.83465055962113e+19,1.0,0.39207999318132475,3.70397157889179,0.38808491499461373,3.374519316281039,7.004801621607279,0.060804470943718776,2.6548540198185404,0.35097051361526155,76.50025418165538,1.4156744764599675e+19,2.46191085460523e+19,2.759727412524043e+18,-0.9504061356769696,3.7074054180903815,1.2538446673330292,2.3239356040283856e-05,0.003769368825772134,0.003769368825772134,12.0,22,0,4.2934800659537927e-19,3.571580488397482e-105,4.947189922766422e-86,2.749593947510981e-104,7.698535582337345,1.264410353529909e-19,2.1791376377737197e-19,2.05704852210802e-20,capture_only,0.06318235922581418,0.2562671837304876,0.8065075774865252,98,TrialState.COMPLETE,1.0,UN_M7_codex_results/capture_only_dv_profile/dv_1p00,1.1685315793747986,0.2562671837304876,2.213094036311714,1.5373039832811901,1.1064937138000015,1.293793347719833,1.000827483061026,1.091188517930029,1.0002351648981223,2.213094036311714,1.0012513187791943,1.9112709729747988,1.0003972966835337,1.2571327963237815,0.2562671837304876,2.213094036311714
capture_only_v2_trial_00083,1.4565988670677452,0.9146476756666164,0.2292505118365613,0.0,0.1559636883447157,0.11373570420260294,0.159912249682402,0.009256404103857504,1.7993262875244636,2.9282186806324673e-07,532634.8373381813,39042179164193.336,7.225738727120302e+19,1.0,0.5442979146597048,2.4185057206547818,0.46467182703513,3.783771107145692,7.571688629326861,0.09406681334141415,2.9150940372099954,0.48558092217815313,94.10183108842423,8.351600988280373e+18,1.6472853837762124e+19,1.3252930368653443e+18,-1.0944569288111214,3.9370933831824386,1.6602696398839614,4.6354968413669734e-05,0.006506718135353594,0.006506718135353594,12.0,22,0,4.2934800659537927e-19,3.672344465950192e-105,2.6954176645176654e-86,1.5175853015816174e-104,4.132469913028579,1.336761664517256e-19,3.06452883292544e-19,2.0585164232634632e-20,capture_only,0.09769731751215388,0.20784589776249332,1.0596147678646453,83,TrialState.COMPLETE,1.0,UN_M7_codex_results/capture_only_dv_profile/dv_1p00,1.1572387213672108,0.20784589776249332,2.557220553154448,1.7242561714118672,1.2102667286041093,1.5833211287058702,1.0005733443636486,1.1627220514196788,1.0001583826927387,2.557220553154448,1.0010240374453672,2.109252072322573,1.000441716186057,1.2670493234412712,0.20784589776249332,2.557220553154448
capture_only_v2_trial_00073,1.3837588984090172,0.8659279594268684,0.2744503369773802,0.0,0.14093508844047506,0.09327178453359805,0.17253287875053164,0.039537841580162186,1.4156561774632241,1.4320205475419497e-08,718524.7087142332,22447423748318.484,7.43880001177329e+19,0.5,2.141101580572817,1.0521741226768024,0.40906527161022943,1.5000003976311134,9.838402737012707,0.09434304838095353,2.494207044585383,0.5316386455939287,100.38886768473957,5.8855523237761e+18,1.2580575125159717e+19,1.0854251455775144e+18,-1.0641006170057221,3.3132713003623233,1.768139620548411,4.733541286657134e-05,0.006310245501164571,0.006310245501164571,12.0,22,0,4.2934800659537927e-19,3.726093304557517e-105,1.7599132755063707e-86,9.978106501687049e-105,2.6779003331673077,1.3761780021780588e-19,1.2139313850984529e-18,1.0296497105791315e-20,capture_only,0.10060734524726142,0.17167493844470635,0.7905011920531506,73,TrialState.COMPLETE,0.5,UN_M7_codex_results/capture_only_dv_profile/dv_0p50,1.1288817315264505,0.17167493844470635,3.5316504415041043,2.2321545291000366,1.4478380978926817,1.845717635774768,1.000538557377948,1.3085922045444598,1.0000852692633448,3.5316504415041043,1.0147481417417998,2.6209414866404956,1.0119035327464814,1.2758649550313184,0.17167493844470635,3.5316504415041043
capture_only_v2_trial_00082,1.4669593985388931,0.9213039260366837,0.23415298855099492,0.0,0.15355087974697823,0.12116909463737956,0.15943839231720874,0.023667434569744634,1.7606090760668789,2.604690390640387e-07,508291.3570760902,39327075411623.07,7.217859045486487e+19,1.0,0.48783039030779746,2.4449479867419233,0.43627022823918715,3.6657382939356706,7.430620036350638,2.203654531875938,2.932711285022094,0.46500400521846147,95.07443408466146,8.14684500688006e+18,1.5939206360521736e+19,1.319528162852031e+18,-1.0820480295014498,4.000294181768394,1.6089208571670663,0.0010629123888424808,0.1516036229988585,0.1516036229988585,12.0,22,0,4.2934800659537927e-19,3.67034157049713e-105,2.6124299940697227e-86,1.4704804123966467e-104,4.006385738637064,1.335303923415e-19,2.7458918904920596e-19,2.058487245648395e-20,capture_only,0.09826285610541013,0.20554591788972734,1.0565948759886,82,TrialState.COMPLETE,1.0,UN_M7_codex_results/capture_only_dv_profile/dv_1p00,1.1656338964430173,0.20554591788972734,2.6182209230365516,1.758194831799765,1.2242486975853977,1.613384423972198,1.00063658645181,1.1730158673342226,1.0001064713175531,2.6182209230365516,1.001266013205636,2.157317894224168,1.000402720681463,1.2794445368033907,0.20554591788972734,2.6182209230365516
capture_only_v2_trial_00081,1.3748608530642437,0.9076716118315035,0.29067256783066747,0.0,0.17749312507648568,0.059472827800429055,0.02771212135377808,0.022075288874782606,1.0727916866921081,2.6239497568106722e-08,631037.8235458665,35008963017596.16,4.6909184503164215e+19,0.3,0.5369092949004507,2.2342895424699534,1.0435849189558843,3.2372564859019817,7.691425943719529,0.8855735888540508,2.5020345129983865,0.5740921027858229,84.17647265683954,1.0014574866549264e+19,1.845936608737094e+19,2.2467018957499825e+18,-0.9146713310893285,3.2974779663277283,1.9992113553917712,0.00026559466632281536,0.05326232552338641,0.05326232552338641,12.0,22,0,4.2934800659537927e-19,2.9589063900691514e-105,3.769888176592944e-87,1.9457523767670467e-105,0.657591731626756,8.67819913308538e-20,2.771149932635449e-19,6.144369776839892e-21,capture_only,0.09436878891155034,0.18418336293642182,0.8740320435158203,81,TrialState.COMPLETE,0.3,UN_M7_codex_results/capture_only_dv_profile/dv_0p30,1.2031046559673286,0.18418336293642182,3.100918365453693,1.9386462399308693,1.276775623730621,1.5594922363420831,1.0003761097489439,1.158836549935363,1.00007852750062,3.100918365453693,1.0086918507726967,2.3285718841630683,1.0074268385083827,1.287120288006006,0.18418336293642182,3.100918365453693
capture_only_v2_trial_00096,1.4534203377655595,0.9008827247044675,0.29136154695261635,0.0,0.16864103003265848,0.0875262348260115,0.14080028262423383,0.08194294603777606,1.4546714248528416,1.9563345874938012e-07,575602.4796319874,48215234439283.93,6.914651348800663e+19,1.0,0.5017083105407109,3.297049666451099,0.3995338302907599,3.422733302179878,6.731682175758141,0.07949100283270011,3.048476248140224,0.35136686637873754,84.97945852757393,1.1859116289606132e+19,2.2142541423366287e+19,2.2926716063705472e+18,-0.9848856133291849,4.297651708562987,1.3032780546364142,3.4880748014524105e-05,0.005943091285689846,0.005943091285689846,12.0,22,0,4.2934800659537927e-19,3.5924226649930366e-105,5.683481146264565e-86,3.1672281762882883e-104,8.816412965968267,1.2792104995281226e-19,2.7958651687740904e-19,2.0573521450479794e-20,capture_only,0.09111773255233074,0.23383570835882456,1.0205758561263214,96,TrialState.COMPLETE,1.0,UN_M7_codex_results/capture_only_dv_profile/dv_1p00,1.191452348243263,0.23383570835882456,2.476069296693153,1.6812082236931558,1.1781292112419528,1.4295036837561221,1.0007512655152437,1.152457742008759,1.0001892204616243,2.476069296693153,1.0013508153248065,2.0934501995947565,1.0003928008497385,1.290735230810635,0.23383570835882456,2.476069296693153
capture_only_v2_trial_00090,1.4015198575107333,0.9298187430510647,0.30844967071143287,0.0,0.14201243276690764,0.009027792389777408,0.1957750969396442,0.06934824235478865,1.0168395933460852,1.103998341887723e-08,555882.3208087176,27140976101612.17,7.847748946210963e+19,0.5,2.238706531197941,0.9199660200113173,0.23799469155665795,0.7567399000113761,8.405137882281352,0.07592697176070955,2.23161343628183,0.4414753413426607,91.32391192154759,6.994824761095355e+18,1.244115805501283e+19,1.774215277149179e+18,-0.8458544930002928,2.8797372353619033,1.388029550401631,3.4167092625956384e-05,0.003921658521143697,0.003921658521143697,12.0,22,0,4.2934800659537927e-19,3.827144278584768e-105,1.0842702214701028e-86,6.2294724722599264e-105,1.627707768196163,1.4518335550490282e-19,1.2862071127119506e-18,1.03038575159863e-20,capture_only,0.08923900657918651,0.20141970991642835,0.6270849654557097,90,TrialState.COMPLETE,0.5,UN_M7_codex_results/capture_only_dv_profile/dv_0p50,1.2155184886736408,0.20141970991642835,3.3141184743768566,2.097518305592789,1.3049025843982782,1.5156323728753407,1.0003529640600828,1.1557661392763194,1.000043313285257,3.3141184743768566,1.0087884359437922,2.445349167987779,1.0065351566041587,1.295816526064138,0.20141970991642835,3.3141184743768566
capture_only_v2_trial_00097,1.42104343464791,0.8173326092144771,0.24376337863525366,0.0,0.15811995930801465,0.1841799380953523,0.17538694908855432,0.08565841606847285,1.7339136324982731,1.1604953687857308e-08,659590.9052943222,32236154478152.9,7.487846855011908e+19,0.5,2.456906613756564,0.6946412578523975,0.20467920679478557,0.6623890405006605,11.8651264499918,0.07880235428980713,2.7378761709302517,0.3927128963619588,105.39717662757279,5.582622492917222e+18,1.5132504638256718e+19,7.61272146674912e+17,-1.2983708755253422,3.746521515774892,1.4439962204999532,4.248275491835817e-05,0.0066900027798655936,0.0066900027798655936,12.0,22,0,4.2934800659537927e-19,3.7383568996738846e-105,6.213018565618457e-87,3.5282065693322575e-105,0.9437853752379931,1.3852516681772031e-19,1.3952113555335725e-18,1.0297390368734999e-20,capture_only,0.11380487109553666,0.22390973083121307,0.8006883287523815,97,TrialState.COMPLETE,0.5,UN_M7_codex_results/capture_only_dv_profile/dv_0p50,1.0706507809122008,0.22390973083121307,3.671884891369179,2.340821320702629,1.6341248601062015,2.287243920523898,1.0007738032323503,1.538551687884643,1.0000604368819694,3.671884891369179,1.0108527681832913,2.8273934190011207,1.0084646703159044,1.2961549327177653,0.22390973083121307,3.671884891369179
