label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_bulk_shape,score_rizk_prior,score_swig_diag,trial_number,state
M7_no_phi_v2_trial_00032,1.324674256668591,0.7861165045647016,0.32455882908553507,0.0,0.1410931823192818,0.2090541036823033,0.10269403934352693,0.03490346849166506,0.5887654447741725,3.399313071968385e-08,719899.3786767556,30736632342839.484,6.333795595296755e+19,0.15,1.5813501779210546,0.583450503519331,0.916739154391782,2.7046101847544293,7.3101843593370335,0.23639811751140757,2.816750925738197,0.572457139783853,89.27015718032843,9.452374895413125e+18,1.7819897684444606e+19,2.722884553782239e+18,-0.8158759778463776,4.023084616464439,2.904624572407542,9.831267852775418e-05,0.020574434835140907,0.020574434835140907,12.0,22,0,4.2934800659537927e-19,3.4382250970816844e-105,4.0500521197910324e-86,2.2134475463651824e-104,6.43776217049874,1.1717521851298996e-19,8.642445992631083e-19,3.082658757667731e-21,M7_no_phi,0.18549551754688934,0.16332171411423668,1.2775817155250175,32,TrialState.COMPLETE
M7_no_phi_v2_trial_00102,1.3285308950788228,0.8526495789202413,0.2883536978696183,0.0,0.13879136412755091,0.16809807536325255,0.00870770651050396,0.0,0.8174607002541645,4.835114356361203e-08,638875.2909943659,27421730978485.26,5.101262956688857e+19,0.15,0.9193239807334374,0.6442437206061807,0.9305932900285316,2.946579275195802,7.941307181193808,0.5311215312361374,2.585746061365557,0.7384588374808307,93.61665823273717,7.523810688191417e+18,1.444198669416913e+19,1.8911243699102405e+18,-0.8829068493429593,3.5857825797191363,2.9374229561799745,0.00017252975319864052,0.038541829780099096,0.038541829780099096,12.0,22,0,4.2934800659537927e-19,3.0856107555139917e-105,8.792706446888221e-88,4.604928277750976e-106,0.14923879395746728,9.437336469874385e-20,4.814696158532878e-19,3.074953578515653e-21,M7_no_phi,0.1386597861100149,0.14905488447693915,1.1881160589839899,102,TrialState.COMPLETE
M7_no_phi_v2_trial_00109,1.3303539055815465,0.7888959389438286,0.30991807872052113,0.0,0.12392769937454978,0.2520754669189928,0.06729141710732507,0.058121347512770725,0.6361928512327731,8.305758033790132e-08,667918.9476248991,29953682811266.047,5.837964119294923e+19,0.15,1.0798358817054754,0.6546801277247095,0.5122964920952315,3.2437724713506575,7.220843854408323,0.6500935760455404,2.9381937816333408,0.3675263774877002,94.47690394999243,8.317922459575826e+18,1.6016984867127656e+19,2.3986630345752684e+18,-0.8246115229165024,4.283034031478945,2.0636912836108787,0.00022007205866255377,0.05393663475084812,0.05393663475084812,12.0,22,0,4.2934800659537927e-19,3.3009047678648743e-105,7.652019242846086e-88,4.1118151632734104e-106,0.12456630688964279,1.0800233620695608e-19,5.802501812046993e-19,3.079658092030781e-21,M7_no_phi,0.1899538566088274,0.16271816343168913,1.100628813032375,109,TrialState.COMPLETE
M7_no_phi_v2_trial_00114,1.3394027512796016,0.8268907053796813,0.2333759410333816,0.0,0.14125274926876574,0.24213513052997462,0.018045029056124894,0.0,1.0914685213199251,5.8520856980750696e-08,673523.9343081119,30131557586837.074,4.7965058145652425e+19,0.15,1.1766653183131763,0.5911864488984697,0.9643969484078821,2.834613554711995,9.537063250551528,0.629827622666814,2.7645439207998375,0.699777563561257,98.79372623794778,6.844579720669517e+18,1.5739992426902696e+19,1.3395449876760156e+18,-1.070047215404031,3.8541284184922926,3.0055134668505232,0.00021483634978906885,0.0543890054506858,0.0543890054506858,12.0,22,0,4.2934800659537927e-19,2.9920219268016914e-105,1.234849920232335e-87,6.397552009126478e-106,0.21382035846124672,8.8735357569457e-20,6.096107266077783e-19,3.0729085150940824e-21,M7_no_phi,0.17081483363852892,0.1520773784871326,1.2937660756509102,114,TrialState.COMPLETE
M7_no_phi_v2_trial_00105,1.3405915722162078,0.8556209796677013,0.32487047634951277,0.00451459787263798,0.12350941489818038,0.16202085077283374,0.009649783893840094,0.0,0.7156177307937613,4.798198320331867e-08,568754.0435149929,25545236100659.645,4.890127926042736e+19,0.15,0.7913254830070703,0.769848690180357,0.7515490168267573,3.2631432176414776,7.0452513824754215,0.4073562356122617,2.5924764592689633,0.6253753174189478,96.6983392868088,6.844932435734154e+18,1.2276490192230291e+19,1.9810422326109212e+18,-0.7921804871088487,3.6247918359506333,2.52583147819468,0.00011531453504577242,0.02751872576593186,0.02751872576593186,12.0,22,0,4.2934800659537927e-19,3.0210811733627376e-105,8.885996254857907e-88,4.619077459714197e-106,0.15289484772674097,9.046736663179062e-20,4.113431512934907e-19,3.0735435054344683e-21,M7_no_phi,0.1517378433636956,0.153616345204656,1.0648628032888285,105,TrialState.COMPLETE
M7_no_phi_v2_trial_00094,1.3453564573266656,0.823901251566193,0.28513632350150314,0.0,0.1217717515821353,0.24293218618947496,0.011455020574206254,0.00510112719895011,0.9142535597588471,5.254871714940316e-08,549118.6301413674,29145558417502.81,5.133635445546329e+19,0.15,0.6920418049481625,0.5777933504433435,0.7644140569972631,3.003395636962113,8.39885264492752,0.5252165914231198,2.7105441841053675,0.6034141801008935,101.111014139781,6.259973325380231e+18,1.2844525598322987e+19,1.4852094719623232e+18,-0.936930358312229,3.8174260654785517,2.6817091609987886,0.00016601200134380383,0.040699977804614054,0.040699977804614054,12.0,22,0,4.2934800659537927e-19,3.0953858767312725e-105,1.3392791049830807e-87,7.022111716685124e-106,0.22685739343427108,9.497225574260708e-20,3.628515407192741e-19,3.075167180321744e-21,M7_no_phi,0.1695266407158908,0.16202885342779688,1.1657597210546282,94,TrialState.COMPLETE
M7_no_phi_v2_trial_00080,1.349682226316473,0.7619343028630744,0.2696176762770287,0.0,0.11809434044188862,0.31962594698498553,0.15313196520701441,0.044117436334377265,0.8099858468514839,5.37629384646593e-08,596792.1494001315,31468217779537.168,7.113805216042416e+19,0.15,0.874284865746789,0.47207544365944637,0.8160628276991669,3.1256570243743256,9.118676462692463,0.8663318879679746,2.713502541712884,0.5141762644091226,98.48051971585001,6.782512890887088e+18,1.431899463830723e+19,1.6208200464429274e+18,-0.9461777270247832,3.877314718762935,2.7470044622231864,0.0003740842054443931,0.07190876107201247,0.07190876107201247,12.0,22,0,4.2934800659537927e-19,3.6437894076321685e-105,1.4002485695890232e-87,7.854742002858975e-106,0.21556520216032998,1.316053964967847e-19,4.90433070712637e-19,3.0871506618626167e-21,M7_no_phi,0.18486240109375857,0.1700494370294756,1.1837626032329223,80,TrialState.COMPLETE
M7_no_phi_v2_trial_00118,1.3506513787826926,0.8298124441265887,0.28510327576935235,0.0,0.12060758206265827,0.2295362488426095,0.03878505962828853,0.009807493027935299,0.9188516504392724,4.380919881206571e-08,642331.7672592818,25063794836016.625,4.572828824962949e+19,0.15,1.0072302046562762,0.5119138522427086,0.5860182902746266,2.5190261361587467,8.076355509599974,0.36236385922276754,2.8106655304278787,0.5732624662574101,102.11240072613182,6.302097207799025e+18,1.2981205035285963e+19,1.525166707548641e+18,-0.929997692950262,3.96652529350436,2.6161017642891893,0.0001053308537447479,0.029558504499461413,0.029558504499461413,12.0,22,0,4.2934800659537927e-19,2.9214251022824903e-105,1.0500016792589027e-87,5.39643469897341e-106,0.18471925550161153,8.459733326181456e-20,5.176612698465008e-19,3.0713658632040038e-21,M7_no_phi,0.1825923273707686,0.16158447054938477,1.1906939315553848,118,TrialState.COMPLETE
M7_no_phi_v2_trial_00093,1.3515017405940792,0.8091480863213107,0.2657846020893141,0.0,0.12144312809823,0.28582777938372794,0.006047134478408483,0.022387767763236928,1.003933132521733,5.127444994671886e-08,599213.8991176079,29193040125942.75,4.930862246977578e+19,0.15,0.8812639383731907,0.5637322671401952,0.7493361873494875,3.04046300418262,8.873453044611388,0.5118313209992658,2.8675123734161443,0.5350310635267495,103.84211876946743,6.113586606622947e+18,1.3592900906777879e+19,1.3459821101892774e+18,-1.0042728632710831,4.0691114554404715,2.635695733389456,0.00016511852218434927,0.04463118835299518,0.04463118835299518,12.0,22,0,4.2934800659537927e-19,3.0336377445417274e-105,1.3128157748832672e-87,6.834111401928565e-106,0.22527776805997488,9.122095156908519e-20,4.587586502668447e-19,3.0738178863063297e-21,M7_no_phi,0.19224359644730565,0.16000741480387307,1.225864372980053,93,TrialState.COMPLETE
M7_no_phi_v2_trial_00091,1.3516182970115036,0.803194396837067,0.26751349915954115,0.0,0.1191492150197674,0.2980994478754988,0.0010331412928331113,0.030416836230658575,0.996238741125624,5.3132997326724536e-08,591811.4678014377,29470222020781.062,5.0119086377869615e+19,0.15,0.89267366522805,0.5858723575631576,0.7371613959927257,3.1695016704985757,8.887097768495723,0.5580655812540443,2.8853446417040427,0.501581643827337,104.45019224725614,6.044791907925669e+18,1.3485509453180813e+19,1.3413751938597988e+18,-1.0023170871563107,4.1094465787604415,2.551107735506642,0.00018117380619576295,0.048996342701909626,0.048996342701909626,12.0,22,0,4.2934800659537927e-19,3.0584674093633164e-105,1.3658122168492778e-87,7.130472845614576e-106,0.23313875517473412,9.272030979905879e-20,4.660366374952602e-19,3.074360453619065e-21,M7_no_phi,0.19473961195884368,0.16031607936960998,1.2090056734766659,91,TrialState.COMPLETE
