label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd_1p3_1800K,Rd_1p3_2000K,Rd_ratio_2000_over_1800,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v3_trial_00111,1.570793270832395,0.9159094096259598,0.3256005216967108,0.0,0.1160406482626409,0.1844309315314464,0.1341657103788875,2.087797565138523e-07,948134.1405986001,13850643269958.52,6.8098212873928335e+19,0.45503528676816746,1.2708164911035231,0.23142475301904586,1.9596543015219456,5.587741218056512,6.061765312458284,0.3262195297898871,2.876025637847575,1.322585449704271,102.39885621500491,6.394680152826006e+18,1.1152844555112225e+19,1.655218908936392e+18,-0.8285302101893047,3.8343904165110745,4.789092893725403,0.00017947754248010537,0.026375760170724908,0.026375760170724908,12.0,22,0,4.2934800659537927e-19,3.565087074419952e-105,1.7621257568021402e-86,9.785607686134597e-105,2.7448439496324895,1.2598169381676742e-19,7.057221412833349e-19,9.359866204453448e-21,394.9890081162686,1957.6390533093274,4.956186154762763,64.52404971596634,61.36995219795706,49.556785921542634,0.8419635118954837,0.06630524803156011,55.85117687015103,82.89998157599089,81.78855946112878,77.12597898165428,56.38567651596983,24.31719316823817,4.184640313126627,27.505059752796658,30.940602563778736,42.61207531793688,88.86878338648266,89.51996331584404,36.263131566244695,9.771992932695591,10.948574304857596,14.71820577901704,30.54857844256411,57.6845601504772,76.01396491400918,capture_only,1.3256788684363552,1.0252362438190483,0.4029164680872202,0.001137152403237721,8.548357392213701e-05,0.4547122986780639,0.35119816248947955,0.007817287381380222,0.0006382109920450216,6.435656326261344e-05,1.002869739613492,1.5493988616619812,6.645211662800634,6.66420899444516,7.428222292433312,10.288115949218605,10.413645952550485,7.546879035620249,6.873313192635447,6.9116680715241365,8.018185366931776,13.057927754084687,17.997608470292587,19.801330416300967,1.1313658777577729,0.08653017023893525,0.022118271008250964,1.0831076067981737,0.188450941000464,2.036868924378971,111,TrialState.COMPLETE
capture_only_v3_trial_00114,1.5795539262163398,0.9249012973867696,0.3378495867801955,0.0008250471707753059,0.12502081667515702,0.1361791065476585,0.1469659396944595,2.2722105779981056e-07,821766.030947244,15095241088231.59,7.0135184537689874e+19,0.459280709408124,1.1962461095257224,0.2468235728178368,3.3466914932968352,5.958002753130685,6.372753271201324,0.529956996404066,2.4901749843884504,1.7039199867286587,97.19602755323893,6.474343095504287e+18,1.0683120551856466e+19,1.6987409371252572e+18,-0.7985709763815763,3.1993381186348966,5.65643092451375,0.0003131912059685727,0.037358367668350614,0.037358367668350614,12.0,22,0,4.2934800659537927e-19,3.618014110233218e-105,2.053233422766057e-86,1.1479589013982166e-104,3.1728978008994524,1.2975009139472627e-19,6.688189245638948e-19,9.45073376636112e-21,393.42517233749635,2030.458952448484,5.160978745677902,70.45000989830277,68.29173852965604,58.486044286684866,1.6486941890330662,0.1267450229274989,63.78753973905606,85.66572285496797,84.95436221448863,81.13423524812393,62.90742847610921,32.87942569944296,7.624026075972403,22.61432701877138,25.02435655353734,34.63962321929522,88.61891438197401,90.01976861020592,29.329026714348924,7.99554214416826,8.800165783409353,11.91033189253051,25.919445716252905,51.04894281284255,73.89611653821711,capture_only,1.0803645630090426,0.8284105731132672,0.32930218203551803,0.0011107933937842516,8.458043490975107e-05,0.3716701396183252,0.28473359872023907,0.006544209227610996,0.0005545288350140144,6.144831777853618e-05,1.0053183835439312,1.362161415929072,5.855298519916807,5.85549434369336,6.545030311984425,9.731280635599145,9.853401786431675,6.604523822962419,5.9670648612454364,5.960738403381789,6.8425841239196314,11.1665815984103,16.071076958879484,18.47979593749271,1.1920491270404034,0.11145074737176146,0.007422694910817856,1.1641799278282812,0.19270177104934383,2.1239823007170098,114,TrialState.COMPLETE
capture_only_v3_trial_00109,1.6076696669613575,0.9283894419930547,0.34647389710868437,0.0,0.1218046907914582,0.1440258941525885,0.14058852956349216,1.3160518368640675e-07,932468.5008980135,12520915767344.512,6.911280728750188e+19,0.4112058542177556,1.2722105101458012,0.2337871743111031,3.375569031588199,5.973082701946801,6.646295756239867,0.3411033872714321,2.4306173923070413,1.8752108641702343,98.77219015557847,6.021766902925137e+18,1.0043979506982103e+19,1.582217797185755e+18,-0.8026395526796979,3.1393265272877215,6.271647226327448,0.00020363303409391307,0.02533392807443205,0.02533392807443205,12.0,22,0,4.2934800659537927e-19,3.591546976021835e-105,3.040869690836066e-86,1.6943929657957154e-104,4.717724638179463,1.278586934818785e-19,7.088842201619466e-19,8.459900005646553e-21,394.7755992142235,2010.1542247383265,5.091890757026054,69.84429349547524,67.97318124060394,58.11599755795191,1.9111108827966967,0.15698321055063522,63.43783437428865,85.15755585457498,84.5922755383229,80.75140994742794,63.16574550531353,34.04117961129628,8.46389904251256,22.720195097421467,24.912001638353992,34.54296320072319,87.48756424452709,89.07851013902389,29.21211222181552,8.041099686794036,8.760566091209663,11.812668486060048,24.783657411934357,48.54075512491191,71.3569809581089,capture_only,1.158548597520409,0.8726669191969015,0.3441240337240874,0.0011890129622175354,9.105982190358035e-05,0.3982423063026527,0.29962530131038256,0.0067670346893348365,0.0005719088368776415,6.417800459836e-05,1.0096934833205287,1.4159771242809354,6.276962809582883,6.242150201845179,6.9969152076008205,10.600135859713975,10.764415590603564,7.059544410721029,6.403102152328348,6.3475330691570635,7.3182027287090365,12.043830048062782,17.417493354954946,20.17905582137396,1.1751285206152722,0.12230267017961143,0.02058403108617461,1.139385242557656,0.2009630532208486,2.2686407611785016,109,TrialState.COMPLETE
capture_only_v3_trial_00115,1.639677863397416,0.9521604799550102,0.36116598418948376,0.022842161187577006,0.12187236815132502,0.1274101679481137,0.14768618338587566,2.80468955363692e-07,737723.927288627,14953482413355.516,7.0251594799867585e+19,0.4321734925051344,1.1905982459589453,0.2157495439246076,3.8194621939223303,5.948206422141917,6.37905663891672,0.5452523611528345,2.3239195606455105,1.8462930623905704,97.32034973874559,6.018960582907393e+18,9.607256959545244e+18,1.6678738147302948e+18,-0.7604362162684388,2.9714387505843143,6.022728650122847,0.0003130547104563777,0.03590116156854673,0.03590116156854673,12.0,22,0,4.2934800659537927e-19,3.621015452233203e-105,2.004509562722751e-86,1.1211491730661767e-104,3.0962286349115855,1.2996545037975504e-19,6.659176208158289e-19,8.893130757745045e-21,388.4412676049209,1998.0979852482906,5.143886996271809,72.5806226604225,70.73979101674504,61.51563433064729,2.126663214673335,0.1649044034657716,66.48214763370837,86.78317332928866,86.19565140682116,82.67675472938356,65.53654061460394,36.58359414955313,9.573990443851299,21.105346499502605,23.165045794064582,32.18465945049832,88.71196025677207,90.5462346627155,27.23003408490073,7.450812203369968,8.131417145082771,11.043843658147281,24.51613005035858,48.98346311543093,73.52739434088278,capture_only,0.9078436192021606,0.6919881081574888,0.27534963919259725,0.0010057961074486385,7.734777791456195e-05,0.31192891196810707,0.2373734396415665,0.005485853534864585,0.00047208342121519287,5.448077942415118e-05,1.0067814719449792,1.356049544160748,5.406187220872753,5.4031750810328845,6.0243565796618075,9.160370732447149,9.288783586040806,6.055353058625994,5.4540855553732674,5.435558008454512,6.185305701040714,9.941843481502614,14.432470651594736,16.898560734486495,1.1650816543735756,0.12215502317058212,0.0,1.141728473105014,0.20344412297555864,2.1513624568673806,115,TrialState.COMPLETE
capture_only_v3_trial_00085,1.6473087695985786,0.9045529380536896,0.3468848667370141,0.03279064523834436,0.11775475078493253,0.1393766479413158,0.13153001483093874,4.9376664736560374e-08,980999.1409161099,13089454186162.414,6.768618227920612e+19,0.4367778423087834,0.9614654059008125,0.422828430274184,2.2406747009956396,5.926848104566305,5.68432470203919,0.2583699694212119,2.704568940069535,1.3991576555704048,98.21872648128895,6.814383180123874e+18,1.112171507196618e+19,2.008939362292558e+18,-0.7432049364342211,3.5537808118639553,4.823088310203538,0.0001450807084868708,0.01937086170407543,0.01937086170407543,12.0,22,0,4.2934800659537927e-19,3.5542853692191636e-105,2.18793905801751e-86,1.2133597706210101e-104,3.4137938982867087,1.2521943721653131e-19,5.331974124639947e-19,8.983631686545039e-21,359.03418289362304,1770.6069632868039,4.931583252092213,62.84968358712902,60.4187554166242,49.92994790679874,1.0925274815964467,0.0903178881045888,55.65307772272391,80.42847957910779,79.53063484531515,74.69587433191812,53.299088783156655,22.919710723378596,4.155568244523297,25.260284913905924,28.385500828611978,39.09726608700958,84.46376711892914,85.24428336057646,33.24988499658672,8.982306752366089,10.08438878920022,13.6160897117105,27.373650481465766,50.14034642195917,66.10807619477667,capture_only,2.9305517396548497,2.2484913806252154,0.8734026658989019,0.002419691804674192,0.00018236987207623958,1.009914311759174,0.7763090270611368,0.01686079108554881,0.001334737746009865,0.00013213979058592537,1.0034987120099148,1.4443843275076145,8.959479759310206,8.947252374138605,10.099383340292777,14.441285707669755,14.665216381446886,10.358436311569069,9.579299356766935,9.608667338423476,11.385670628431752,19.310399944292037,26.93860811691622,29.73622342090943,0.9755058027390032,0.1205595464220229,0.10995701696596977,0.9699907948589324,0.1607680113607783,1.9441487622160756,85,TrialState.COMPLETE
capture_only_v3_trial_00079,1.6513029855779153,0.9228982569043713,0.33525853553927504,0.025510137712384476,0.12353179919066423,0.15402527913078062,0.156158278920122,4.529550362371705e-08,991525.3204841013,16061840121507.086,7.163549781282153e+19,0.4835076513099066,0.8380184581302806,0.45563855619412424,2.0587931753151594,5.626833821870203,5.376798512224905,0.2544298949741839,2.995675809413281,1.1938352401984165,95.62453304813005,8.17896257269134e+18,1.3623786423931636e+19,2.390466607094162e+18,-0.7558151453740712,3.9947931435278625,4.393834717461206,0.0001549238097244203,0.021320636423897033,0.021320636423897033,12.0,22,0,4.2934800659537927e-19,3.656507140717038e-105,2.122664290366434e-86,1.1926691910303372e-104,3.261771808810021,1.3252567095371983e-19,4.708605129236865e-19,9.951968891657507e-21,343.4654331951114,1693.7588878909264,4.931380931509221,57.97173120478356,55.20423717715626,44.07298188296525,0.6028752421418954,0.048418466026670666,50.444236537323185,78.35456818112058,77.31058311518252,72.15014300648676,48.66367057353526,17.36796122584342,2.514177861066697,29.344772545374735,32.912975631440666,44.65477300513962,85.79472751545312,86.17886184772385,38.122472357940254,10.476109129562621,11.742857019482308,15.689627865937616,31.664842038273388,56.2356144080832,69.18398069860538,capture_only,3.5649191189224867,2.7796171599977515,1.1015122056354527,0.0026835937694551105,0.00020064663386095398,1.23417920735631,0.9645974639794028,0.021531504598001634,0.0016443925466505251,0.00015150491614201629,1.0028002232104052,1.4620850705762765,9.118577130919233,9.103170031405343,10.1707329062597,13.599713648635538,13.772519039615645,10.496207515494032,9.935143481960477,9.981962401355783,11.775554419274357,19.649955883593353,26.394779973526735,28.301689935411805,0.9114657399091054,0.11016638501971344,0.10248588409793905,0.9283591815159563,0.15266987241662253,1.9630814253115276,79,TrialState.COMPLETE
capture_only_v3_trial_00086,1.652304348425918,0.9054078134523288,0.34227857497905456,0.028437387585985276,0.11568823452735998,0.15401576396426186,0.12962347665785326,4.555928347717963e-08,992636.902661591,13377183626928.293,6.738969347893013e+19,0.43437847403359203,0.993404111104626,0.43910071104508325,2.022519061592096,5.814614857561144,5.605358176101654,0.26129827182867665,2.819532044082213,1.2953093103313562,99.10293305421114,6.915584642800613e+18,1.1449764061109211e+19,2.032598204640227e+18,-0.7507449998665451,3.7455280011248773,4.598070343481144,0.0001452715929697668,0.020508953419950394,0.020508953419950394,12.0,22,0,4.2934800659537927e-19,3.5464923285129005e-105,1.574799823861617e-86,8.724689283900486e-105,2.460089709980815,1.2467093293602073e-19,5.50364692160318e-19,8.933788426071056e-21,357.21902949011115,1741.2458423530186,4.874448723626078,60.50627757479214,57.85849510513682,46.843910548597336,0.8284123639727324,0.06787606194960775,52.8362451360719,79.12436058498709,78.12484164435702,72.97050710810039,50.391459671898765,19.69972358811511,3.1670584935124686,26.935567322676125,30.31657966874587,41.615460760563906,84.43070175047981,84.97405315946023,35.44772175416726,9.592684907827207,10.792996994388776,14.535137964366301,29.054392543589522,52.21045858416032,66.32143260725715,capture_only,3.110679733639357,2.39006349246602,0.924474154688264,0.002401486205936657,0.00018031817537373295,1.0744740512316278,0.8274527734027343,0.01782937668673409,0.001384448411454046,0.00013195995521007192,1.003255455252004,1.4946194265445172,9.447475368892386,9.434861733651315,10.616154536150493,14.73848439934153,14.957890460414797,10.928984981963074,10.20848045595407,10.254708587851496,12.172776317831953,20.536318407824965,28.08843337931313,30.511376939275177,0.9510382019608489,0.11833339578666158,0.12091813926566566,0.9422786411720407,0.1565307057737256,1.9276332556078377,86,TrialState.COMPLETE
capture_only_v3_trial_00112,1.66459898272198,0.9699493948789746,0.35413190497062896,0.04488940970643133,0.13645239307611856,0.08499493349653714,0.14707578569103927,2.558473216222684e-07,914420.1098773873,13784831996264.69,7.015292605626363e+19,0.44983485164374654,1.2111240280557425,0.2067337216809373,3.500642011577378,5.565756195356452,6.075966422040833,0.32474275221350835,2.262984447311377,1.8670303887297206,90.95002150444166,7.18099363289266e+18,1.1054634413208728e+19,2.0955359847088911e+18,-0.7222492616666855,2.813690185408623,6.045600007788581,0.00018898785485991105,0.02058618343978671,0.02058618343978671,12.0,22,0,4.2934800659537927e-19,3.618471690876435e-105,2.152542802387898e-86,1.2035532370068676e-104,3.3261369435098533,1.2978291320408772e-19,6.771768917980427e-19,9.256393979591198e-21,361.1280674682109,1913.6680152653933,5.29913952322149,73.40966432008993,71.46344901468206,62.416801551364806,2.7870685395378523,0.2334123759990401,67.21219050578236,86.96491748560727,86.35149670652764,82.87792576030176,66.94277121418362,39.70195315275307,11.934255474449309,20.09881669791807,22.27132551393936,31.093252214615486,87.5002136959541,89.87432435870952,26.31404170046953,7.121187345603956,7.8310098710470495,10.668946233440336,22.789640321922295,45.26064247537923,70.1452704417616,capture_only,0.9354376628201745,0.7130400632972473,0.2836109970600658,0.0010923188831306735,8.506651866690135e-05,0.3214355698986621,0.2445596495241023,0.005601558004679707,0.00048111000835789346,5.706052027573817e-05,1.006609816372013,1.256492751326748,5.556081319171816,5.552185408081345,6.206335236959641,9.71162544562491,9.892178198772791,6.233911367633301,5.5924595988901515,5.572933772901197,6.356317505270155,10.261986905889408,15.03692326185934,17.92041702326884,1.0947233460544943,0.13950395623211606,0.00023352321223667208,1.1229817126089743,0.2048138530443058,2.123211697135692,112,TrialState.COMPLETE
capture_only_v3_trial_00082,1.6735861757959873,0.9003312044995059,0.34463805900055655,0.0377060792567889,0.1240826073142492,0.12163966066184896,0.15372503695050949,4.140314796919723e-08,998701.8375974535,13928020674422.287,7.123526451464936e+19,0.48176158003318903,0.8553718048079625,0.5239893572566477,2.0785889005114386,5.859170755191603,5.611836839483358,0.19387259861170142,2.7042372003521344,1.2821175422357984,95.37936614573216,7.440341640211356e+18,1.2031706447556547e+19,2.2163384067897708e+18,-0.7346911549730227,3.5290270589727655,4.3817930471354645,0.00011300399199831071,0.013942542984663745,0.013942542984663745,12.0,22,0,4.2934800659537927e-19,3.6462782332667145e-105,2.322151098999736e-86,1.3030361837622311e-104,3.5736060179775038,1.3178523935210131e-19,4.799775573238467e-19,9.915311874325246e-21,349.25085073585547,1750.5638737271815,5.012339612169374,61.337822194175644,58.934018590930705,49.11732901007847,1.1233125671663788,0.09396126658552241,54.692718760243075,79.10428733908446,78.17694498174585,73.34707933054614,51.429681251617964,21.42932968130864,3.8089813738270295,24.99339710234226,28.230956792753084,38.560233699911166,82.93112188233599,83.72319131804738,32.83496854367371,8.906021953732388,10.048348278109579,13.484864522930517,26.814738959612335,48.41637904898159,63.05366745966984,capture_only,3.824490608621417,2.984394372843925,1.1808363746271937,0.0032306429871439917,0.00024332697720724398,1.3235238475153543,1.0355243820298734,0.022927371763067878,0.0017834682962964807,0.0001735759193031958,1.0023346908587796,1.383149024748575,9.844290094860687,9.850630243472304,11.141600915383192,15.942334907510517,16.182604088389876,11.46817444710713,10.666166859667818,10.7391823581147,12.756342216919872,21.73265241700663,30.15250780141348,33.13717759058384,0.9588032281059846,0.13150744714091667,0.14366704339730085,0.9754627599667745,0.15181019993052597,1.8025163348987814,82,TrialState.COMPLETE
capture_only_v3_trial_00087,1.6794554189984454,0.9201092144726174,0.34111562286183816,0.02537358013246736,0.1298015240245003,0.1135070733452724,0.12291857287064673,4.9215149144054674e-08,978240.0485316275,13510966138492.256,6.635728020154875e+19,0.42308319116676124,0.9890721281512402,0.45226855655501746,2.0398338567850898,5.022483617304129,6.153383107863167,0.2501222428393953,2.4834377932358764,1.4214577500421994,94.37541608583794,7.053229878027739e+18,1.1449343559747572e+19,2.0078391466313247e+18,-0.7560516700406463,3.191297096278144,4.675534525937701,0.00013506572498285245,0.016641094987396292,0.016641094987396292,12.0,22,0,4.2934800659537927e-19,3.5192212621386455e-105,1.5860247038653212e-86,8.756584735253959e-105,2.488216591966299,1.227609683728652e-19,5.460755988432414e-19,8.699799445464732e-21,361.54089627621426,1848.486612898279,5.112800880722634,65.02513059392388,62.809307647340525,53.269066794663075,1.5727131040094562,0.13122174630881958,58.38940836493349,80.79714460186666,79.9559721324606,75.2847369973942,54.40130593612621,24.909570282407415,5.070423214769417,22.290080691920352,25.20767199913514,34.87200061266727,82.10360446733354,83.3055836926191,29.626629029002927,7.918625540064469,8.9360841640639,12.127722895755168,24.51617066520444,45.31971052788799,61.610571974472776,capture_only,3.100319358794865,2.379645722312334,0.9167228992043752,0.002708921134416236,0.00020534346246897593,1.0690620592551876,0.8222056185700677,0.017563599368245066,0.0013966212844416111,0.0001423338079291083,1.0028157744791304,1.341747084841102,9.584469355360913,9.603374631211997,10.942209693465273,16.320973507522584,16.562989217609637,11.207058221456355,10.215167798813678,10.285738084905422,12.270112998204404,21.064959799301107,29.76932256842016,33.318862476949874,1.040405510748566,0.13959038619313588,0.14125555604798096,1.0495063098552149,0.15017144773433633,1.775829540012938,87,TrialState.COMPLETE
