label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd2000_max_nm,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_2000K,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v4_trial_00256,1.8091774258484377,0.8509061440775172,0.3461511605715394,0.03323024379310827,0.10712619622661197,0.289453742166734,0.1600444049203209,1.992747441868264e-07,817840.9525319021,16179800159521.113,7.227937844460004e+19,0.24084783929035586,1.6544710091400943,0.25596592561736414,3.7322967715795117,8.211317444307003,6.138991220566013,0.05782883441400184,2.711468832999154,1.3839802501021543,99.06279806839974,6.658620071652875e+18,1.1232142875107115e+19,2.032446346636771e+18,-0.7424435294024362,3.712819512901694,5.629853057601043,3.235206137094915e-05,0.005091031285680757,0.005091031285680757,12.0,22,0,4.2934800659537927e-19,3.672903253246877e-105,1.6509025185548957e-87,9.295651900653151e-106,0.253087306136793,1.3371685012251009e-19,9.31574481705369e-19,4.957911932496556e-21,800.0,172.90849715731468,332.670866898093,1466.2457547869224,8.47989415727158,4.407496720282625,2.8,57.29547290911894,55.15899226582099,41.6522208167633,0.3969922758816437,0.033639110042615564,49.0861720252914,80.74535938372821,80.08514954021602,74.90890605565933,51.23797514068256,17.595062037451097,2.3966099310592526,35.97255931486917,38.3727400039004,51.743108101238455,91.67322459471146,91.95066059411995,44.22205427076561,12.771287358326193,13.585203436912245,18.054289802324032,37.971555034747,68.30469696811362,82.6094711962872,capture_only,0.8582058384847026,0.6487234984844572,0.258911433351319,0.0005982940098689063,4.4694077606586375e-05,0.2963044724905504,0.2232414952030144,0.005062913531854577,0.00039449836084647007,3.616186332876147e-05,1.0136055964651085,2.0152801156636864,5.87376193752717,5.819544231794149,6.345759648646935,7.929184835397034,8.015655601759839,6.4729461766484535,6.187048785455056,6.106405527668726,6.947721185565954,10.785406911038582,14.099846496074429,14.993882710790263,0.7218714623224353,0.07571994110235303,0.0,0.5780896708679855,0.21773590929088535,2.114548261284932,256,TrialState.COMPLETE
capture_only_v4_trial_00263,1.8184292224201275,0.8299081320654875,0.34435803943628823,0.024662396127291868,0.10028411238963741,0.3494756786312855,0.17227012398995364,2.8369883583163647e-07,763437.956423034,17180514076859.93,7.434300785922184e+19,0.22158572765074191,1.3052989258653207,0.2594882439850078,3.2598227482251905,9.499174457214886,6.369012381309157,0.0622759729508069,2.760942223071425,1.0986908998830174,101.267444861016,6.346863418894041e+18,1.0978533609651909e+19,1.9198215348392118e+18,-0.7572834768711406,3.832825345446731,4.813834663728668,3.2326071127962415e-05,0.005282629757362494,0.005282629757362494,12.0,22,0,4.2934800659537927e-19,3.724966303496016e-105,1.647001538208098e-87,9.33656466642607e-106,0.2506482986883228,1.375345645395604e-19,7.399512111942079e-19,4.5630772273062374e-21,800.0,176.06729131196514,334.8343334615089,1449.1314204217902,8.230554406917888,4.327905700233026,2.8,53.456208691891256,50.78307809074228,36.66303723151351,0.25621200843559033,0.021345644590345898,44.499871044531304,79.49305898072382,78.58912168819829,73.03512706287471,47.28161118476315,13.515214170317883,1.6053412725316725,39.99171357808188,42.92139261316492,57.06258656700832,92.6106200595046,92.78136462214418,49.13305937239062,14.26902328046742,15.29021289188451,20.235225986455482,42.692866579716785,73.83788116376446,85.17603380493036,capture_only,0.9961869963374193,0.768262592867849,0.3092916975833341,0.0006457830719915269,4.8101324515856636e-05,0.34544263178496387,0.2654798189032175,0.006095513330386996,0.0004574400090527692,3.987715657955514e-05,1.0076571940988948,2.2840765054500345,5.5558907336894645,5.527266703224952,5.965084503894839,7.132522148987828,7.197241631940962,6.104019870108927,5.892475107023799,5.855185601013995,6.622202916313941,10.019426722189694,12.64644722590859,13.218585045381388,0.7076095170181584,0.08838995609399486,0.0,0.5558350260192056,0.21506443928012586,1.8810395707086833,263,TrialState.COMPLETE
capture_only_v4_trial_00292,1.8214621233385087,0.8671657427206957,0.3649757353031056,0.06895962010578416,0.11575529323072549,0.2563104162877336,0.16147696023432218,1.481254742847915e-07,751675.2196346453,17389205227324.732,7.251819144910284e+19,0.21811438138289263,1.585965448540153,0.33333828807135996,4.1179190774346095,7.950495884193564,5.868278271227311,0.0800255588415046,2.5294672354053054,1.4876242311101715,94.76853496126529,7.094927278695323e+18,1.1309507701216117e+19,2.3598547149768924e+18,-0.6805584343061336,3.438910685932619,5.646930563144307,4.426251771407633e-05,0.0064191113259785,0.0064191113259785,12.0,22,0,4.2934800659537927e-19,3.678965934978346e-105,1.4801994068451972e-87,8.341022250342779e-106,0.22672192126160234,1.3415865418084027e-19,8.937020940133208e-19,4.490130754722461e-21,800.0,162.82953904367085,309.08964242831723,1339.9161600720902,8.228950152052724,4.335040635930846,2.8,59.606854208666,57.88131744930707,45.301155669854694,0.5180214027067566,0.043844422364283875,52.21685824355679,81.23663073136045,80.66713328689544,75.65489510142777,52.542249971117165,19.635073341306107,2.9158582719231037,33.021611165473274,35.07389241844509,47.50590851855392,90.66778540303136,91.04137862130875,40.48648141460999,11.677381525291775,12.433421100040112,16.634495547233197,35.36528386241077,64.22872459832224,79.74151913228954,capture_only,1.034070235205851,0.7796625869701118,0.3101803846282534,0.0007418126418592549,5.550883316487539e-05,0.3575815184155017,0.2695732005098874,0.0061031467512031225,0.0004779590086842368,4.474170764609234e-05,1.0151617449680546,1.8859678862736255,6.337464390654887,6.2651275452777355,6.882755426963143,8.813451381620034,8.914721447493799,7.033547831932062,6.728406224932255,6.629872412554552,7.603000268254961,12.08636301972086,16.135724101362975,17.342577854079714,0.6165968000600751,0.074550490506785,0.007182949907709886,0.5087917426626312,0.20287105812584416,2.031805965180556,292,TrialState.COMPLETE
capture_only_v4_trial_00250,1.8253372256334117,0.8737756738954795,0.3228965768222192,0.0037310416062862175,0.12912292692919594,0.2279721849990475,0.14574216260876266,1.7849300382058145e-07,938365.6337687437,15978638256441.324,6.993783223186486e+19,0.2389979072529236,1.5602658929827744,0.3769947874802921,3.1965741320354146,7.839984103132216,6.854942276723768,0.05554151341341408,2.535436325509719,1.3651093693341425,93.8092204987475,7.332085441793536e+18,1.26781007285055e+19,2.0394663850933486e+18,-0.7935376463727589,3.407867336860844,4.976516307443904,2.9736376038228176e-05,0.004276608477363,0.004276608477363,12.0,22,0,4.2934800659537927e-19,3.612920187442016e-105,1.0477237076698019e-87,5.853978064016117e-106,0.16202898930243995,1.2938498962895e-19,8.717720372928942e-19,4.9177422242954115e-21,800.0,168.35132015531076,340.2027125806785,1583.6305137364031,9.406700893556648,4.654961454373612,2.8,61.93751687085931,59.457518195365886,47.37700781813486,0.7202281867391719,0.061062023291773744,53.901562931706344,81.68320721321753,80.80383751939539,75.89336224106093,53.989760490334305,21.934899908461354,3.6236590785158707,30.046103290435834,32.84685473226039,44.733664303696784,89.2250538881593,89.77391968646383,38.08636620425273,10.650612785481272,11.658318495151033,15.594908322699498,32.347814525417654,59.48111548459713,76.15157580937382,capture_only,1.188148419691952,0.9066303532933166,0.3566439255742554,0.0008920306323101391,6.679167749554864e-05,0.4101884213338462,0.3133639264100775,0.00693270325779569,0.0005458246637440857,5.255286301349636e-05,1.0067464275165146,1.7339432713054956,6.828231419012881,6.788996719080426,7.532683952594119,10.053825894469227,10.164951498566927,7.710211047263793,7.255991579967351,7.224480059043503,8.388033150428486,13.655492280990254,18.583438782277767,20.2247125592473,0.819692094780336,0.08440929498977172,0.02667611626725678,0.6810175216535053,0.19505811486987162,1.8527815888361532,250,TrialState.COMPLETE
capture_only_v4_trial_00293,1.8279223090520254,0.848785970712486,0.33217290146708794,0.0,0.10973545664700572,0.31864850917919535,0.16252265823112982,1.3638843817726027e-07,747874.398949152,17476621357373.8,7.269301175798705e+19,0.21761871865415017,1.6114127545909263,0.3240255770366492,4.787671499001722,8.717576994517238,7.234399411463816,0.07995479078082987,2.5648027710762897,1.5300668967490325,100.17738727943168,6.090546493916905e+18,1.086118707574989e+19,1.6565548574728806e+18,-0.8166714718640504,3.4933575056973725,5.993100946395932,4.721295580634233e-05,0.007087734355180485,0.007087734355180485,12.0,22,0,4.2934800659537927e-19,3.68339772511272e-105,1.7688005225029921e-87,9.973029371842357e-106,0.2707562450790502,1.3448207175227606e-19,9.08562979671413e-19,4.4800674748983096e-21,800.0,179.8532677554266,357.9192151097498,1605.5237544610861,8.926853398317773,4.485715453887492,2.8,57.49989839145946,56.098531244692786,43.35693692039263,0.4329173089555927,0.035854924415125854,50.618983644192106,80.63096187267978,80.23623734918073,75.28614332894566,51.461707762604945,17.836506740065403,2.467858400404845,35.4353286466953,37.160434867380836,49.77645188507188,91.2975266025679,91.63153440132407,42.41154904567962,12.54227359812184,13.138931480055534,17.338320481452357,37.0937699643433,67.14542975915325,81.54484391151126,capture_only,0.9642344333528329,0.7223244665190756,0.2875143755905794,0.0006547364496847532,4.8785061626982815e-05,0.3326599277763892,0.24885163532776253,0.005628693188155619,0.00043590241897195674,3.988707898129674e-05,1.0214293160049566,2.071289651735424,6.100538528492416,6.01870942140731,6.5790968189449455,8.268901352026818,8.332561889199175,6.726358150122106,6.494104601421995,6.375979535436004,7.2762952677105845,11.4388935798636,15.0176275983624,15.9872578010049,0.8379364620509051,0.0743329352758066,0.0001114867210076801,0.6624934248153095,0.21257084420116712,2.1360192580807835,293,TrialState.COMPLETE
capture_only_v4_trial_00216,1.8281735809555621,0.8410670663854929,0.3857054722591105,0.10330024097979647,0.10631924806909633,0.2946569687211522,0.17103933981056688,1.862176136191175e-07,601555.9359118086,21534405921920.805,7.413261912758033e+19,0.21727805941621195,1.733013839188371,0.4153344114912791,2.79547573492157,7.1308711889061165,5.155897724288043,0.06323049845897304,2.7035210369543043,1.067527610798797,96.03603442757056,7.286827490911358e+18,1.1276839699296303e+19,2.6984145676999414e+18,-0.6210787341888839,3.7599916894693246,4.398914226952846,3.131177809075405e-05,0.004836578583730967,0.004836578583730967,12.0,22,0,4.2934800659537927e-19,3.719691791469673e-105,1.9793274332220233e-87,1.1212758323146903e-105,0.3014432095922838,1.3714534538602362e-19,9.817408187919801e-19,4.474203196264664e-21,800.0,159.61070393621517,287.737232623684,1183.7349343356973,7.416388156578461,4.11394425233748,2.8,54.03168064992297,51.50070920383607,37.851690276389114,0.2572038557770578,0.021423291328727362,45.22334489735161,78.42908232932001,77.44725166299642,71.51309733106451,44.44439653298011,12.215332446596722,1.4324212830521474,37.68047634655858,40.523813671962905,54.08900365505827,90.51634440036437,90.66537900760879,46.513532736258384,13.393147088716818,14.496343006040924,19.41797044897073,41.472934844411256,69.9522729084546,79.96560960446479,capture_only,1.2066278981845269,0.9351354363369372,0.37321338298416806,0.0007403015702453944,5.515206714870505e-05,0.4193387280527574,0.3252818960114812,0.007331979211994406,0.0005322141630907727,4.553507759961622e-05,1.005809715250252,2.0808380845348706,7.081215105333967,7.040341687864091,7.686092685568469,9.225711442288357,9.313142548995318,7.944008735115469,7.758431853910446,7.73112343495116,8.937590809894626,14.075336643396643,17.831862430785584,18.601923577405508,0.4864457786130811,0.090886269334271,0.01831038701931937,0.39770053565393965,0.18168548076604318,1.7378111601606552,216,TrialState.COMPLETE
capture_only_v4_trial_00245,1.8295794867500705,0.8430590256588809,0.35637173227580843,0.05679028006767681,0.10818075166684711,0.2931264029126611,0.14471778546523445,1.4032938100557445e-07,861511.0543448898,15809069295814.371,6.977306317818056e+19,0.21834952800861832,1.8154078069104607,0.38504172081735455,2.378032037895535,7.7039945568376,5.826764135038462,0.05689265638173259,2.7411332246773745,1.07783794991781,97.57971617376434,7.043084236504744e+18,1.1639716363834161e+19,2.313694680202868e+18,-0.7016363495467177,3.7976157847898393,4.4741613839443986,2.779350995711495e-05,0.004606895504546443,0.004606895504546443,12.0,22,0,4.2934800659537927e-19,3.608661773536384e-105,1.039396319413385e-87,5.804281881666681e-106,0.1608430561221218,1.2908016687963404e-19,1.0137748657252883e-18,4.492735240558824e-21,800.0,166.63725253409362,311.1882982317613,1337.9093153746583,8.028872866233346,4.2993561228906945,2.8,54.191640830962115,51.25993300739085,37.28169249731568,0.3015273572088217,0.0257098178539819,44.648673434089474,78.0047067553419,76.90137662564143,70.86852539184025,45.01700948196682,13.17346758133632,1.611126338242362,36.830335622469285,40.12293652626573,53.98080017707955,89.38483125540714,89.52436200868759,46.38261891731803,13.130814096800597,14.370458183393607,19.226546599901447,39.347166070512365,66.74887588109058,77.32967113372356,capture_only,1.3082301799791207,1.0013074453231483,0.39024502711746273,0.000803032734657148,5.9944200007603694e-05,0.4529903158938098,0.34704095073686414,0.007566177732585746,0.0005556305113051264,4.824372025625385e-05,1.005953294498051,2.073075453486536,7.669793366589481,7.615823021020256,8.347262298487298,10.312838354649383,10.44986822925843,8.636841690796007,8.411488831963672,8.381124240228091,9.768195577437892,15.628258269788235,20.077100907061787,21.05915428431381,0.6149244294788819,0.09809052735690559,0.037788575029027646,0.49811379234974223,0.1906978374828734,1.7730577093183535,245,TrialState.COMPLETE
capture_only_v4_trial_00267,1.8298783617708352,0.8685993400945803,0.34442878158169704,0.02021721997501396,0.11318282628856076,0.2827375109930409,0.16944135740155566,2.019460304045083e-07,749950.570095392,16968097963786.082,7.386035007457139e+19,0.21763128814311777,1.1923378349444245,0.31551884927410523,3.098080858960698,7.946505261267335,6.83725773382527,0.06356054684888976,2.48049742389876,1.2901766755889843,97.7776285730279,6.334781956661862e+18,1.078165190004171e+19,1.8522626016214203e+18,-0.7649827478154795,3.3727438961010665,4.863283323390272,3.2472938173320006e-05,0.0046683911503283175,0.0046683911503283175,12.0,22,0,4.2934800659537927e-19,3.71285479730561e-105,1.6141344086533329e-87,9.135833758398306e-106,0.24605954870705174,1.3664164763795708e-19,6.748508789295196e-19,4.481260144532585e-21,800.0,173.12006204837834,340.7866434617,1517.1312145906159,8.76346274741199,4.451850574833698,2.8,60.122821062369205,57.870811009837055,45.63487040700104,0.5524613820884723,0.04620932298914078,52.51536844228341,81.54472855690364,80.74586202528343,75.89527709072716,53.157354206277084,20.169453498841005,3.048399896511282,32.351707433014056,34.932991309098895,47.163735172494924,90.70558715515949,91.13165078905679,40.2021284680876,11.442307761057572,12.377005426916103,16.47927959385927,34.97942055995622,64.02304962041258,79.94376665524423,capture_only,1.317373083560759,1.0162677011957497,0.4093080820824472,0.000986972006716222,7.375977995957525e-05,0.4534410907548532,0.3496574721170429,0.008006469292098844,0.0006283693113512542,5.925707873717248e-05,1.0068412731534024,1.9745523943582928,6.208098421055983,6.1799299798683,6.792086338421603,8.740964490745323,8.822066128174102,6.936860339737755,6.559522591283944,6.5274750756834585,7.484250422458563,11.855218764474614,15.806868511435068,17.007774191165755,0.7642760121588466,0.0740665644818791,0.005103084536808861,0.6136235397087169,0.1973487836896889,1.7746589201212126,267,TrialState.COMPLETE
capture_only_v4_trial_00248,1.833628860916242,0.8384446833506637,0.33135290858828825,0.0,0.10517595308065496,0.3270847510483125,0.14338177544878816,1.679365437728397e-07,875818.5875585886,15228784768240.775,6.95587517359558e+19,0.22974132393715105,1.6317868544694936,0.3200773675784936,2.0857269375316,7.388380869221634,6.794393718912833,0.05733803543929691,2.757955067242261,1.0488359750252416,102.27906675396243,6.153728155096517e+18,1.1081214326510334e+19,1.7258560779340918e+18,-0.8075827784977023,3.8085032437266784,4.397440024016187,2.8024522008511074e-05,0.004746282305973594,0.004746282305973594,12.0,22,0,4.2934800659537927e-19,3.603115419007657e-105,1.0521844496310911e-87,5.871522743075617e-106,0.1629568320820738,1.2868369071151823e-19,9.10588788042695e-19,4.7269459218900284e-21,800.0,181.19954718330013,353.31116111415514,1573.4273969659537,8.683395855146847,4.453375862806604,2.8,54.32532355977543,51.22635550660808,37.353636653107706,0.3056777392042588,0.025571699656489498,44.825323507675414,78.42465936760043,77.29644890684382,71.5010947861928,45.95930759729593,13.49858225279936,1.6509271279193984,37.08481018370097,40.51961071503328,54.317364674286544,89.86372530723962,90.043463449857,46.653157483783424,13.223878249447392,14.464057146656174,19.194668567775228,39.46445834823231,67.84261544210892,78.78436463426115,capture_only,1.315098406891055,1.0109143972418377,0.3950231965034196,0.0008279030435742714,6.166956817380352e-05,0.4565209597271189,0.3509325718923843,0.007669309762137188,0.0005683137350905368,4.960706019930025e-05,1.0050561247383822,2.1721370843125998,7.274767849632549,7.243119381116805,7.933975476102305,9.829769050512539,9.930903180918344,8.185361083272817,7.894941423225091,7.888561374607604,9.165937515228329,14.568564744709626,18.658233991356624,19.56465863075923,0.811189497471628,0.09516837644944526,0.025164127297664318,0.6375879688454665,0.19391344695768245,1.7583108806776089,248,TrialState.COMPLETE
capture_only_v4_trial_00269,1.83417024669868,0.8577227064105281,0.3631828064931856,0.04451027659500056,0.10264868724531205,0.2958091198678691,0.165359568036416,1.4084965413055902e-07,707083.1246390762,16615692461457.03,7.316941324310763e+19,0.22841034031062984,1.0576367253995458,0.29323429768168424,3.0107732149091446,7.640266305609007,6.235402509864475,0.06901876953149441,2.5717303698540266,1.2835249261446269,100.38230651578664,6.069673261783596e+18,1.004726098111051e+19,1.901698850062073e+18,-0.7229059394785152,3.5218147189901914,5.021144648809206,3.509601735487499e-05,0.005290979370615497,0.005290979370615497,12.0,22,0,4.2934800659537927e-19,3.695447786446136e-105,1.6188985058031354e-87,9.142104758208685e-106,0.24738828111005537,1.3536341449974913e-19,5.972595382027756e-19,4.702633111610098e-21,800.0,174.56062774900255,334.62879338270966,1453.494132695273,8.326586306651148,4.343601511400529,2.8,58.03030357986066,55.889948269630786,43.19977986386022,0.4441194469347924,0.0372518733893317,50.3381807985819,80.69251159764696,79.95367572684212,74.88916094478526,51.22048267348221,17.999535202941193,2.5159397237255834,34.1066959949881,36.64279217730377,49.43472690208088,90.84454669776534,91.16398725580096,42.2139062922701,12.074857444288522,12.986886551718298,17.319101281670015,36.743645533177926,66.16865810677798,80.6027344695274,capture_only,1.5409507881203157,1.1815088431788099,0.4730970960403343,0.0011015524489689362,8.2284542512405e-05,0.5322954554825247,0.40767163899774184,0.00927839421732197,0.0007202747261901311,6.629971472607089e-05,1.008255988204184,2.0576215577509447,6.322049637030915,6.285750709886634,6.892396138018579,8.710232302850915,8.798678586267213,7.04593171779557,6.700335502581987,6.65176608244185,7.627894458686084,12.026593399122534,15.83108641555465,16.88125950703229,0.7112451105793942,0.07663436459137739,0.005256252011155764,0.5620674218170617,0.19752969443508223,1.8631468849498727,269,TrialState.COMPLETE
