label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
baseline_v5_C1_diffusion_escape_trial_00173,2.148685879235877,0.8852003612993459,0.7775214663883772,0.4150843229289402,0.2606547876994603,0.04001758264274462,0.007194162286605957,2.2833419594763865e-07,584314.9701318316,46195627010485.305,5.083515670109839e+19,0.2742953404454857,5.454840505738515,0.3865004594823455,1.271262172098441,1.2561376651067866,1.3621123494924654,0.0,2.756923249827539,1.193545757332875,65.79619049860614,2.3106481475505885e+19,2.5984608121554063e+19,1.7547502890186856e+19,-0.17050084892143166,3.30384337173732,4.432013762965778,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.0802386613487457e-105,2.4089378791258178e-88,1.2608213353666298e-106,0.040932585880035455,9.404503989703203e-20,2.855025590428687e-18,5.6227549299515584e-21,700.0,800.0,1.35,91.67211223440549,124.47484699662421,164.99050538869338,237.35518641245605,25.875921735799352,32.80273476221872,40.51565839206917,112.88033941583184,72.36468102376267,0.75,350.0,2.589175493257307,1.9068526062851332,1.4385990627356533,2.8,62.88255311867307,59.24575123534431,44.88676879068426,0.2919314750149122,0.02402419474551192,51.34215333110598,81.38469578946332,79.97825515342628,73.83519561298692,46.46943574519217,16.11157466080963,2.209184896406282,28.271695181414724,32.00132419207091,45.73979907072604,88.82548608399219,89.08192425674464,39.17816730443197,10.013575999821722,11.358153136972492,16.362459367476237,39.729528655859,67.09138211715387,80.1926594553474,baseline,0.6912594615059776,0.5034610377566724,0.1732098568239157,0.0003231865220244703,2.5137785223157038e-05,0.23903790508743705,0.17447081283242025,0.0032031924252912086,0.0002451652744563088,2.201840648937993e-05,1.0027398429736774,1.1407940906293856,8.15449223840624,8.249463534828115,9.20022228176578,10.88225925447087,10.894026410724615,9.33233474904673,8.362690305627497,8.489120896768814,9.741781556715031,13.797832406523527,16.796798056762047,17.598133629839822,0.0,0.0825345314179022,0.011634251787386767,0.0,0.06114250955478067,0.183900186311594,1.7554777103019767,173,TrialState.COMPLETE
baseline_v5_C1_diffusion_escape_trial_00191,2.151855592035494,0.8870798482489578,0.7820350298700488,0.4317000791238953,0.25430387085468636,0.054708090945189004,0.024683353321878106,2.473439282117424e-07,571106.4371017871,45830588942016.836,5.292408492467286e+19,0.2743421934035413,5.473853284722863,0.34190070614529,1.4811936745287633,1.3847906203071827,1.1586713655467984,0.0,2.8645906999163313,1.2275518041541071,66.92986420319055,2.2809414466728464e+19,2.531534086035112e+19,1.7957008269259827e+19,-0.14914979670943887,3.5029216149622053,4.701619402749973,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.1428884220299384e-105,1.693436278390228e-88,8.928770864354279e-107,0.028409442733532797,9.790955711064479e-20,2.886130546987194e-18,5.626219186896015e-21,700.0,800.0,1.35,92.21662394440412,122.03109969952571,154.96163486474728,202.46767830778936,25.286759741213572,29.81447575512159,32.93053516522157,80.43657860826364,47.506043443042074,0.75,350.0,2.1955659364612368,1.6591481909637849,1.3065664832750765,2.8,61.69533633051063,58.194069008433864,43.44437606453515,0.24656220757019148,0.019753901252370445,50.19164714993883,81.34777050887007,80.015980871907,73.79796786906,45.44510950847372,15.001375376123091,1.976454391782213,30.11377063753503,33.7122417739424,47.90498877334358,89.83261134388637,90.06808605138988,41.06100717796479,10.660379917662807,11.965938834217818,17.163525231555404,41.90965130291676,69.70413635931214,82.03777494911785,baseline,0.5924887600477411,0.4324763725526791,0.15128202805547977,0.00027481964415308486,2.0720286494963205e-05,0.2043328153842088,0.14932618712629644,0.002802986014417232,0.00021422807388760937,1.9011440063259336e-05,1.0038556842025623,1.1720114080510928,7.598404271906605,7.661212845071061,8.499353134065782,9.92055162889928,9.91213932707124,8.618926881574778,7.787516758082928,7.868754106748905,8.985863111354483,12.642436202595105,15.294274036490876,15.985751647659882,0.0,0.08295975881440082,0.001861152423125342,0.0,0.029143174918307552,0.19088037902878147,1.8992843672429,191,TrialState.COMPLETE
baseline_v5_C1_diffusion_escape_trial_00184,2.152452389629651,0.8890524929421953,0.777433966328728,0.4265692700206871,0.26178172449998816,0.050863097829361104,0.006568713216058643,1.965558844036812e-07,637922.1213365296,40913317708086.13,5.076199915665948e+19,0.24050814218369945,5.098625174787638,0.32478838434533586,1.3161983139220368,1.2885185022890069,1.261436836980618,0.0,2.6929636592645463,1.2800959149823328,65.69191964394771,2.267806650509553e+19,2.5232709746405392e+19,1.7630005206006448e+19,-0.1557114514614571,3.2541454796966214,4.770863187352437,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.0780214573192907e-105,1.1226248039828805e-88,5.874220785476726e-107,0.019084404923520905,9.390969843982003e-20,2.6678949077940717e-18,4.930076580332707e-21,700.0,800.0,1.35,91.24394757627022,122.6272667678357,159.30748284801325,217.3514580707198,25.552027932322503,31.38331919156549,36.680216080177544,94.72419130288408,58.043975222706536,0.75,350.0,2.382091786296698,1.7724561902062193,1.364351844527499,2.8,63.33539520265624,59.907783980322264,45.46740494139753,0.29386786296555734,0.02393583286059084,51.938932646505016,81.75872364493593,80.45585756885372,74.36584582062561,46.96246881582561,17.010363106574207,2.418172893826678,28.060871388470986,31.602255922098617,45.433472772634836,89.10205875367868,89.36691677645972,38.879063168434264,9.927074147225802,11.204402423489631,16.206465278572388,39.7461450092862,66.7019765752002,80.42553388785332,baseline,0.6860689389217796,0.4953686968204981,0.17070415109589346,0.000323876183392843,2.492178772489684e-05,0.23640811124233724,0.17087755424561243,0.0031451395629577324,0.00024509572179428566,2.234474386718273e-05,1.0043469752136827,1.159873156169539,7.917664469950996,7.99459140075862,8.92841813487174,10.603749507172374,10.609122468891973,9.037083402949285,8.077794096595927,8.168862453411052,9.368447615576521,13.288241035325237,16.287415222503785,17.15627087357614,0.0,0.0806031222388649,0.008157180583019228,0.0,0.03930328875289913,0.18756588152327702,1.8200203588350714,184,TrialState.COMPLETE
baseline_v5_C1_diffusion_escape_trial_00178,2.1535142836484433,0.894302852026518,0.7758960430649487,0.4313747757345021,0.26292194262951524,0.03311047886391754,0.0075892007515810465,2.0206891726002567e-07,592137.9760294078,43291942754122.125,5.08814178883713e+19,0.2822042968979615,5.967315442465391,0.3803847243965289,1.4413539201614403,1.267379474568036,1.2415178699231024,0.0,2.623445940546126,1.339810858073979,65.38393348581278,2.2406311934396326e+19,2.479559526355267e+19,1.7567194671510796e+19,-0.1496721248109695,3.059055032613206,4.825308601369439,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.081639887419269e-105,1.4010901852659128e-88,7.334407702535196e-107,0.023800339982870043,9.413062309348691e-20,3.123762110742993e-18,5.78493750552771e-21,700.0,800.0,1.35,90.66426873329934,122.56877431038653,159.94386651791413,218.5909765652378,25.280335247486562,31.904505577087193,37.3750922075276,96.02220225485128,58.64711004732368,0.75,350.0,2.4109936540518673,1.7834148851949017,1.366673079275316,2.8,64.61500120497729,61.358539086179164,47.63070993053163,0.3656396914927186,0.029801507231777345,53.81048880821183,82.05552254661353,80.82636318431796,75.01482879502099,48.49395855821602,18.668027962324174,2.8171837907745703,26.617660864668203,29.965123757850385,43.00854473971925,88.54143331738514,88.87471053184669,36.73941669183399,9.412097191828773,10.599546980640682,15.266029025339712,37.730741166858394,64.33757344660496,79.20712280799206,baseline,0.6229438626113191,0.45072328611825363,0.15539249576307365,0.0003057197984898614,2.341683583504358e-05,0.21504453417529099,0.15587397339087347,0.002870861648449875,0.00022527299052168477,2.0901536675487493e-05,1.0037349512662024,1.1147674138890247,8.144394067743189,8.225613869852184,9.205352833986035,11.092621271323644,11.095464544085688,9.318116249697711,8.317335727382394,8.418215861650486,9.665043189762372,13.772429413277129,16.99417331808033,17.97567249969668,0.0,0.0796093121966697,0.01280356018178732,0.0,0.03950741509368459,0.1919796186000452,1.8057367782447713,178,TrialState.COMPLETE
baseline_v5_C1_diffusion_escape_trial_00186,2.154225769999936,0.8904960507055634,0.7888879783287899,0.4323222514699828,0.25721870774220457,0.04702560680360673,0.002388565917705716,2.0519068778712456e-07,575097.9800377495,46510831755731.336,5.027575141803643e+19,0.27998279745625027,5.991663639287743,0.3561174478643686,1.4862241215915764,1.2838440805088276,1.1533556616485812,0.0,2.874248410737088,1.267642858206385,66.51882103460373,2.331320919774057e+19,2.5869565843298746e+19,1.838323561758107e+19,-0.14836718664028203,3.4713066137154747,4.850662965745645,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.0632438438109493e-105,1.3435961239298962e-88,7.018383812345121e-107,0.02291160668297834,9.30101401233674e-20,3.1297943143804463e-18,5.7386484182107576e-21,700.0,800.0,1.35,91.53438609574555,120.81048165302296,152.51929733958127,196.9852039800202,25.015565061141814,29.276095557277415,31.70881568655831,76.17472232699724,44.46590664043893,0.75,350.0,2.152035015278001,1.6305307394252175,1.2915428238659954,2.8,61.77130108215318,58.26285491743719,43.3371650361373,0.24454895740178278,0.0195630491610776,50.04790413563716,81.16027759064771,79.8310931712563,73.49941474344915,45.00490125838396,14.722197325168942,1.9255556498317834,29.727551799012556,33.33261715236799,47.63818192879517,89.38637276814404,89.6230939982921,40.82098431207677,10.523424080259556,11.820920540499365,17.04938840268696,41.74002674205838,69.25589272436461,81.34167109040871,baseline,0.5901697868375705,0.4246356393596824,0.14534547676482018,0.0002610754622017946,1.9625422176376902e-05,0.20384316026090013,0.14688875434839452,0.0026793571663681014,0.00020406510833167798,1.8043963401209577e-05,1.004368280549564,1.1525300423476361,7.910977331996686,7.979892290835149,8.87930755830271,10.368817198991978,10.357323327124638,9.007349616242571,8.11245516883183,8.201097533895934,9.400487325582365,13.252392642391293,16.02170588535811,16.732755215796104,0.0,0.08409980455313745,0.006500858654585234,0.0,0.02642942251903641,0.1956573971670308,1.9432100869840174,186,TrialState.COMPLETE
baseline_v5_C1_diffusion_escape_trial_00197,2.1547489119422725,0.8925900371357376,0.7443134497461288,0.4149356789626568,0.25135701795123355,0.057389784535578824,0.01696140731894254,2.705655319439522e-07,572633.2754787077,41953821836139.49,5.19913879789889e+19,0.23475407597218806,5.488260004077791,0.36938387741614676,1.2625495680965435,1.3614016675868226,1.3936077661782167,0.0,2.62709792761047,1.2179664496073983,67.2177531548546,2.065074281742571e+19,2.3174250391576883e+19,1.5644464672074787e+19,-0.1706449881983005,3.207053517905392,4.422040840414586,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.1150712894613042e-105,1.1095295539780523e-88,5.830933680619378e-107,0.0187184598321913,9.618406776112946e-20,2.884256664550863e-18,4.81339340703347e-21,700.0,800.0,1.35,94.2566154262705,129.6076579482848,175.68651225324646,261.7176588665314,27.038862271415894,35.35104252201431,46.07885430496165,132.11000091824658,86.03114661328493,0.75,350.0,2.776650293275727,2.019307061091716,1.4896855513260676,2.8,64.15254411800943,60.71150439457907,46.82040505847403,0.34681305670535545,0.029571982782293782,53.08873206649576,81.99846253627986,80.65821584808411,74.75601024009336,48.3026951381638,18.10244409940481,2.66898943326744,27.22645492038991,30.750461192580385,44.01110599509387,88.85677675998195,89.13087287870573,37.652935990283794,9.628428055541475,10.912708079792312,15.712825073660532,38.226303098150794,65.33879948262884,79.8577130454214,baseline,0.6496151238209743,0.47534101436076776,0.16536618153663812,0.0003245553543311561,2.5808624912315963e-05,0.22424203401304194,0.1643827636873292,0.0030637974525433175,0.00023858480742356875,2.1974843105222992e-05,1.0029233927933934,1.1769142033630036,7.971385837779669,8.06269339847978,9.003122764895448,10.796085627958362,10.839529329887077,9.118223484150162,8.148867374165626,8.264693308436254,9.473569122688373,13.467937966232848,16.55851783315892,17.47327554646805,0.0,0.07947331727601659,0.009901796466026442,0.0,0.08042509726197283,0.18681653720001276,1.6910771405544227,197,TrialState.COMPLETE
baseline_v5_C1_diffusion_escape_trial_00188,2.154770251323004,0.8853015436780539,0.7897868838785881,0.4352369579470547,0.2588485753625709,0.047172444503912905,0.023802114233508736,1.97862556143241e-07,578262.591666119,46020398942937.97,5.281680406280927e+19,0.2859701024233396,5.9561701117555295,0.33163208017890944,1.5944769081433876,1.2792550838705543,1.1400191076486648,0.0,2.8231135761309045,1.3379448727133867,66.14437539039042,2.3289543826606227e+19,2.5753808419611636e+19,1.8458222719067025e+19,-0.1446515787603518,3.3840460621650026,5.08623658000377,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.1397013776030462e-105,1.373237571709884e-88,7.237773505453924e-107,0.02305242644120341,9.771108751619715e-20,3.1392536234763164e-18,5.864551976982228e-21,700.0,800.0,1.35,91.01784145249037,120.30962636589008,151.93161174931072,195.51456446907844,24.87346606209995,29.29178491339971,31.621985383420636,75.20493810318835,43.58295271976772,0.75,350.0,2.148090543007806,1.6250949352504205,1.2868590164874982,2.8,62.06645278978938,58.85860693150988,44.304469618068254,0.2638670601620394,0.021104628634002035,50.98598731795181,81.42376647619258,80.23947917558687,74.1476020164704,46.051349987343634,15.613675343811225,2.0991213634447794,29.651839940284038,32.966307310038786,46.91921371365521,89.5885562001734,89.84246731623183,40.14716888449006,10.486168345398163,11.667127235001177,16.71601949026616,41.11857340490196,68.80102361998635,81.57624318556432,baseline,0.5608307537562468,0.4059803551218127,0.14185696140261062,0.00026294412222930153,1.9776197324433545e-05,0.1931472970823609,0.13994163731203568,0.0026276480667636807,0.0002025916890076594,1.8131625812607424e-05,1.0054663879625396,1.1477626133817351,7.7208765161703266,7.769105403329508,8.63445970687392,10.147313795542344,10.136408278936843,8.74656291435381,7.896917881326889,7.953451952099934,9.087124647200035,12.827448959687654,15.585098444513415,16.324617319365093,0.0,0.08148051378408001,0.0037004874801680795,0.0,0.025384436151962852,0.19888405435400203,1.9885778374295944,188,TrialState.COMPLETE
baseline_v5_C1_diffusion_escape_trial_00194,2.154876094482133,0.8791182420517121,0.7968176057973106,0.42333466729329944,0.2671068274253408,0.0505142221998245,0.02596202317949218,1.907294850316846e-07,625613.3429476395,44988997859874.74,5.308013607187991e+19,0.2527005266560202,4.777748985141419,0.3459746501847042,1.5085105376749646,1.3699435595396847,1.2824124010462716,0.0,2.771029381385807,1.2618301273404808,64.81572221573884,2.4294693682041565e+19,2.714843607016269e+19,1.878787703586977e+19,-0.1598671072836123,3.360315418641756,4.799452985080563,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.147518547824212e-105,1.132667072851508e-88,5.975342762145457e-107,0.01898429722130164,9.819825173297783e-20,2.520483600343461e-18,5.182561584466782e-21,700.0,800.0,1.35,89.78365784145072,120.06469971538405,155.00701455122393,209.85623290325987,24.967935625711874,30.281041873933333,34.94231483583988,89.79153318787581,54.84921835203593,0.75,350.0,2.337354457910879,1.7478595573947096,1.3538499113142415,2.8,61.90363049185516,58.53024540947496,43.94318176032115,0.2585527763165564,0.02090270946223429,50.624239803636684,81.34825422328342,80.07439819416292,73.9281388210957,45.95063060493733,15.565597097993205,2.089002671386434,29.690888045776546,33.198903248536716,47.26012826863078,89.64314083540285,89.88318596722601,40.487278815607795,10.51304261539281,11.781864128914275,16.90884904068803,41.21493349693884,68.85415605664468,81.6004597178298,baseline,0.6983357305787549,0.5082238566406745,0.1778839409068201,0.0003282578512885953,2.504389287152845e-05,0.24137900489019595,0.17593089420199717,0.0033117133601334105,0.0002541223186616719,2.269381397248016e-05,1.0046130097751964,1.160271378916564,7.707145731789538,7.762627485347659,8.618806030141238,10.097978130429304,10.095886279418883,8.737386515487927,7.897324156433573,7.967806782720801,9.100925945044544,12.831124184763695,15.579992723043448,16.31051491696979,0.0,0.08266185654502328,0.0036681960622810435,0.0,0.036620236222212256,0.1810739196632049,1.8695933734500239,194,TrialState.COMPLETE
baseline_v5_C1_diffusion_escape_trial_00189,2.1548930365963628,0.8979080859864572,0.7583737180337151,0.4404804665536605,0.2539911528450769,0.042506959576531965,0.02497315782029547,1.9527319721078405e-07,573587.4082614658,40928400851039.12,5.295941292689893e+19,0.28015153628760914,5.984280753274778,0.35275450715648093,1.4703869486534684,1.2819713954652356,1.14731448226782,0.0,2.5912575062710332,1.3948274714437119,66.79014750819005,2.0762744322930917e+19,2.278161189587908e+19,1.6579588898675954e+19,-0.1380106912676465,3.0456709760630924,4.990227083167219,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.1439372209504397e-105,1.4163885937048064e-88,7.468941698096719e-107,0.0237566502547363,9.797491391476303e-20,3.15564840396949e-18,5.74540019485387e-21,700.0,800.0,1.35,92.40338340694318,124.35431165395157,160.89968848465693,214.3744202868243,25.613235898753132,31.95092824700839,36.545376830705365,90.02010863287272,53.474731802167355,0.75,350.0,2.3199845328468376,1.7239001803441865,1.3323482618629594,2.8,64.96914389109352,61.96178669378051,48.571105577382745,0.3929442983591624,0.03193267034989427,54.6848805735158,82.28460468036091,81.1613817914843,75.53532934705568,49.329281556203064,19.70800756855333,3.0971174538119968,26.393562388709057,29.499341942365472,42.21374204483241,88.60911871081306,88.96896083805869,36.02437991721845,9.321850350318078,10.426003662118681,14.948705852325189,37.164968997183365,63.54391705403588,79.10322476271595,baseline,0.6003906746732687,0.4367166356118875,0.15324706823956322,0.00031020426729836374,2.365072217461196e-05,0.2070442570680573,0.15078908621076145,0.0028428439407764397,0.00022563940791840543,2.123045872375696e-05,1.0044982180938373,1.1292525124988282,8.036903045524147,8.102154728242134,9.061905309545267,10.997626786560472,10.999082840869244,9.160873125482617,8.186500712252942,8.261825460186243,9.462791281585709,13.502906602672791,16.74784973800287,17.799636553013336,0.0,0.07914840400360688,0.011119573835496598,0.0,0.0333055287117793,0.19543571523535277,1.8459147784081178,189,TrialState.COMPLETE
baseline_v5_C1_diffusion_escape_trial_00187,2.155381242241295,0.8830298514352384,0.7925512092178332,0.435777432531647,0.26030144992391474,0.04700275847924492,0.023804788337549905,1.9861128250789405e-07,578330.4847924296,46384164801942.28,5.281712927547002e+19,0.28255387820883754,5.480457456741146,0.35030654877952705,1.465306210531896,1.2809368582068774,1.1389324850172404,0.0,2.8226051796578786,1.266149667152495,65.9611323646087,2.3479952659561603e+19,2.596193052200076e+19,1.863679487089304e+19,-0.14396575824611937,3.3973255513236227,4.80694733597732,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.139711043741365e-105,1.3550682597685182e-88,7.142018647208509e-107,0.022747375626955422,9.771168915961954e-20,2.888528239748203e-18,5.794493916642808e-21,700.0,800.0,1.35,90.6648237490683,119.62308294013404,150.64070400501075,192.72663575560026,24.703691384459603,28.958259191065736,31.017621064876707,73.10355281546622,42.08593175058951,0.75,350.0,2.1257046314787633,1.611115773132609,1.2793795477030538,2.8,61.89915359178551,58.51839226621946,43.96967867231401,0.25915566604826423,0.020698979830107645,50.62919331214333,81.24706423365593,79.97176563585931,73.82383358573264,45.6120454702292,15.324169026579609,2.0476537576924168,29.601701530828205,33.09431965842754,47.06386461625378,89.41682907187597,89.66785961183113,40.30689339569095,10.476653478989494,11.733016449430844,16.81941710837213,41.26851180275602,68.77003024424238,81.30625394496191,baseline,0.6367929050439161,0.4635802454166017,0.1618484147341192,0.00029664755854976816,2.22789185067124e-05,0.21947115082044508,0.15999820367339662,0.002997881948375038,0.00022993022486333874,2.0493649140761708e-05,1.0042879755567067,1.1500526156952637,7.862351972342369,7.923707829936418,8.804608296698085,10.323718614517226,10.311419129420266,8.926550529715245,8.05681113653413,8.13521971103644,9.300410954226361,13.116444845066404,15.905570798953153,16.646071803696525,0.0,0.08303380247737169,0.0057385920822130305,0.0,0.024050784222679752,0.18949764851076767,1.9037195564233484,187,TrialState.COMPLETE
