label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
baseline_v5_C4_microstructure_escape_trial_00167,2.078692935496563,0.9260711540480416,0.6724458184791068,0.4752535834592463,0.18545189566197362,0.01978865553527375,0.016702343374698964,2.6058618890908287e-06,363380.9404356847,40515751006590.99,4.811357869172627e+19,0.576563651421459,1.770096201233097,0.5994653170454167,0.35978906732312876,1.8611992918092177,0.6948170569380349,0.0,2.826741565059332,0.729603002370192,79.22350432029023,1.357173431784911e+19,1.4443241816365074e+19,1.1639915553440055e+19,-0.09371485293846751,3.3108603726081465,2.4180408168141243,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9966506428249495e-105,2.3098985680751286e-87,1.1973546957118062e-105,0.39956432645183393,8.90101205796936e-20,9.175437517908991e-19,1.1811904468852356e-20,700.0,800.0,1.35,108.00704813636423,142.20540430708303,177.43799793991204,216.5852614423784,28.783543816074,34.198356170718796,35.23259363282901,74.37985713529537,39.14726350246636,0.75,350.0,2.005288221273567,1.5230452210851078,1.2206250293453111,2.8,67.57888158043309,63.93219971424302,51.65193121039975,0.5758736702968243,0.045085637725430346,57.058258354678536,82.95404980293152,81.4574543443597,76.00916821260945,50.10607159006872,21.717913895098828,3.8954666882697078,22.463561191575845,26.38324809915002,38.54608123646296,87.81450393030092,88.3568457681932,33.07219229260683,8.119469218192135,9.505193243351147,13.910379972459763,35.56996659614382,60.50690782557603,77.09179687462614,baseline,2.035737274796315,1.5241302162671584,0.5228117720260518,0.0010801084414115251,8.077450402661883e-05,0.719839775633474,0.538817039976282,0.009926826792325497,0.0007776286531284588,7.42119603091537e-05,1.0000814100393218,1.1020426528010223,7.9218199531947375,8.160421970339797,9.279175781111233,11.608542290960846,11.59798781957735,9.423261572820815,8.206641203242869,8.498535372312872,9.894590005530265,14.314034986995134,17.774400650672025,19.012662225143846,0.0038611698674681466,0.08109975181398156,0.018724833072217548,0.0,0.016256620876935624,0.10322768404083578,1.1932538728548296,167,TrialState.COMPLETE
baseline_v5_C4_microstructure_escape_trial_00187,2.086076171708911,0.9262099068441944,0.6677469448119849,0.4949515557988735,0.18620671668758218,0.014475710562895592,0.030987342741688576,2.997124131076219e-06,295058.5517845604,45096774136713.06,4.6556750622848025e+19,0.5656851287858997,1.3480243228072852,0.6761406930251209,0.4621572494668948,1.9986251786956417,0.5516104985629577,0.0,2.60115788631188,0.7743480721644739,79.11498588975778,1.2540124256647617e+19,1.3120264135534555e+19,1.1199830395882836e+19,-0.06873113228899701,2.959274430136705,2.4708770815194545,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9477701385267474e-105,2.405976665803974e-87,1.2402280283012532e-105,0.42073430763536435,8.612998865226884e-20,6.948768754657678e-19,1.1585010985405106e-20,700.0,800.0,1.35,107.00637050102948,139.9802330063139,172.93025916165854,204.14932454763843,27.891384611271704,32.97386250528443,32.95002615534463,64.16909154132452,31.21906538597989,0.75,350.0,1.9078240257263408,1.4584153788230236,1.1805298016514028,2.8,70.06427064893352,66.88945199547071,55.774283817917244,0.8786321786137878,0.06905052656909605,60.794286264568285,84.24499354237012,82.9552671213464,78.09227295414097,54.15902607471124,25.858873904219053,5.4661570606210805,20.306807383698395,23.82493770342834,34.96872302396604,87.88890813314057,88.70750058146459,29.91383149936571,7.342577968259475,8.560996571873996,12.511015292433187,32.42926375984611,57.30315388298636,76.27037422833733,baseline,2.2684572803078957,1.6872073309844966,0.5734812512314703,0.0012856594608629702,9.594778794389293e-05,0.8034309550790513,0.5965118689463647,0.010839781079191108,0.000865432338230978,8.633315598846249e-05,1.0001136109113604,1.0795735255549068,7.360464687060201,7.598402970116465,8.683511906885252,11.23117402878478,11.223352944178382,8.803084011795105,7.608997534291347,7.887224437833252,9.193774107948807,13.400870384363454,16.83710678045635,18.263382377885595,0.018653657504003242,0.0863578917589054,0.011737685631808959,0.0,0.008313759222429579,0.08495586389840641,1.0858286305339355,187,TrialState.COMPLETE
baseline_v5_C4_microstructure_escape_trial_00158,2.087475228175398,0.9377785550246966,0.6382931318381694,0.48731840457622244,0.1622653807804741,0.035405301357768974,0.029532760615711296,2.6984913829992803e-06,369396.61736789567,31046910742077.5,4.671294453077686e+19,0.5040072380091359,1.8759351474531347,0.5140902443588653,0.4385504328081147,2.2749325946686807,0.5928564646912894,0.0,2.662668226202854,0.8077796213415488,83.95059130678118,1.0743781521399628e+19,1.1303432273823277e+19,9.437243241945555e+18,-0.07836518751904893,3.1626153450655394,2.590613874620082,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9527107562389286e-105,2.486664142329784e-87,1.282539190254049e-105,0.4343599140363168,8.64189473819372e-20,9.675453568608914e-19,1.0322234570441418e-20,700.0,800.0,1.35,114.78786974461184,151.7652730530621,191.13891219465046,235.38460858223414,30.837278437830662,36.97740330845025,39.37363914158837,83.61933552917205,44.24569638758368,0.75,350.0,2.05060525215717,1.550978058728468,1.231484504539427,2.8,70.64370055472192,67.1813806515281,55.53116859234494,0.8204071680762655,0.06532378282791965,60.566362856315415,84.5475312515596,83.1210519815183,78.0084277546103,53.825908513291786,27.068457044430478,6.088123206619874,20.311321357536535,23.96152856857846,35.335710122880485,87.94352123129477,88.70033911984785,30.254423153646123,7.273917659832077,8.574529765346577,12.66936787692343,32.83013753122011,56.057207544798054,75.43224945549318,baseline,1.6316099854124355,1.2121654343394246,0.41170793616532614,0.0009199288869389402,6.934035451508256e-05,0.5710558709126117,0.4243554310908908,0.0077115993120716745,0.0006229508863762111,6.336952431032611e-05,1.0002076693903823,1.1302584713978578,7.4133681023291125,7.6449253455540145,8.721413348609246,11.235151671742019,11.234267756969704,8.828790900561133,7.607495217695706,7.880062822044229,9.17737937329197,13.336242356176037,16.873712459885102,18.47956396836265,0.0038631679224209255,0.0910102717799257,0.012232383221728158,0.0,0.01880273405877168,0.11167070183446304,1.1729903115829003,158,TrialState.COMPLETE
baseline_v5_C4_microstructure_escape_trial_00157,2.090214535768392,0.9279448384746319,0.6637432691382792,0.48842822015701975,0.17994039062835643,0.029888117095422932,0.02732533600612735,2.463435170067208e-06,363850.7592072649,36698310946694.68,4.695098072180183e+19,0.5000827661022511,1.9045954921566073,0.511885896307845,0.395304498212538,1.8632161879896696,0.5828494090540639,0.0,2.7300979350740286,0.7763967449305088,80.4838680310031,1.2501527954878243e+19,1.3153655777545271e+19,1.1017584897268836e+19,-0.07696006677218263,3.2249939079504415,2.5400292568672316,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.960224293632777e-105,2.4651469317517547e-87,1.2725268933401396e-105,0.42987516049957786,8.685931433533339e-20,9.831661364628745e-19,1.024240745664781e-20,700.0,800.0,1.35,109.35444423269529,142.8502976294865,175.9770532835175,208.84823548218424,28.870576201692188,33.49585339679122,33.126755654031,65.99793785269773,32.87118219866673,0.75,350.0,1.909828511750068,1.4620077028042169,1.186792434498308,2.8,69.06174594694075,65.45659961286256,53.337413300447075,0.6617901075484725,0.05181906297036332,58.60176427848851,83.79213638162558,82.30738832115289,76.96096317386609,51.68852588693937,23.853737212791025,4.70809151730648,21.560936761905477,25.373631593791767,37.248207592489734,87.96792594769441,88.59103942777088,31.926952027390175,7.732154859826573,9.089612161700995,13.389517715083578,34.552196147943874,58.951189117437934,76.70073374398005,baseline,1.7312987658306003,1.2877563530550067,0.4377406634893621,0.0009310380152299968,6.949140724619018e-05,0.6062789500792672,0.45108984525460066,0.008193726433728789,0.0006525804975665942,6.410128218474999e-05,1.000185949459317,1.119005108245905,7.646018525323199,7.8820124402906515,8.976638443573828,11.369352906741884,11.357072017851507,9.098695247028555,7.869429808468589,8.151909671891518,9.495330042716644,13.751084238683033,17.194421089273483,18.591110637431285,0.009709854838341888,0.08283689930317743,0.014373441762824433,0.0,0.010255394148383251,0.11140116685088106,1.1833194493103163,157,TrialState.COMPLETE
baseline_v5_C4_microstructure_escape_trial_00137,2.0915801186774035,0.9223895614139554,0.6643123281004149,0.49473862150430414,0.17716484824561549,0.024416874876019606,0.025874679515913455,2.2087550253799414e-06,295827.3204204137,44153329571034.3,4.710807142094062e+19,0.5886946174926722,1.1481139672295302,0.7522651071682545,0.31723247089476064,1.808282950337637,0.5265807888259946,0.0,2.735360579820843,0.7094491830842884,80.96056955935916,1.2305671296647459e+19,1.2881496491795716e+19,1.0990018878306875e+19,-0.06896788113326052,3.1932020479671044,2.308190427782747,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9651723838730792e-105,2.4302159614706346e-87,1.2552015347540368e-105,0.4233148607415886,8.714993212874015e-20,5.929984974944235e-19,1.2057728752706572e-20,700.0,800.0,1.35,109.42821246781769,141.87215979940893,172.44325036949814,199.69890838604354,28.46764290845853,32.44394733159125,30.57109057008921,57.82674858663461,27.255658016545397,0.75,350.0,1.8249307366212715,1.4075975770608908,1.1580558123217004,2.8,67.00849527165485,63.94390185656972,52.83981721501167,0.6762150233812487,0.05243308959580668,58.023060912263595,82.30598202200244,81.02183776687751,76.01126882996444,50.66092546223693,22.05339779427922,4.106681104847708,21.21210442718212,24.88587023993066,36.467738408245765,86.85296749578794,87.49431535783043,31.25904440004335,7.790780582190687,9.073756007390065,13.193376402804319,34.04850325938354,58.962143078618595,75.52537571120658,baseline,3.500840208676848,2.6134727943955576,0.8918139006511375,0.001886006981445464,0.00014026129067824312,1.2549133072158576,0.9332878362951764,0.016941415955288582,0.0013320966766960424,0.00012785287718552864,1.0002237772144709,1.096993515901939,8.278560092486197,8.556755109104058,9.800630476091419,12.468931473849368,12.453111291283093,9.956973924634099,8.648324088591014,8.971118389437258,10.477850340198643,15.273629862424238,18.98312703042549,20.367815331068527,0.02439615209690936,0.08625932913689795,0.029694877358314133,0.0,0.005529272343266221,0.08936426726324162,1.1073602081433678,137,TrialState.COMPLETE
baseline_v5_C4_microstructure_escape_trial_00122,2.0933930160543466,0.9060093863784654,0.7311116102772647,0.47746716480505447,0.22389139974899702,0.0,0.03180040202462595,5.370520588473389e-06,362958.5210089461,52271195938165.08,4.646967148977423e+19,0.6602338297686647,1.7774881167570253,0.5494037750605619,0.3225477712004443,1.5400872652541377,0.7218334621381327,0.0,2.7266230490236225,0.7101773673384273,71.93363347449035,1.7488014277864825e+19,1.8576903164529807e+19,1.5067002049640368e+19,-0.09094646991540434,3.0377014255086086,2.3506837838326833,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9450121130614344e-105,3.0785271721425534e-87,1.5864170753784602e-105,0.5386793040145865,8.596889225608233e-20,9.159696640725549e-19,1.3521066265484302e-20,700.0,800.0,1.35,97.47991199170212,127.71015708889786,156.86133202221265,184.7675625678314,25.546278517211775,30.230245097195734,29.151174933314792,57.05740547893353,27.90623054561874,0.75,350.0,1.89544244339859,1.446772651287371,1.177903822349711,2.8,68.48018219914613,64.70859203772211,52.16270843466447,0.5813667574319737,0.04492445953003529,57.598801039873344,83.61999900620094,82.12616107138649,76.67927232610498,50.46604321188255,20.98348570679557,3.56486543329266,22.48687859670134,26.465006495048517,38.804847455912835,88.62995176274478,89.18178472392607,33.300398471369455,8.186294632310403,9.556297642909653,13.99995460868603,36.25193430852841,62.60690430939541,78.98795606912093,baseline,1.7086877618168006,1.2717543404138454,0.4320546211492881,0.0008927826225810643,6.639023849513815e-05,0.607195553933906,0.45124012341631126,0.008222799917649607,0.000641137184117412,6.051357934015633e-05,1.0002498463754177,1.0500108625214326,7.324251442335715,7.55464712681552,8.600389488273407,10.787788697200666,10.773224426305385,8.731754338744405,7.586510807554746,7.8663011622875425,9.16709914279777,13.273799679671379,16.4089688466249,17.44711798400708,0.014070910419991318,0.07213554401787528,0.008911101415110267,0.0,0.0077212696654998395,0.11054491482123949,1.1032171320906556,122,TrialState.COMPLETE
baseline_v5_C4_microstructure_escape_trial_00148,2.1005263373503724,0.9489821531076021,0.6504707451029667,0.4783204692236564,0.16118522732546162,0.029357198616923874,0.02441328980869978,1.7782090026675852e-06,283821.8542362478,45543815494625.39,4.726685586670967e+19,0.6523468014528049,1.828644558332272,0.8670109526725558,0.3845877614817196,1.8655602582039015,0.6337198302292915,0.0,2.976953619497661,0.7040716485057897,84.08980990869765,1.195235123559725e+19,1.269480783904683e+19,1.0323259984253053e+19,-0.08980926646772995,3.5321472001296943,2.3499427391227656,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.97016544729583e-105,1.9347680517449716e-87,9.99872051120216e-106,0.3366385034310273,8.74436833534129e-20,9.450283116161974e-19,1.3361936540713804e-20,700.0,800.0,1.35,114.23800203350552,149.2930116805707,184.53640895664643,222.30559074566406,30.148192124807878,35.05500964706516,35.24339727607574,73.01257906509338,37.76918178901764,0.75,350.0,1.9459863336936054,1.4890555709420081,1.2046706230090933,2.8,65.70469884303765,62.21802666978431,50.057771428027905,0.5284631615244478,0.04128781584966278,55.486667501430574,81.48917769244677,80.02941159350142,74.49858817669949,48.248259503205986,19.422762327685863,3.2338541760345056,22.893731336348445,26.750909082258215,38.895284420658015,86.56495886695346,87.06761132536137,33.37290680306849,8.342057139395077,9.696575371741416,14.073722879200917,35.5437290972781,60.65588562187444,75.63258757964309,baseline,2.541048361746188,1.8940933598254883,0.6438550956261653,0.0012827381727436682,9.555146399989603e-05,0.9065995669405856,0.6742636933983424,0.012150561422117347,0.0009338769655641973,8.68424140566516e-05,1.0002949699211172,1.1152693859569653,8.860521458867726,9.136970888131984,10.403089055687927,12.90529523334934,12.891005307324969,10.58893474456099,9.262165601217562,9.599749341358827,11.198068654996296,16.195860838093797,19.92041817347413,21.13347140190835,0.016152800154236088,0.08662679929304225,0.03888074091813945,0.0,0.014485419362450486,0.09512549108873858,1.2608371049245466,148,TrialState.COMPLETE
baseline_v5_C4_microstructure_escape_trial_00188,2.101327622511888,0.9524123391651816,0.6611060429665359,0.48810843561140776,0.16720479606092573,0.033437151080969334,0.045486002084439724,2.42877976709654e-06,284954.64170399006,46249088386654.53,4.502813943374334e+19,0.5664632933677924,1.4133075340087724,0.7034905609869404,0.4353905396504246,2.0284035190842076,0.545831803540507,0.0,2.9629330167413346,0.7215615938761635,83.10721663394702,1.2323015981661428e+19,1.2980327944711354e+19,1.0862555110481416e+19,-0.07735367211579607,3.5328888020058686,2.4101426746960137,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.8989737667958706e-105,2.160758109616313e-87,1.1077127843669948e-105,0.3821051425350803,8.330205795242518e-20,7.245321985354954e-19,1.1596920778513765e-20,700.0,800.0,1.35,112.46397995692347,145.5013737024593,176.839398546446,206.6092321402125,29.356763322976448,33.03739374553582,31.338024843986716,61.10785843775321,29.769833593766492,0.75,350.0,1.837114711922422,1.4199813162088404,1.1683438975616487,2.8,66.99355649194555,63.39712163341495,50.955695590979005,0.5386012564837417,0.04182739975505745,56.482347462625825,82.84755209291811,81.3644171520975,75.85497407846283,49.611699242963404,20.391950209289924,3.477003573161146,22.894802864447364,26.87930242460947,39.40616136609808,88.24127486466323,88.75512255207944,33.81384209880198,8.293581705870439,9.701594575616827,14.241666334483005,36.38576761781142,62.38915422755118,78.20443733970687,baseline,2.420546134968005,1.7844256876462536,0.5961978461590637,0.0011891967811988498,8.834424433209959e-05,0.8576363529473324,0.6313413327425209,0.011183454385669377,0.0008673565042730921,8.138710475304696e-05,1.0002633591169927,1.124379091658542,7.691094508639057,7.939150254329325,9.041945196763855,11.218934682071842,11.202961703921165,9.194293566745039,8.00122984826413,8.302646939543143,9.691639772654911,13.991349684839507,17.218028206654623,18.31847770002724,0.02722919889583674,0.07674881031625856,0.01417191403227795,0.0,0.00800680355469719,0.08786938597624382,1.2738881300079097,188,TrialState.COMPLETE
baseline_v5_C4_microstructure_escape_trial_00136,2.102933017849326,0.8969299871371016,0.7384305707100961,0.49631632432984185,0.22339816654724462,0.003987545006089058,0.025215543886654448,4.992552196046415e-06,299889.10108673986,61332698987860.19,4.717962237201136e+19,0.5921945898300316,1.370059684611876,0.7610397011189171,0.3310558555470221,1.6506059567673752,0.5354703703562697,0.0,2.744202067896666,0.6760544963407059,72.33782390580645,1.730737317744113e+19,1.8111998583691762e+19,1.5522966147698039e+19,-0.06699166516557029,3.1244563770274283,2.247755155581962,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.967423382457489e-105,2.3881315245688654e-87,1.2337811250433578e-105,0.4157752251792242,8.728230138822101e-20,7.078143568169477e-19,1.2129609886947574e-20,700.0,800.0,1.35,96.7969795566946,123.48835054315258,145.75810441433535,162.35948000903863,24.45915565088815,26.691370986457983,22.269753871182772,38.87112946588606,16.601375594703285,0.75,350.0,1.677319692748715,1.3147756796079535,1.113896758340873,2.8,66.95678787829554,63.409007769439924,51.203764757728564,0.5371113949557157,0.041065619341650976,56.682900238444915,82.59432778240141,81.17709051989877,75.86532405046172,49.188586130863825,18.985550237873372,3.0312392828837025,22.978783445002044,26.908515206947552,39.241815431426765,88.35228028536305,88.87003666219954,33.6985059905753,8.54118065957117,9.898775105640546,14.297994828849228,36.89215581467547,64.00569306151789,78.98947081909115,baseline,2.458709505193439,1.836654675962264,0.6267786267484072,0.0012592098339569361,9.319486096954248e-05,0.8919920119781238,0.6631363876401147,0.012009115192266943,0.0009249697577849438,8.51762320603014e-05,1.0001505511788766,1.0624143247586935,7.6057191715089685,7.845822347650258,8.927641184096274,11.109349109847273,11.088804523597844,9.083815287274446,7.972499546049297,8.260997986820573,9.611609953030603,13.90724893926843,17.00783173085095,17.97920472179308,0.033522957064884666,0.07190428395852116,0.012698642855694333,0.0,0.0,0.09409686284074681,1.0804213945828203,136,TrialState.COMPLETE
baseline_v5_C4_microstructure_escape_trial_00156,2.104468673138367,0.9466200956476386,0.6674329595601702,0.4846231874791478,0.17448675111905196,0.03868222902543607,0.028691964725907203,2.4809430118202672e-06,368202.2683118251,37556532185071.8,4.68034685812671e+19,0.5082359026580463,1.7831594954643863,0.5129257545913346,0.36113649001877557,1.9182725373375409,0.5795710750139478,0.0,2.93972450852967,0.7279201961359297,81.66815996049121,1.288426686579144e+19,1.3610404702272887e+19,1.1275056633962519e+19,-0.08175230705074331,3.565738894691528,2.4579633841074098,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9555703701103552e-105,2.436353243822746e-87,1.2569985062227152e-105,0.4252981146836241,8.658641687534414e-20,9.199933662487641e-19,1.0409050739175614e-20,700.0,800.0,1.35,110.84544915878254,143.54999124784248,174.65460051131393,205.011792950046,29.177289198291334,32.70454208905994,31.104609263471446,61.4618017022035,30.357192438732056,0.75,350.0,1.8495282801946447,1.4281560811528593,1.1738127272334034,2.8,67.03507980671286,63.155822991961074,50.21660406856683,0.48132938241228035,0.03732170991287624,55.814878324274595,82.96595945222016,81.35804478173313,75.61939449759922,48.764686394795234,20.37920184643197,3.505656927000363,23.376321462522196,27.510488551900142,40.30755934623901,88.41912890811594,88.88155397606526,34.63860505806997,8.41196107725655,9.904118610568737,14.613356795680259,37.41909557292199,62.58762133393423,78.30476218395196,baseline,1.8937663281730595,1.4072625048003218,0.47657022542797967,0.0009457736700442812,7.038611570696617e-05,0.6661848379496117,0.49550876455672616,0.008978173021977056,0.0007020307698092536,6.615808093638781e-05,1.000088252300933,1.1450938310907168,7.6948324025918815,7.9264259513384605,8.999266359766175,11.09859593580173,11.081053927906138,9.13959464175072,7.955894632573678,8.242327843141418,9.598004384719733,13.807239859260799,17.03247478886399,18.18951473096674,0.015849760859308108,0.07716236641085888,0.012910258867460583,0.0,0.008980988773730648,0.11157278888088383,1.2782635606872261,156,TrialState.COMPLETE
