label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
baseline_v5_D1_resolution_trapping_pair_trial_00177,2.026859597861611,0.778064138319251,0.701974669966695,0.4669387423420324,0.21559026150502353,0.040821926346859785,0.04281827851420098,2.7772403438123174e-07,760725.7379100693,22840698802905.984,5.5180836891248935e+19,0.8903910743806086,1.440922111500185,0.02487600576031322,0.06426894989231118,0.2507387466434112,0.8458865040158603,0.0,2.5319917209942777,0.8701217955278735,72.43472291180818,1.5904984954375643e+19,1.6970938480526922e+19,1.335082957764419e+19,-0.10419760694757005,4.2575933648230855,2.998455636242673,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.209197355701761e-105,7.933264372190562e-87,4.2159949535676174e-105,1.31372255622643,1.0208454824881054e-19,7.657529190460277e-19,1.8268771845034205e-20,700.0,800.0,1.35,100.17856396345717,134.14249480026425,168.90944070763777,207.67061738332947,27.743841051648985,33.96393083680708,34.766945907373525,73.52812258306523,38.7611766756917,0.75,350.0,2.0730045347733568,1.548134449806881,1.2294790422211077,2.8,67.32582665098207,64.71253381512949,53.502243210233516,0.6852775897921731,0.052909039165079746,56.72083834635006,80.61234203326042,78.82184713905274,71.9946452513628,39.024894407936614,11.274436379694349,1.4832383386206505,21.796288365258555,24.63487772824566,35.395762945847316,84.04805849211392,84.66208083285265,32.48382871753175,10.774031115631397,12.500101478203927,18.32436777790294,46.58451845953717,70.34458846237943,78.92578913821987,baseline,2.189105297956172,1.6831779228134371,0.6260859659920441,0.0018337317114982491,0.00013971857033638472,0.7031056015210759,0.5365273680240147,0.011349417400094304,0.0010025736345744313,9.480687631613314e-05,1.001160199659321,1.1177134724892435,8.68877968580322,8.969410533811416,10.475907877927126,15.264830186382403,15.284870409411932,10.278336319810679,7.910521249587111,8.141524014719318,9.485636049433362,14.379237715126111,18.379972584291643,19.59087771628316,0.004426623909511326,0.06308499095950268,0.024082906022259005,0.0,0.016209534354581133,0.38639432021054715,1.4441245295031928,177,TrialState.COMPLETE
baseline_v5_D1_resolution_trapping_pair_trial_00193,2.0275434914907464,0.7666852104297102,0.7135252013489528,0.46032659357017425,0.22248394047579897,0.04160488040525432,0.04110758425801768,3.3008226706646336e-07,780174.692664176,23897668210976.07,5.496390604902276e+19,0.9415140644596613,1.3448861398718543,0.02102754925033086,0.050045075542924755,0.22622940780029074,0.912644765965533,0.0,2.5520893355988825,0.8216558976785873,71.12320670060153,1.6934534988705296e+19,1.816389814250959e+19,1.4015638040483754e+19,-0.11259618470906997,4.471621107524236,2.8128620839340703,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.202883030975673e-105,7.362323740896598e-87,3.909623852298481e-105,1.220657705725681,1.0168322619069212e-19,7.141765448130516e-19,1.931683167113005e-20,700.0,800.0,1.35,98.6008431663473,132.52247942758925,167.7762988201136,209.25427643154694,27.477636465745775,33.92163626124194,35.25381939252435,76.7317970039577,41.477977611433346,0.75,350.0,2.12223617680955,1.5790096694190228,1.2472219133639681,2.8,66.73491775333177,64.14667641304577,52.87309734388687,0.6452716126933578,0.04966392311669382,55.987049864090096,79.91387386284548,78.04455871143861,70.87920956689979,36.88837114189554,9.651132485255854,1.1806047873886008,22.175680071894963,25.011019899481173,35.883310974199475,83.95083347872858,84.52610621964499,33.09810682364604,11.438618519773444,13.242839866432675,19.409307033361745,48.656272031221754,72.03717503277686,79.45004865609553,baseline,2.336838923625226,1.7996014935120273,0.6704140526873207,0.001957331984426158,0.00014941659262526956,0.7423001520264907,0.5672862387645963,0.012148614832623313,0.0010560636767981096,9.712971829291909e-05,1.0007878737003502,1.1110177555322787,8.752563251148036,9.042702193961016,10.573177629226333,15.40193757659364,15.424080440645685,10.36231873546028,7.905207465354589,8.14531518336411,9.504714232286078,14.443208212050088,18.310636418290496,19.369249426797573,0.0002635406783253321,0.06469058758649704,0.02329211261294542,0.0,0.01921435716413756,0.4068568579094278,1.426229717179207,193,TrialState.COMPLETE
baseline_v5_D1_resolution_trapping_pair_trial_00173,2.035955049608321,0.7975750975762343,0.6945476828653602,0.46303525029811987,0.2032678155796179,0.05512748787155266,0.04544423265881965,3.7606701991550835e-07,756913.4749870985,22513668891752.94,5.551549761674338e+19,0.8999421282022615,1.413220869843408,0.02372488772221242,0.06366566045376341,0.2915511001943819,0.8251395794823996,0.0,2.716893345050847,0.8268063404261647,74.74717761100825,1.5531005894511958e+19,1.6635786975887194e+19,1.2939404064666122e+19,-0.10912907552395443,4.6649291131947646,2.8773735573287813,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2189142149225644e-105,8.102747151130072e-87,4.311080211575711e-105,1.3392963973969776,1.0270367059097526e-19,7.519065340349441e-19,1.846601133752373e-20,700.0,800.0,1.35,103.43673024841094,137.89337741875494,172.855908576996,213.01790617494825,28.689552637402684,34.456647170344,34.96253115824106,75.12452875619331,40.16199759795225,0.75,350.0,2.0594029380411585,1.5448015717829215,1.2323437939066035,2.8,66.5494439278568,63.73312055412832,51.933901825570736,0.5762459109995375,0.04425983842148861,55.19990410928125,80.14086193676667,78.19595026955349,70.93059036084847,36.70775873790775,9.723462508788797,1.2096985305396684,23.11411067291188,26.12934090126468,37.48893164352981,85.17152941371943,85.69247514720901,34.51031193802471,11.641305796954544,13.518750023516073,19.828386591038623,49.64344246848799,73.05476279373022,80.55774181624318,baseline,2.0289076009042106,1.5638126501922032,0.5838820387496937,0.0016369798216944744,0.00012459193973734004,0.6504499008780971,0.4975770275976465,0.010638326370155913,0.0009235921385684181,8.473938678818194e-05,1.0009924854829475,1.1404663816880296,8.30753779832712,8.573725894414801,9.993284492149764,14.250587695459343,14.263140422429764,9.807980716869297,7.567382365400697,7.787722679332785,9.059165633252183,13.638160467234098,17.220851105342412,18.23247491383037,0.008849123593927703,0.06324474514652403,0.01425595133978921,0.0,0.01781200542271051,0.38844893891529314,1.5287677685607568,173,TrialState.COMPLETE
baseline_v5_D1_resolution_trapping_pair_trial_00170,2.0373455165794496,0.7988527129782078,0.6923192710846963,0.46127086726419786,0.20182731951350044,0.05695127218773611,0.05717058802967845,3.9982158685764217e-07,753325.6663060338,22537442972940.008,5.703488790940295e+19,0.899190959390182,1.4355727284745503,0.024482640783686685,0.06510146345905864,0.30235308946373146,0.8391163628467828,0.0,2.7265212480669927,0.823352660974307,74.97548377174334,1.5444094387989922e+19,1.6566044398314467e+19,1.2818503343475239e+19,-0.11138149996743453,4.661084836039448,2.8670785742338794,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2626657236929146e-105,8.734026070892124e-87,4.671503449299207e-105,1.4318057211241582,1.0551454263239547e-19,7.6783408915377005e-19,1.8456329102261264e-20,700.0,800.0,1.35,103.83548927314435,138.74332229478915,174.77090931908148,217.68215693128033,28.860005501401005,34.907833021644805,36.02758702429233,78.93883463649118,42.91124761219885,0.75,350.0,2.096413841308695,1.568955920406527,1.2455285480826517,2.8,66.42327698471072,63.60495201025807,51.85480473061242,0.5747194445669387,0.04418777926246842,55.14672984259823,80.13655544418083,78.20371814464909,71.01303301259551,37.00171359566393,9.905671872348233,1.2368408585122723,23.358378197148607,26.36537659146901,37.684167208948885,85.36351202091204,85.8812305106836,34.67148316391468,11.699909678603618,13.567214338457823,19.8218048382798,49.48600685304969,73.04308716508535,80.70642695496272,baseline,1.9753034863696022,1.5307177181917988,0.5771678554049321,0.001621918045392547,0.0001237446565024235,0.6355167657662811,0.48892883327684133,0.010584285144197552,0.0009174713490042358,8.434979031241603e-05,1.001091581828688,1.1454015021176733,8.243041331771055,8.498953680081138,9.88386020503375,14.060146616475633,14.074457965397443,9.704844695608282,7.528018111449261,7.740138683616257,8.984565975869025,13.501695266142185,17.05032349121741,18.056647836734705,0.005994625594089934,0.06292047875173151,0.01306308460509035,0.0,0.020304209383712513,0.3850549829927969,1.5276454253633056,170,TrialState.COMPLETE
baseline_v5_D1_resolution_trapping_pair_trial_00174,2.0381458987333323,0.7851025534238024,0.7009145482280112,0.471676706154592,0.21957684176610404,0.0316123498347037,0.04701859429929027,2.717999054756394e-07,755577.3194089183,22535404923742.184,5.5717112154244555e+19,0.9118409968925217,1.419478213393115,0.026763184738449942,0.062491612991804064,0.24213782693782757,0.8345263642703478,0.0,2.4148558283902504,0.8844326371226044,71.65503662994526,1.5669763119915495e+19,1.6648227848844775e+19,1.3279061765172853e+19,-0.0982006200793217,3.986376509143036,3.0020226300225423,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2247539513400288e-105,8.011190031074169e-87,4.265355161181571e-105,1.3226916612999655,1.0307665748535244e-19,7.557652109357464e-19,1.8710941248613547e-20,700.0,800.0,1.35,98.9788528479945,132.8700750289776,167.86125857330512,205.8847409908368,27.323816218049245,33.89122218098309,34.99118354432753,73.01466596185921,38.02348241753168,0.75,350.0,2.0800881710260035,1.5495192649355807,1.2265173199623474,2.8,68.03273383311532,65.56335070163743,54.870185004558174,0.795704353493622,0.06165063389172111,58.03564148809366,81.04618787936852,79.36148564100858,72.91023191071477,41.07118603632022,12.915245071311253,1.80754605875867,20.829795138270008,23.548828045136762,33.832828920076985,83.45920065625157,84.16838101077182,30.97612672183005,10.135794585791244,11.762536299528657,17.211414425950068,44.224942701982144,68.1165141496366,77.82789022473271,baseline,2.3172469619358984,1.7845887277113845,0.6646186380282135,0.002010142679336876,0.00015348206762517104,0.7508472640129331,0.5743926383178826,0.012092090326958599,0.0010791990155396894,0.00010503084697178657,1.001402597003929,1.1054835425355662,8.82022406667878,9.10323252551441,10.632367437336624,15.74308484757547,15.769814873268835,10.437487158698014,8.067170270827312,8.301585421144873,9.66856110376889,14.691779171370683,18.967161580036603,20.364458685661646,0.0047255226685787004,0.06415111728404477,0.030038968247166984,0.0,0.015052052950372914,0.3815827603408866,1.3662280566717329,174,TrialState.COMPLETE
baseline_v5_D1_resolution_trapping_pair_trial_00176,2.0449415159048017,0.7899165930397462,0.702677591800179,0.47294086596967777,0.22220707725294536,0.031117380934905826,0.04485249162753106,2.656727757161777e-07,756951.7039035598,22569482319088.137,5.5439907368247165e+19,0.8891023090947141,1.4255779664232717,0.026432570978152208,0.0644375457341376,0.2404232947096817,0.831704178687429,0.0,2.3804514584978045,0.8968607449958212,71.19853048927261,1.5745542569695087e+19,1.6709905924169112e+19,1.3377620271218858e+19,-0.09659514066734039,3.9261815117889296,3.0402087405183322,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2167220215865992e-105,7.8417044806232415e-87,4.1710954215932475e-105,1.2966912880883372,1.0256382863125726e-19,7.58281792378859e-19,1.8243303962027382e-20,700.0,800.0,1.35,98.338480515249,132.0400673340415,166.82405677966827,204.25143237910564,27.13995002597639,33.70158681879251,34.78398944562676,72.21136504506413,37.42737559943737,0.75,350.0,2.077024490402138,1.5468897926443814,1.2243523885099457,2.8,68.33268927555575,65.88589254997291,55.24981675590724,0.8225341678730639,0.0637930115602757,58.394153030584185,81.2117517807525,79.54576390006486,73.13787865703681,41.395702847126415,13.132890228672496,1.8573365704712168,20.606879301691627,23.296657347119513,33.50541569422307,83.41926379402514,84.15167813581874,30.670463592835862,10.030666508133763,11.637404473498526,17.04109159645996,43.96215163165426,67.94201122669686,77.79688188520828,baseline,2.27807115224926,1.7523215402861878,0.6515530686201082,0.0019898738736914006,0.00015200944355154826,0.7366117954399708,0.5626629568072711,0.01182424908641318,0.0010600999421399497,0.0001036601709511474,1.00130586223023,1.1039668630837913,8.782360270503359,9.06512856262139,10.593214481249582,15.756212164228106,15.784376843177437,10.395902519794541,8.020969915673785,8.254168669629369,9.615958228425216,14.630321272132926,18.9240384446885,20.34567788414954,0.00418438525882312,0.06349473474933251,0.029721821356796838,0.0,0.014488932778837947,0.38194474284236185,1.359967173808986,176,TrialState.COMPLETE
baseline_v5_D1_resolution_trapping_pair_trial_00178,2.0449451855159153,0.7860733439157854,0.7060228738108053,0.4717868579511152,0.22473139611542375,0.03230681636708446,0.0441591011734463,2.5409663735405083e-07,766976.4731019972,22686262026653.363,5.535146316091534e+19,0.8930898234330105,1.420752952226807,0.024428794825750933,0.06336993588195827,0.23225164047723307,0.8469926489370356,0.0,2.3738829366077456,0.9003166583891711,70.72975743956746,1.6016373328894505e+19,1.701104751856094e+19,1.3572913619795268e+19,-0.09805797255320606,3.9720170951860827,3.0563681917006345,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2141551523349795e-105,7.909187041045334e-87,4.2056960788629585e-105,1.3084919300823599,1.0240020684769338e-19,7.554828440905758e-19,1.832478897623788e-20,700.0,800.0,1.35,97.76035040099326,131.39076047361368,166.16630732455621,203.84788115901847,27.030592961425796,33.63041007262042,34.77554685094253,72.45712068540479,37.681573834462256,0.75,350.0,2.0851795264938753,1.5514628305995373,1.226770242663349,2.8,68.3076101239445,65.87861250396631,55.22109518740825,0.8162621931843039,0.06329238258209766,58.326728827527525,81.0909170035465,79.41413843335482,72.91196321304618,40.77273604782397,12.558705520138886,1.7394180500665315,20.639730373007666,23.306089870952782,33.518092706180845,83.35930441056092,84.0849803033872,30.73231112221966,10.199913863652402,11.815769995767166,17.309162732727966,44.61324082466416,68.57225303980955,78.01506056493429,baseline,2.259796427199169,1.738166423399424,0.647104380860781,0.0019898787862615416,0.00015202215650350932,0.7251574925989576,0.5535631978109004,0.011697369843710928,0.0010500680346261445,0.00010200797607540252,1.0004160593839664,1.1026499350812788,8.792863075848674,9.077131201681503,10.613707725550109,15.822443517468502,15.851575291874196,10.406215628207441,7.984011640202145,8.216528373067106,9.577104034806338,14.602325757668172,18.867991372016938,20.245419377023122,0.0030579443113049128,0.0627209500470632,0.02919473283260428,0.0,0.014821826033118757,0.389124854673259,1.3734487570860856,178,TrialState.COMPLETE
baseline_v5_D1_resolution_trapping_pair_trial_00181,2.0479607260626804,0.7817718361103779,0.7204358757700257,0.4764036023145999,0.22722982891176086,0.025453628720556443,0.03736263739647999,2.2004456370597857e-07,758457.618532027,24015290614563.688,5.449198667280646e+19,0.8807524950890869,1.4144983821076083,0.030086045437182043,0.06572107305283681,0.23073315710941017,0.7809567126043873,0.0,2.4723395593546313,0.8770900411493581,70.53401603902905,1.6819910166108662e+19,1.7824839866406248e+19,1.4416128400182278e+19,-0.0921769951715376,3.968190140312223,3.0292918500483372,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.1891034335108663e-105,7.367603166260351e-87,3.9059950998805e-105,1.2247941094781023,1.0081017534469196e-19,7.499078906153418e-19,1.8068432260494297e-20,700.0,800.0,1.35,96.74628491167861,127.80587107259208,157.09178710293517,184.1682476091945,26.21226887264956,31.05958616091347,29.28591603034309,56.362376536602426,27.076460506259338,0.75,350.0,1.9036208757506807,1.4409999013628203,1.1723607644014984,2.8,66.86609443131759,64.29223266351339,53.25738461119029,0.688944507972395,0.053062890227232644,56.61530270761785,80.648681706881,78.93418009550719,72.3872561104807,40.19177341712286,12.26196743014906,1.6801237148241257,21.55757077544517,24.42522143422473,35.1016794008033,83.45679805293815,84.08497974172298,32.04980111332749,10.186602106439114,11.850325152688077,17.36889079691173,44.65950056731654,68.36250846087992,77.59603679076521,baseline,2.510844630013632,1.9225897281128788,0.7081928269967919,0.0020246717661275586,0.0001529122514240331,0.8183545424953116,0.6226428476429617,0.012836266863194098,0.0011352877023543876,0.00010866358034683912,1.0004094351871402,1.1012676149039247,9.065490163223606,9.359956174148984,10.932743161009608,15.852232767323326,15.861804455798362,10.747540780519094,8.34636164418457,8.592851904161757,10.018778946572679,15.135889748697402,19.374388821268656,20.723730830830302,0.012347066996012224,0.06828350473806044,0.033795851572904524,0.0,0.006531904006677597,0.37164580505145023,1.382884466628323,181,TrialState.COMPLETE
baseline_v5_D1_resolution_trapping_pair_trial_00180,2.0500247461078533,0.7710830212846862,0.7389647618521865,0.4726223089043732,0.23130721430151321,0.03555813938619488,0.03752198049805424,2.3082512408324876e-07,758633.3488652314,26176438902786.785,5.451198350815833e+19,0.8442986080392878,1.398953596162978,0.02716679627922557,0.06574189666492358,0.22690541884067864,0.7891470215807576,0.0,2.617083298248178,0.8420661718692743,69.97665889636254,1.8233470052652042e+19,1.940623900942858e+19,1.5523616206477416e+19,-0.09694847884761963,4.319097372168356,2.9801958491985765,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.1896885298770678e-105,7.282525006600995e-87,3.861159628221669e-105,1.2105130617159288,1.0084716949009293e-19,7.417184482530347e-19,1.7320661223754625e-20,700.0,800.0,1.35,95.74436983927873,125.23872234575681,151.74744696691474,175.41696068052437,25.767710942916196,29.49435250647808,26.508724621157924,50.178238334767556,23.669513713609632,0.75,350.0,1.832138651860031,1.4006607333172594,1.1559796503118123,2.8,65.45037175793946,62.70777514522546,51.00461496043622,0.5506677443796913,0.04216580688907397,54.45007543559666,79.83724751606107,77.98331578295664,70.91251240036445,36.97569306407356,9.714633671624854,1.2046372762397524,23.25387705168396,26.270856009801637,37.60752973633778,84.28989645012948,84.80002922750229,34.46660655185108,11.247412904313766,13.047437097925595,19.10813397237831,48.33544002482643,71.82846856396708,79.28281036943393,baseline,2.4063028904531674,1.843951179037822,0.6812262961328126,0.001855734433790579,0.0001395169197493716,0.7766315104928776,0.5908520380812814,0.012314383600782674,0.0010656892276780796,9.74619778380607e-05,1.0015500514447642,1.1123332050949117,8.88944829992342,9.177417665935069,10.706629007093191,15.157580071057051,15.157665448688878,10.519615329801855,8.138708069132287,8.378395081036485,9.765475783926918,14.676552527499227,18.455832075180385,19.51245489234846,0.013065078052824515,0.06955197190241448,0.024548307329596293,0.0,0.0048400908403977245,0.37979367767027455,1.4669140117193114,180,TrialState.COMPLETE
baseline_v5_D1_resolution_trapping_pair_trial_00168,2.0525932563605234,0.7984304369693321,0.6812942236781044,0.45938473766248245,0.2061066509142011,0.08359390451910342,0.06800305075836567,5.090706352979438e-07,767045.8600194631,21168611977398.293,5.8475380317504635e+19,0.616928781516199,1.430453851174153,0.024044268627208622,0.06598164055764347,0.3377769584432836,0.898902073441052,0.0,2.534791796694964,0.831851446670449,74.2560783081392,1.4779429031866434e+19,1.5860380037358981e+19,1.2205063437187953e+19,-0.11377354836893014,4.34164448225901,2.849451711231614,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.3036103024190527e-105,1.1193741496355633e-86,6.016943436478442e-105,1.8213236083180162,1.0817945358738358e-19,7.689082255302942e-19,1.2666441247683881e-20,700.0,800.0,1.35,103.61027314296456,140.21861169577164,180.86676985117919,235.41626480869084,29.354194834825364,36.60833855280708,40.64815815540754,95.1976531129192,54.549494957511655,0.75,350.0,2.2721324601070827,1.6789230898924234,1.3016004266698413,2.8,67.52464907661138,64.76886902914545,53.290219970468485,0.6469157485210856,0.05013833093228955,56.48486239764348,80.71961947355155,78.82635417275156,71.81770348163599,38.262619169037904,10.7370925034841,1.411398588855876,22.682558993150693,25.602343874061727,36.643408142021336,85.63359566445392,86.20042614685057,33.71741936813697,11.417358712487777,13.24558886439218,19.359503748048123,48.707007011985894,72.70666611145819,80.94098840292581,baseline,1.834850230474314,1.429750866371363,0.5446991728210768,0.0015957844491121971,0.0001245104990693077,0.591214226793774,0.45736349034979384,0.010031711915797725,0.0008815693029852839,8.257112300579505e-05,1.000480670315152,1.1938127062168848,7.957941699763612,8.19903623042145,9.521672714689103,13.71789280257588,13.749311011718058,9.347504192688973,7.271807587166916,7.470693472506458,8.652061891685902,13.020342107060404,16.555359815754734,17.647530437095305,0.0,0.05719414507488855,0.009836959197769604,0.0,0.03074705443802158,0.38527435804795435,1.3989917765313264,168,TrialState.COMPLETE
