label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
baseline_v5_E_all_wide_trial_00497,1.9878184650162993,0.783651159494547,0.6289518095205769,0.5149135416669589,0.13520967081443444,0.026777671568019218,0.2032546888210221,2.7820619400379763e-06,1283315.3215452225,7027979825881.86,7.984076566810303e+19,2.759139505047818,2.5921900653899463,0.022500090685152015,0.11835204380645303,1.3220248691489898,0.3303592959590334,0.0,2.3937649784611015,0.9876724505487356,86.82834001109296,8.729882629867635e+18,8.937877952131139e+18,8.087749409927627e+18,-0.043406733366287524,4.397952096753849,3.0624997290269307,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.8602428820023984e-105,9.330037584237874e-88,5.3839301254623e-106,0.13947127914058943,1.477054164859906e-19,1.4958321505107886e-18,5.687286442686845e-20,700.0,800.0,1.35,120.3989914143625,160.8048292274112,197.39426665110958,225.9511426647666,33.57065140326954,40.405837813048706,36.58943742369837,65.14631343735539,28.556876013657018,0.75,350.0,1.876686341060268,1.405126598189567,1.1446692272178842,2.8,76.47412374519793,73.9497915228724,64.97655299277736,1.3668498001321485,0.10339106013178145,67.1631037140754,85.11506447974779,83.28095054930198,77.60890871096035,44.13659887363382,21.50006432669646,6.275710703760366,16.881758220988022,19.38348840727371,27.777256213996456,87.77610814933811,89.05217120015884,25.758629849968475,9.09833570829478,10.873135618382882,15.922995857247402,46.37796167533925,65.54311066050074,78.58572161496346,baseline,0.5459583303901142,0.44879743607633155,0.1932007473816253,0.0006642316138571283,5.0418176368569066e-05,0.17819786869679863,0.14564191655444425,0.0037727164188237805,0.00039948765473682744,4.6944831305340046e-05,1.0004012682246828,1.1003932118488076,6.098159703423929,6.217922633777549,7.052990045844571,10.856377818915893,10.844387321533015,6.917644753998713,5.608401943260631,5.7002719157606805,6.406502203662112,9.481666734608112,12.95642552514806,15.138520736444875,0.11605972621850083,0.05740509338784026,0.0,0.0,0.0014244365646697461,0.3905822584618696,1.5191683711025141,497,TrialState.COMPLETE
baseline_v5_E_all_wide_trial_00457,1.9958141659911095,0.7921671013660976,0.6342726978983562,0.5233728550792853,0.12918309898502475,0.028025103871109455,0.1856590250129987,2.155429103345953e-06,1171105.932355679,7696360047858.742,7.667062955774848e+19,2.6923505114577675,3.6290794866633593,0.02529374672325555,0.11324347212923645,1.0860270312662592,0.2379542231424366,0.0,2.554519212284376,0.9862412744838494,88.52804314529351,8.789779295722074e+18,8.952098046515298e+18,8.303108473498376e+18,-0.032684118419935224,4.5371339114614315,3.124970246728983,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.782829776592578e-105,1.0581013459127842e-87,6.04375501848555e-106,0.15976809360767807,1.4184066468183469e-19,2.072889089946638e-18,5.546581133753059e-20,700.0,800.0,1.35,121.51007237511918,158.50810710194088,187.99370914364698,207.22678828434275,32.98202922982567,36.9980347268217,29.4856020417061,48.718681182401866,19.233079140695764,0.75,350.0,1.7054288935373494,1.3073576618454572,1.102307035848735,2.8,75.03799600857909,72.33796039530718,62.67892518910477,1.120434344417053,0.08389315751577707,65.08547189283748,84.4204801065734,82.5403092426875,76.60703645670061,41.963795292835975,17.64444917534026,4.898717287289337,17.81139066589372,20.460590496422842,29.390047233177974,87.17614342576258,88.24837004987413,27.158085541958776,9.282570758228024,11.084410325989651,16.27280630513055,47.56587461878047,68.36816581025202,78.89522643781918,baseline,0.4869402549151989,0.3973003419542942,0.16811897245717108,0.0005356868298240261,3.996179047851442e-05,0.15955304120394442,0.12941110594824273,0.003223030844686399,0.0003491384812225447,3.895344924190396e-05,1.0009042378686976,1.10700938508345,6.6636730706120035,6.804148766315687,7.762908605260096,11.702886542990552,11.667696830819635,7.617029725337654,6.137396093994644,6.2458693253745965,7.066389414152154,10.467107057538861,13.987035875926493,16.206017321442253,0.14179642819879726,0.05119555177586729,0.0,0.0,0.0,0.38913234504554056,1.609027160028264,457,TrialState.COMPLETE
baseline_v5_E_all_wide_trial_00301,1.9959367895205387,0.7897242896692387,0.6329479398954148,0.5236878327839746,0.13264363206150048,0.02037013032571362,0.19942254800515694,3.4239551963696785e-06,1338870.968526052,6612980854513.442,7.91393633778007e+19,2.8601566635758218,3.8915379585253973,0.02533469886905133,0.14925353026620275,1.4881739586125207,0.2413973915698542,0.0,2.427422452063952,1.0294036791080363,87.5262301699271,8.642553665653965e+18,8.795267480999114e+18,8.165055035576733e+18,-0.03228993533219218,4.361684105395456,3.2188209416843265,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.843249332530255e-105,9.326466135503172e-88,5.369767240035023e-106,0.13971946068093805,1.4640782224893131e-19,2.2405756627898867e-18,5.894800379416486e-20,700.0,800.0,1.35,120.9049453401531,159.31889213767246,190.91881192974935,212.06828165177419,33.378715170226,38.41394679751936,31.59991979207689,52.74938951410172,21.149469722024833,0.75,350.0,1.754008333200456,1.331093122769893,1.1107772959000342,2.8,76.87465105360629,74.22326060859312,64.95838479804809,1.2839963520808428,0.09618045907760642,67.19857566662223,85.49860947114873,83.63444086371095,77.94293801241959,43.68296121846419,20.693612883866994,6.820199620073435,16.758145371762648,19.357369089874897,27.96318352304081,88.16040974699399,89.3801371694018,25.871901503209894,8.822802636073376,10.620572633710504,15.669207892388037,46.985318055019725,66.67938462612949,78.27706791330183,baseline,0.35679753186189234,0.2923418898602072,0.1252490572269167,0.0004120729298667557,3.084481112284378e-05,0.11736923960012623,0.09561228050692872,0.002428825902175936,0.00026743543654149767,3.123101409530064e-05,1.0005951069559422,1.09753551329091,6.010406042769173,6.127028411671775,6.953182621684171,10.555181827995288,10.523651526709468,6.825453450697732,5.561218653177777,5.649374222071622,6.347622125109871,9.329291900613908,12.626735054566986,14.902701235610635,0.14193143671883882,0.05498401653458477,0.0,0.0,0.0,0.38871563986347685,1.5827597394910966,301,TrialState.COMPLETE
baseline_v5_E_all_wide_trial_00458,1.9960501388601437,0.7927986121991533,0.6256196443621661,0.5236032748779098,0.11942163542759336,0.03734561256678934,0.19241722755942917,4.811344549541751e-06,1152388.9722885822,6902437102925.853,7.787305845514736e+19,2.7529317126297252,3.3595807102414277,0.021753300344975586,0.09262248482069338,1.2839633289124068,0.242749802584288,0.0,2.405127641394342,0.9495740069667578,90.42744949867003,7.765129000537371e+18,7.902921975592906e+18,7.334761957437115e+18,-0.03240167043055254,4.4742939525129675,2.897138478004651,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.8123775215496065e-105,9.591363322294973e-88,5.499813996783402e-106,0.14426205079889118,1.4406515814202263e-19,1.9264278072502655e-18,5.672571018624453e-20,700.0,800.0,1.35,125.06245521855045,165.52093607032887,200.2864270494628,224.86993274378665,34.635005719880425,40.45848085177842,34.765490979133915,59.348996673457776,24.58350569432386,0.75,350.0,1.7980610755707584,1.3585588511186328,1.122741745691298,2.8,77.03205941695403,74.54289288531363,65.57215969311252,1.4324000523497566,0.10770572515667418,67.65492312933021,85.19582482598332,83.36502810364063,77.62820443225014,43.53355450745729,19.117325725101814,5.662672976259353,16.378797343534366,18.815082918633813,27.117647577505906,87.4357072528664,88.77926665205862,25.196252723570247,8.986473515631399,10.741360637950557,15.808174737619833,46.80220803430657,67.82377195380319,79.05421447374184,baseline,0.43480950509058003,0.35684231563171037,0.1524793307776143,0.0005183026731928088,3.89807306364372e-05,0.1423652039527298,0.1161777293973562,0.0029417990983097446,0.0003202600851332957,3.6755395402547316e-05,1.0007299374752772,1.112503299550145,6.154333734421025,6.285181880420853,7.157713398603958,11.131374392110658,11.11298864205406,7.022555006304704,5.675336454432549,5.7774335290114625,6.514903078578393,9.661295659137833,13.058582061009867,15.283075794603409,0.13938774483327698,0.05081648507899726,0.0,0.0,0.0,0.4043378407398901,1.4697356741086118,458,TrialState.COMPLETE
baseline_v5_E_all_wide_trial_00471,1.9966335563461446,0.8018318797394628,0.6212424293950082,0.5158567381124302,0.11361397903552681,0.046153659478025105,0.19999173967671005,5.698559244831733e-06,1175558.5464610741,6790156415783.084,7.92431523962553e+19,2.691924015607853,2.699278982208486,0.020283869390674617,0.1322098445757064,1.7542066991454364,0.30064969675671394,0.0,2.4995412883251795,0.9684213511504142,91.70068119409623,7.738450701498717e+18,7.917004079665688e+18,7.183829395674647e+18,-0.042204858743134774,4.673588788917546,2.985002362414576,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.845768662749199e-105,9.873606046561475e-88,5.686682060998531e-106,0.1478685422781861,1.465998319330723e-19,1.5546438953882562e-18,5.548170658872546e-20,700.0,800.0,1.35,127.54034658614121,170.38349195198626,209.59401529571196,241.51544517933186,35.83966539204498,42.84314536584505,39.2105233437257,71.1319532273456,31.921429883619908,0.75,350.0,1.893639555199197,1.417481484928073,1.152301246953939,2.8,77.12109537117436,74.5622801532087,65.42214157870292,1.3570283719121694,0.10244155314245501,67.54215165048822,85.40970150588595,83.52725630864201,77.69737453372608,43.44916241982786,20.171567127534654,5.733979746430592,16.99738667583655,19.521108644354353,28.122925637936074,89.01180848299273,90.27695278944512,26.146560507255675,9.406157858427937,11.231633396117454,16.51806743750192,48.15428661791485,68.4420251067742,81.0053520011879,baseline,0.40155553996802634,0.33031659796461504,0.1424136699953302,0.0004901971179575312,3.721450460803389e-05,0.1303295015822596,0.1065202188350203,0.0027685270367580886,0.00029633509084309954,3.433844055931469e-05,1.002109810385387,1.1263216558762439,5.479962413021055,5.586294604472337,6.312519113365674,9.630672947977137,9.620568442907823,6.193336527064806,5.053811134103852,5.134590076405517,5.739558775483014,8.393782435220535,11.386111430600307,13.260633913940948,0.12347451944531412,0.04685424010164663,0.0,0.0,0.003211680249332889,0.3991617118312771,1.5700349381883978,471,TrialState.COMPLETE
baseline_v5_E_all_wide_trial_00420,1.9987580059203054,0.7984867906812189,0.6278732053974433,0.5177051525898335,0.1266007727562281,0.03175817848081003,0.1935030587919248,2.2098133820275045e-06,1246849.5303362445,6982870054328.855,7.806800173952893e+19,2.484950739508021,3.2062011701287707,0.026506303183019025,0.1284198037124763,1.2873706616150198,0.29104070797812803,0.0,2.497859917025942,1.0027788645285023,89.0336138988545,8.449236452905948e+18,8.637186426080792e+18,7.879729857753719e+18,-0.03986096481758893,4.422305773531187,3.1622149214050097,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.81714639072671e-105,9.819873937169837e-88,5.634386480818307e-106,0.14760729361877134,1.4442580321812854e-19,1.8396342604133114e-18,5.1205537466839254e-20,700.0,800.0,1.35,123.1030155258503,162.7341281334116,196.85255780136885,221.93587678553007,34.0694016269958,39.63111260756129,34.11842966795726,59.20174865211848,25.083318984161224,0.75,350.0,1.8028467932934262,1.3637943025914276,1.1274218596106391,2.8,75.71886505032093,73.00899482741308,63.55033699238699,1.1911282276466515,0.08958802504859928,65.91548675797013,84.91679621847184,83.03585245067951,77.25217413044844,43.53545380077021,20.808900713917986,6.310099814491632,17.358564358882873,20.032615836126674,28.832460339959017,87.5713965750966,88.70033787288786,26.632536234805688,8.986578298164055,10.799578450648601,15.892857790388767,46.41303184294089,65.58009573902457,77.75061925066201,baseline,0.5076567197754345,0.4151362398002359,0.17669084290918996,0.0005741321652204741,4.317477866610498e-05,0.16717001231189255,0.13594800231067955,0.0034318940576717792,0.0003644587191708789,4.221470549433683e-05,1.0019684264255697,1.11689699324682,6.414913871020773,6.543253096660016,7.440511824744806,11.236901065091535,11.210030927284883,7.304879209877758,5.929455471052214,6.028621096361206,6.798095051346852,10.04808246223122,13.610639088338276,15.939238720140871,0.12197289037940244,0.05862470568474452,0.0,0.0,0.0,0.3805142284482905,1.583073001756334,420,TrialState.COMPLETE
baseline_v5_E_all_wide_trial_00460,1.9994768651901342,0.7968569560732439,0.6239336286302004,0.5245004140991815,0.1170181524271359,0.0346930979130625,0.1955230581119817,6.102747415795779e-06,1140587.5007098312,6641970358676.621,7.843195898224742e+19,2.837677523608992,2.8673347409851018,0.022373795383930233,0.09437501233470529,1.445447284014125,0.24051434554064163,0.0,2.324225205071673,0.947435134172874,90.83516295139232,7.403338355311263e+18,7.528642919090484e+18,7.005557177991806e+18,-0.031274017143995234,4.334513411204046,2.8504179073493745,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.826033915612867e-105,9.010418647010117e-88,5.176009138293702e-106,0.13528393245998163,1.4509912411715773e-19,1.6471322147512672e-18,5.847759075194372e-20,700.0,800.0,1.35,125.8522797993414,167.53329690532803,204.57234831102843,231.62717469903592,35.01711684794908,41.681017105986626,37.039051405700405,64.09387779370789,27.054826388007484,0.75,350.0,1.8404686436220445,1.3825739657587406,1.1322506517199176,2.8,77.95304291268673,75.57040110238218,67.01612379865573,1.6521698753891412,0.12482807860542013,69.00313395415439,85.77020625010488,84.0053984413422,78.52481952790822,45.41557548670947,21.13392795813295,6.732989517267373,15.709505521774327,18.052160782509677,26.009865711306784,87.62538915719719,89.16208061763706,24.172828819612395,8.629191259343498,10.325294931409067,15.1883697029352,45.36065654315259,66.33225985568357,78.47476673564691,baseline,0.459690075135188,0.3778469053502636,0.16166427558371962,0.0005669685545572612,4.2885789472776256e-05,0.15169826040975734,0.12408260688396176,0.003147527661446836,0.0003407286246504841,4.0041369008456405e-05,1.000804643425772,1.1086051785057183,5.877761490403749,5.999591209757898,6.812346214453762,10.721873998859103,10.713048417968041,6.689554528759124,5.448904230141873,5.545224020364761,6.2346032593329666,9.220620442476497,12.533471457558829,14.792203705716714,0.13972398717379544,0.05481966519369394,0.0,0.0,0.0,0.398705601213755,1.405244352925368,460,TrialState.COMPLETE
baseline_v5_E_all_wide_trial_00381,2.0018427942853654,0.7886176504572739,0.645583386824777,0.5210698834396876,0.14517945110818836,0.01863022521344984,0.1815520254482461,3.3479266406535565e-06,1344063.8950225178,7575754474202.666,7.5948994716228e+19,2.6784285530193466,4.77666612573731,0.026951052929147096,0.10806277583256173,1.137015557268878,0.2599501346165934,0.0,2.563518512694982,0.9538441258987947,85.16979673534628,9.905833329301699e+18,1.0105480470387282e+19,9.31048889032953e+18,-0.035584480879138534,4.574782153049836,3.0178716227287983,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.764985423693912e-105,7.521897844702516e-88,4.2863809178142434e-106,0.11384853951463055,1.405056402250218e-19,2.7220006113948824e-18,5.517203884513086e-20,700.0,800.0,1.35,116.9357271130195,152.12720821741533,179.3553779683191,196.73145576316955,31.765930377673214,35.191481104395834,27.22816975090376,44.60424754575422,17.37607779485046,0.75,350.0,1.6823896393360322,1.2932036160290752,1.0968807180006597,2.8,74.89455899096572,71.99149057319245,61.90314129803224,0.9990278514240578,0.07432258381566301,64.32150578862999,84.29479189944118,82.26648910967528,76.06244223406001,40.614829948464994,17.93630435107304,5.0435653579406,18.105686616554966,20.93574832487898,30.243931071678745,87.54922024056623,88.51757713797446,27.983691763086377,9.438004487646351,11.378261196792156,16.816269954411812,48.95352037010688,68.11958793370357,78.79622090458096,baseline,0.3718840550290568,0.30302183732753063,0.12756080406376571,0.0003877957313350078,2.884864685360409e-05,0.12289011166875859,0.09961906337599119,0.002460108768619043,0.0002655310370420117,2.9625826681822628e-05,1.001329872906321,1.096677292637277,6.627870337450264,6.76973926460104,7.7253668262252555,11.451364112278371,11.40807142956303,7.588727773382561,6.144313501243702,6.255630630156584,7.080056945461316,10.42918957265951,13.94384218418634,16.160184111651766,0.13740233374494817,0.05330200308052067,0.0,0.0,0.0,0.39425764230847465,1.580341747520017,381,TrialState.COMPLETE
baseline_v5_E_all_wide_trial_00461,2.0037323076459517,0.8122079286047211,0.6151072621523682,0.512180814117951,0.09069261757275895,0.05318121351218731,0.19622451504885344,4.341288487312408e-06,1061399.8106349094,6395606452831.973,7.855874184130457e+19,2.841672661757337,2.8806247565255063,0.02012412605768237,0.11503439634116283,1.5603309335603,0.3276417226655738,0.0,2.5069148842170206,0.9812257211024987,96.97758767731,6.562009414306945e+18,6.729133031022838e+18,6.040743077870069e+18,-0.04686874922790286,4.662624305846357,3.01375604584869,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.829125000266433e-105,9.913318511163092e-88,5.697002526474757e-106,0.14878079263743954,1.4533367240641346e-19,1.6554422716542082e-18,5.856120038074684e-20,700.0,800.0,1.35,135.5149595798468,183.00545254809677,230.11607811267643,275.08074396145605,38.53737190253679,47.49049296824998,47.110625564579664,92.07529141335928,44.96466584877962,0.75,350.0,2.029892085820796,1.5031286780330242,1.1953999312762607,2.8,77.33104252235998,74.87135901278239,65.97591329574769,1.5005624690392716,0.11469095281863989,68.0610247721293,85.44745974546116,83.65040223762526,77.98534367706999,44.970169826916965,21.749635725552952,6.220660773484073,16.399548840161916,18.818803091484288,27.114918222380233,87.96052007897741,89.33883580379889,25.189224792507872,9.05537917912985,10.788227559002065,15.849234824384613,45.95908750610304,65.81819195261149,79.25161802517314,baseline,0.4374459579376786,0.35933931768994093,0.15437829863755226,0.0005540932733783935,4.283591489956017e-05,0.14173631146000906,0.11566770478235067,0.0029989960286994116,0.0003144734774415899,3.707803385548172e-05,1.000496716589195,1.1394320545330179,5.831962679540422,5.950498578043378,6.754790183234532,10.538363358709939,10.546430407467572,6.622229008611863,5.355424763948964,5.44570249859033,6.116736541960441,9.067743670951291,12.43185784835812,14.527684123308934,0.1148023689534463,0.05548655195796319,0.0,0.0,0.012306930574131344,0.4030688075236681,1.578404624117585,461,TrialState.COMPLETE
baseline_v5_E_all_wide_trial_00296,2.005629736222847,0.7865761624763156,0.6427936362191402,0.5309760347399285,0.1424388283987547,0.016875552689853093,0.20058845295604455,2.950341382042472e-06,1322182.9433918037,7082372054276.218,7.935210598163222e+19,2.6860711140978943,4.385806418263603,0.028232608537216444,0.12728116793409136,1.2428328326710425,0.1766904925911396,0.0,2.4233404910308805,1.0040204328958537,85.67244029794092,9.200309068544193e+18,9.318491629670605e+18,8.83636979164748e+18,-0.02307173715222867,4.255023956134431,3.150310537262761,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.8484115810545264e-105,9.475526200259278e-88,5.459318760181818e-106,0.14185901495197864,1.468013960660196e-19,2.5268797480711044e-18,5.536210995446465e-20,700.0,800.0,1.35,117.35205042535777,152.29775655152613,178.61685110117926,194.12762526544577,31.67961012741685,34.94570612616836,26.31909454965313,41.82986871391964,15.510774164266508,0.75,350.0,1.6542329218944616,1.2746584694421783,1.0868382466079882,2.8,76.01656231347414,73.30546322229023,63.886662216011686,1.1913537820701532,0.08864035532327706,66.22998879248449,85.06303443428514,83.19298027835524,77.47734503970706,42.73361698661312,17.18446209806792,5.918143225094646,17.126834388634528,19.778791103843194,28.471461793258705,87.49761096542167,88.64672626496704,26.282680685111735,8.799498336446923,10.593786482569707,15.590978625137785,47.12939013304911,69.41873216407491,78.23874067495835,baseline,0.3841601559710428,0.31492599680817307,0.13485086568483923,0.0004258210893782209,3.1565786310970105e-05,0.12721897533871687,0.10375442247763562,0.002599205592915376,0.00029623106847386584,3.331682441248191e-05,1.0017170391774533,1.0952486150131169,6.472443141920287,6.600819677058409,7.507025125044761,11.310609431418797,11.264601813923356,7.375063706054756,6.010248253929214,6.109478816597402,6.8879978565654545,10.134393674744855,13.396509506788686,15.84308278312259,0.15874273763327043,0.04906754887064976,0.0,0.0,0.0,0.3861731485057506,1.5316681624035346,296,TrialState.COMPLETE
