label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dg_D1_scale,Dg_D3_scale,Dv,Dv_D1_scale,Dv_D2_scale,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,b_bulk_scale,b_dislocation_scale,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,gd_bubble_scale,gd_line_alpha,gd_line_scale,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v6_trial_01126,1.7410514264406347,0.6009582086321726,0.6155340088250143,0.5103770688199818,0.09588093317582128,0.04945209428023553,0.09200565844950881,7.378380711184697e-07,725094.0451764656,10660303771543.688,6.179817683922614e+19,1.0,1.0,1.0,6.669622046271633,1.0,0.5159352231703486,7.207326386689152,2.6633078290890686,1.360391806749679,95.42761232299262,7.316621413492732e+18,7.542609794581773e+18,6.733191980594684e+18,-0.04930064323873206,3.9648825028632464,4.649371960327916,0.0024351227783911923,0.34082982201606504,0.34082982201606504,12.0,22,0,4.2934800659537927e-19,3.3961754295801056e-105,4.608054642223302e-88,1.9975720834248613e-106,0.05881828323785488,1.1432662715256837e-19,4.334957457147403e-19,0.15862388362572086,3.1960262152578602,7.935927819680891e-21,0.29723008836634546,3.994801087347672,700.0,800.0,1.35,122.36083828783994,162.84610726599294,213.44678981265375,274.6644293094435,26.933225964847324,40.485268978153,50.600682546660806,111.81832204345056,61.21763949678976,0.75,350.0,2.2447086269818346,1.6866502609166238,1.2868051543455943,2.8,0.4383745353551218,0.15676082884792428,60.189386734196326,57.94016900247892,54.44847664065686,1.0508465698731144,0.010571877633296298,59.05784671897624,81.04021541748634,79.86499290023902,78.19314880428566,56.85340384206372,10.030290180735676,2.0230512282010693,34.19851267651981,36.54852874942089,40.0454988871622,92.47207889309641,93.46567437266403,35.43147888521208,13.343005517223219,14.611601751215032,16.23065086462329,36.042168469409695,78.98519277124844,84.7149857710133,capture_only,9.26701950698424,0.6244729916467878,8.862456749067105,0.34421754656496306,0.3273166344682441,0.2881184318506362,0.0032914825782545012,0.0002794016224251563,0.12187335439452526,0.11627070678159582,0.019845726010722056,0.0026740138217600817,0.00029082502320293717,1.0024244306379217,1.5344113401786044,5.2678830427188945,5.18398561363196,5.217906040330307,6.473783054452217,6.523474348080252,5.2641469341706815,5.494905710895924,5.407134641764354,5.473381769296647,7.08458196251587,10.981843034194139,13.261672175762428,0.031062436847721267,0.06110599684273382,0.0,0.0,0.029729645100132776,0.21024036982495298,2.2702619916085918,1126,TrialState.COMPLETE
capture_only_v6_trial_00925,1.7463781355085592,0.5898799597802074,0.6337575862860417,0.5256213873863278,0.12204333833350273,0.03522242777795137,0.10211610711102212,6.992684750567316e-07,727894.9797781971,12273425075386.29,6.325372577564552e+19,1.0,1.0,1.0,5.884158032024938,1.0,0.3315358866821132,7.029709871393187,2.5872432542044135,1.4311689254139333,89.43766315842106,8.633508558070711e+18,8.79419087117296e+18,8.207996660972926e+18,-0.029958716318826916,3.852742562207966,4.914075655018059,0.0023834889336660906,0.3256135283574131,0.3256135283574131,12.0,22,0,4.2934800659537927e-19,3.4359381693505323e-105,9.966808022965021e-89,3.666605589753739e-107,0.010671337518412935,1.1701939268494422e-19,3.678816308396158e-19,0.1503891213917843,2.5919837250654867,7.582050868751077e-21,0.27861638525122095,3.987191884186101,700.0,800.0,1.35,113.39717389636778,147.8886936265071,185.65909153492,220.33172833046316,23.959510737946715,34.491519730139316,37.77039790841292,72.44303470395607,34.672636795543156,0.75,350.0,1.943008990081371,1.4898483645200826,1.186754316790469,2.8,0.2953849907877611,0.12513478595289462,60.845028066239294,58.85433913158614,55.438999806963274,1.2410789028998632,0.05168052062332175,59.85796365934038,81.4259402866688,80.35957004813753,78.72836497869704,56.60499645825201,5.05910496547334,0.7993729522576308,33.85863080616309,35.935565211970264,39.352380267871276,92.60438012953561,93.79783680487562,34.95109500697962,13.371784598804922,14.520159607313234,16.099890315450658,36.855306105929664,85.21783314666287,87.66078415334684,capture_only,6.818742183502663,0.4745206570083229,7.51763456737921,0.35939657503851,0.34084404198727786,0.2958709451374964,0.0030738152778607116,0.0002346161764255645,0.12664605792980477,0.12023066864220125,0.01858392114050904,0.0026661423347008164,0.00027431061033290227,1.003294863672708,1.463409863421862,4.936944552559104,4.869251614456334,4.912748980027941,6.151467152286676,6.150248058324646,4.938751126986738,5.075629056596497,5.000039675907047,5.067129877157345,6.521113514677819,9.720395745529098,11.539568583785245,0.03740053419271803,0.05584687187849409,0.0,0.0,0.00810713707924263,0.21634878176869077,2.3371908506315178,925,TrialState.COMPLETE
capture_only_v6_trial_01157,1.748688470002685,0.5905334981257556,0.6195336172008132,0.5214180033629569,0.08735931541423349,0.06893195492216726,0.08772732636743241,9.485088703969191e-07,620659.5630433239,10878385632977.76,6.119237800559655e+19,1.0,1.0,1.0,6.493248643766252,1.0,0.39332672618087017,7.921879800683162,2.574279094948752,1.2263475958365881,98.23176417472479,6.483524993730533e+18,6.625274208066629e+18,6.108396169032422e+18,-0.03527666153441519,3.820610490039506,4.1857996682810015,0.0025105767607389914,0.34554805662905874,0.34554805662905874,12.0,22,0,4.2934800659537927e-19,3.3794883185357317e-105,6.861682620133214e-88,3.045010796987955e-106,0.09010271703816099,1.1320589931035362e-19,4.437702769949506e-19,0.15033636992148364,3.3498577243817977,6.635095337201295e-21,0.23287328095011478,3.9932668185695954,700.0,800.0,1.35,124.7845992975533,163.34030713065425,209.39057303046425,259.79112124373694,26.55283512282851,38.55570783310095,46.05026589981,96.45081411308269,50.400548213272685,0.75,350.0,2.081916540231506,1.590489976463266,1.240701133216441,2.8,0.5723289628186442,0.17053858309438943,58.20766734038592,56.497052752967875,53.627780453454584,1.3989662509916592,0.029643425308756507,58.42672959985501,80.2559711951189,79.34349695624961,77.94906437188881,58.94695696195402,8.472480090202902,1.1910213642418412,35.98042190183077,37.782813050122435,40.65504455047227,91.86908212732003,93.21958968241363,35.837758816774794,13.858932707634313,14.856680685381082,16.195375169005377,33.61588437292698,80.40192902348565,85.69054574532817,capture_only,7.251903364671257,0.5359000562735218,9.817599283747917,0.36050304463758287,0.3451360925426592,0.30700483052143507,0.003693893926561466,0.0002922724714438974,0.12826706617472,0.1232163258703021,0.022009180698577224,0.002841603172413969,0.00029992751492621085,1.001568035751727,1.6634758387901531,5.451407713145746,5.374998104367022,5.410170165551695,6.7282577277617595,6.750474619806179,5.472983379492005,5.7568290310720664,5.676606032499013,5.7454654794686295,7.4151494844204064,11.122749283139045,13.118132962915077,0.016935433117514206,0.06777234752016004,0.0,0.0,0.020268804690112305,0.2067171459455791,2.0364728427479335,1157,TrialState.COMPLETE
capture_only_v6_trial_00678,1.749291878123438,0.6453901416518809,0.6390549606882837,0.48717505258750404,0.1455893418406518,0.0,0.05130333299117073,1.991041562073914e-06,875893.4171341596,13433603613263.734,5.626953643554472e+19,1.0,1.0,1.0,3.410272461050558,1.0,0.7302393550804286,7.991362675103746,2.59098114323083,1.2115508006065543,82.76452211830686,1.0910458648142756e+19,1.1385051356262009e+19,9.496914619100801e+18,-0.07875246044526173,3.727090068096067,4.127707347814068,0.0023147770432071658,0.35211918509516554,0.35211918509516554,12.0,22,0,4.2934800659537927e-19,3.2407009237521394e-105,1.8370140882049045e-86,4.1733675560503895e-105,1.2877978111038992,1.0409864240575773e-19,2.2718212031397786e-19,0.18986716637526022,1.3992788719095728,8.090127596477583e-21,0.3093430447116805,3.9986378642467386,700.0,800.0,1.35,110.83105506226471,152.92918796012776,203.29538053663106,271.5903114291076,28.066532943957853,42.09813289786305,50.366192576503295,118.66112346897984,68.29493089247654,0.75,350.0,2.450489271951157,1.775922013657181,1.3359394134397005,2.8,0.16955144577621578,0.11704344032719662,66.1984517713963,63.00501875652577,57.13820702963467,0.3478066036856149,0.0006740191042580848,61.435788503160055,84.13857736583083,82.61957727436454,80.06601453797163,44.86390694716464,6.151357438415117,0.8228866200459642,29.03729834684401,32.28520846621674,38.15219159706057,94.12254497864241,94.4172284805745,33.896476959971984,11.377661579442705,12.929698463074008,15.384752522624904,48.99141162976024,84.4006969980945,88.34647397602514,capture_only,9.147085697778667,0.2804122535379173,7.254939174003766,0.4489560059161022,0.4212883157567182,0.3110503274889147,0.0018261091776447112,0.00016656024150492004,0.15556511070788584,0.1460157785590041,0.01312027738127236,0.0017548753753483537,0.00017280559475056094,1.0011840691972094,1.3057024256584295,4.315293875843591,4.288484461500781,4.3985510458158785,5.527822308494382,5.581930940079717,4.40434096167938,4.328195944018579,4.304708484002443,4.441461218550819,6.131561145693855,9.446190688115031,10.830466598334157,0.0,0.036862354395178834,0.0,0.0,0.038997391552884536,0.2121179695183914,1.9879101161079662,678,TrialState.COMPLETE
capture_only_v6_trial_01230,1.749851740884437,0.5989194290811384,0.6253013965895441,0.5164106150184707,0.11507156061818585,0.04124467111123769,0.10475539833988148,5.269699877994629e-07,698913.5205768599,12401117483176.836,6.3639301273968574e+19,1.0,1.0,1.0,7.9356936489141034,1.0,0.4506838122573198,4.666371432340831,2.5965167038475814,1.6345095012115272,90.84108473638335,8.269049220466005e+18,8.484398295020373e+18,7.708574815511035e+18,-0.04164695621573236,3.7931527458935665,5.628639785016897,0.0016764355882078188,0.22872415434849927,0.22872415434849927,12.0,22,0,4.2934800659537927e-19,3.4463944766301473e-105,5.947149263312988e-88,2.5085176089315685e-106,0.07278672322456754,1.1773270735684187e-19,4.218016898291442e-19,0.1740735323240573,2.9478942047332843,7.613634120078532e-21,0.28447222997451815,3.8041444006732865,700.0,800.0,1.35,115.90887979961855,152.96502186996295,196.83101936633963,244.48951928277336,25.067795063235195,37.05614207034441,43.86599749637668,91.5244974128104,47.658499916433726,0.75,350.0,2.1093251846229815,1.5983361182441844,1.2421290103046831,2.8,0.3100922579889235,0.14281872787281424,60.62076627057463,58.91106114293805,55.55684558990576,1.3269305846258366,0.04419670626776217,60.22879849583651,81.57200120893157,80.71724407126203,79.18940846826042,59.24157230328654,10.888980317805926,2.4034812063248068,34.191060000292644,36.003368389479675,39.362723731799676,92.71626978898246,93.98627957872255,34.7016223821679,13.295442068156293,14.255236204855441,15.740578125701429,34.40381932560578,79.52587767119667,85.97079893510023,capture_only,9.092611468276976,0.5202536343277753,8.338521256679353,0.3103482794128871,0.29088500018629204,0.2511002301617607,0.0025530931918307876,0.00020262321894143738,0.10893609118971204,0.10211931725625688,0.015296412913036846,0.0021011445855311102,0.0002290472097964528,1.0061387598453926,1.4683004972045317,4.877825449719836,4.794685467395961,4.829330448132818,5.954246533199872,5.969321091790741,4.855965480634592,5.0236206317224505,4.925400406626269,4.981673227305212,6.339311958194654,9.583040866411865,11.625490811365175,0.040750310669057065,0.05689381791245032,0.0,0.0,0.01885836073815056,0.21341947978770104,2.586380549582603,1230,TrialState.COMPLETE
capture_only_v6_trial_01286,1.7502273537155473,0.6220725656827537,0.6162929185138039,0.5134353994989101,0.095161595273852,0.043400773519593795,0.10467627629466432,3.742898316386507e-07,689412.4178578745,10772055890260.084,6.3627708188551774e+19,1.0,1.0,1.0,4.66641572646777,1.0,0.4600430047012715,6.279190125825655,2.5377938901191404,1.4848524135765757,94.90276230787374,7.0881218970102e+18,7.27485289400568e+18,6.552817643153606e+18,-0.045396133563111965,3.8170816249188317,5.06750095750686,0.0021274621305165387,0.29105557284599093,0.29105557284599093,12.0,22,0,4.2934800659537927e-19,3.446080549822964e-105,7.607470667278987e-88,2.805931345808663e-106,0.08142384675113913,1.1771126014882078e-19,3.688389306418816e-19,0.19209309666190283,2.4327676226328196,7.661497388700531e-21,0.28216083163828637,3.9921490565457387,700.0,800.0,1.35,123.60804435925638,165.17508031174407,212.5938227745975,265.80023173183844,28.70528205138264,41.567035952487686,47.41874246285343,100.62515142009437,53.20640895724094,0.75,350.0,2.1503473589414006,1.6092029816494047,1.2502726008819787,2.8,0.27878513047877806,0.13535337451188947,62.52343212597943,60.00240398322773,55.74016070275907,0.7462423618123765,0.01339242257687474,60.10393147306049,81.75535724959282,80.4539409883312,78.36313953482352,52.590877674731644,8.541211451893458,1.767770904737978,31.484274136053713,34.127518585297636,38.395357798034496,92.39421412111783,93.10909133635869,34.05591346418279,12.405062063434453,13.81654649074911,15.822575243267742,39.72782872573872,79.63555233753414,83.47394921745244,capture_only,8.530185997130367,0.44873111869329263,6.10142062301423,0.48233577662644556,0.4535724323977261,0.3773990108979441,0.0030566508522465712,0.00025022690239112237,0.16887513340811836,0.15906195152338637,0.0202229527748724,0.0027636351885126317,0.00030596680745246477,1.0038568241683925,1.541114874610326,5.5099579613404295,5.416504999076919,5.487082488308496,6.856486866217541,6.877266014162054,5.519116833641581,5.670705553564605,5.570450569396325,5.681461454862982,7.661070646754787,11.820472575383913,14.757973911002141,0.02287144896195142,0.05215393714810716,0.0,0.0,0.022542570629241365,0.20468744074661607,2.3574598192387928,1286,TrialState.COMPLETE
capture_only_v6_trial_00779,1.7502383804517387,0.6177446433718942,0.6482596298886162,0.5046144798218437,0.15107745509647516,0.007564667732410804,0.07525272945109805,1.3855048604023133e-06,922170.4716704335,12473976274726.434,5.945970275422171e+19,1.0,1.0,1.0,3.9844815657870623,1.0,0.5753590132351523,5.696110254301761,2.538067355766857,1.2584381577060044,82.35508469090038,1.0847840215784899e+19,1.1209360714973956e+19,9.839064842023475e+18,-0.056627022203959224,3.82203917283232,4.252957675911954,0.0016993221311003405,0.2652148966241141,0.2652148966241141,12.0,22,0,4.2934800659537927e-19,3.3312992815582034e-105,1.6449725356634088e-86,4.934846648685387e-105,1.4813579422312155,1.1000045009531018e-19,2.999956863532186e-19,0.19495290183194355,1.9662923777519212,7.78145480445735e-21,0.30130378126699126,3.5859840582040885,700.0,800.0,1.35,107.53641091905172,144.6323103770774,187.1948289741493,234.96437149343592,25.181326228151335,37.095899458025684,42.562518597071886,90.33206111635852,47.76954251928663,0.75,350.0,2.1849750190222164,1.6245634940135418,1.2551862291339435,2.8,0.22198771968837241,0.10801884849043286,64.43549360097269,61.55825173969247,56.73880316362346,0.8091974188881622,0.021895236458098277,60.74119151115418,82.72494611690793,81.15225463540335,78.73617000583806,49.26584449106466,8.437460620139829,1.7838626872324903,30.522751993257064,33.471357250943605,38.28628715910527,93.32174475634604,94.09784352430145,34.31542300351232,12.429369175779277,14.056982277394118,16.389503225136735,44.36957244600096,81.89129064150151,86.60195519726807,capture_only,7.805762175602618,0.2800337974267017,6.241373234525165,0.39495413029098647,0.37217378482664126,0.29497754116801367,0.0020286729589305903,0.00016369776253757806,0.1386472288145389,0.13098074211963345,0.013878822041889451,0.0018606507594858776,0.0001984754903822022,1.0013579471373821,1.3488055991170302,4.64680027547924,4.598217224537292,4.6799321361032575,5.867029151806902,5.880097541477901,4.692590736464531,4.70703747849827,4.659782345082883,4.770077486066815,6.350704240892498,9.669388087599186,11.613983640009057,0.015693139237084826,0.04256963494836648,0.0,0.0,0.020249388954115814,0.20942549876644892,2.0451886730561553,779,TrialState.COMPLETE
capture_only_v6_trial_01223,1.7516386255038696,0.6219288253521524,0.6213982855277571,0.5204138982282381,0.10571453185099143,0.03407159383716657,0.0819209954225985,4.50645512364752e-07,705179.0801060614,10923256961147.883,6.037970679620247e+19,1.0,1.0,1.0,7.998298934742338,1.0,0.4112749482866253,6.461559468633244,2.5068969249348645,1.619777741952917,93.1982417934516,7.393068160812229e+18,7.562711816963285e+18,6.951993229057241e+18,-0.03656821112454871,3.5738082982040273,5.369066153264793,0.002200250427224477,0.2853271192169475,0.2853271192169475,12.0,22,0,4.2934800659537927e-19,3.356972504433815e-105,4.374214074972294e-88,1.7620013410417872e-106,0.05248780973673674,1.1170245757297457e-19,4.0281552545023705e-19,0.1725363895088887,2.9429734823396303,7.835333154389809e-21,0.2977482663357808,3.8145069003701235,700.0,800.0,1.35,118.79485358305362,156.8742259852427,202.72758745078045,251.99886036564246,25.596611789602022,38.07937240218908,45.853361465537745,95.12463438039975,49.27127291486201,0.75,350.0,2.121294422821619,1.6063751631791203,1.2430417760820265,2.8,0.4301324112671235,0.16827012046562673,62.63136788420331,61.12517113987202,57.981123187117895,1.5392155491792308,0.04085445677667203,62.49844594816037,82.30217762989314,81.61008332254974,80.28859283885409,62.696423267760125,9.038979455927542,1.79174701188548,31.683983809682395,33.302342338347444,36.44543871609683,91.66611236795592,93.1414307279776,31.93110175880349,12.047555866063163,12.850797883460094,14.110239327858544,30.05828609545043,79.57304207921582,84.5995484433078,capture_only,7.41374458265187,0.5522223705640971,8.95983510064621,0.3770200957687066,0.35513208912374905,0.3055044971681412,0.0032080673939601616,0.0002541875747798025,0.13299317851055079,0.12542833302796277,0.018136795311421917,0.0025769853552302176,0.00027140036036633745,1.0042814089566412,1.426439420989348,5.307628210345601,5.217354432656794,5.267933599617113,6.791464015470871,6.817460627670945,5.30964072055977,5.5172733255331625,5.413690460962212,5.49306926980187,7.227153841478012,11.385401479501404,13.608433144446389,0.05648405965686057,0.04995383024476792,0.0,0.0,0.019014566085838187,0.20572290765854254,2.4262123512744704,1223,TrialState.COMPLETE
capture_only_v6_trial_01408,1.7516553212761257,0.6102760736177254,0.6382283388412638,0.5230797046197361,0.1225243605475077,0.022306231299041624,0.07350787567715672,3.567422162370158e-07,895359.3599971916,10646323599918.906,5.92212922837195e+19,1.0,1.0,1.0,5.660820365407398,1.0,0.3274929517255971,6.429996880554414,2.699032844409,1.5561703580859316,88.80198642398838,9.201349311181088e+18,9.380764398571293e+18,8.691092215902605e+18,-0.033163870647256864,3.9387631499879965,5.49700987819438,0.002165582916640239,0.3168677148430875,0.3168677148430875,12.0,22,0,4.2934800659537927e-19,3.3246139609297886e-105,7.945492204154502e-88,2.769464170741857e-106,0.08330182701775475,1.0955939072488108e-19,3.4855791177968466e-19,0.18907537557391407,2.440491631175436,7.205163847981323e-21,0.2627931193406663,3.9975864447120397,700.0,800.0,1.35,114.23713908096819,149.1265048729174,183.50335421979904,213.61489045980434,25.43515265697981,34.8893657919492,34.37684934688164,64.48838558688695,30.111536240005307,0.75,350.0,1.8699250714638425,1.4324408034765024,1.164092565871782,2.8,0.260421849131678,0.1504161657552045,60.42632755800837,57.93250251862974,53.451555612173806,0.6149429719126991,0.027550109516223602,58.336892308136655,81.37809199785208,80.18704017944593,78.15917755695835,51.465586076817885,4.524675423238543,0.8177961936374893,33.94256679493092,36.552262106528445,41.0380160769969,93.12607268186075,93.74662862792896,36.17007871878815,13.120280639709895,14.41975442291227,16.36935732526405,41.37615018034312,84.93677049852974,86.21926442678745,capture_only,8.98096917847143,0.4281458752657932,8.403606600555946,0.42855266779449125,0.401035902669974,0.33093201219185553,0.0023622554790821717,0.00017714515335398153,0.15003625471505094,0.14040212293292165,0.017086221880882678,0.0024163650864752204,0.0002500294752118299,1.0057285246699905,1.439797714802257,5.202552979266249,5.114199472171858,5.179496298637445,6.256622090747484,6.2256441174014485,5.210609296915822,5.351591107722977,5.252803274708906,5.3553976842650295,7.141177520958124,10.53613771314523,12.962689350099865,0.03781471454093506,0.06034144710210254,0.0,0.0,0.0055312645403873375,0.21005490483054984,2.5954682324185963,1408,TrialState.COMPLETE
capture_only_v6_trial_00796,1.7517139681872098,0.6063113393496596,0.6564811037208228,0.5134479157662742,0.15784152886607433,0.003877920259658003,0.09012250005314729,9.725041699981337e-07,1000802.0602948238,11628265592684.65,6.153079188644192e+19,1.0,1.0,1.0,5.119400728107311,1.0,0.48788847999815976,6.398948765846713,2.473744163928424,1.370982486705569,81.04944767714265,1.1092156652782637e+19,1.1384857277055003e+19,1.0254381878569802e+19,-0.045418103818829055,3.8547741246184493,4.602877915643313,0.0019381221819017307,0.30379600960067443,0.30379600960067443,12.0,22,0,4.2934800659537927e-19,3.388820272449967e-105,1.1880822461102409e-86,3.395960644955272e-105,1.002107037827693,1.1383196498991755e-19,2.8583548454440623e-19,0.1755847840400677,1.8487646026927769,7.796099987690047e-21,0.2908727220883776,3.9784317693480586,700.0,800.0,1.35,105.04968029890671,140.0830615088566,178.31392801213008,216.208238454413,24.000232621764056,35.03338120994988,38.23086650327349,76.1251769455564,37.894310442282915,0.75,350.0,2.0581522746115692,1.543428849466882,1.2125145851742165,2.8,0.23883398531246833,0.09730182387124128,64.93714671642552,62.087929561654576,57.48707394248543,0.9015102029432601,0.03328404685870699,61.131881441720104,82.55233175026143,80.883955252817,78.41623311854681,47.048105339642994,6.364324780857459,1.4930335186858408,30.036505651964003,32.96204714006521,37.56367060707637,93.2450991324163,94.11692619511857,33.955436212040915,12.63245586551005,14.36175375666504,16.75568124770629,46.7000207938826,84.27267342283231,87.0786257948947,capture_only,7.508983574856152,0.30192854241202427,6.120013810557505,0.41082069810127964,0.38662575774681757,0.3106012798332302,0.0022415254002385665,0.00017430900726822022,0.1446769574034069,0.13650423873250903,0.015325092904003931,0.0021190821529084494,0.00022882390990777121,1.002096665788376,1.3505299529319823,4.6155269335092175,4.5633975405334,4.638654170604984,5.851149139240202,5.849615449015475,4.648353700622222,4.670535426825135,4.617786751785455,4.717921729118744,6.236548773570411,9.360882714157327,11.42811186250956,0.02548864423347119,0.040031267674469524,0.0,0.0,0.011782366773940178,0.21705287074339616,2.1919900871857108,796,TrialState.COMPLETE
