label,f_n,K_d,rho_d,fission_rate,Dv_scale,capture_scale,Dg_scale,b_scale,gb_scale,gd_scale,nu_scale,coalescence_d_scale,dt_h,n_modes,use_full_exp,score_total,score_swd,score_swig_diag,score_Nd,score_Rd,score_pressure,highT_penalty,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,swD_3p2_1800K,Rd_1p3_1800K,swD_3p2_2000K,Rd_1p3_2000K
PHYS_0032,1e-08,500000.0,10000000000000.0,7.5e+19,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,1.7755977674156893,0.8447376226000709,2.7450759095292767,0.6174990997441798,0.05824224838869066,0.08178865263577498,0.17333014404697308,2.2662720440942707,2.1185718190484923,105.90258992828282,4.5551605488627753e+18,4.011091482091691,7.943948554695021,0.0,0.0,0.0,21.894852900950333,211.13502247070812,48.666507202348654,432.3749102243818
PHYS_0045,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,1.7895698280419,0.8346875654841309,2.2790327104806085,0.5502072407134151,0.10767618600523503,0.07179025321955314,0.2252085826195656,2.762667891950718,1.173819416613394,93.63535990949728,8.033788951357863e+18,5.131094569591947,4.991505063943146,0.000886110658076602,0.09444353855146069,0.09444353855146069,25.429594375169103,179.94011110404827,51.26042913097828,354.54265443268457
PHYS_0035,1e-08,800000.0,10000000000000.0,5e+19,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,1.86202098076847,0.8931421344800156,3.175888030718832,0.5516341687340068,0.09501093122221549,0.07166436672174119,0.25056937961049086,2.8059321047905676,2.045829021837453,97.9762578430309,7.122394181669019e+18,5.130025144894754,8.038453386077009,0.0,0.0,0.0,26.127751703668583,193.09455345266008,52.52846898052454,399.5611290348512
PHYS_0007,1e-08,800000.0,10000000000000.0,5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,1.9097286639892257,0.9369894404161545,3.16796824701046,0.5510524203761924,0.09218855876424233,0.07344123437584395,0.2560570100567924,2.879111835798075,1.959953938425609,98.85788026743396,7.114363376089057e+18,5.685492258444969,7.470787230995896,0.0007893205977813199,0.15457903137874227,0.15457903137874227,27.97879548731758,194.20750980634574,52.80285050283962,400.35087840560806
PHYS_0061,3e-07,500000.0,30000000000000.0,7.5e+19,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,1.9133484351311454,0.8406153210230756,2.3459962516798756,0.5842039087540118,0.17399539239492756,0.061631581414622494,0.252902231544508,2.862336434148515,1.1542947018804686,80.04026763834621,1.3326204479759049e+19,5.296873397414055,5.0199801777999955,0.0002805629221711217,0.03234000806665973,0.03234000806665973,25.986785009590708,149.4135543773983,52.6451115772254,267.682710799053
PHYS_0064,1e-08,300000.0,10000000000000.0,5e+19,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,1.9232188130767003,0.8640406294235463,3.0183094826642756,0.7410798071091749,0.042066881967927315,0.08763329348461382,0.188398201091438,2.4161895434584006,2.239255414377906,128.54472898441225,2.715686118138937e+18,4.266348907799744,8.484510580575154,0.0,0.0,0.0,22.99950429279831,261.6356615054289,49.4199100545719,576.766578177279
PHYS_0065,1e-06,300000.0,30000000000000.0,7.5e+19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,1.926561405191375,0.8858319812478348,2.498408198531236,0.5458027269062158,0.10395156555883231,0.043766852129530485,0.3472082793489618,2.881293144291413,1.3498228142142608,95.14057178085221,7.987328846770895e+18,5.236258379746823,5.155735920940714,0.0,0.0,0.0,29.04272510767773,195.84869252392141,57.36041396744809,497.75076692197825
PHYS_0008,3e-08,300000.0,10000000000000.0,7.5e+19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,1.9830502066036726,0.8708802135178683,3.2785551901253593,0.7406055612350447,0.04072439006572724,0.059764053545987836,0.27107598823904455,2.4176237838370382,2.3069129576743457,128.57063260153055,2.715656076006791e+18,4.218269995950856,8.799734454287893,0.0,0.0,0.0,24.758684055585448,276.20971831771834,53.55379941195223,732.5824825546895
PHYS_0030,1e-06,300000.0,30000000000000.0,3.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,1.9975836721196663,0.9828516947453169,2.5141644254571083,0.5432113912962462,0.11082563080016428,0.05542512836777117,0.30526982691016796,2.9499889121813885,1.3138667885100455,95.95992172133222,7.970069697410125e+18,5.641533749367987,5.111852731107275,0.00043573296029821495,0.09896582501098165,0.09896582501098165,29.69418537227581,194.9384987460159,55.2634913455084,446.8261030757027
PHYS_0012,1e-07,500000.0,10000000000000.0,3.5e+19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.058257555984735,0.8853200544671709,3.34272882904366,0.6131675807382311,0.06398966726266515,0.03660942981796515,0.45917082369870277,2.3950752398523103,2.3483839068212427,108.07072495949969,4.5300850665928663e+18,4.489712158262221,8.68639612238162,0.0,0.0,0.0,29.06827882245394,242.76449414444852,58.19719678721199,847.6134439772314
PHYS_0071,1e-06,800000.0,30000000000000.0,7.5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.176214190943468,0.8143749694119768,2.4635471890751655,0.6840628647176411,0.2451424336031435,0.031094004847002234,0.4015399183637041,2.7241122622036844,1.2686303225195956,67.16576109639215,2.1463106014233567e+19,5.771967908537705,4.770183483697387,0.0009212124524238818,0.11060607640607178,0.11060607640607178,33.954367928313786,127.5763099764164,60.076995918185204,212.76141834685626
PHYS_0079,1e-06,300000.0,30000000000000.0,5e+19,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.1839254231813854,1.1282107831752297,2.8495373163044255,0.537382461912831,0.08906787114664323,0.04257308876589911,0.3866912181807822,3.3008498298302187,1.3444387265312294,100.14588766085538,7.845810175932748e+18,6.243545626892947,5.204266703481072,0.00020849791850814046,0.032445163220950604,0.032445163220950604,33.63903311118093,211.06706093223698,59.33456090903911,604.149240905308
PHYS_0034,1e-08,800000.0,10000000000000.0,7.5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.2081472861987614,1.1939184137259709,3.8438377755983466,0.5440236969198696,0.06673520418978361,0.05936010217305875,0.3441098691900787,3.3735079696067123,1.9981123390453919,104.95412329945707,6.966178771059821e+18,6.778775056322737,8.056320846659323,0.0013363253349524874,0.17236243140564597,0.17236243140564597,33.109448192631156,212.84175077171008,57.205493459503934,503.35056934026676
