block,parameter,top_n,min,median,max,direction_vs_1
D2_Dv_coalescence_escape,f_n,25,1.8805968972203276e-07,1.986400841519171e-07,2.5464185271757593e-07,near/mixed
D2_Dv_coalescence_escape,K_d,25,329506.9179026951,349732.74510361906,386771.585953793,near/mixed
D2_Dv_coalescence_escape,rho_d,25,36292280005414.64,43347950256174.2,45437988131529.234,near/mixed
D2_Dv_coalescence_escape,fission_rate,25,6.128796358363394e+19,6.326321259963261e+19,6.882221428753351e+19,near/mixed
D2_Dv_coalescence_escape,Dv_scale,25,1.7137626888781141,2.801701305865983,2.9904981173023537,high
D2_Dv_coalescence_escape,Dg_scale,25,0.40001852317987746,0.4019637328608267,0.4390177995474537,low
D2_Dv_coalescence_escape,D2_xe_scale,25,2.8493934065541233,3.933717871862224,4.493043617291536,high
D2_Dv_coalescence_escape,b_scale,25,0.3504599646453592,0.4304234131596001,0.5328690047927964,low
D2_Dv_coalescence_escape,gb_scale,25,2.955529917684304,3.94672845263979,3.9990550147385666,high
D2_Dv_coalescence_escape,gd_scale,25,3.6423778864645575,3.789377981182612,3.996502152259293,high
D2_Dv_coalescence_escape,coalescence_d_scale,25,0.21207738320973774,0.35897529570463926,0.4386620404021287,low
D2_Dv_coalescence_escape,capture_scale,25,0.12952010410021447,0.23557092932245002,0.26396196019708756,low
