label,xe_diffusivity_mode,vacancy_diffusivity_mode,T,burnup,rho_d_eff,c,mb,md,Nb,Nd,Rb_nm,Rd_nm,swelling_b_percent,swelling_d_percent,swelling_ig_percent,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,q_gb,generated,retained,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,Dg,Dv,Dv_dislocation,beta,g_b,g_d,b_b,b_d,b_b_gas,b_d_gas,dVd_growth_dt,dnvb_dt,dnvd_dt,nvb_seed_added,nvd_seed_added,bulk_first_gas_seed_applied,dislocation_first_gas_seed_applied,first_gas_pressure_factor,seed_pressure_factor,seed_gas_atoms_per_bubble,D1_Xe,D2_Xe,D2_Xe_scaled,D3_Xe,D1_Xe_i_2023,D2_Xe_i0_2023,D2_Xe_i1_2023,D1_XeVU_2023,D2_XeVU_2023,Dg_D1_scaled,Dg_D3_scaled,D2_Xe_over_Dg_unscaled,Dg_dislocation_scale,Dg_dislocation,Dv1,Dv2,Dv1_scaled,Dv2_scaled,Dv_dislocation_scale,A20_vU_active,Gamma_d,den,free_dislocation,term_bubbles,term_dislocation,term_bubbles_scaled,term_dislocation_scaled,g_b_unscaled,g_d_unscaled,psi_b,psi_d,porosity_b,porosity_d,valid_single_size
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,900.0,1.1,52928288626082.14,6.938527066727314e+23,4.720957506646362e+25,3.450505042747703e+25,1.6293720777391813e+22,1.5618641894580746e+19,4.194312208032916,39.734984954885206,0.5036062861001969,0.41044128207698277,0.9140475681771797,573290259.4746021,529288209.816206,365992570.70724493,55870160.82982215,1.0831343847120187,6.550769950744206,0.7678271780734225,52.242780712283924,38.183774804394005,8.805617305248656,7.957261185389797e+24,9.036573938600317e+25,8.240847820061337e+25,1.0103368643286488,3685593793494867.5,0.00034531821420829244,4.526391052161658e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.862128815240435e-19,5.097673414690816e-25,2.548836707345408e-24,1.3848e+19,0.0006184671961984025,0.00021412299997431203,8.78888057189546e-06,4.314625927475255e-06,8.78888057189546e-06,4.314625927475255e-06,4.978083557596561e-30,9.455577636363295e+18,3.5533157725673626e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.4966082885114063e-31,9.584028308143428e-25,9.584028308143428e-25,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.4966082885114063e-31,6.86211923120963e-19,1.3966552605159195e-06,3.0,2.0586386445721304e-18,5.119872410101689e-34,5.097673409570944e-25,5.119872410101689e-34,5.097673409570944e-25,5.0,,7.754988136023055e-08,3.2027999512629544,51687093390028.734,5.379824124325127e-06,0.00020874317584998692,5.379824124325127e-06,0.00020874317584998692,0.0006184671961984025,0.00021412299997431203,0.17140772105287605,0.16010946702609088,0.0050360628610019685,0.004104412820769828,True
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,950.0,1.1,52880197591016.4,6.90018767195103e+23,4.717052263136758e+25,3.456687026321625e+25,1.6134054340925598e+22,1.5562075836892617e+19,4.239485722682933,41.84679586976053,0.5149578177967192,0.4776862804522258,0.992644098248945,542676254.4598066,523648419.93030375,246581829.9868602,53050656.65981429,1.0363370418114417,4.6480448219153745,0.7635844866466955,52.19956473755568,38.252185505351314,8.784665270446308,7.93832772422424e+24,9.036573938600317e+25,8.242741166177893e+25,1.0120448005328393,3645198008683448.0,0.00034221642391498114,4.501939892394254e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.862476621496718e-19,1.4263125960570472e-24,7.131562980285236e-24,1.3848e+19,0.0006187195037052252,0.0002139266781767652,8.749993066604245e-06,4.278749885683847e-06,8.749993066604245e-06,4.278749885683847e-06,8.702908628506775e-30,1.0649707711718255e+19,5.478385321591607e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,7.498646671560408e-30,3.573902121010292e-23,3.573902121010292e-23,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,7.498646671560408e-30,6.86211923120963e-19,5.2078896849208036e-05,3.0,2.0587429864490154e-18,2.284501093225007e-32,1.4263125732120364e-24,2.284501093225007e-32,1.4263125732120364e-24,5.0,,7.758513658521285e-08,3.2032544614832275,51577779311934.51,5.643977192938397e-06,0.0002082827009838268,5.643977192938397e-06,0.0002082827009838268,0.0006187195037052252,0.0002139266781767652,0.1726860352733466,0.16841505936769813,0.005149578177967192,0.004776862804522258,True
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,1000.0,1.1,52807665750420.92,6.867259349346569e+23,4.708326916403769e+25,3.4673340123702325e+25,1.5992234072463236e+22,1.548628473188923e+19,4.274660669679039,44.30922614832253,0.5232421037426592,0.5643107778096772,1.0875528815523365,528352338.4499492,519339468.4511152,177574006.49973866,50102432.22413049,1.0173544868941198,3.5442192847119887,0.7599405920879617,52.10300882164913,38.37000655258613,8.767044033676767,7.922404163328486e+24,9.036573938600317e+25,8.244333522267468e+25,1.014251103562394,3612704540806321.5,0.0003398362519199419,4.4662656716255077e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.866596745302428e-19,3.542021295984409e-24,1.7710106479922047e-23,1.3848e+19,0.0006184997269960447,0.00021373652559246507,8.720099616140182e-06,4.241088054234431e-06,8.720099616140182e-06,4.241088054234431e-06,1.3332037961680423e-29,1.172476042998246e+19,7.865152113817829e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.6026995865756309e-28,4.477512490098069e-22,4.477512490098069e-22,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.6026995865756309e-28,6.86211923120963e-19,0.0006520715656065316,3.0,2.0599790235907283e-18,6.972208708889678e-31,3.542020598763538e-24,6.972208708889678e-31,3.542020598763538e-24,5.0,,7.763840027037775e-08,3.203940745127247,51435332608918.836,5.948869810175591e-06,0.00020778765578228947,5.948869810175591e-06,0.00020778765578228947,0.0006184997269960447,0.00021373652559246507,0.17360713138662157,0.17803529765527426,0.005232421037426592,0.005643107778096772,True
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,1050.0,1.1,52698592163433.53,6.826629659467322e+23,4.698448071628483e+25,3.4788574016783143e+25,1.5844862688765225e+22,1.5388534195855886e+19,4.307122421339084,47.00193630196077,0.5303208925308609,0.6693189360537554,1.1996398285846162,520130358.2769694,515425331.0751734,134984429.8476787,47232096.68933126,1.009128436105345,2.8578962042599483,0.7554444533792753,51.99368813393707,38.49752600173111,8.75334141095254,7.910021686988465e+24,9.036573938600317e+25,8.24557176990147e+25,1.0169349512055599,3580464308902668.5,0.00033741189462582977,4.423380800985295e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.886439551203305e-19,7.958878129400058e-24,3.9794390647000295e-23,1.3848e+19,0.0006190183366596659,0.00021386554543747534,8.69280884810492e-06,4.2042754906750865e-06,8.69280884810492e-06,4.2042754906750865e-06,1.8786524718188764e-29,1.289740068411386e+19,1.0659874825681422e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.558981501392922e-27,2.432029440386027e-21,2.432029440386027e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.558981501392922e-27,6.86211923120963e-19,0.00353162098106425,3.0,2.0659318653609914e-18,1.5366002896313797e-29,7.958862763397163e-24,1.5366002896313797e-29,7.958862763397163e-24,5.0,,7.771870527611224e-08,3.204974557035679,51252056526635.4,6.286948101148688e-06,0.00020757859733632665,6.286948101148688e-06,0.00020757859733632665,0.0006190183366596659,0.00021386554543747534,0.1743865204756948,0.18845646362353713,0.005303208925308609,0.006693189360537553,True
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,1100.0,1.1,52535288267362.695,6.769751152202969e+23,4.689816199514561e+25,3.48883820812907e+25,1.5679645925481002e+22,1.526509545161968e+19,4.3407204531460035,49.82408874543278,0.5371682234837744,0.7908720488416756,1.32804027232545,514133493.6773535,511435837.4290197,107188430.45250148,44556760.71353138,1.0052746719156305,2.4056603024094962,0.7491501976524017,51.89816662133095,38.60797501170514,8.744708169311501,7.902220194346559e+24,9.036573938600317e+25,8.246351919165661e+25,1.020054471342692,3544165713204514.5,0.0003345073482694241,4.375352205478566e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.931473046467114e-19,1.6432407269475763e-23,8.216203634737881e-23,1.3848e+19,0.0006211537530392972,0.00021451826899403765,8.6648587450577e-06,4.169833955551247e-06,8.6648587450577e-06,4.169833955551247e-06,2.495514233985655e-29,1.4312199110758017e+19,1.3782096545633755e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.1761352235744896e-26,6.935349764396125e-21,6.935349764396125e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,3.1761352235744896e-26,6.86211923120963e-19,0.01000559292072987,3.0,2.079441913940134e-18,2.556484784617257e-28,1.64321516209973e-23,2.556484784617257e-28,1.64321516209973e-23,5.0,,7.783940433498273e-08,3.2065263769105026,51014202891977.97,6.652512493882058e-06,0.0002078657565001556,6.652512493882058e-06,0.0002078657565001556,0.0006211537530392972,0.00021451826899403765,0.1751338538893721,0.19923642588632423,0.005371682234837744,0.007908720488416756,True
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,1150.0,1.1,52292397456230.49,6.711180504020456e+23,4.687735815058785e+25,3.491969635076554e+25,1.5529025047050362e+22,1.5110897156692888e+19,4.374825950915857,52.691058216025795,0.5446470286137723,0.9259544462940932,1.4706014749078657,509129330.61111045,507448759.0838328,88126462.14906248,42132385.93345987,1.0033118053738308,2.0916561024633533,0.742668687228155,51.87514479392255,38.642627823365416,8.739558695483884,7.897566834247745e+24,9.036573938600317e+25,8.246817255175543e+25,1.0235374180568786,3508679964518604.0,0.00033144000501210825,4.32727634876069e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.982186324023495e-19,3.156599397790676e-23,1.578299698895338e-22,1.3848e+19,0.0006243297958334742,0.000214960417759558,8.636789927626369e-06,4.1385146333095654e-06,8.636789927626369e-06,4.1385146333095654e-06,3.1677166075618157e-29,1.604285912715983e+19,1.7117479385922875e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.1667589742037936e-25,1.200639260548906e-20,1.200639260548906e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,3.1667589742037936e-25,6.86211923120963e-19,0.01719574936603863,3.0,2.0946558972070484e-18,3.330768464716398e-27,3.156266320944204e-23,3.330768464716398e-27,3.156266320944204e-23,5.0,,7.80199714282611e-08,3.208843429358311,50700038589367.96,7.0135801450258594e-06,0.00020794683761453213,7.0135801450258594e-06,0.00020794683761453213,0.0006243297958334742,0.000214960417759558,0.17594288657905258,0.20998899763174178,0.005446470286137724,0.009259544462940932,True
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,1200.0,1.1,51934651271195.56,6.676825009568044e+23,4.699387244336046e+25,3.4810766528413105e+25,1.5447775739240277e+22,1.4918893592511003e+19,4.406489403102153,55.53644943481782,0.5536467507535657,1.070433170352922,1.6240799211064874,504922437.3299363,503802414.3294496,74461766.69006144,39973747.378387526,1.0022231394067007,1.8627667300044137,0.7388668598225648,52.00408115140082,38.52208454768088,8.734967441095739,7.893417913272806e+24,9.036573938600317e+25,8.247232147273036e+25,1.0272816505413809,3483343819686098.0,0.000328887286489248,4.285665318523487e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.003178262650793e-19,5.701035051863441e-23,2.8505175259317203e-22,1.3848e+19,0.0006272302407202044,0.00021393214058926653,8.611001208893321e-06,4.110541033065074e-06,8.611001208893321e-06,4.110541033065074e-06,3.872389826910156e-29,1.808228112868792e+19,2.0509244741225017e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.6067819204802983e-24,1.4103296362195756e-20,1.4103296362195756e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.6067819204802983e-24,6.86211923120963e-19,0.02013842263220853,3.0,2.100953478795238e-18,3.503783313863259e-26,5.697531268549577e-23,3.503783313863259e-26,5.697531268549577e-23,5.0,,7.828822629494863e-08,3.212275816577413,50277630257731.16,7.318839755858277e-06,0.00020661330083340826,7.318839755858277e-06,0.00020661330083340826,0.0006272302407202044,0.00021393214058926653,0.17690668799793857,0.22038727724672527,0.005536467507535657,0.010704331703529218,True
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,1250.0,1.1,51415262280369.14,6.673370983707862e+23,4.7291940975217975e+25,3.4516595602914976e+25,1.5455629139864046e+22,1.4679025013522674e+19,4.435075658199789,58.32690559638579,0.5647788128418841,1.2200921401110196,1.7848709529529039,501340971.0946492,500555158.7142721,64280845.733769566,38061336.827331394,1.0015698816937488,1.6888751444907277,0.7384846324559048,52.33392798702985,38.196550858146665,8.731036522367571,7.889865709499434e+24,9.036573938600317e+25,8.247587367650374e+25,1.031181001401161,3470610517339621.0,0.0003269792673792932,4.252699531722752e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.98479617433372e-19,9.777167924489774e-23,4.888583962244887e-22,1.3848e+19,0.0006297758613675844,0.000210939182821364,8.587938703539794e-06,4.085689410002718e-06,8.587938703539794e-06,4.085689410002718e-06,4.5842858911126126e-29,2.035310689957031e+19,2.3780543251015995e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.8128222181985484e-23,1.2249566090226921e-20,1.2249566090226921e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.8128222181985484e-23,6.86211923120963e-19,0.017537471079312358,3.0,2.095438852300116e-18,3.0533079764031822e-25,9.746634844725743e-23,3.0533079764031822e-25,9.746634844725743e-23,5.0,,7.868266041888159e-08,3.217301397592564,49702964449000.92,7.541779091468419e-06,0.0002033974037298956,7.541779091468419e-06,0.0002033974037298956,0.0006297758613675844,0.000210939182821364,0.17808450442413234,0.23021354710610617,0.0056477881284188415,0.012200921401110197,True
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,1300.0,1.1,50676727061880.91,6.686169267499815e+23,4.7784695456178425e+25,3.4022446521997633e+25,1.5533332084243082e+22,1.4377481330223604e+19,4.462958422786128,61.07986352862586,0.5783913098291347,1.3723522406687474,1.9507435504978818,497998857.09344447,497427891.92602473,56376613.17009683,36345857.23917947,1.0011478350464205,1.551115242628669,0.73990090856662,52.87921703607489,37.64971852514649,8.731163530212,7.88998048107713e+24,9.036573938600317e+25,8.247575890492604e+25,1.035170087340185,3465214353762096.0,0.00032523277765251644,4.225837062907385e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.947318782112526e-19,1.613578386741366e-22,8.06789193370683e-22,1.3848e+19,0.0006333240760851882,0.00020636700659892017,8.565639144215286e-06,4.063341633348064e-06,8.565639144215286e-06,4.063341633348064e-06,5.284300859396822e-29,2.2753469411189613e+19,2.6775118577643254e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.085968502764781e-22,8.411358240013143e-21,8.411358240013143e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.085968502764781e-22,6.86211923120963e-19,0.012107344579710556,3.0,2.0841956346337578e-18,2.2525702314749626e-24,1.5910526844266164e-22,2.2525702314749626e-24,1.5910526844266164e-22,5.0,,7.925392589262288e-08,3.2245355410979926,48920445221157.8,7.692756233423796e-06,0.00019867425036549638,7.692756233423796e-06,0.00019867425036549638,0.0006333240760851882,0.00020636700659892017,0.1795039128089407,0.23941711796101342,0.005783913098291346,0.013723522406687474,True
6test_UN,rizk2025_refit_plot,rizk2025_refit_full,1350.0,1.1,49657074520921.81,6.696875085827635e+23,4.847871994651615e+25,3.33200886127693e+25,1.5654582256529647e+22,1.3996223420426125e+19,4.493087678892014,63.909116531214465,0.5947915266292264,1.5303399567325802,2.1251314833618062,494511490.5879131,494092294.3545691,49798381.98765262,34736828.17874205,1.000848416860845,1.4335903592409112,0.7410856295018508,53.64723431237156,36.872479370129824,8.739200687996753,7.897243318134943e+24,9.036573938600317e+25,8.246849606786823e+25,1.0393328436954223,3460582692913996.5,0.00032307691783976236,4.2004906323855634e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.9159361141840075e-19,2.636149257376736e-22,1.318074628688368e-21,1.3848e+19,0.0006394815009517866,0.00020071367764070127,8.541754185414183e-06,4.042332926983965e-06,8.541754185414183e-06,4.042332926983965e-06,5.968895003730321e-29,2.524442631109068e+19,2.939761170056048e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,5.697567307150379e-22,4.811931566722714e-21,4.811931566722714e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,5.697567307150379e-22,6.86211923120963e-19,0.006957744385252264,3.0,2.0747808342552023e-18,1.433166365515074e-23,2.4928326208252284e-22,1.433166365515074e-23,2.4928326208252284e-22,5.0,,8.006348656130071e-08,3.2346984934607375,47868168586817.89,7.799075529159783e-06,0.00019291460211154148,7.799075529159783e-06,0.00019291460211154148,0.0006394815009517866,0.00020071367764070127,0.1811847291006578,0.24827289358225044,0.005947915266292264,0.015303399567325801,True
