label,burnup,T,rho_d_eff,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Rb_nm,Rd_nm,Nb,Nd,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,psi_b,psi_d,porosity_b,porosity_d,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,Dg,Dv,Dv1,Dv2,A20_vU_active,g_b,g_d,b_b,b_d,max_f_cap_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,f_cap_step_final,cap_raw_step_final,term_bubbles,term_dislocation
manual_Rizk2025_capture,1.1,900.0,30000000000000.0,0.747656958963669,0.07711966273630677,0.8247766216999757,3.141490093240192,23.09095825709717,5.757138628757549e+22,1.4953768181459556e+19,706704158.7048336,706671017.2911131,96139595.37017205,96141527.57465868,1.0000468979382338,0.9999799024985834,0.19553933174402321,0.09170401994862541,0.00747656958963669,0.0007711966273630677,3.138277515498483,80.65364621550188,3.9833157858568953,12.224760483142749,9.250000000033911e-20,4.074771230498373e-16,2.727273770837793e-34,4.074771230498373e-16,1.32e-19,0.0002238551136646957,5.2906188438958446e-06,8.564504453571466e-06,4.17026275820645e-06,2.8743494338256936e-05,0.0009060758327941112,0.0009060758327941112,2.5310903984134646e+18,0.0,0.0,4.050210492311021e-07,4.885597794664743e-06
manual_Rizk2025_capture,1.1,950.0,30000000000000.0,0.7556174904327171,0.08060892499793021,0.8362264154306474,3.156833287642369,23.435174679283474,5.734010059847085e+22,1.4951677989929925e+19,703269514.7363944,703236375.7346123,94727509.52367358,94729398.45259461,1.0000471235603354,0.9999800597390897,0.1962308721234387,0.09306671322117982,0.007556174904327171,0.0008060892499793021,3.131390591988065,80.67291742568453,3.9918621681612767,12.20382981416612,9.250000000968898e-20,1.2269960149005285e-15,1.2701816746368393e-32,1.2269960149005285e-15,1.32e-19,0.00022397648356115759,5.294844879841572e-06,8.548024289745593e-06,4.155526775315911e-06,2.9981665202128582e-05,0.0009458451065813522,0.0009458451065813522,2.64779878707508e+18,0.0,0.0,4.1094676547216886e-07,4.883898114369403e-06
manual_Rizk2025_capture,1.1,1000.0,30000000000000.0,0.7636574200258941,0.08417499406698027,0.8478324140928745,3.172238665640132,23.77691653619936,5.711003201372604e+22,1.494954191857812e+19,699854376.9419647,699821241.0830767,93366018.93544395,93367867.8065822,1.0000473490327855,0.9999801979933602,0.19692439745665558,0.09441935546561503,0.007636574200258941,0.0008417499406698027,3.1245213995995447,80.6925360325784,3.9999689571694943,12.182973610652546,9.250000019797957e-20,3.206480234158166e-15,4.0289255205478195e-31,3.2064802341581655e-15,1.32e-19,0.00022409851792351416,5.299038150921463e-06,8.531569617431685e-06,4.1412923194519686e-06,3.124633797929743e-05,0.000986432656612489,0.000986432656612489,2.7662258622166385e+18,0.0,0.0,4.1682653158359064e-07,4.8822116193378725e-06
manual_Rizk2025_capture,1.1,1050.0,30000000000000.0,0.7717771867162766,0.08781654525552528,0.8595937319718019,3.1877060516706197,24.116136900171742,5.688117078170195e+22,1.4947360769080533e+19,696458700.7277358,696425568.7366587,92052732.84168763,92054544.60594766,1.0000475743461532,0.9999803185788624,0.19761988655291748,0.095761759244215,0.007717771867162766,0.0008781654525552528,3.117670009186262,80.71248844396015,4.00765017810883,12.162191368744747,9.250000303506631e-20,7.452710840154398e-15,9.194528317869608e-30,7.452710840154388e-15,1.32e-19,0.00022422118811509954,5.303198207534466e-06,8.515141067019025e-06,4.1275371741077395e-06,3.2540112417681416e-05,0.00102782307620759,0.00102782307620759,2.8862661476322376e+18,0.0,0.0,4.2265952982103077e-07,4.880538677713435e-06
manual_Rizk2025_capture,1.1,1100.0,30000000000000.0,0.7799772312093493,0.09153225291366972,0.8715094841230189,3.2032354119332225,24.452798178428974,5.665349994309213e+22,1.4945135343665785e+19,693082408.6816669,693049281.2765771,90785378.51760362,90787155.88297671,1.000047799494184,0.9999804227221814,0.1983173185529564,0.09709377437788647,0.0077997723120934925,0.0009153225291366972,3.1108358461634857,80.73276100088503,4.014919923910287,12.141483229041203,9.250003630270021e-20,1.5707055915369582e-14,1.5790075123891412e-28,1.5707055915369424e-14,1.32e-19,0.00022434450769044276,5.307326170308671e-06,8.498739108163001e-06,4.114240095567521e-06,3.38761043556796e-05,0.0010700010735683033,0.0010700010735683033,3.0078157231244e+18,0.0,0.0,4.2844522502404143e-07,4.87888094528463e-06
manual_Rizk2025_capture,1.1,1150.0,30000000000000.0,0.7882580359970554,0.09532086972406395,0.8835789057211193,3.218828007571165,24.786877731368456,5.6426937870875605e+22,1.4942866397612945e+19,689725145.008126,689692022.928292,89561773.75792927,89563519.21607822,1.000048024449657,0.99998051150553,0.19901667629555583,0.09841531013981351,0.007882580359970554,0.0009532086972406394,3.1040126986606795,80.75333776405037,4.021794702436438,12.120854834852505,9.25003499374962e-20,3.048336544478503e-14,2.1176796565805712e-27,3.048336544478291e-14,1.32e-19,0.00022446885631981946,5.311436107078576e-06,8.482362846202307e-06,4.101380547731497e-06,3.523858867284152e-05,0.0011129523730128597,0.0011129523730128597,3.130771408505184e+18,0.0,0.0,4.341843924937347e-07,4.877251714584841e-06
manual_Rizk2025_capture,1.1,1200.0,30000000000000.0,0.7966204289816542,0.09918178188034846,0.8958022108620025,3.2344945485009604,25.118412924083614,5.620093743490095e+22,1.494055430676231e+19,686384558.5585583,686351442.7714427,88379664.21533483,88381380.09394126,1.0000482490238265,0.9999805855192055,0.19971797156856178,0.09972651335920316,0.007966204289816542,0.0009918178188034845,3.0971538755281594,80.77418489137021,4.028310072989123,12.100351160112526,9.250279278649073e-20,5.5158506940891876e-14,2.2875995051503872e-26,5.5158506940869e-14,1.32e-19,0.00022459724636807746,5.315634746998385e-06,8.466001568178489e-06,4.088937009137108e-06,3.662768938782334e-05,0.0011566700813525554,0.0011566700813525554,3.25502365473984e+18,0.0,0.0,4.398865055118988e-07,4.875748241486486e-06
manual_Rizk2025_capture,1.1,1250.0,30000000000000.0,0.8050675134668389,0.10311840460555312,0.9081859180723921,3.250303478910435,25.447773900810454,5.597214554062852e+22,1.4938197034206114e+19,683046251.640651,683013144.5892515,87235804.42498362,87237493.09676546,1.000048472056009,0.9999806428208573,0.2004214042575484,0.10102884664563772,0.00805067513466839,0.0010311840460555312,3.0899686174006162,80.79515937959502,4.034618230095862,12.080253772908494,9.251887648857636e-20,9.400122277669854e-14,2.04276376157652e-25,9.400122277649427e-14,1.32e-19,0.00022474860659122547,5.3205889004004775e-06,8.449585016730314e-06,4.076877284385255e-06,3.804554283215917e-05,0.0012011936365100729,0.0012011936365100729,3.3804125489460403e+18,0.0,0.0,4.456137362409965e-07,4.874975164159481e-06
manual_Rizk2025_capture,1.1,1300.0,30000000000000.0,0.8136151068707014,0.10715600030060633,0.9207711071713077,3.2666252201847774,25.777056951435405,5.572273985255463e+22,1.4935779461355893e+19,679633547.2793328,679600459.3004475,86121433.0586125,86123097.92318548,1.0000486873992396,0.9999806687797683,0.20112821591617844,0.10233059474724518,0.008136151068707013,0.0010715600030060633,3.0809071158415198,80.81555355458302,4.041476204988764,12.06206312458671,9.261014568641824e-20,1.5213567242925693e-13,1.5413983851648154e-24,1.5213567242771553e-13,1.32e-19,0.00022502430270730813,5.329867949870848e-06,8.432733635088687e-06,4.06511063374832e-06,3.9505207299243135e-05,0.0012468130321832427,0.0012468130321832427,3.5064993281688033e+18,0.0,0.0,4.5170466853239853e-07,4.87816328133845e-06
manual_Rizk2025_capture,1.1,1350.0,30000000000000.0,0.8223402915324767,0.11142274980821139,0.9337630413406881,3.285202403602224,26.11623410018935,5.537026021894938e+22,1.4933224849625793e+19,675790472.3983052,675757450.306797,85002949.00516625,85004598.7290298,1.0000488667812588,0.9999805925339543,0.20184462544093734,0.10367115986381116,0.008223402915324767,0.001114227498082114,3.0628008634466855,80.8321055124246,4.052361334479261,12.052732289649443,9.306398766906381e-20,2.3544547917058354e-13,1.001375772996815e-23,2.354454791605698e-13,1.32e-19,0.0002258973431626392,5.360156279848996e-06,8.413673269286441e-06,4.053282898617762e-06,4.1071061850123554e-05,0.0012949972278733662,0.0012949972278733662,3.6315451698680223e+18,0.0,0.0,4.597640241456255e-07,4.90039225570337e-06
