label,burnup,T,rho_d_eff,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Rb_nm,Rd_nm,Nb,Nd,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,psi_b,psi_d,porosity_b,porosity_d,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,Dg,Dv,Dv1,Dv2,A20_vU_active,g_b,g_d,b_b,b_d,max_f_cap_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,f_cap_step_final,cap_raw_step_final,term_bubbles,term_dislocation
manual_Rizk2025_capture_literalDv,1.1,900.0,30000000000000.0,0.7476569589682416,0.07711966274183911,0.8247766217100808,3.1414900932566896,23.090958257651383,5.757138628702058e+22,1.4953768181455573e+19,706704158.681341,706671017.2874019,96139595.36043334,96141527.57235116,1.0000468979102417,0.9999799024212886,0.19553933174442178,0.0917040199508183,0.0074765695896824155,0.0007711966274183911,3.1382775155084324,80.6536462155356,3.9833157858992294,12.224760483056741,9.250000000033911e-20,0.0021380341391422026,2.727273770837793e-34,0.0021380341391422026,1.32e-19,0.00022385511366362652,5.290618843902638e-06,8.564504453553795e-06,4.170262758182392e-06,2.8743495596735396e-05,0.0009060758304878632,0.0009060758304878632,2.531090279733733e+18,0.0,0.0,4.0502104924062867e-07,4.885597794662009e-06
manual_Rizk2025_capture_literalDv,1.1,950.0,30000000000000.0,0.7556174904345699,0.08060892500024537,0.8362264154348154,3.1568332876490257,23.435174679508698,5.734010059824869e+22,1.4951677989928272e+19,703269514.7274966,703236375.7331293,94727509.5199336,94729398.4516842,1.0000471235497919,0.9999800597092192,0.19623087212359908,0.09306671322207082,0.0075561749043457,0.0008060892500024537,3.1313905919920795,80.6729174256987,3.9918621681782724,12.203829814130946,9.250000000968898e-20,0.0007100267559309292,1.2701816746368393e-32,0.0007100267559309292,1.32e-19,0.00022397648356072724,5.294844879844331e-06,8.548024289738503e-06,4.155526775306401e-06,2.9981665726852378e-05,0.0009458451056227635,0.0009458451056227635,2.6477987375054336e+18,0.0,0.0,4.109467654760382e-07,4.883898114368293e-06
manual_Rizk2025_capture_literalDv,1.1,1000.0,30000000000000.0,0.7636574200267439,0.0841749940680846,0.8478324140948285,3.172238665643192,23.776916536303762,5.711003201362434e+22,1.4949541918577318e+19,699854376.9381051,699821241.0824016,93366018.93380047,93367867.80617224,1.000047349028235,0.9999801979801488,0.19692439745672857,0.09441935546602791,0.007636574200267438,0.000841749940680846,3.124521399601383,80.69253603258439,3.9999689571772614,12.182973610636978,9.250000019797957e-20,0.0002716997880477272,4.0289255205478195e-31,0.0002716997880477272,1.32e-19,0.00022409851792331542,5.299038150922742e-06,8.531569617428444e-06,4.1412923194476775e-06,3.1246338228947534e-05,0.0009864326561577709,0.0009864326561577709,2.766225838599585e+18,0.0,0.0,4.168265315853827e-07,4.882211619337359e-06
manual_Rizk2025_capture_literalDv,1.1,1050.0,30000000000000.0,0.771777186716726,0.08781654525611257,0.8595937319728386,3.1877060516722033,24.116136900225744,5.68811707816503e+22,1.494736076908008e+19,696458700.7258598,696425568.7363127,92052732.84088056,92054544.60574153,1.0000475743439563,0.9999803185723342,0.19761988655295584,0.09576175924442847,0.00771777186716726,0.0008781654525611257,3.1176700091872207,80.71248844396438,4.007650178112812,12.16219136873558,9.250000303506631e-20,0.00011689706184574747,9.194528317869608e-30,0.00011689706184574747,1.32e-19,0.00022422118811499914,5.303198207535126e-06,8.515141067017355e-06,4.127537174105579e-06,3.254011255708036e-05,0.001027823075967195,0.001027823075967195,2.8862661350977505e+18,0.0,0.0,4.226595298219563e-07,4.88053867771317e-06
manual_Rizk2025_capture_literalDv,1.1,1100.0,30000000000000.0,0.7799772312096032,0.09153225291401111,0.8715094841236143,3.2032354119341115,24.452798178459513,5.665349994306341e+22,1.494513534366553e+19,693082408.6806673,693049281.2763847,90785378.51716915,90787155.88286331,1.0000477994930195,0.9999804227186447,0.19831731855297793,0.09709377437800717,0.007799772312096031,0.0009153225291401112,3.11083584616402,80.73276100088745,4.014919923912521,12.141483229036014,9.250003630270021e-20,5.546551847106669e-05,1.5790075123891412e-28,5.546551847106669e-05,1.32e-19,0.00022434450769038682,5.307326170309044e-06,8.49873910816207e-06,4.114240095566329e-06,3.3876104436638955e-05,0.001070001073429248,0.001070001073429248,3.007815715849242e+18,0.0,0.0,4.2844522502456474e-07,4.878880945284479e-06
manual_Rizk2025_capture_literalDv,1.1,1150.0,30000000000000.0,0.7882580359972028,0.09532086972427714,0.8835789057214799,3.218828007571696,24.786877731387026,5.64269378708582e+22,1.4942866397612786e+19,689725145.0075514,689692022.9281782,89561773.75767666,89563519.21601112,1.000048024448989,0.9999805115034588,0.19901667629556818,0.0984153101398869,0.007882580359972028,0.0009532086972427714,3.1040126986609873,80.75333776405114,4.021794702437765,12.120854834850109,9.25003499374962e-20,2.857952156162279e-05,2.1176796565805712e-27,2.857952156162279e-05,1.32e-19,0.00022446885631978463,5.311436107078803e-06,8.482362846201754e-06,4.1013805477307905e-06,3.5238588723517714e-05,0.0011129523729261604,0.0011129523729261604,3.1307714039554545e+18,0.0,0.0,4.341843924940526e-07,4.877251714584751e-06
manual_Rizk2025_capture_literalDv,1.1,1200.0,30000000000000.0,0.7966204289817487,0.09918178188049036,0.895802210862239,3.2344945485013037,25.118412924095654,5.620093743488972e+22,1.4940554306762201e+19,686384558.5582048,686351442.7713698,88379664.21517816,88381380.09389889,1.0000482490234175,0.9999805855179121,0.19971797156856966,0.09972651335925073,0.007966204289817487,0.0009918178188049035,3.097153875528362,80.77418489137058,4.0283100729899735,12.100351160111082,9.250279278649073e-20,1.5794481183726448e-05,2.2875995051503872e-26,1.5794481183726448e-05,1.32e-19,0.00022459724636805466,5.3156347469985324e-06,8.466001568178135e-06,4.088937009136662e-06,3.662768942161035e-05,0.0011566700812949615,0.0011566700812949615,3.25502365170962e+18,0.0,0.0,4.3988650551210466e-07,4.875748241486428e-06
manual_Rizk2025_capture_literalDv,1.1,1250.0,30000000000000.0,0.805067513466903,0.10311840460565237,0.9081859180725553,3.250303478910667,25.447773900818657,5.5972145540621e+22,1.4938197034206046e+19,683046251.6404212,683013144.5892028,87235804.424881,87237493.09673734,1.0000484720557439,0.9999806428200032,0.20042140425755367,0.10102884664567013,0.00805067513466903,0.0010311840460565237,3.0899686174007477,80.79515937959522,4.0346182300964255,12.080253772907602,9.251887648857636e-20,9.267964546285141e-06,2.04276376157652e-25,9.267964546285141e-06,1.32e-19,0.00022474860659121016,5.3205889004005775e-06,8.449585016730075e-06,4.076877284384958e-06,3.804554285592728e-05,0.0012011936364696898,0.0012011936364696898,3.380412546817037e+18,0.0,0.0,4.45613736241137e-07,4.8749751641594404e-06
manual_Rizk2025_capture_literalDv,1.1,1300.0,30000000000000.0,0.8136151068707514,0.10715600030067957,0.9207711071714311,3.2666252201849466,25.777056951441317,5.5722739852549416e+22,1.4935779461355825e+19,679633547.2791748,679600459.3004123,86121433.05854182,86123097.92316572,1.0000486873990588,0.9999806687791771,0.20112821591618257,0.10233059474726848,0.008136151068707515,0.0010715600030067956,3.080907115841617,80.81555355458354,4.04147620498917,12.062063124585682,9.261014568641824e-20,5.726467606825972e-06,1.5413983851648154e-24,5.726467606825972e-06,1.32e-19,0.00022502430270729786,5.32986794987092e-06,8.432733635088514e-06,4.0651106337481115e-06,3.9505207316765245e-05,0.0012468130321535854,0.0012468130321535854,3.506499326603718e+18,0.0,0.0,4.5170466853249927e-07,4.878163281338421e-06
manual_Rizk2025_capture_literalDv,1.1,1350.0,30000000000000.0,0.8223402915325209,0.11142274980826808,0.9337630413407891,3.285202403602358,26.116234100193786,5.53702602189456e+22,1.4933224849625778e+19,675790472.398191,675757450.3067695,85002949.00511555,85004598.72901535,1.0000488667811305,0.999980592533528,0.20184462544094098,0.10367115986382874,0.00822340291532521,0.0011142274980826808,3.062800863446766,80.83210551242563,4.052361334479581,12.052732289648036,9.306398766906381e-20,3.700219698870738e-06,1.001375772996815e-23,3.700219698870738e-06,1.32e-19,0.00022589734316263237,5.360156279849051e-06,8.413673269286304e-06,4.053282898617608e-06,4.107106186363384e-05,0.0012949972278506,0.0012949972278506,3.6315451686686244e+18,0.0,0.0,4.5976402414570255e-07,4.900392255703348e-06
