label,T,burnup,rho_d_eff,c,mb,md,Nb,Nd,Rb_nm,Rd_nm,swelling_b_percent,swelling_d_percent,swelling_ig_percent,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,q_gb,generated,retained,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,Dg,Dv,beta,g_b,g_d,b_b,b_d,b_b_gas,b_d_gas,dVd_growth_dt,dnvb_dt,dnvd_dt,nvb_seed_added,nvd_seed_added,bulk_first_gas_seed_applied,dislocation_first_gas_seed_applied,first_gas_pressure_factor,seed_pressure_factor,seed_gas_atoms_per_bubble,D1_Xe,D2_Xe,D2_Xe_scaled,D3_Xe,Dg_D1_scaled,Dg_D3_scaled,D2_Xe_over_Dg_unscaled,Dv1,Dv2,Dv1_scaled,Dv2_scaled,A20_vU_active,Gamma_d,den,free_dislocation,term_bubbles,term_dislocation,term_bubbles_scaled,term_dislocation_scaled,g_b_unscaled,g_d_unscaled,psi_b,psi_d,porosity_b,porosity_d,valid_single_size
UN_clean_standalone_zullo_firstGasPeqThird,900.0,1.1,30000000000000.0,2.8461276375653154e+24,7.465465078918503e+25,3.4282616976182036e+24,5.865733396233274e+22,2.9925884536465084e+19,3.1474049580476406,17.020113015181153,0.7660706135140762,0.06180490223857288,0.8278755157526493,705402220.0930554,705342982.422282,130413148.44836421,130433916.50924192,1.0000839842066196,0.9998407771426825,3.1495649312488827,82.61388806911965,3.793762681423055,10.442784318208407,9.436699261634616e+24,9.036573938600317e+25,8.092904012436855e+25,1.0015469577155127,8329298372652137.0,0.0007865151927342171,8.727878140191105e-06,0.0,0.0,0.0007174129767957456,0.0007174129767957456,1.8705379656380017e+18,4.974155240343158e-05,9.250000000033911e-20,4.074771230498373e-16,1.2e+19,0.00022847525051085995,5.43027769356385e-06,8.558265533842339e-06,4.5196649271283065e-06,8.558265533842339e-06,4.5196649271283065e-06,-1.1171306408587975e-31,7.252004902352561e+18,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.39111184581436e-31,4.453364303719348e-95,0.0,9.25e-20,3.39111184581436e-31,9.25e-20,4.814447895895159e-76,2.727273770837793e-34,4.074771230498373e-16,2.727273770837793e-34,4.074771230498373e-16,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28981291003476.93,5.993731701936266e-07,4.830904523370224e-06,5.993731701936266e-07,4.830904523370224e-06,0.00022847525051085995,5.43027769356385e-06,0.1971316094730483,0.08518065486798641,0.007660706135140763,0.0006180490223857288,True
UN_clean_standalone_zullo_firstGasPeqThird,950.0,1.1,30000000000000.0,2.8398035345028386e+24,7.466703285232361e+25,3.436643628102926e+24,5.841950131401155e+22,2.9922989458280325e+19,3.1627546514547724,17.239612386765515,0.7741818118553071,0.06422085449631137,0.8384026663516185,701978992.0334871,701919764.4619278,128752871.03531659,128773196.87908107,1.0000843794042538,0.9998421578072371,3.1425665897253734,82.62759023458935,3.8030382437563843,10.426804931928915,9.42225937107381e+24,9.036573938600317e+25,8.094348001492936e+25,1.00160749371793,8292337463031334.0,0.0007831936896855147,8.705752140147621e-06,0.0,0.0,0.0007448101001760914,0.0007448101001760914,1.9471026771237245e+18,5.165331258247432e-05,9.250000000968898e-20,1.2269960149005285e-15,1.2e+19,0.00022858915267394344,5.435680863586636e-06,8.541814347510027e-06,4.503110724609256e-06,8.541814347510027e-06,4.503110724609256e-06,-1.1169636691913072e-31,7.695240075138891e+18,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,9.688979436289361e-30,1.765145399318674e-98,0.0,9.25e-20,9.688979436289361e-30,9.25e-20,1.9082652963608458e-79,1.2701816746368393e-32,1.2269960149005285e-15,1.2701816746368393e-32,1.2269960149005285e-15,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28968254039500.695,6.069494771581317e-07,4.828731386428504e-06,6.069494771581317e-07,4.828731386428504e-06,0.00022858915267394344,5.435680863586636e-06,0.19782491510233435,0.08627640224941323,0.007741818118553071,0.0006422085449631137,True
UN_clean_standalone_zullo_firstGasPeqThird,1000.0,1.1,30000000000000.0,2.8334959958613884e+24,7.4679651623248895e+25,3.4447249077587776e+24,5.818287717380514e+22,2.9920034539135824e+19,3.178165791017082,17.45808164054556,0.7823722696637994,0.06668685865941623,0.8490591283232155,698575324.7506196,698516108.3398207,127141832.55367368,127161737.79621676,1.0000847745815622,0.9998434651579317,3.135586578623481,82.64155434422982,3.811981101647837,10.41087797549887,9.407866859134111e+24,9.036573938600317e+25,8.095787252686906e+25,1.0016692892946035,8255555037404460.0,0.0007798870481173793,8.684474214081377e-06,0.0,0.0,0.0007727322107532221,0.0007727322107532221,2.0247554100777467e+18,5.3603140934551716e-05,9.250000019797957e-20,3.206480234158166e-15,1.2e+19,0.00022870348437884286,5.441056569949923e-06,8.525389397432358e-06,4.4870123916805394e-06,8.525389397432358e-06,4.4870123916805394e-06,-1.1167982231676594e-31,8.142911509587178e+18,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.9797956349137057e-28,4.950655044321922e-101,0.0,9.25e-20,1.9797956349137057e-28,9.25e-20,5.352059495919933e-82,4.0289255205478195e-31,3.2064802341581655e-15,4.0289255205478195e-31,3.2064802341581655e-15,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28955283322331.586,6.144872684163228e-07,4.826569301533599e-06,6.144872684163228e-07,4.826569301533599e-06,0.00022870348437884286,5.441056569949923e-06,0.19852009894584832,0.08736686524855168,0.007823722696637994,0.0006668685865941623,True
UN_clean_standalone_zullo_firstGasPeqThird,1050.0,1.1,30000000000000.0,2.827205095668173e+24,7.469250132613002e+25,3.452511228961826e+24,5.794745687964176e+22,2.9917020505306894e+19,3.1936381998694894,17.67548037322538,0.7906424594191761,0.06920231535996937,0.8598447747791454,695191170.0126936,695131965.822153,125578213.13515334,125597718.03219739,1.00008516971374,0.9998447034122144,3.1286249798627566,82.65577400642528,3.820597554360949,10.395003459351008,9.393521735243146e+24,9.036573938600317e+25,8.097221765076003e+25,1.001732329758782,8218951106826608.0,0.0007765952892257795,8.664018778045944e-06,0.0,0.0,0.000801171654338359,0.000801171654338359,2.103436426730285e+18,5.5590823474270525e-05,9.250000303506631e-20,7.452710840154398e-15,1.2e+19,0.0002288182356241797,5.446403941340524e-06,8.508991299991534e-06,4.47135477366542e-06,8.508991299991534e-06,4.47135477366542e-06,-1.1166336036665173e-31,8.595047183677692e+18,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.035066304242563e-27,6.332905246468618e-103,0.0,9.25e-20,3.035066304242563e-27,9.25e-20,6.846383825596032e-84,9.194528317869608e-30,7.452710840154388e-15,9.194528317869608e-30,7.452710840154388e-15,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28942381305374.69,6.219851348908069e-07,4.8244188064497175e-06,6.219851348908069e-07,4.8244188064497175e-06,0.0002288182356241797,5.446403941340524e-06,0.19921714463719187,0.0884518406984956,0.00790642459419176,0.0006920231535996937,True
UN_clean_standalone_zullo_firstGasPeqThird,1100.0,1.1,30000000000000.0,2.8209303232604743e+24,7.47055759670647e+25,3.4600086693837457e+24,5.771322817398498e+22,2.991394809486724e+19,3.209171844387165,17.891772742193783,0.7989928561097777,0.07176661537163423,0.8707594714814119,691826446.6532377,691767255.7431836,124060252.59995472,124079376.14614464,1.0000855647756708,0.9998458765124077,3.121681228336644,82.67024258823905,3.828894327532797,10.379181855891499,9.37922442629424e+24,9.036573938600317e+25,8.098651495970893e+25,1.0017966001779455,8182524525621206.0,0.000773318333287801,8.644360081437426e-06,0.0,0.0,0.000830120978813167,0.000830120978813167,2.1830848304125967e+18,5.7616144504942665e-05,9.250003630270021e-20,1.5707055915369582e-14,1.2e+19,0.00022893343890317423,5.451723713384974e-06,8.492620509687092e-06,4.4561230853827905e-06,8.492620509687092e-06,4.4561230853827905e-06,-1.1164692976265172e-31,9.051675263927649e+18,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.63027002135315e-26,2.65204703492286e-104,0.0,9.25e-20,3.63027002135315e-26,9.25e-20,2.867076750374684e-85,1.5790075123891412e-28,1.5707055915369424e-14,1.5790075123891412e-28,1.5707055915369424e-14,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28929550165684.22,6.29442001158419e-07,4.822281712226554e-06,6.29442001158419e-07,4.822281712226554e-06,0.00022893343890317423,5.451723713384974e-06,0.19991603609772993,0.08953114834876776,0.007989928561097776,0.0007176661537163422,True
UN_clean_standalone_zullo_firstGasPeqThird,1150.0,1.1,30000000000000.0,2.814666062760294e+24,7.471886822437141e+25,3.4672257929095285e+24,5.748011307068323e+22,2.9910817984643555e+19,3.224767996276663,18.10693193478883,0.8074239888490017,0.07437920061449098,0.8818031894634926,688480793.9889154,688421617.4816998,122586218.44124407,122604978.4687552,1.000085959687658,0.999846988044487,3.1147491094354507,82.68495198739521,3.8368808980791345,10.363418005090201,9.364979305961941e+24,9.036573938600317e+25,8.100076008004123e+25,1.0018620869027561,8146264165040237.0,0.000770055231642031,8.625466936213371e-06,0.0,0.0,0.0008595731967134985,0.0008595731967134985,2.2636401732273162e+18,5.9678960493288305e-05,9.25003499374962e-20,3.048336544478503e-14,1.2e+19,0.0002290495017606975,5.457029958241481e-06,8.476276108757253e-06,4.441302604413816e-06,8.476276108757253e-06,4.441302604413816e-06,-1.11630613535209e-31,9.512826541391274e+18,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.4993749619257376e-25,2.822486305141313e-105,0.0,9.25e-20,3.4993749619257376e-25,9.25e-20,3.0513250026064847e-86,2.1176796565805712e-27,3.048336544478291e-14,2.1176796565805712e-27,3.048336544478291e-14,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28916791539328.89,6.368586446204079e-07,4.820171313621073e-06,6.368586446204079e-07,4.820171313621073e-06,0.0002290495017606975,5.457029958241481e-06,0.2006167618066761,0.0906046531527955,0.008074239888490016,0.0007437920061449098,True
UN_clean_standalone_zullo_firstGasPeqThird,1200.0,1.1,30000000000000.0,2.8083700456074026e+24,7.473236185405182e+25,3.474188543143205e+24,5.724756236236351e+22,2.9907630272933036e+19,3.2404374526405237,18.32097348620424,0.8159368308748207,0.07703999591168903,0.8929768267865098,685151847.0100007,685092686.5417496,121154187.125596,121172600.44460346,1.000086353962629,0.9998480405723745,3.1077818481750765,82.69988422805643,3.844585975557596,10.34774794821088,9.350818943200734e+24,9.036573938600317e+25,8.101492044280244e+25,1.001928788392148,8110087424456785.0,0.0007667988088775117,8.607265749455764e-06,0.0,0.0,0.0008895263135015087,0.0008895263135015087,2.3450389135432115e+18,6.177966448788463e-05,9.250279278649073e-20,5.5158506940891876e-14,1.2e+19,0.0002291695341285804,5.462432265143169e-06,8.459947301977639e-06,4.426876478216493e-06,8.459947301977639e-06,4.426876478216493e-06,-1.116154429367866e-31,9.978552561668475e+18,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.792786490723941e-24,6.279873592875496e-106,0.0,9.25e-20,2.792786490723941e-24,9.25e-20,6.788847562008549e-87,2.2875995051503872e-26,5.5158506940869e-14,2.2875995051503872e-26,5.5158506940869e-14,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28904104547747.582,6.442485194633624e-07,4.818183745679806e-06,6.442485194633624e-07,4.818183745679806e-06,0.0002291695341285804,5.462432265143169e-06,0.2013193467227371,0.09167243144080611,0.008159368308748208,0.0007703999591168902,True
UN_clean_standalone_zullo_firstGasPeqThird,1250.0,1.1,30000000000000.0,2.801779016434214e+24,7.474598727949078e+25,3.4810276862829916e+24,5.701218789908161e+22,2.9904381324074844e+19,3.256249212855578,18.534155178801285,0.8245352443639223,0.07975204276300779,0.9042872871269302,681825139.2959152,681765999.7384428,119760778.35337178,119778861.16649967,1.0000867446565174,0.999849031682621,3.1004881224578176,82.7149623157604,3.8521542676849614,10.332395294096832,9.3369454037952e+24,9.036573938600317e+25,8.102879398220797e+25,1.001996781257607,8073481490701142.0,0.0007635043834298154,8.589424625447868e-06,0.0,0.0,0.0009200124365004916,0.0009200124365004916,2.427186450614171e+18,6.392200821476023e-05,9.251887648857636e-20,9.400122277669854e-14,1.2e+19,0.00022931298690748484,5.468617738707075e-06,8.443563390007143e-06,4.412812932653947e-06,8.443563390007143e-06,4.412812932653947e-06,-1.1160815809182534e-31,1.0449038639878758e+19,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.887648857635469e-23,2.509294157468985e-106,0.0,9.25e-20,1.887648857635469e-23,9.25e-20,2.712196962074887e-87,2.04276376157652e-25,9.400122277649427e-14,2.04276376157652e-25,9.400122277649427e-14,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28891473961140.508,6.517020706912225e-07,4.816915668015853e-06,6.517020706912225e-07,4.816915668015853e-06,0.00022931298690748484,5.468617738707075e-06,0.20202405069023688,0.09273576778321402,0.008245352443639224,0.000797520427630078,True
UN_clean_standalone_zullo_firstGasPeqThird,1300.0,1.1,30000000000000.0,2.793489755556484e+24,7.475939875302413e+25,3.4884166840966436e+24,5.675596309404103e+22,2.9901047274819813e+19,3.272576686844518,18.747995974710737,0.8332390280410881,0.0825352676027372,0.9157742956438253,678423643.0183407,678364546.4823523,118394886.42565471,118412656.1043948,1.000087116191869,0.9998499342948238,3.0913151096168314,82.72980364127211,3.860331036739094,10.318550212371955,9.324434193325917e+24,9.036573938600317e+25,8.104130519267725e+25,1.0020665655574748,8033717151075364.0,0.0007599339258252323,8.570277654875004e-06,0.0,0.0,0.0009512469044062932,0.0009512469044062932,2.509827663910482e+18,6.612797135310547e-05,9.261014568641824e-20,1.5213567242925693e-13,1.2e+19,0.00022958394269982003,5.479267234006935e-06,8.426742519104325e-06,4.399001728418727e-06,8.426742519104325e-06,4.399001728418727e-06,-1.116449729321821e-31,1.0925204961620754e+19,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.1014568641823352e-22,1.598361411134806e-106,0.0,9.25e-20,1.1014568641823352e-22,9.25e-20,1.725903138676537e-87,1.5413983851648154e-24,1.5213567242771553e-13,1.5413983851648154e-24,1.5213567242771553e-13,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28878809896436.06,6.597132061252244e-07,4.819554027881711e-06,6.597132061252244e-07,4.819554027881711e-06,0.00022958394269982003,5.479267234006935e-06,0.20273241844611542,0.09380223534404099,0.00833239028041088,0.000825352676027372,True
UN_clean_standalone_zullo_firstGasPeqThird,1350.0,1.1,30000000000000.0,2.77701184399279e+24,7.477098762323912e+25,3.4994710002136406e+24,5.639546602605842e+22,2.9897509272378e+19,3.2911765042726167,18.969768372660965,0.8421439265505112,0.08548889482047972,0.9276328213709909,674589776.019061,674530824.1955388,117010830.89164305,117028313.49271725,1.0000873967821893,0.9998506122103922,3.073080420590155,82.7426280482805,3.8725638986534716,10.311727632475877,9.318268918557627e+24,9.036573938600317e+25,8.104747046744554e+25,1.0021406302571536,7978176308427881.0,0.0007549860290826226,8.542195681721441e-06,0.0,0.0,0.0009843052369058346,0.0009843052369058346,2.591970752228687e+18,6.850496671191163e-05,9.306398766906381e-20,2.3544547917058354e-13,1.2e+19,0.00023046799573314878,5.511592567101059e-06,8.407699927664429e-06,4.384981341397268e-06,8.407699927664429e-06,4.384981341397268e-06,-1.1189434511521684e-31,1.1411473719115342e+19,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,5.639876690638052e-22,1.4771633184943077e-106,0.0,9.25e-20,5.639876690638052e-22,9.25e-20,1.5872555598488976e-87,1.001375772996815e-23,2.354454791605698e-13,1.001375772996815e-23,2.354454791605698e-13,1.32e-19,1.0300645387285054e-07,3.4866702367166718,28865682110579.41,6.706216231977069e-07,4.840970943903352e-06,6.706216231977069e-07,4.840970943903352e-06,0.00023046799573314878,5.511592567101059e-06,0.20345206722616677,0.09490809017424258,0.008421439265505112,0.0008548889482047972,True
