label,xe_diffusivity_mode,vacancy_diffusivity_mode,T,burnup,rho_d_eff,c,mb,md,Nb,Nd,Rb_nm,Rd_nm,swelling_b_percent,swelling_d_percent,swelling_ig_percent,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,q_gb,generated,retained,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,Dg,Dv,Dv_dislocation,beta,g_b,g_d,b_b,b_d,b_b_gas,b_d_gas,dVd_growth_dt,dnvb_dt,dnvd_dt,nvb_seed_added,nvd_seed_added,bulk_first_gas_seed_applied,dislocation_first_gas_seed_applied,first_gas_pressure_factor,seed_pressure_factor,seed_gas_atoms_per_bubble,D1_Xe,D2_Xe,D2_Xe_scaled,D3_Xe,D1_Xe_i_2023,D2_Xe_i0_2023,D2_Xe_i1_2023,D1_XeVU_2023,D2_XeVU_2023,Dg_D1_scaled,Dg_D3_scaled,D2_Xe_over_Dg_unscaled,Dg_dislocation_scale,Dg_dislocation,Dv1,Dv2,Dv1_scaled,Dv2_scaled,Dv_dislocation_scale,A20_vU_active,Gamma_d,den,free_dislocation,term_bubbles,term_dislocation,term_bubbles_scaled,term_dislocation_scaled,g_b_unscaled,g_d_unscaled,psi_b,psi_d,porosity_b,porosity_d,valid_single_size
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,900.0,1.1,30000000000000.0,6.9527775778055e+23,5.846962116963339e+25,1.910050718903435e+25,1.976875206142497e+22,3.559930684753544e+19,4.226695522926313,26.55373360749297,0.6252745543144008,0.2791945479714798,0.9044691022858806,566353681.9638269,525233007.1939991,203131961.83020413,83604062.34449673,1.078290347724928,2.4296900908138155,0.7694041597010849,64.70330632705452,21.136890284762995,13.390399228481401,1.2100333269554882e+25,9.036573938600317e+25,7.826540611644829e+25,1.0070147510560148,3699053403275458.0,0.0003382527125938691,1.8637225255338697e-06,1.829549136314371e-07,1.829549136314371e-07,0.003358638669738968,0.003358638669738968,1.2200893301012107e+19,6.88605827331916e-05,6.862128815240435e-19,5.097673414690816e-25,2.61208422355707e-24,1.3848e+19,0.0007559744951192526,0.00012757905092684597,8.760857392227073e-06,4.66038786444463e-06,8.760857392227073e-06,4.66038786444463e-06,1.613308804495609e-30,9.103237888180266e+18,2.87611492653575e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.4966082885114063e-31,9.584028308143428e-25,9.584028308143428e-25,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.4966082885114063e-31,6.86211923120963e-19,1.3966552605159195e-06,3.433922983818606,2.3564021856578072e-18,5.119872410101689e-34,5.097673409570944e-25,5.119872410101689e-34,5.097673409570944e-25,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,28109440946392.906,8.215805373436053e-06,0.00011936324555340991,8.215805373436053e-06,0.00011936324555340991,0.0007559744951192526,0.00012757905092684597,0.18422854342989786,0.1408106957703683,0.006252745543144009,0.002791945479714798,True
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,1000.0,1.1,30000000000000.0,6.88591096341595e+23,5.82420341953785e+25,1.94315842439646e+25,1.9361887681354217e+22,3.542210858725519e+19,4.3085006057131645,30.06291425014497,0.6486565095191291,0.40314033619108725,1.0517968457102165,523517026.1115647,515260459.0692716,112736842.97901054,73845136.28745407,1.0160240649111851,1.5266657852747978,0.7620046059715542,64.45145537579661,21.503264816947176,13.28327520128467,1.2003529850318493e+25,9.036573938600317e+25,7.836220953568468e+25,1.010151389769749,3630695009659141.0,0.00033258405788358744,1.8228542689191738e-06,3.711860013450255e-07,3.711860013450255e-07,0.004851011123439009,0.004851011123439009,1.9610226707388133e+19,8.914703681131243e-05,6.866596745302428e-19,3.542021295984409e-24,1.8149569801943067e-23,1.3848e+19,0.0007545577508825844,0.0001276774074915476,8.691558853611395e-06,4.540200348781236e-06,8.691558853611395e-06,4.540200348781236e-06,3.364645856336607e-30,1.1064369860912767e+19,4.968890422122286e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.6026995865756309e-28,4.477512490098069e-22,4.477512490098069e-22,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.6026995865756309e-28,6.86211923120963e-19,0.0006520715656065316,3.433922983818606,2.3579364384308045e-18,6.972208708889678e-31,3.542020598763538e-24,6.972208708889678e-31,3.542020598763538e-24,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,27870264401330.375,9.252739299424877e-06,0.0001184246681921227,9.252739299424877e-06,0.0001184246681921227,0.0007545577508825844,0.0001276774074915476,0.18649688983872736,0.15915443721069825,0.006486565095191291,0.004031403361910872,True
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,1200.0,1.1,30000000000000.0,6.698956987419751e+23,5.786437810804051e+25,1.993319677813339e+25,1.859644721473019e+22,3.5041067336303346e+19,4.4433678013724505,35.74390781477762,0.6833691700346948,0.6703043372607657,1.3536735072954604,500561276.9866709,499621030.54226017,65934783.70182331,62108486.05317252,1.001881919268671,1.061606680371745,0.741316015664379,64.03353583028743,22.058356312437656,13.166791841610552,1.1898268801087318e+25,9.036573938600317e+25,7.846747058491585e+25,1.016961181268744,3504858633161964.5,0.00032151763749366734,1.7578641683527013e-06,3.74027023469536e-07,3.74027023469536e-07,0.007963551810868183,0.007963551810868183,2.8259009940117123e+19,0.0001439570263749756,7.003178262650793e-19,5.701035051863441e-23,2.9212510307158545e-22,1.3848e+19,0.0007611983074785074,0.00013024127704759292,8.581147570287624e-06,4.393530794628244e-06,8.581147570287624e-06,4.393530794628244e-06,3.506218667208783e-30,1.576484744429906e+19,5.162564766555005e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.6067819204802983e-24,1.4103296362195756e-20,1.4103296362195756e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.6067819204802983e-24,6.86211923120963e-19,0.02013842263220853,3.433922983818606,2.4048374795895413e-18,3.503783313863259e-26,5.697531268549577e-23,3.503783313863259e-26,5.697531268549577e-23,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,27495024882587.09,1.1087217639588525e-05,0.0001191540594080044,1.1087217639588525e-05,0.0001191540594080044,0.0007611983074785074,0.00013024127704759292,0.18976602501299963,0.18854890294590146,0.006833691700346948,0.006703043372607657,True
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,1300.0,1.1,30000000000000.0,6.701738487033145e+23,5.79272868678626e+25,1.9940050241395274e+25,1.8462132095921116e+22,3.4909702811736777e+19,4.495815042376636,37.36050398842209,0.7027417754352863,0.7625581015961964,1.4652998770314827,494250363.31429064,493792555.76013094,60346019.669592105,59421039.94871086,1.0009271252650922,1.0155665353834205,0.7416238203293208,64.10315154997227,22.06594045141383,13.089284178284565,1.1828228428041977e+25,9.036573938600317e+25,7.85375109579612e+25,1.0193283947598644,3479776975719914.5,0.000318848004578165,1.7506683094925337e-06,1.8394847534518345e-07,1.8394847534518345e-07,0.008989683842197085,0.008989683842197085,2.7215534441916547e+19,0.00017319018516593438,6.947318782112526e-19,1.613578386741366e-22,8.268090763392748e-22,1.3848e+19,0.0007581174973774706,0.00012920902677894948,8.539457079247755e-06,4.359614034319212e-06,8.539457079247755e-06,4.359614034319212e-06,1.73669463327014e-30,1.91495219245101e+19,3.059722654558038e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.085968502764781e-22,8.411358240013143e-21,8.411358240013143e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.085968502764781e-22,6.86211923120963e-19,0.012107344579710556,3.433922983818606,2.385655764181089e-18,2.2525702314749626e-24,1.5910526844266164e-22,2.2525702314749626e-24,1.5910526844266164e-22,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,27391527164455.18,1.145032264678756e-05,0.00011775870413216193,1.145032264678756e-05,0.00011775870413216193,0.0007581174973774706,0.00012920902677894948,0.19154254660593129,0.19682985830179045,0.0070274177543528625,0.007625581015961964,True
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,1400.0,1.1,30000000000000.0,6.68957061220523e+23,5.801573319228616e+25,1.9913489532686636e+25,1.8311907685718288e+22,3.4805503046905967e+19,4.550772424268172,38.55836351461544,0.7228988817743965,0.8357806353449857,1.5586795171193821,488059698.3415214,487829272.27063155,57749486.36928659,57575057.59181183,1.0004723498239811,1.0030295892834602,0.7402773061624928,64.20102749834001,22.03654799705103,13.02214719844647,1.176755959980985e+25,9.036573938600317e+25,7.859817978619332e+25,1.0212129102298377,3449808357874716.5,0.00031577042150595714,1.7477682382085522e-06,3.9710128651998116e-08,3.9710128651998116e-08,0.009775757864651013,0.009775757864651013,2.43044015709535e+19,0.00020478864519181536,6.912575078180741e-19,4.565996225667462e-22,2.33964903901371e-21,1.3848e+19,0.000756920373128969,0.00012856762741000018,8.496490861231e-06,4.336246225522215e-06,8.496490861231e-06,4.336246225522215e-06,3.7647724017421685e-31,2.323620491191988e+19,1.448118509986703e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.6554752260788454e-21,2.390109471032163e-21,2.390109471032163e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.6554752260788454e-21,6.86211923120963e-19,0.003457625333540963,3.433922983818606,2.3737250438336544e-18,7.989389038480301e-23,3.767057321819432e-22,7.989389038480301e-23,3.767057321819432e-22,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,27315916617184.836,1.17212684220267e-05,0.00011684635898797347,1.17212684220267e-05,0.00011684635898797347,0.000756920373128969,0.00012856762741000018,0.19335668170886083,0.2029383390215718,0.007228988817743965,0.008357806353449857,True
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,1600.0,1.1,30000000000000.0,4.426329884849289e+23,5.47397528871556e+25,2.2640038907552595e+25,1.3168543045322327e+22,3.4335107506763784e+19,5.1299879526010805,43.304056179924785,0.7446897438570592,1.167919079807273,1.9126088236643322,432789613.2187791,432749554.2897686,51269917.843700506,51265405.50326471,1.0000925683888369,1.0000880192088895,0.4898238995137229,60.575781550717096,25.0537859385449,13.880608611224293,1.2543314602810059e+25,9.036573938600317e+25,7.782242478319311e+25,1.0298230561497985,2548279964204507.5,0.00024064990499094918,1.5165017603971621e-06,3.8435063964215274e-08,3.8435063964215274e-08,0.013675464364409093,0.013675464364409093,2.09510902855525e+19,0.0002952563488215723,1.1650920113912498e-18,2.783735691844339e-20,1.4264060271621668e-19,1.3848e+19,0.0010290147158260054,0.00021672717514540556,8.083824430390486e-06,4.255945488546364e-06,8.083824430390486e-06,4.255945488546364e-06,3.6417186012836185e-31,3.5641832347964617e+19,1.6621110718493222e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,4.788179461519709e-19,6.214211831572962e-23,6.214211831572962e-23,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,4.788179461519709e-19,6.86211923120963e-19,5.3336661575359185e-05,3.433922983818606,4.000836236179862e-18,2.6363059898109155e-20,1.4742970203342355e-21,2.6363059898109155e-20,1.4742970203342355e-21,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,27026303424046.734,2.1874480014982977e-05,0.0001948526951304226,2.1874480014982977e-05,0.0001948526951304226,0.0010290147158260054,0.00021672717514540556,0.19528031076644167,0.22688419897856657,0.007446897438570592,0.011679190798072728,True
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,1700.0,1.1,30000000000000.0,1.4767910233430847e+23,4.362774309588609e+25,3.1697239506610875e+25,5.374314817986461e+21,3.3116555173416075e+19,6.710719357512823,52.7600731753823,0.6803289366188914,2.037276293237121,2.7176052298560123,330859760.92577296,330814012.884424,42083155.04987901,42077272.952605486,1.0001382893093014,1.000139792739899,0.16342377469351246,48.27907500377697,35.076611691532825,16.48088952999671,1.489307768117191e+25,9.036573938600317e+25,7.547266170483126e+25,1.0528583370210636,1159081539395666.8,0.00012321791473514647,1.044738249069477e-06,1.1442351207893607e-06,1.1442351207893607e-06,0.024852896188535874,0.024852896188535874,2.1061386349179204e+19,0.0003858217637628097,4.751806069406185e-18,2.896422853276425e-19,1.4841477325695604e-18,1.3848e+19,0.002219570928815269,0.0008841376689019125,7.2395867174815095e-06,4.137786678627811e-06,7.2395867174815095e-06,4.137786678627811e-06,1.0683246135692616e-29,5.462666958636414e+19,1.3819640277665757e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,4.065586385900453e-18,7.760384768479038e-24,7.760384768479038e-24,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,4.065586385900453e-18,6.86211923120963e-19,1.6331442519178447e-06,3.433922983818606,1.631733607638265e-17,2.8708990269161863e-19,2.5523826360238594e-21,2.8708990269161863e-19,2.5523826360238594e-21,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,26505575983501.734,0.00010474646784943118,0.0007793912010524814,0.00010474646784943118,0.0007793912010524814,0.002219570928815269,0.0008841376689019125,0.18948419067076838,0.2731177822012882,0.006803289366188914,0.02037276293237121,True
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,1800.0,1.1,30000000000000.0,3.5864857283302487e+22,2.641085058070696e+25,4.6354522129229905e+25,1.51093752717011e+21,3.059960943768018e+19,9.227082466198242,67.11449512165781,0.49719679848219467,3.874837330591321,4.372034129073516,240683191.88062447,240596093.95847183,33095263.615665536,33077802.283632275,1.00036200887853,1.0005278867043081,0.039688556223839884,29.22661924768997,51.296567088577156,19.437125107509043,1.756450181878301e+25,9.036573938600317e+25,7.280123756722016e+25,1.1040231579192052,401456735836397.56,5.72288134060899e-05,6.601603571810281e-07,1.8397339938398648e-05,1.8397339938398648e-05,0.050543334096380385,0.050543334096380385,1.84191816327505e+19,0.0005276872694661219,2.79043872451188e-17,2.4019442015985785e-18,1.2307733439295983e-17,1.3848e+19,0.004995192725068003,0.005193427716168536,6.3944149249003686e-06,4.020657223754524e-06,6.3944149249003686e-06,4.020657223754524e-06,1.6927334764929738e-28,9.320918016040182e+19,1.7763400777272227e+20,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.721817440169872e-17,9.202991183980452e-25,9.202991183980452e-25,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.721817440169872e-17,6.86211923120963e-19,3.2980445344092955e-08,3.433922983818606,9.58215167103882e-17,2.397813173290163e-18,4.131028308415391e-21,2.397813173290163e-18,4.131028308415391e-21,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,25892930862712.312,0.0007223394212978665,0.00447108829487067,0.0007223394212978665,0.00447108829487067,0.004995192725068003,0.005193427716168536,0.17067743512773778,0.3383902373554251,0.004971967984821947,0.03874837330591321,True
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,2000.0,1.1,30000000000000.0,2.0948373005877861e+21,3.259514990457963e+24,6.737227402819819e+25,8.743353441143326e+19,2.4833123137462727e+19,12.99168119108218,92.90094593643887,0.08030872074238629,8.340274787671143,8.42058350841353,171102770.41054496,170878577.40258163,23950084.330964543,23896419.757866446,1.0013120018399682,1.0022457160378777,0.002318176462474956,3.607025198493349,74.55510737361769,21.835549251426496,1.9731855530046434e+25,9.036573938600317e+25,7.063388385595674e+25,1.2434943193862522,33597874825125.58,2.6847901389685707e-05,3.6917972718123307e-07,0.0004924451944956232,0.0004924451944956232,0.12300377443994669,0.12300377443994669,4.2592632736057733e+18,0.0012131607095710415,6.903062163521707e-16,8.849450431377298e-17,4.534521531398054e-16,1.3848e+19,0.009995891068310784,0.12849916965605593,5.670652884571331e-06,3.900059639536725e-06,5.670652884571331e-06,3.900059639536725e-06,4.608153548008564e-27,4.944118631099942e+19,3.9035521574398387e+21,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,6.896200044157307e-16,1.331898041511625e-26,1.331898041511625e-26,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,6.896200044157307e-16,6.86211923120963e-19,1.9294307511090644e-11,3.433922983818606,2.370458382204578e-15,8.848526628583844e-17,9.238027934539088e-21,8.848526628583844e-17,9.238027934539088e-21,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,25386820452656.9,0.02005414290121462,0.1084450267548413,0.02005414290121462,0.1084450267548413,0.009995891068310784,0.12849916965605593,0.09295103629144658,0.4369114770879183,0.0008030872074238629,0.08340274787671144,True
optuna_best_partition_lowT,rizk2025_refit_plot,rizk2025_refit_full,900.0,1.3,30000000000000.0,6.977120603241562e+23,7.23060872677206e+25,1.9183860983822636e+25,2.408553596572354e+22,3.5585060791261753e+19,4.249791318204178,26.87156554781289,0.7743686085254547,0.28922460018566554,1.0635932087111202,562359368.9971259,522378590.8005712,188944387.83782247,82615208.8552462,1.0765360198534977,2.2870412174213635,0.6533136865393173,67.70494465892013,17.963110649937864,13.678631004602698,1.4608213507954539e+25,1.0679587381982193e+26,9.218766031186739e+25,1.0072649942070253,3711298299436381.5,0.00033332372995186063,1.8546280916485125e-06,1.8249864989610775e-06,1.8249864989610775e-06,0.0034934986444084357,0.0034934986444084357,1.5160034420611428e+19,6.88605827331916e-05,6.862128815240435e-19,5.097673414690816e-25,2.61208422355707e-24,1.3848e+19,0.0009230419947652382,0.0001275804343996877,8.741392581518832e-06,4.648424413414182e-06,8.741392581518832e-06,4.648424413414182e-06,1.686967189900058e-30,9.121503124340424e+18,2.519500069207478e+18,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.4966082885114063e-31,9.584028308143428e-25,9.584028308143428e-25,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.4966082885114063e-31,6.86211923120963e-19,1.3966552605159195e-06,3.433922983818606,2.3564021856578072e-18,5.119872410101689e-34,5.097673409570944e-25,5.119872410101689e-34,5.097673409570944e-25,5.124071338170451,,1.0300645387285054e-07,3.4866702367166718,28087840146285.004,8.30891395786385e-06,0.00011927152044182385,8.30891395786385e-06,0.00011927152044182385,0.0009230419947652382,0.0001275804343996877,0.1978408243987482,0.14247710315371095,0.007743686085254548,0.0028922460018566552,True
