target_type,burnup,T,matrix_target_percent,matrix_model_percent,bulk_target_percent,bulk_model_percent,dislocation_target_percent,dislocation_model_percent,qgb_target_percent,qgb_model_percent,swelling_exp_percent,swelling_model_percent,Rd_exp_nm,Rd_model_nm,pd_over_peq_target,pd_over_peq_model
gas_partition,1.1,1200.0,7.0,0.8598152345941428,58.0,52.389407584919944,27.0,32.8813384281673,8.0,13.869438752318604,,,,,,
gas_partition,1.1,1400.0,5.0,0.8578457741906947,53.0,52.76081783376047,32.0,32.65381279157347,10.0,13.727523600475351,,,,,,
gas_partition,1.1,1600.0,2.0,0.5645536567965553,43.0,48.15126655777151,44.0,36.79630387845929,11.0,14.48787590697265,,,,,,
gas_partition,1.1,1800.0,0.7,0.041860868987577855,24.0,14.231918978988162,62.0,67.29429004571125,13.3,18.43193010631301,,,,,,
gas_partition,1.1,2000.0,0.2,0.002013464254673609,7.0,0.9581624127010285,78.0,79.7767159026085,14.8,19.263108220435786,,,,,,
gas_partition,1.3,1200.0,6.0,0.732060442286002,58.0,56.946943607848816,27.0,27.98258297032647,9.0,14.338412979538704,,,,,,
gas_partition,1.3,1600.0,1.5,0.4813993064358055,42.0,53.12444863251851,45.0,31.346429499046913,11.5,15.047722561998784,,,,,,
gas_partition,1.3,2000.0,0.2,0.001912793237637513,7.0,1.6582288573887547,78.0,76.86860678113531,14.8,21.471251568238312,,,,,,
swelling_d,1.1,1127.0,,,,,,,,,0.68,0.8360514466405691,,,,
swelling_d,1.1,1228.0,,,,,,,,,0.59,0.9230484845907984,,,,
swelling_d,1.1,1312.0,,,,,,,,,0.43,0.9837754729953992,,,,
swelling_d,1.1,1402.0,,,,,,,,,0.58,1.0500325128001349,,,,
swelling_d,1.1,1485.0,,,,,,,,,1.22,1.1258532756427884,,,,
swelling_d,1.1,1549.0,,,,,,,,,1.84,1.2355775407593095,,,,
swelling_d,1.1,1598.0,,,,,,,,,1.66,1.41802739524905,,,,
swelling_d,1.1,1632.0,,,,,,,,,2.13,1.6374429859717206,,,,
swelling_d,1.1,1669.0,,,,,,,,,3.6,1.9868677218645496,,,,
