number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,params_first_gas_pressure_factor,params_rho_T_amp_scale,params_rho_T_shift,params_rho_T_tau_scale,params_rho_blank_def_scale,params_rho_blank_scale,params_rho_const_scale,params_rho_mode,user_attrs_error,user_attrs_failed,user_attrs_first_gas_pressure_factor,user_attrs_max_Rd_nm,user_attrs_max_f_cap_step,user_attrs_max_psi_d,user_attrs_min_Nd,user_attrs_rho_cfg,user_attrs_score_Nd_drop,user_attrs_score_guards,user_attrs_score_partition,user_attrs_score_pressure,user_attrs_score_radius_T,user_attrs_score_swelling_T,user_attrs_score_swelling_burnup,state
0,3602.896869321992,26.58917715447055,9.22192897110859,689602.3095124103,4.6581198742180226e-07,0.7740159737805207,,,,,,0.32115938224715884,constant,,,0.7740159737805207,67746.81770897475,0.2358164418795361,0.9042537685946974,567695790076.8478,"{""rho_mode"": ""constant"", ""rho_const_scale"": 0.32115938224715884, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7740159737805207}",2.7592020792436074,1799.4987889662002,1.547310222234366,0.5064259375106046,0.10001564731535223,0.8555802971566218,1.1270628984205742,COMPLETE
1,16088.778828697989,26.6012147598406,11.721171155398334,1571054.7991195903,1.6652256129068162e-06,0.6782277951062572,1.3599797374646023,-196.77781165114033,0.5967947149499895,0.20667191435144563,,,blank_sat_deformed,,,0.6782277951062572,147260.27496242427,0.3377307647804463,0.9333375101294538,60781404319.57319,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.20667191435144563, ""rho_T_shift"": -196.77781165114033, ""rho_T_tau_scale"": 0.5967947149499895, ""rho_T_amp_scale"": 1.3599797374646023, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6782277951062572}",3.7197043532171183,8042.344032799127,2.03121128279184,0.5392077457087195,0.11198341909600572,0.47955139054015844,0.6162279698483286,COMPLETE
2,21283.52362029595,9.99596084802561,14.727897392334283,1196297.6606104635,2.918437697817308e-06,0.253822832013191,,,,,,1.2275890269812304,constant,,,0.253822832013191,170075.20553201102,0.34839156063957244,0.9377323387415902,40015206043.62893,"{""rho_mode"": ""constant"", ""rho_const_scale"": 1.2275890269812304, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.253822832013191}",3.9394057655800054,10640.200178675886,1.0827791194955567,0.4255738729422602,0.2825574900763408,0.462919354291879,0.27183984751414325,COMPLETE
3,9162.335587105072,11.905220789116147,16.173432324380165,119329.43771440996,1.85054781424385e-06,0.5502004775510034,1.1843696370974834,-4.126340777057038,1.0078047990145114,0.22026938386999728,,,blank_sat_deformed,,,0.5502004775510034,107140.04577961352,0.2482322643185401,0.9082256885659413,145424390510.2528,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.22026938386999728, ""rho_T_shift"": -4.126340777057038, ""rho_T_tau_scale"": 1.0078047990145114, ""rho_T_amp_scale"": 1.1843696370974834, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5502004775510034}",3.9167011682969877,4579.137272881086,1.3520141261736793,0.6682263686614005,0.4341586899445547,0.5843764779614075,0.7964181549975856,COMPLETE
4,348.81573554828464,11.169454846151165,1.8323392283214979,491415.62214263395,2.4880990185696883e-07,0.5783048959236706,,,,,,0.4373997057072118,constant,,,0.5783048959236706,22335.662711020497,0.11495055580041702,0.8839661143988002,14798636893075.123,"{""rho_mode"": ""constant"", ""rho_const_scale"": 0.4373997057072118, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5783048959236706}",0.2335871639843778,172.87918054319564,2.319306898586926,0.26966129685074414,0.011959581909185068,0.3127054111937789,0.32341280185287996,COMPLETE
5,366.2491399432577,3.689700411107131,2.924325455417738,1792615.6450895674,1.9921209924726883e-06,0.6115547375158816,0.7152637388963435,-174.90825266555913,0.9262920963361979,2.1704082842946923,,,blank_sat_deformed,,,0.6115547375158816,23416.36935566986,0.3764597556404549,0.9513454624020253,16009120170287.639,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 2.1704082842946923, ""rho_T_shift"": -174.90825266555913, ""rho_T_tau_scale"": 0.9262920963361979, ""rho_T_amp_scale"": 0.7152637388963435, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6115547375158816}",0.07677885671557483,179.58483491960033,5.124444354416072,0.13008093710356763,1.2131904745841093,0.47911920363988797,0.39093120990113184,COMPLETE
6,10.913444699985034,3.306589252498162,11.350235123017653,2052610.815212538,2.9373166849583073e-07,0.5535362048031239,1.29174155770929,36.768282599321594,2.8206632246942522,4.566020160593916,,,blank_sat_deformed,,,0.5535362048031239,34.70451900273578,0.0011538923359549246,0.5113349795267691,2.3705155187592777e+20,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 4.566020160593916, ""rho_T_shift"": 36.768282599321594, ""rho_T_tau_scale"": 2.8206632246942522, ""rho_T_amp_scale"": 1.29174155770929, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5535362048031239}",0.2804479379035676,0.0,8.304337420873939,0.00036052044866746415,1.6872935542384688,0.7775265024926983,0.2927903811684886,COMPLETE
7,4380.286063389141,3.4894068380988474,5.452105031418427,236027.26723572257,8.295553548368715e-07,0.30391754271621024,1.024126217994942,207.54683669988822,2.645410595063324,1.387755876022996,,,blank_sat_deformed,,,0.30391754271621024,77355.38095215401,0.32267209315983314,0.9256815294270335,409095401115.9171,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 1.387755876022996, ""rho_T_shift"": 207.54683669988822, ""rho_T_tau_scale"": 2.645410595063324, ""rho_T_amp_scale"": 1.024126217994942, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.30391754271621024}",2.0119748456726767,2186.4372488886515,5.141951129549854,0.44534101929450404,0.007579608333023576,1.01049353336444,1.346017840539155,COMPLETE
8,10.833749805827964,25.300316770565157,1.4405520497030173,1428460.3928008617,1.5203382450984604e-06,0.9196528203688624,,,,,4.046583083699505,,blank_sat,,,0.9196528203688624,58.02862486980719,0.005570583788811143,0.6060018603716378,1.318049886657976e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 4.046583083699505, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9196528203688624}",0.12235225775472247,0.0,8.769275343687452,0.009122627745212419,1.1179567690742742,0.7482488279081017,0.5489192862065976,COMPLETE
9,3755.8200425856226,5.7801394379155715,10.42895346972528,134079.37634664637,5.794437653546188e-08,0.8709632297108999,1.2709285486517448,-152.1025004556018,0.5910477612636359,0.236375258314763,,,blank_sat_deformed,,,0.8709632297108999,69093.7782979711,0.2152823568979832,0.9014824528549956,530232565456.837,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.236375258314763, ""rho_T_shift"": -152.1025004556018, ""rho_T_tau_scale"": 0.5910477612636359, ""rho_T_amp_scale"": 1.2709285486517448, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.8709632297108999}",2.6302597018401213,1874.7032257325332,4.350088967821013,0.5043182669289609,0.37026428363262176,0.4721998179787215,0.6355594794232385,COMPLETE
