label,xe_diffusivity_mode,vacancy_diffusivity_mode,T,burnup,rho_d_eff,c,mb,md,Nb,Nd,Rb_nm,Rd_nm,swelling_b_percent,swelling_d_percent,swelling_ig_percent,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,q_gb,generated,retained,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,Dg,Dv,Dv_dislocation,beta,g_b,g_d,b_b,b_d,b_b_gas,b_d_gas,dVd_growth_dt,dnvb_dt,dnvd_dt,nvb_seed_added,nvd_seed_added,bulk_first_gas_seed_applied,dislocation_first_gas_seed_applied,first_gas_pressure_factor,seed_pressure_factor,seed_gas_atoms_per_bubble,D1_Xe,D2_Xe,D2_Xe_scaled,D3_Xe,D1_Xe_i_2023,D2_Xe_i0_2023,D2_Xe_i1_2023,D1_XeVU_2023,D2_XeVU_2023,Dg_D1_scaled,Dg_D3_scaled,D2_Xe_over_Dg_unscaled,Dg_dislocation_scale,Dg_dislocation,Dv1,Dv2,Dv1_scaled,Dv2_scaled,Dv_dislocation_scale,A20_vU_active,Gamma_d,den,free_dislocation,term_bubbles,term_dislocation,term_bubbles_scaled,term_dislocation_scaled,g_b_unscaled,g_d_unscaled,psi_b,psi_d,porosity_b,porosity_d,valid_single_size
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,900.0,1.1,256961126642632.3,5.752745790496124e+23,1.5867102000595458e+25,6.241569697178572e+25,8.023321231748228e+21,4.492391276475811e+20,3.6708686181031656,16.182266011600493,0.16624527604514178,0.7974146177399315,0.9636598937850732,628406878.6886783,604761496.789044,290604038.58484316,137187214.5970509,1.039098689359654,2.118302638029435,0.636606951880598,17.558758560938397,69.07008938993086,12.734545097250138,1.1507665834574355e+25,9.036573938600515e+25,7.885807355143079e+25,1.0202211340838752,2592050264719410.5,0.0005060613667693994,7.1987519027810396e-06,2.387306570771889e-06,2.387306570771889e-06,0.011427987293049422,0.011427987293049422,2.273121055096734e+19,7.662794460363295e-06,6.862128815240435e-19,5.097673414690816e-25,2.1851932556014495e-24,1.3848e+19,0.00026827898949932356,0.0005814609080529036,9.284087738569876e-06,5.293091299796785e-06,9.284087738569876e-06,5.293091299796785e-06,1.4586101616150699e-30,5.100593624592744e+18,1.041936209825886e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,2.4966082885114063e-31,9.584028308143428e-25,9.584028308143428e-25,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.4966082885114063e-31,6.86211923120963e-19,1.3966552605159195e-06,1.1956646929697663,8.204805142993441e-19,5.119872410101689e-34,5.097673409570944e-25,5.119872410101689e-34,5.097673409570944e-25,4.286648197791592,,3.519584121877049e-08,2.412806519920414,242422587902983.25,6.349792297427954e-05,0.0005179629850786241,6.349792297427954e-05,0.0005179629850786241,0.00026827898949932356,0.0005814609080529036,0.11846310305279624,0.19978431897040433,0.0016624527604514178,0.007974146177399315,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,950.0,1.1,256961126642632.3,5.706715669244485e+23,1.5518689271582675e+25,6.28658797026262e+25,7.867073125068074e+21,4.471737928206765e+20,3.687043547753749,16.93798130269575,0.16517206468349177,0.9102273901001018,1.0753994547835937,611924471.7235605,602108429.4902041,219375038.85161108,131066386.26686156,1.0163027816130517,1.6737704082642981,0.6315131938297711,17.173200127642666,69.56826794067285,12.627018737854735,1.1410498844871847e+25,9.036573938600515e+25,7.89552405411333e+25,1.0231290385424172,2550856148453141.5,0.0005073506843562321,7.114374392977708e-06,2.8651607597333554e-06,2.8651607597333554e-06,0.012952255195059598,0.012952255195059598,2.599271702209177e+19,8.537389690687103e-06,6.862476621496718e-19,1.4263125960570472e-24,6.114100319375388e-24,1.3848e+19,0.0002641626996250628,0.0005828111563786033,9.267471745185123e-06,5.223102029051463e-06,9.267471745185123e-06,5.223102029051463e-06,1.7771346323810228e-30,5.532835481378336e+18,1.4868310948732334e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,7.498646671560408e-30,3.573902121010292e-23,3.573902121010292e-23,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,7.498646671560408e-30,6.86211923120963e-19,5.2078896849208036e-05,1.1956646929697663,8.205221002654072e-19,2.284501093225007e-32,1.4263125732120364e-24,2.284501093225007e-32,1.4263125732120364e-24,4.286648197791592,,3.519584121877049e-08,2.412806519920414,241813643217782.94,6.612306280533162e-05,0.0005166880935732717,6.612306280533162e-05,0.0005166880935732717,0.0002641626996250628,0.0005828111563786033,0.11820763611909502,0.20879333600920652,0.0016517206468349176,0.009102273901001018,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,1000.0,1.1,256961126642632.3,5.6627445946991105e+23,1.5189581066741096e+25,6.3285752957496485e+25,7.723744331017279e+21,4.4501549885016906e+20,3.6993993967615837,17.66945576335927,0.16379859151223441,1.028331797573324,1.1921303890855584,604589262.3646946,600097410.9319922,178170667.4085592,125640542.0592275,1.007485203820037,1.4180985252719522,0.6266472927876131,16.809004352697734,70.03290559839927,12.531442756115398,1.1324130902297662e+25,9.036573938600515e+25,7.904160848370749e+25,1.0261861359927986,2513195340047684.0,0.0005089034810716767,7.033095103923341e-06,3.3656485698877413e-06,3.3656485698877413e-06,0.014549226345466858,0.014549226345466858,2.9432862217150255e+19,9.470395354179036e-06,6.866596745302428e-19,3.542021295984409e-24,1.5183399204971005e-23,1.3848e+19,0.00026032712490677625,0.0005844147861447213,9.25484186606046e-06,5.160579338266725e-06,9.25484186606046e-06,5.160579338266725e-06,2.116512019251644e-30,5.872603022192721e+18,1.9589006914073764e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,1.6026995865756309e-28,4.477512490098069e-22,4.477512490098069e-22,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.6026995865756309e-28,6.86211923120963e-19,0.0006520715656065316,1.1956646929697663,8.210147289219224e-19,6.972208708889678e-31,3.542020598763538e-24,6.972208708889678e-31,3.542020598763538e-24,4.286648197791592,,3.519584121877049e-08,2.412806519920414,241235796842318.06,6.865191841729826e-05,0.000515762867727423,6.865191841729826e-05,0.000515762867727423,0.00026032712490677625,0.0005844147861447213,0.11787907546777147,0.21745918448970025,0.0016379859151223442,0.01028331797573324,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,1050.0,1.1,256961126642632.3,5.612772633864665e+23,1.4893177273343057e+25,6.366011075572906e+25,7.585771374747505e+21,4.429104593920222e+20,3.7122818084030227,18.33609897619585,0.1625590566191883,1.1437349156207997,1.3062939722399878,600281728.6188658,598014944.6022301,153141736.17218435,121072644.88929908,1.003790513994836,1.2648747891169567,0.621117325216498,16.48099974009569,70.44717521072819,12.450707723959614,1.1251174093546557e+25,9.036573938600515e+25,7.911456529245859e+25,1.0291860348518111,2476158965753204.0,0.0005097631032636309,6.958692441819625e-06,3.84998655252777e-06,3.84998655252777e-06,0.016112238963733493,0.016112238963733493,3.2751725993250853e+19,1.0411124049418885e-05,6.886439551203305e-19,7.958878129400058e-24,3.4116910589835674e-23,1.3848e+19,0.0002572593489291433,0.0005872262179131277,9.241729175522782e-06,5.1075899070727414e-06,9.241729175522782e-06,5.1075899070727414e-06,2.449186220549883e-30,6.190477629637128e+18,2.4192103006451716e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,2.558981501392922e-27,2.432029440386027e-21,2.432029440386027e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.558981501392922e-27,6.86211923120963e-19,0.00353162098106425,1.1956646929697663,8.233872631644355e-19,1.5366002896313797e-29,7.958862763397163e-24,1.5366002896313797e-29,7.958862763397163e-24,4.286648197791592,,3.519584121877049e-08,2.412806519920414,240719720183598.53,7.107948203504353e-05,0.0005161467358780842,7.107948203504353e-05,0.0005161467358780842,0.0002572593489291433,0.0005872262179131277,0.1175809749048745,0.22530722906444486,0.001625590566191883,0.011437349156207996,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,1100.0,1.1,256961126642632.3,5.55034629793302e+23,1.46228173385372e+25,6.399651958255981e+25,7.444505344441313e+21,4.409493910269143e+20,3.727516712146723,18.92243650764102,0.16150398887676373,1.2514356609831776,1.4129396498599414,596824810.0361937,595570770.4182162,137381171.1500117,117321043.677623,1.0021056097449124,1.1709849046988559,0.6142091389552219,16.181815628237775,70.81944995679511,12.384525276011884,1.1191367835114833e+25,9.036573938600515e+25,7.917437155089031e+25,1.0319971279362896,2437209096033632.0,0.0005095219132694393,6.891489433650771e-06,4.293620180463875e-06,4.293620180463875e-06,0.017574085546427087,0.017574085546427087,3.572113412771054e+19,1.1320045724925177e-05,6.931473046467114e-19,1.6432407269475763e-23,7.043994900707572e-23,1.3848e+19,0.00025510539927937756,0.0005920406988412577,9.226294002325367e-06,5.063826702899522e-06,9.226294002325367e-06,5.063826702899522e-06,2.756640738586512e-30,6.511026152034461e+18,2.8409854628808688e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,3.1761352235744896e-26,6.935349764396125e-21,6.935349764396125e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,3.1761352235744896e-26,6.86211923120963e-19,0.01000559292072987,1.1956646929697663,8.287717591932312e-19,2.556484784617257e-28,1.64321516209973e-23,2.556484784617257e-28,1.64321516209973e-23,4.286648197791592,,3.519584121877049e-08,2.412806519920414,240274591962430.5,7.347932669136994e-05,0.0005185613721498878,7.347932669136994e-05,0.0005185613721498878,0.00025510539927937756,0.0005920406988412577,0.1173260413899164,0.23216825765992105,0.0016150398887676374,0.012514356609831776,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,1150.0,1.1,256961126642632.3,5.48887715079947e+23,1.4397333440019057e+25,6.4277928640914515e+25,7.315494526141674e+21,4.391730372416956e+20,3.744508675443401,19.428782387982707,0.16088546954422597,1.349152462198113,1.510037931742339,593622969.2407547,592868168.4085355,127127938.6204157,114263465.18622482,1.0012731343533678,1.1125860607607565,0.6074068765545371,15.932291970211843,71.13086118439836,12.329439968835244,1.114158958999161e+25,9.036573938600515e+25,7.922414979601354e+25,1.034557227993356,2400954867454156.5,0.0005085354257263134,6.833698953575787e-06,4.683536020625949e-06,4.683536020625949e-06,0.018902786428645908,0.018902786428645908,3.831580937319107e+19,1.217356832747271e-05,6.982186324023495e-19,3.156599397790676e-23,1.3531231119689424e-22,1.3848e+19,0.0002536072408052734,0.0005972044194143172,9.20917088738656e-06,5.027996163918939e-06,9.20917088738656e-06,5.027996163918939e-06,3.0287335122300283e-30,6.842994962028407e+18,3.211962042879425e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,3.1667589742037936e-25,1.200639260548906e-20,1.200639260548906e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,3.1667589742037936e-25,6.86211923120963e-19,0.01719574936603863,1.1956646929697663,8.348353667371253e-19,3.330768464716398e-27,3.156266320944204e-23,3.330768464716398e-27,3.156266320944204e-23,4.286648197791592,,3.519584121877049e-08,2.412806519920414,239897103205571.44,7.566971424498023e-05,0.000521534705169337,7.566971424498023e-05,0.000521534705169337,0.0002536072408052734,0.0005972044194143172,0.11717607344902203,0.23806031838623667,0.0016088546954422596,0.013491524621981131,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,1200.0,1.1,256961126642632.3,5.4515205521053674e+23,1.42501648985852e+25,6.447261260133226e+25,7.226088959372197e+21,4.375876836487987e+20,3.761531843254031,19.863237606037664,0.16109651342335443,1.4364939864475226,1.5975904998708772,590675633.5146315,590185087.488059,120224703.92338838,111764257.36986628,1.0008311731979884,1.075699036101708,0.6032729427265262,15.769433189401989,71.34630119710731,12.280992670764212,1.109780983087718e+25,9.036573938600515e+25,7.926792955512797e+25,1.0368532821514922,2375499518006161.0,0.0005075093377000037,6.788484593833002e-06,5.0143481105813406e-06,5.0143481105813406e-06,0.020091076790781166,0.020091076790781166,4.0674230484564845e+19,1.2962340101602763e-05,7.003178262650793e-19,5.701035051863441e-23,2.4438331630617113e-22,1.3848e+19,0.00025234173928888554,0.0005997041819338215,9.192113362628198e-06,4.998599375750168e-06,9.192113362628198e-06,4.998599375750168e-06,3.261247264550804e-30,7.192714045935636e+18,3.5297698200646443e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,2.6067819204802983e-24,1.4103296362195756e-20,1.4103296362195756e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.6067819204802983e-24,6.86211923120963e-19,0.02013842263220853,1.1956646929697663,8.373452987224902e-19,3.503783313863259e-26,5.697531268549577e-23,3.503783313863259e-26,5.697531268549577e-23,4.286648197791592,,3.519584121877049e-08,2.412806519920414,239578502564427.75,7.729620109504251e-05,0.0005224079808387789,7.729620109504251e-05,0.0005224079808387789,0.00025234173928888554,0.0005997041819338215,0.11722728687436616,0.243090472300952,0.0016109651342335444,0.014364939864475226,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,1250.0,1.1,256961126642632.3,5.4434308284410236e+23,1.4181863165661839e+25,6.458191327533496e+25,7.180294140423626e+21,4.3616730032083645e+20,3.7778842461908586,20.23996349518826,0.16217234102579361,1.5148543805373493,1.6770267215631427,587972002.8392078,587630497.7417897,115390056.70936948,109683992.29216847,1.0005811561835718,1.0520227637411446,0.6023777225115078,15.693849529723618,71.46725486245144,12.236517885313459,1.105761986216427e+25,9.036573938600515e+25,7.930811952384088e+25,1.0389195186975198,2362234585389342.5,0.0005067225471400733,6.755007302123729e-06,5.293623696070869e-06,5.293623696070869e-06,0.02115692683819307,0.02115692683819307,4.290924953213235e+19,1.3690220651830894e-05,6.98479617433372e-19,9.777167924489774e-23,4.1911279263019845e-22,1.3848e+19,0.0002511135353927225,0.000598730045885979,9.175818638606688e-06,4.97405485608283e-06,9.175818638606688e-06,4.97405485608283e-06,3.458914390193785e-30,7.560214774981958e+18,3.802229254320219e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,1.8128222181985484e-23,1.2249566090226921e-20,1.2249566090226921e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.8128222181985484e-23,6.86211923120963e-19,0.017537471079312358,1.1956646929697663,8.351474173241125e-19,3.0533079764031822e-25,9.746634844725743e-23,3.0533079764031822e-25,9.746634844725743e-23,4.286648197791592,,3.519584121877049e-08,2.412806519920414,239306310777486.9,7.828525672576089e-05,0.0005204447891602182,7.828525672576089e-05,0.0005204447891602182,0.0002511135353927225,0.000598730045885979,0.11748766214821435,0.24743262488954598,0.0016217234102579362,0.015148543805373492,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,1300.0,1.1,256961126642632.3,5.450105470113152e+23,1.4157891288351656e+25,6.464247606706906e+25,7.157339681748017e+21,4.3486007232367565e+20,3.794168318257523,20.577153214041054,0.16375328395090863,1.5870624519919792,1.750815735942888,585360397.8085552,585108464.8293986,111818604.24929193,107886643.83784428,1.0004305748323605,1.0364452936116677,0.6031163477601341,15.667321912649866,71.5342745008073,12.195287238782706,1.1020361483573124e+25,9.036573938600515e+25,7.934537790243202e+25,1.0408287983201443,2355323835290362.5,0.0005059583040656369,6.728458515923792e-06,5.541613463102409e-06,5.541613463102409e-06,0.02213933258807821,0.02213933258807821,4.50413598990046e+19,1.4372835722150414e-05,6.947318782112526e-19,1.613578386741366e-22,6.91684288352034e-22,1.3848e+19,0.00024998395056296315,0.0005960443423515875,9.159679843735596e-06,4.9527930652396036e-06,9.159679843735596e-06,4.9527930652396036e-06,3.635082371379935e-30,7.938021664662564e+18,4.046343827682805e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,1.085968502764781e-22,8.411358240013143e-21,8.411358240013143e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.085968502764781e-22,6.86211923120963e-19,0.012107344579710556,1.1956646929697663,8.306663778577665e-19,2.2525702314749626e-24,1.5910526844266164e-22,2.2525702314749626e-24,1.5910526844266164e-22,4.286648197791592,,3.519584121877049e-08,2.412806519920414,239065974446047.38,7.891191498814836e-05,0.0005171324273634391,7.891191498814836e-05,0.0005171324273634391,0.00024998395056296315,0.0005960443423515875,0.11786820580582948,0.2513031923940409,0.0016375328395090863,0.01587062451991979,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,1350.0,1.1,256961126642632.3,5.453810394917809e+23,1.4139096193992347e+25,6.469540392362752e+25,7.132987274027925e+21,4.336041036716435e+20,3.811252238667939,20.893196300081947,0.16541052341797252,1.6565198601074311,1.8219303835254035,582678966.1547713,582485718.8607141,108967330.25757405,106254685.40643027,1.0003317631450865,1.0255296492645736,0.6035263399573794,15.6465229965042,71.59284521236025,12.15710545117821,1.0985858228893527e+25,9.036573938600515e+25,7.937988115711162e+25,1.0426701170233459,2347872021662847.5,0.0005049073506826698,6.703542158799502e-06,5.7807981023918644e-06,5.7807981023918644e-06,0.02308563586733715,0.02308563586733715,4.706202273022654e+19,1.5034374313978776e-05,6.9159361141840075e-19,2.636149257376736e-22,1.1300244463243628e-21,1.3848e+19,0.0002490657857507534,0.0005938370458936123,9.142842483039869e-06,4.933443365214038e-06,9.142842483039869e-06,4.933443365214038e-06,3.804899731866105e-30,8.317472502223889e+18,4.280811201862401e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,5.697567307150379e-22,4.811931566722714e-21,4.811931566722714e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,5.697567307150379e-22,6.86211923120963e-19,0.006957744385252264,1.1956646929697663,8.26914063056434e-19,1.433166365515074e-23,2.4928326208252284e-22,1.433166365515074e-23,2.4928326208252284e-22,4.286648197791592,,3.519584121877049e-08,2.412806519920414,238843594323622.44,7.951949264151487e-05,0.0005143175532520975,7.951949264151487e-05,0.0005143175532520975,0.0002490657857507534,0.0005938370458936123,0.11826449417882931,0.2549170490210608,0.0016541052341797252,0.01656519860107431,True
rank02_trial00280,rizk2025_refit_plot,rizk2025_refit_full,1400.0,1.1,256961126642632.3,5.438855511548975e+23,1.4091210259200738e+25,6.477665803128158e+25,7.086146770405863e+21,4.3233482016662494e+20,3.8299320453591363,21.20526894407808,0.16675234792282223,1.72679260079006,1.8935449487128824,579794075.6017565,579644749.2299641,106451553.01049238,104690961.75363395,1.0002576170524975,1.016817032028052,0.6018714114999302,15.59353174659359,71.68276215234894,12.121834689557534,1.0953985544367927e+25,9.036573938600515e+25,7.941175384163722e+25,1.044537813158244,2333876806562932.5,0.0005032964881321592,6.675542005611805e-06,6.0311053286057315e-06,6.0311053286057315e-06,0.024045516619380244,0.024045516619380244,4.895699358479646e+19,1.5705528353293563e-05,6.912575078180741e-19,4.565996225667462e-22,1.9572819491880637e-21,1.3848e+19,0.0002484583556112075,0.0005940211264802423,9.12454252341905e-06,4.914863096540162e-06,9.12454252341905e-06,4.914863096540162e-06,3.982084746185568e-30,8.690658970264657e+18,4.5222020553762914e+19,0.0,0.0,0.0,0.0,0.19175960360251726,0.3333333333333333,2.0,2.6554752260788454e-21,2.390109471032163e-21,2.390109471032163e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.6554752260788454e-21,6.86211923120963e-19,0.003457625333540963,1.1956646929697663,8.265121958483434e-19,7.989389038480301e-23,3.767057321819432e-22,7.989389038480301e-23,3.767057321819432e-22,4.286648197791592,,3.519584121877049e-08,2.412806519920414,238626800515163.2,8.042013288711514e-05,0.0005136009935931272,8.042013288711514e-05,0.0005136009935931272,0.0002484583556112075,0.0005940211264802423,0.11858342394146665,0.2584719343585742,0.0016675234792282222,0.0172679260079006,True
