label,xe_diffusivity_mode,vacancy_diffusivity_mode,T,burnup,rho_d_eff,c,mb,md,Nb,Nd,Rb_nm,Rd_nm,swelling_b_percent,swelling_d_percent,swelling_ig_percent,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,q_gb,generated,retained,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,Dg,Dv,Dv_dislocation,beta,g_b,g_d,b_b,b_d,b_b_gas,b_d_gas,dVd_growth_dt,dnvb_dt,dnvd_dt,nvb_seed_added,nvd_seed_added,bulk_first_gas_seed_applied,dislocation_first_gas_seed_applied,first_gas_pressure_factor,seed_pressure_factor,seed_gas_atoms_per_bubble,D1_Xe,D2_Xe,D2_Xe_scaled,D3_Xe,D1_Xe_i_2023,D2_Xe_i0_2023,D2_Xe_i1_2023,D1_XeVU_2023,D2_XeVU_2023,Dg_D1_scaled,Dg_D3_scaled,D2_Xe_over_Dg_unscaled,Dg_dislocation_scale,Dg_dislocation,Dv1,Dv2,Dv1_scaled,Dv2_scaled,Dv_dislocation_scale,A20_vU_active,Gamma_d,den,free_dislocation,term_bubbles,term_dislocation,term_bubbles_scaled,term_dislocation_scaled,g_b_unscaled,g_d_unscaled,psi_b,psi_d,porosity_b,porosity_d,valid_single_size
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,900.0,1.1,36954646909480.22,1.4457424573716e+24,5.964748909426303e+25,1.7363378279927234e+25,5.032853167047276e+21,8.878171727373358e+19,6.819760104589292,19.365320005399067,0.6686674200202413,0.27007611910293805,0.9387435391231793,458464038.6125397,325524646.90159297,176144298.24651095,114637919.71323286,1.4083850269903977,1.536527343545107,1.5998789665140511,66.00675156263988,19.21455896659911,13.178810504246968,1.1909129554443286e+25,9.036573938600515e+25,7.845660983156186e+25,1.0067843591650727,925544409529593.9,8.438687057864638e-05,5.113264853531637e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.862128815240435e-19,5.097673414690816e-25,2.4669411267459314e-24,1.3848e+19,0.0003049516409111782,6.051368867387921e-05,7.192343069003975e-06,5.032316294897036e-06,7.192343069003975e-06,5.032316294897036e-06,9.624965032932524e-31,1.1461300579595514e+19,2.6072697105032504e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,2.4966082885114063e-31,9.584028308143428e-25,9.584028308143428e-25,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.4966082885114063e-31,6.86211923120963e-19,1.3966552605159195e-06,1.0656361413915856,7.31253247240483e-19,5.119872410101689e-34,5.097673409570944e-25,5.119872410101689e-34,5.097673409570944e-25,4.839347141455817,,9.28090944255328e-08,3.382423226755892,33516157353167.203,1.4986173393119876e-05,4.552751528075933e-05,1.4986173393119876e-05,4.552751528075933e-05,0.0003049516409111782,6.051368867387921e-05,0.18839529583965484,0.13926074946694114,0.006686674200202413,0.0027007611910293806,True
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,950.0,1.1,41619454070220.766,1.4226427021600472e+24,5.728870441327445e+25,1.9925662749445795e+25,4.738303666738541e+21,9.965124185063991e+19,7.008123916653497,20.391537039860147,0.6831511701734622,0.35393312625190476,1.037084296425367,382986196.93475974,316775220.64422756,141602308.34595555,108868693.69682522,1.2090156425615568,1.3006705925974098,1.5743164520384265,63.3964872113321,22.050019050175184,12.979177286454277,1.1728729521124846e+25,9.036573938600515e+25,7.86370098648803e+25,1.008904324864544,896246778318525.0,8.27196111658371e-05,5.0012666691093265e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.862476621496718e-19,1.4263125960570472e-24,6.902421784551096e-24,1.3848e+19,0.00029480795255778066,6.963317812901932e-05,7.114066430865802e-06,4.964342996356027e-06,7.114066430865802e-06,4.964342996356027e-06,1.1598322751565786e-30,1.4388965730973626e+19,3.5334250404105016e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,7.498646671560408e-30,3.573902121010292e-23,3.573902121010292e-23,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,7.498646671560408e-30,6.86211923120963e-19,5.2078896849208036e-05,1.0656361413915856,7.3129031073217265e-19,2.284501093225007e-32,1.4263125732120364e-24,2.284501093225007e-32,1.4263125732120364e-24,4.839347141455817,,8.74534353357387e-08,3.3229850756108936,37555470845654.75,1.7703634237675867e-05,5.192954389134346e-05,1.7703634237675867e-05,5.192954389134346e-05,0.00029480795255778066,6.963317812901932e-05,0.18974584394117855,0.15239605942453044,0.006831511701734622,0.0035393312625190475,True
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,1000.0,1.1,45269208064507.29,1.4039562957397155e+24,5.5376255726254985e+25,2.199990464458135e+25,4.5122672008542096e+21,1.080231730276435e+20,7.15653745292338,21.309516231521293,0.6927750905982283,0.43785096443703564,1.130626055035264,344273385.7747032,310205880.2323672,121084039.9782331,104178807.99734671,1.1098222429465776,1.1622713131956448,1.553637811496892,61.28014455756343,24.345404346891733,12.820813284047947,1.1585622719429097e+25,9.036573938600515e+25,7.878011666657605e+25,1.0110323294659629,873378081452813.0,8.149438412377061e-05,4.910286721281682e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.866596745302428e-19,3.542021295984409e-24,1.714107063369778e-23,1.3848e+19,0.0002866853450315221,7.704252985726974e-05,7.054710696962889e-06,4.908695737844368e-06,7.054710696962889e-06,4.908695737844368e-06,1.2546238633101543e-30,1.6794084338924616e+19,4.134251669676577e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,1.6026995865756309e-28,4.477512490098069e-22,4.477512490098069e-22,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.6026995865756309e-28,6.86211923120963e-19,0.0006520715656065316,1.0656361413915856,7.317293660156099e-19,6.972208708889678e-31,3.542020598763538e-24,6.972208708889678e-31,3.542020598763538e-24,4.839347141455817,,8.385396736799507e-08,3.2809553937027607,40665472368881.13,2.005814710033893e-05,5.698438275693081e-05,2.005814710033893e-05,5.698438275693081e-05,0.0002866853450315221,7.704252985726974e-05,0.19063270978157212,0.1635970382179413,0.006927750905982283,0.004378509644370357,True
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,1050.0,1.1,48124782530890.12,1.386991755771774e+24,5.3830254206718055e+25,2.367318202218031e+25,4.3334959745544644e+21,1.1447343856080796e+20,7.27450061256133,22.081021240241007,0.6987737164360583,0.5162389921101825,1.2150127085462408,323513121.86103,305175587.7464068,108941989.92553848,100538828.15683436,1.0600884698872481,1.0835812583333049,1.5348646126239476,59.56931750071498,26.197076660943644,12.698741225717438,1.1475311401335014e+25,9.036573938600515e+25,7.889042798467013e+25,1.0130260335561168,854859563613083.6,8.051377813023672e-05,4.835696381814351e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.886439551203305e-19,7.958878129400058e-24,3.851577412470739e-23,1.3848e+19,0.0002805414926181497,8.317869894552214e-05,7.008919438679576e-06,4.8652620352365e-06,7.008919438679576e-06,4.8652620352365e-06,1.2254440987131028e-30,1.875127011713901e+19,4.2433023523103713e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,2.558981501392922e-27,2.432029440386027e-21,2.432029440386027e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.558981501392922e-27,6.86211923120963e-19,0.00353162098106425,1.0656361413915856,7.338438871270693e-19,1.5366002896313797e-29,7.958862763397163e-24,1.5366002896313797e-29,7.958862763397163e-24,4.839347141455817,,8.132810885543302e-08,3.2503702906682035,43069504539579.3,2.208160055504831e-05,6.109709839047383e-05,2.208160055504831e-05,6.109709839047383e-05,0.0002805414926181497,8.317869894552214e-05,0.1911813484097178,0.17282912640404655,0.006987737164360583,0.005162389921101825,True
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,1100.0,1.1,50358989424237.62,1.3690751296373344e+24,5.258495061570229e+25,2.5019917306187395e+25,4.183923944670309e+21,1.1945045416109515e+20,7.376595951767818,22.706872771297874,0.7034615722588906,0.5857986875481473,1.2892602598070382,311363614.93891287,300951823.1058829,101836245.44928974,97767756.14853238,1.0345962078766568,1.0416138148304883,1.5150378217890859,58.191247006878434,27.68739289490305,12.606322276429431,1.1391796334478131e+25,9.036573938600515e+25,7.897394305152702e+25,1.014800017775266,838361605461719.8,7.957600113296954e-05,4.774334028646001e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.931473046467114e-19,1.6432407269475763e-23,7.952212314677532e-23,1.3848e+19,0.0002763461926404701,8.845400778737428e-05,6.970239469073694e-06,4.832052569006737e-06,6.970239469073694e-06,4.832052569006737e-06,1.1054549445118776e-30,2.042662764152097e+19,3.930362337129244e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,3.1761352235744896e-26,6.935349764396125e-21,6.935349764396125e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,3.1761352235744896e-26,6.86211923120963e-19,0.01000559292072987,1.0656361413915856,7.386428191396994e-19,2.556484784617257e-28,1.64321516209973e-23,2.556484784617257e-28,1.64321516209973e-23,4.839347141455817,,7.950355718195119e-08,3.2276803565766556,44934387910687.03,2.3843573609592362e-05,6.461043417778191e-05,2.3843573609592362e-05,6.461043417778191e-05,0.0002763461926404701,8.845400778737428e-05,0.19160792134035431,0.18026695856320946,0.007034615722588906,0.005857986875481474,True
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,1150.0,1.1,52107037146699.75,1.3522203370131466e+24,5.160214047070054e+25,2.6085716699166093e+25,4.060046366131255e+21,1.2329527810865068e+20,7.468982686109374,23.21217395296163,0.7086045892412197,0.6459256091232857,1.3545301983645053,303463847.17507815,297229233.6583803,97637417.9892542,95639469.37924577,1.0209757749598196,1.0208904192272945,1.4963860708725232,57.103655457603786,28.86682151488705,12.533136956636636,1.132566187912536e+25,9.036573938600515e+25,7.904007750687979e+25,1.0163370798353488,823828669412602.5,7.86908736477792e-05,4.726660288289782e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.982186324023495e-19,3.156599397790676e-23,1.5275880272419462e-22,1.3848e+19,0.00027341357387646584,9.287644950704501e-05,6.935973125192558e-06,4.8064621092457185e-06,6.935973125192558e-06,4.8064621092457185e-06,9.643770273875714e-31,2.194282730506632e+19,3.460699689678558e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,3.1667589742037936e-25,1.200639260548906e-20,1.200639260548906e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,3.1667589742037936e-25,6.86211923120963e-19,0.01719574936603863,1.0656361413915856,7.440470092809496e-19,3.330768464716398e-27,3.156266320944204e-23,3.330768464716398e-27,3.156266320944204e-23,4.839347141455817,,7.815861841749414e-08,3.2106189227315354,46383212279370.484,2.533781043180025e-05,6.753863907524477e-05,2.533781043180025e-05,6.753863907524477e-05,0.00027341357387646584,9.287644950704501e-05,0.1920737373425434,0.18623479896941833,0.007086045892412197,0.006459256091232857,True
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,1200.0,1.1,53474713009263.54,1.3409694113210013e+24,5.086318950197474e+25,2.689459095742443e+25,3.966527976900927e+21,1.262658092667118e+20,7.550430743141869,23.62702815904092,0.7151782794164306,0.6975922909006179,1.4127705703170483,297937724.0929103,294022960.4802942,95009600.87022114,93960187.67389981,1.0133144826724456,1.0111687005134924,1.4839356380330528,56.28592190753642,29.761933162016014,12.468209292414507,1.126698951528497e+25,9.036573938600515e+25,7.909874987072018e+25,1.017660542190312,812611306702703.0,7.799541164904292e-05,4.694955183607018e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.003178262650793e-19,5.701035051863441e-23,2.7589287681574756e-22,1.3848e+19,0.0002707590203621864,9.615314015844174e-05,6.9063264343120285e-06,4.786219263426875e-06,6.9063264343120285e-06,4.786219263426875e-06,8.578321946865929e-31,2.3360458953354826e+19,3.081988628258184e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,2.6067819204802983e-24,1.4103296362195756e-20,1.4103296362195756e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.6067819204802983e-24,6.86211923120963e-19,0.02013842263220853,1.0656361413915856,7.462839861288619e-19,3.503783313863259e-26,5.697531268549577e-23,3.503783313863259e-26,5.697531268549577e-23,4.839347141455817,,7.71526473073773e-08,3.197664483481061,47508209634796.16,2.648731879058804e-05,6.96658213678537e-05,2.648731879058804e-05,6.96658213678537e-05,0.0002707590203621864,9.615314015844174e-05,0.19266586295407925,0.1910735433921139,0.007151782794164306,0.006975922909006179,True
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,1250.0,1.1,54544785205235.96,1.3362144114453863e+24,5.033165768713102e+25,2.7486416983074546e+25,3.900831286273256e+21,1.2855590399313214e+20,7.621699865390848,23.98196846666399,0.7234379790201105,0.7427371018752658,1.4661750808953762,293834204.7614369,291273605.52213985,93176447.36011457,92569548.78770271,1.008791044539401,1.006556136227948,1.4786736881968394,55.69772131464,30.416856177830756,12.40674881933241,1.1211450304354196e+25,9.036573938600515e+25,7.915428908165095e+25,1.0188189531808034,804739722765404.2,7.751377026752096e-05,4.677184634699965e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.98479617433372e-19,9.777167924489774e-23,4.731510964691309e-22,1.3848e+19,0.00026801335431401785,9.827360430781088e-05,6.880806016834385e-06,4.769421974563344e-06,6.880806016834385e-06,4.769421974563344e-06,8.004704386868462e-31,2.471682227758964e+19,2.8814711699871186e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,1.8128222181985484e-23,1.2249566090226921e-20,1.2249566090226921e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.8128222181985484e-23,6.86211923120963e-19,0.017537471079312358,1.0656361413915856,7.443251243623694e-19,3.0533079764031822e-25,9.746634844725743e-23,3.0533079764031822e-25,9.746634844725743e-23,4.839347141455817,,7.639209945152194e-08,3.187757871995178,48378800654563.086,2.7297473944327248e-05,7.097613036348363e-05,2.7297473944327248e-05,7.097613036348363e-05,0.00026801335431401785,9.827360430781088e-05,0.19340473460453997,0.19510948065415248,0.007234379790201105,0.007427371018752658,True
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,1300.0,1.1,55382011726472.33,1.334725574859701e+24,4.994883187720507e+25,2.7922131576717714e+25,3.851952250319064e+21,1.3031111020443104e+20,7.6880171059654705,24.305302071423775,0.7331832371769393,0.7837420038888796,1.516925241065819,290489530.5257266,288761064.0560886,91719446.51600665,91338095.42775023,1.0059858017052543,1.0041751591870893,1.4770261206609554,55.2740808812998,30.899024084167444,12.349868913871797,1.1160050357222653e+25,9.036573938600515e+25,7.92056890287825e+25,1.0198727584815113,798638297564256.0,7.712924817106168e-05,4.66706163968499e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.947318782112526e-19,1.613578386741366e-22,7.808665953391718e-22,1.3848e+19,0.00026546316065513494,9.963215866472159e-05,6.857403737431633e-06,4.75452181062896e-06,6.857403737431633e-06,4.75452181062896e-06,7.799771789972507e-31,2.604945429961498e+19,2.8238343414810783e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,1.085968502764781e-22,8.411358240013143e-21,8.411358240013143e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.085968502764781e-22,6.86211923120963e-19,0.012107344579710556,1.0656361413915856,7.403313979987682e-19,2.2525702314749626e-24,1.5910526844266164e-22,2.2525702314749626e-24,1.5910526844266164e-22,4.839347141455817,,7.581247936979347e-08,3.180141506073106,49047570026329.5,2.788956264301266e-05,7.174259602170893e-05,2.788956264301266e-05,7.174259602170893e-05,0.00026546316065513494,9.963215866472159e-05,0.19426930017443578,0.19863588408258923,0.007331832371769393,0.007837420038888796,True
rank05_trial00233,rizk2025_refit_plot,rizk2025_refit_full,1350.0,1.1,56037059348959.664,1.3326578154839874e+24,4.965828563997936e+25,2.825987077561765e+25,3.808511771298149e+21,1.3164292150466232e+20,7.755281651284551,24.617955773839366,0.7441091349571183,0.8227011087416743,1.5668102436987925,287431535.4820418,286256528.1084652,90426787.6793912,90178080.60079123,1.0041047356416317,1.0027579548926193,1.4747379090115373,54.952558322861336,31.27277103870433,12.29993272942279,1.1114925154924148e+25,9.036573938600515e+25,7.9250814231081e+25,1.0208754285824628,792568628172365.8,7.670568718603796e-05,4.65841379145238e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.9159361141840075e-19,2.636149257376736e-22,1.2757241373136981e-21,1.3848e+19,0.00026350833907520056,0.00010069689151328188,6.8339996475728495e-06,4.740463790299327e-06,6.8339996475728495e-06,4.740463790299327e-06,7.8000847392546234e-31,2.739518563469592e+19,2.8467344291691653e+18,0.0,0.0,0.0,0.0,0.34181497669071775,0.3333333333333333,2.0,5.697567307150379e-22,4.811931566722714e-21,4.811931566722714e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,5.697567307150379e-22,6.86211923120963e-19,0.006957744385252264,1.0656361413915856,7.369871474829762e-19,1.433166365515074e-23,2.4928326208252284e-22,1.433166365515074e-23,2.4928326208252284e-22,4.839347141455817,,7.536807019305249e-08,3.1742623045738485,49555559082483.53,2.8405039491303924e-05,7.229185202197796e-05,2.8405039491303924e-05,7.229185202197796e-05,0.00026350833907520056,0.00010069689151328188,0.19522954646418741,0.20187414216132282,0.007441091349571182,0.008227011087416743,True
