label,xe_diffusivity_mode,vacancy_diffusivity_mode,T,burnup,rho_d_eff,c,mb,md,Nb,Nd,Rb_nm,Rd_nm,swelling_b_percent,swelling_d_percent,swelling_ig_percent,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,q_gb,generated,retained,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,Dg,Dv,Dv_dislocation,beta,g_b,g_d,b_b,b_d,b_b_gas,b_d_gas,dVd_growth_dt,dnvb_dt,dnvd_dt,nvb_seed_added,nvd_seed_added,bulk_first_gas_seed_applied,dislocation_first_gas_seed_applied,first_gas_pressure_factor,seed_pressure_factor,seed_gas_atoms_per_bubble,D1_Xe,D2_Xe,D2_Xe_scaled,D3_Xe,D1_Xe_i_2023,D2_Xe_i0_2023,D2_Xe_i1_2023,D1_XeVU_2023,D2_XeVU_2023,Dg_D1_scaled,Dg_D3_scaled,D2_Xe_over_Dg_unscaled,Dg_dislocation_scale,Dg_dislocation,Dv1,Dv2,Dv1_scaled,Dv2_scaled,Dv_dislocation_scale,A20_vU_active,Gamma_d,den,free_dislocation,term_bubbles,term_dislocation,term_bubbles_scaled,term_dislocation_scaled,g_b_unscaled,g_d_unscaled,psi_b,psi_d,porosity_b,porosity_d,valid_single_size
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,900.0,1.1,21564620721300.74,9.014441993788289e+23,3.975546223856125e+25,4.103534785643261e+25,8.327870104669117e+21,9.811073874273726e+18,4.993212504124312,46.51031519806948,0.4342728712564078,0.4134785677669944,0.8477514390234021,512701254.1085173,444603548.9509642,788363636.5689614,47731347.133337565,1.1531650058084977,16.51668523762103,0.9975508478143816,43.99395446624115,45.41029391808165,9.598200767862819,8.67348509163246e+24,9.036573938600515e+25,8.169225429437269e+25,1.0104136686685368,2059021073241141.5,0.00020954437952850667,2.390984130926269e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.862128815240435e-19,5.097673414690816e-25,8.685182734047865e-25,1.3848e+19,0.0003734290253388447,0.00019246733421014254,8.174968777680986e-06,4.210682496529472e-06,8.174968777680986e-06,4.210682496529472e-06,1.2461163821338618e-29,1.000389586661208e+19,2.1139953099003233e+18,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,2.4966082885114063e-31,9.584028308143428e-25,9.584028308143428e-25,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.4966082885114063e-31,6.86211923120963e-19,1.3966552605159195e-06,7.731154810876479,5.3052180202800205e-18,5.119872410101689e-34,5.097673409570944e-25,5.119872410101689e-34,5.097673409570944e-25,1.7037542477747447,,1.214938099942837e-07,3.651741906423991,20652008828370.04,3.952586527511417e-06,0.00018851474768263112,3.952586527511417e-06,0.00018851474768263112,0.0003734290253388447,0.00019246733421014254,0.16315018354390842,0.16050343613364035,0.004342728712564078,0.004134785677669944,True
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,950.0,1.1,21564620721300.74,8.948413988569724e+23,3.993116980135605e+25,4.088954225062197e+25,8.239406719753328e+21,9.795716027716671e+18,5.075669633890829,47.944865113552,0.45129922879132456,0.45222138879089996,0.9035206175822246,468112058.34420353,437380712.32548416,512433183.93332285,46303185.85196102,1.0702622341422547,11.066909857383397,0.9902440957568877,44.18839493005924,45.24894338102931,9.57241759315457,8.650185935170166e+24,9.036573938600515e+25,8.171555345083498e+25,1.0113972700005271,2029075555141706.2,0.0002064056402724642,2.3957533523591757e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.862476621496718e-19,1.4263125960570472e-24,2.430086144186818e-24,1.3848e+19,0.0003753368103685194,0.00019234858838823775,8.119523611648568e-06,4.192326190958401e-06,8.119523611648568e-06,4.192326190958401e-06,1.616184633058266e-29,1.1675457831951866e+19,3.384837403420065e+18,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,7.498646671560408e-30,3.573902121010292e-23,3.573902121010292e-23,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,7.498646671560408e-30,6.86211923120963e-19,5.2078896849208036e-05,7.731154810876479,5.305486914681171e-18,2.284501093225007e-32,1.4263125732120364e-24,2.284501093225007e-32,1.4263125732120364e-24,1.7037542477747447,,1.214938099942837e-07,3.651741906423991,20625336912647.098,4.067763589868498e-06,0.00018828082479836926,4.067763589868498e-06,0.00018828082479836926,0.0003753368103685194,0.00019234858838823775,0.16525509714611208,0.16536757829094723,0.004512992287913246,0.0045222138879089996,True
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,1000.0,1.1,21564620721300.74,8.894605159017835e+23,3.999635514282448e+25,4.0849108767439234e+25,8.162438219198555e+21,9.774556788034333e+18,5.137227627390644,49.79866865916086,0.4635482489534593,0.5056370399556717,0.969185288909131,446846348.0844441,432139698.8841638,356005668.97417194,44579505.03043445,1.0340321642243344,7.985859617129591,0.9842895348892962,44.260529947059425,45.20419911903636,9.550981399014915,8.630814959839647e+24,9.036573938600515e+25,8.17349244261655e+25,1.0127556516402207,2005952676852745.0,0.00020414387318686925,2.3929455264185326e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.866596745302428e-19,3.542021295984409e-24,6.034733828742044e-24,1.3848e+19,0.00037638706153777965,0.0001922991702870138,8.078973176079853e-06,4.170123756080722e-06,8.078973176079853e-06,4.170123756080722e-06,2.1198697547862543e-29,1.2934686946726836e+19,5.065631333597659e+18,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,1.6026995865756309e-28,4.477512490098069e-22,4.477512490098069e-22,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.6026995865756309e-28,6.86211923120963e-19,0.0006520715656065316,7.731154810876479,5.308672246179364e-18,6.972208708889678e-31,3.542020598763538e-24,6.972208708889678e-31,3.542020598763538e-24,1.7037542477747447,,1.214938099942837e-07,3.651741906423991,20591130792305.785,4.217746705076089e-06,0.0001880814235819377,4.217746705076089e-06,0.0001880814235819377,0.00037638706153777965,0.0001922991702870138,0.16673687140913881,0.17163780823764818,0.004635482489534593,0.005056370399556717,True
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,1050.0,1.1,20034509132951.082,8.895320459836264e+23,4.282776156147859e+25,3.791589676240278e+25,8.504576959113063e+21,9.068255074895673e+18,5.222799405492514,52.20070198413102,0.5075178982735565,0.5403079614648717,1.0478258597384282,432713817.2997804,425059403.5193761,252111074.47551024,42528163.71463508,1.0180078683521123,5.92809687639422,0.9843686910853598,47.3938041701137,41.95826540016645,9.663561738634485,8.732549016140145e+24,9.036573938600515e+25,8.1633190369865e+25,1.013638734002785,2012100647888504.8,0.00019863484586623849,2.3917614996477265e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.886439551203305e-19,7.958878129400058e-24,1.3559972420486864e-23,1.3848e+19,0.00039960143517756626,0.00017722202963646125,8.023743263287534e-06,4.143631437161058e-06,8.023743263287534e-06,4.143631437161058e-06,2.670749849157652e-29,1.42011806050802e+19,6.732975861697234e+18,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,2.558981501392922e-27,2.432029440386027e-21,2.432029440386027e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.558981501392922e-27,6.86211923120963e-19,0.00353162098106425,7.731154810876479,5.3240130266095496e-18,1.5366002896313797e-29,7.958862763397163e-24,1.5366002896313797e-29,7.958862763397163e-24,1.7037542477747447,,1.260479278518174e-07,3.6885408058920723,19087802283556.047,4.112764316495703e-06,0.00017310926531996555,4.112764316495703e-06,0.00017310926531996555,0.00039960143517756626,0.00017722202963646125,0.17185036317195185,0.17547440924308033,0.005075178982735565,0.005403079614648717,True
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,1100.0,1.1,19025175048875.78,8.849953464831754e+23,4.466823073606726e+25,3.601575780227272e+25,8.685372965566217e+21,8.592103778020562e+18,5.2941289425579505,54.90190338552841,0.5398344871630573,0.5955940175483638,1.135428504711421,423580055.0955608,419332438.64804107,188964339.07542944,40435756.560403146,1.0101294725998646,4.673199048301558,0.9793483155190491,49.430493281599794,39.855544863555274,9.734613539325867,8.796755501181985e+24,9.036573938600515e+25,8.156898388482316e+25,1.0150492254207395,2004669263443419.0,0.0001944967421266446,2.3857281667633775e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.931473046467114e-19,1.6432407269475763e-23,2.799678368653393e-23,1.3848e+19,0.00041616501116754104,0.0001680336516132344,7.978709884341393e-06,4.116532755140564e-06,7.978709884341393e-06,4.116532755140564e-06,3.3935892176276664e-29,1.5294676622930373e+19,8.674443801469482e+18,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,3.1761352235744896e-26,6.935349764396125e-21,6.935349764396125e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,3.1761352235744896e-26,6.86211923120963e-19,0.01000559292072987,7.731154810876479,5.358829118965487e-18,2.556484784617257e-28,1.64321516209973e-23,2.556484784617257e-28,1.64321516209973e-23,1.7037542477747447,,1.2934830230230064e-07,3.7143873751989607,18081763696380.094,4.124436097599171e-06,0.00016390921551563524,4.124436097599171e-06,0.00016390921551563524,0.00041616501116754104,0.0001680336516132344,0.1754231379251711,0.18126617711035437,0.005398344871630573,0.005955940175483638,True
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,1150.0,1.1,19076228759405.836,8.764387868513134e+23,4.449589525056354e+25,3.621160289730908e+25,8.56670952301732e+21,8.582610976613946e+18,5.342606632051535,57.64712504999457,0.5472203598064616,0.688717307188291,1.2359376669947526,418023672.04694396,415527504.2489009,150937307.51476073,38510159.840142965,1.0060072264110533,3.9194152436995022,0.9698795061118556,49.2397844060075,40.072269804187684,9.718066283692963,8.781802451281218e+24,9.036573938600515e+25,8.158393693472393e+25,1.01743148004564,1980477850529563.2,0.00019258229717506774,2.370206372842396e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.982186324023495e-19,3.156599397790676e-23,5.378069632509065e-23,1.3848e+19,0.0004171235041086099,0.00016957022447284373,7.948617154035273e-06,4.091526594377444e-06,7.948617154035273e-06,4.091526594377444e-06,4.2878532133540283e-29,1.6225680926299791e+19,1.1266632029790147e+19,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,3.1667589742037936e-25,1.200639260548906e-20,1.200639260548906e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,3.1667589742037936e-25,6.86211923120963e-19,0.01719574936603863,7.731154810876479,5.39803633894102e-18,3.330768464716398e-27,3.156266320944204e-23,3.330768464716398e-27,3.156266320944204e-23,1.7037542477747447,,1.2917509890956643e-07,3.7130474313653496,18086742068852.918,4.3567287673409934e-06,0.00016521349570550273,4.3567287673409934e-06,0.00016521349570550273,0.0004171235041086099,0.00016957022447284373,0.17621954779217341,0.19025978380797226,0.005472203598064615,0.00688717307188291,True
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,1200.0,1.1,19261081616285.074,8.705320327325965e+23,4.410928587016802e+25,3.6631896052217473e+25,8.438242271092013e+21,8.627099730820575e+18,5.383488974622671,60.45581555896893,0.5514829416213759,0.7984866888438804,1.3499696304652562,413920527.7684865,412371978.5560813,124592503.75448197,36721033.03005813,1.0037552241493892,3.392946588743741,0.9633430088078434,48.81195702029432,40.53737212921053,9.687327841687289,8.754025430887053e+24,9.036573938600515e+25,8.16117139551181e+25,1.020249927350205,1959745851933663.0,0.00019135712766466252,2.3551610069825343e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.003178262650793e-19,5.701035051863441e-23,9.71316268632505e-23,1.3848e+19,0.0004151362838461441,0.0001717356071412158,7.923551639862514e-06,4.068233803122179e-06,7.923551639862514e-06,4.068233803122179e-06,5.29559093983495e-29,1.7125078949942174e+19,1.425822164517834e+19,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,2.6067819204802983e-24,1.4103296362195756e-20,1.4103296362195756e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,2.6067819204802983e-24,6.86211923120963e-19,0.02013842263220853,7.731154810876479,5.414265531671826e-18,3.503783313863259e-26,5.697531268549577e-23,3.503783313863259e-26,5.697531268549577e-23,1.7037542477747447,,1.2855374350842795e-07,3.7082256458083687,18218008519139.438,4.605701838766074e-06,0.00016712990530244972,4.605701838766074e-06,0.00016712990530244972,0.0004151362838461441,0.0001717356071412158,0.1766759198657109,0.19987381113558744,0.0055148294162137585,0.007984866888438804,True
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,1250.0,1.1,25963988627312.156,8.389893866069538e+23,3.198843766453048e+25,4.9322568841280115e+25,6.659935002016493e+21,1.1474621421382828e+19,5.242641830793718,61.634205582301874,0.40198436818558536,1.125362354519987,1.5273467227055721,424391772.6493052,423450632.64867353,120548039.39309643,36018960.23524749,1.002222549520696,3.3467939831069953,0.9284374723291284,35.39885567459264,54.58104938487191,9.091657468206321,8.215743493587598e+24,9.036573938600515e+25,8.214999589241755e+25,1.0287092593923255,1815400043451501.0,0.00020827679008589243,2.326615894740569e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.98479617433372e-19,9.777167924489774e-23,1.6657891382556436e-22,1.3848e+19,0.00031852100326115696,0.0002402764547174166,8.011223619006196e-06,4.059082727997824e-06,8.011223619006196e-06,4.059082727997824e-06,6.904812279864549e-29,1.6542849690977399e+19,2.3090549416290652e+19,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,1.8128222181985484e-23,1.2249566090226921e-20,1.2249566090226921e-20,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.8128222181985484e-23,6.86211923120963e-19,0.017537471079312358,7.731154810876479,5.400054054619176e-18,3.0533079764031822e-25,9.746634844725743e-23,3.0533079764031822e-25,9.746634844725743e-23,1.7037542477747447,,1.1072338604777748e-07,3.5589136649709645,24549600896358.883,6.228441411533132e-06,0.00023404801330588346,6.228441411533132e-06,0.00023404801330588346,0.00031852100326115696,0.0002402764547174166,0.1590021713224287,0.22409429189012037,0.004019843681855853,0.011253623545199869,True
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,1300.0,1.1,33832145108732.57,7.84955118189082e+23,2.0260397198721225e+25,6.1737813963497865e+25,4.93516658826733e+21,1.4729865906164247e+19,4.968133229986251,62.23548631777361,0.2534954260861177,1.4873105726963942,1.7408059987825117,447383479.1040413,446847919.97942126,115122305.39703238,35670967.34272643,1.0011985266142553,3.227339037120524,0.868642389828824,22.420440906455894,68.31993450502232,8.390982198692967,7.582573105596971e+24,9.036573938600515e+25,8.278316628040818e+25,1.038193592289203,1580349051435733.8,0.000243718210767405,2.386210039972657e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.947318782112526e-19,1.613578386741366e-22,2.749141030528122e-22,1.3848e+19,0.00022291075552688608,0.00032317922222284884,8.192347667568553e-06,4.054548316375286e-06,8.192347667568553e-06,4.054548316375286e-06,8.937079908785118e-29,1.393897880730554e+19,3.5278469437864088e+19,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,1.085968502764781e-22,8.411358240013143e-21,8.411358240013143e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,1.085968502764781e-22,6.86211923120963e-19,0.012107344579710556,7.731154810876479,5.371079702502178e-18,2.2525702314749626e-24,1.5910526844266164e-22,2.2525702314749626e-24,1.5910526844266164e-22,1.7037542477747447,,9.699744533736799e-08,3.426563232918712,31998815535244.387,8.029725733550108e-06,0.0003151494964892987,8.029725733550108e-06,0.0003151494964892987,0.00022291075552688608,0.00032317922222284884,0.13635049194791787,0.24592379669223402,0.0025349542608611767,0.014873105726963941,True
rank03_trial00197,rizk2025_refit_plot,rizk2025_refit_full,1350.0,1.1,38129515015542.92,7.479234595006615e+23,1.5338548139119788e+25,6.703436660969802e+25,4.1582037437568123e+21,1.639977929173398e+19,4.795531042957359,63.74888340363941,0.19208988403829205,1.7796899971030484,1.9717798811413403,463265651.4806795,462931003.9104547,103268018.8340378,34824139.36482001,1.0007228886538124,2.9654148162053664,0.827662634735761,16.97385341318333,74.18117426490018,8.01730968718073,7.244901177686681e+24,9.036573938600515e+25,8.312083820831847e+25,1.0459469758152227,1428142494559354.2,0.00027126871276977936,2.44692067597881e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.9159361141840075e-19,2.636149257376736e-22,4.491350495023852e-22,1.3848e+19,0.00018072152303511647,0.0003687242607737074,8.313773101263395e-06,4.04349137182699e-06,8.313773101263395e-06,4.04349137182699e-06,1.0768981726693357e-28,1.2172308543662985e+19,4.670694551358618e+19,0.0,0.0,0.0,0.0,0.9053784221419374,0.3333333333333333,2.0,5.697567307150379e-22,4.811931566722714e-21,4.811931566722714e-21,6.86211923120963e-19,0.0,0.0,0.0,0.0,0.0,5.697567307150379e-22,6.86211923120963e-19,0.006957744385252264,7.731154810876479,5.346817276088807e-18,1.433166365515074e-23,2.4928326208252284e-22,1.433166365515074e-23,2.4928326208252284e-22,1.7037542477747447,,9.136806405197707e-08,3.366774600271306,36038717802774.67,9.115304131598403e-06,0.000359608956642109,9.115304131598403e-06,0.000359608956642109,0.00018072152303511647,0.0003687242607737074,0.12430869239328975,0.2610847186165812,0.0019208988403829205,0.017796899971030483,True
