number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,params_first_gas_pressure_factor,params_rho_rizk2023_fit_cap,params_rho_rizk2023_fit_scale,params_rho_rizk2023_fit_variant,user_attrs_first_gas_pressure_factor,user_attrs_max_Rd_nm,user_attrs_max_f_cap_step,user_attrs_max_psi_d,user_attrs_min_Nd,user_attrs_rho_cfg,user_attrs_score_Nd_drop,user_attrs_score_guards,user_attrs_score_partition,user_attrs_score_pressure,user_attrs_score_radius_T,user_attrs_score_swelling_T,user_attrs_score_swelling_burnup,state
0,36.6929740956809,9.22192897110859,12.77102961822625,758039.3296846873,2.547711774336106e-06,0.6882128837665618,2196870848933206.5,0.051303920362776596,shifted,0.6882128837665618,235.82739444033464,0.0,0.4125527104256905,1.1651700716646252e+18,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.051303920362776596, ""rho_rizk2023_fit_cap"": 2196870848933206.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6882128837665618}",0.0,0.0,5.156813992753164,0.0016744567639880256,0.20784968526273476,0.6808240923264922,1.3688852562455405,COMPLETE
1,3028.3959449729505,19.4226990091091,26.6012147598406,932392.7981885478,1.2495290569450285e-06,0.7513168122279581,1512995217774411.5,0.03265267374829632,fig410,0.7513168122279581,41621.58594734189,0.0,0.890441703777774,2337609658317.554,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.03265267374829632, ""rho_rizk2023_fit_cap"": 1512995217774411.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7513168122279581}",0.0,600.2071640643061,4.295956944339408,0.08510143600835364,0.06781900578221822,0.5788094379722852,0.7763934494810352,COMPLETE
2,35.69795303083893,9.99596084802561,14.727897392334283,1196297.6606104635,2.918437697817308e-06,0.253822832013191,1839468806892079.8,0.0895775852060102,fig410,0.253822832013191,256.5018551467373,0.0,0.5494722399314628,2.3468056642928855e+18,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.0895775852060102, ""rho_rizk2023_fit_cap"": 1839468806892079.8, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.253822832013191}",0.0,0.0,4.273702841015238,0.0023262910665133737,0.3213043617901736,0.6163161018599413,0.9090653258226724,COMPLETE
3,89.87623099186806,1.1932943771440987,20.99692837504445,598883.9760424912,4.6757714575947486e-07,0.7554395622944056,1977249098848681.8,0.02240693304984319,normal,0.7554395622944056,131.71812512276273,0.0,0.18902616132080563,6.80823756373125e+17,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""normal"", ""rho_rizk2023_fit_scale"": 0.02240693304984319, ""rho_rizk2023_fit_cap"": 1977249098848681.8, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7554395622944056}",0.0,0.0,6.891943661558765,7.462568997658389e-08,0.613840220745713,2.3629351835075445,3.5264896400437893,COMPLETE
4,32.938060879598716,4.770346452913346,11.169454846151165,241079.02417856432,2.59019680074299e-07,0.2602477052951843,1354631160485107.5,0.031114802391904738,shifted,0.2602477052951843,413.81393154838264,0.0,0.4168843758174745,2.2196816307567952e+17,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.031114802391904738, ""rho_rizk2023_fit_cap"": 1354631160485107.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.2602477052951843}",0.0,0.0,5.562091859738836,0.007708660937449446,0.0414001147694515,0.6774025268559527,1.4540226592421595,COMPLETE
5,42672.35025403104,3.608978141437132,17.92615645089566,166663.01421846866,2.860056825783029e-07,0.9199875057685054,2327832602671148.0,1.4367165477694113,normal,0.9199875057685054,149417.85926619507,0.0,0.9223898447638778,56162625174.02553,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""normal"", ""rho_rizk2023_fit_scale"": 1.4367165477694113, ""rho_rizk2023_fit_cap"": 2327832602671148.0, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9199875057685054}",4.460064553581234,8524.691538148156,7.671268373985127,0.653532890149847,0.10258752257402584,0.9435957558812971,1.0456522065186635,COMPLETE
6,41.599382661763855,7.0336872034933355,27.38915864406185,1036722.1518391459,1.1921603968270952e-06,0.6706489394237307,1190595286263616.8,0.04749698754096426,normal,0.6706489394237307,191.98760806812152,0.0,0.3930016760319852,2.0054113246889654e+18,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""normal"", ""rho_rizk2023_fit_scale"": 0.04749698754096426, ""rho_rizk2023_fit_cap"": 1190595286263616.8, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6706489394237307}",0.0,0.0,4.888428042645428,9.539623322999577e-05,0.32200110526822595,0.7860350547117881,1.5532688853117977,COMPLETE
7,5566.195412105713,14.827323560588496,5.388026191989853,215424.00934128475,9.269795113213683e-08,0.9235843060597988,2010923546743240.8,0.53640242522811,shifted,0.9235843060597988,53309.91671406447,0.0,0.8960892640519306,1133812396361.881,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.53640242522811, ""rho_rizk2023_fit_cap"": 2010923546743240.8, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9235843060597988}",2.074308207215013,1104.036527800761,7.973386883468605,0.5249239185508422,0.10151246358755565,0.8282478306531613,0.9202039086539485,COMPLETE
8,8032.385196767572,3.3285825474897996,9.149281874195866,545210.5031418429,8.516700002237997e-08,0.38163960577463685,1664256182378380.5,0.5530369032245813,shifted,0.38163960577463685,65628.66675048367,0.0,0.9090138163342181,634369214009.6572,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.5530369032245813, ""rho_rizk2023_fit_cap"": 1664256182378380.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.38163960577463685}",1.9874580363459753,1598.2884752853363,6.680842912113941,0.33906500238653237,0.16753529536349288,0.7024412852491181,0.49261301810225344,COMPLETE
9,2.748847533219472e+27,16.621265736176632,21.213070583161763,2214378.114501182,1.410040472897644e-07,0.1384437739026998,1160419001401732.0,1.587967010903205,normal,0.1384437739026998,3.845900655302563e+16,0.0,61995609.122944,4.002185877054656e-24,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""normal"", ""rho_rizk2023_fit_scale"": 1.587967010903205, ""rho_rizk2023_fit_cap"": 1160419001401732.0, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.1384437739026998}",4.739565847670773,5.497695066438943e+26,8.61158770306608,6.867688944341155,0.9898963163735797,0.4081771533758191,0.4160098928761763,COMPLETE
10,42.937001708191,2.0559955987869536,4.219367921064175,112873.2471666556,3.406019449697193e-07,0.4212228304983284,1275997985967998.0,0.034013548928178074,fig410,0.4212228304983284,383.1254501593399,0.0,0.33829903841453657,1.643579343083509e+17,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.034013548928178074, ""rho_rizk2023_fit_cap"": 1275997985967998.0, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.4212228304983284}",0.0,0.0,6.284604546499431,0.008694640192664778,0.03329005750264474,1.0512976659843023,2.0498383837346497,COMPLETE
11,51.03440790938343,9.571535399329656,8.055431512092134,2300382.7707998827,1.4320728762237402e-06,0.24800001219897483,1195170355053320.8,0.036982161352716564,fig410,0.24800001219897483,123.61026712637633,0.0,0.31046252434695604,3.7824684043975665e+18,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.036982161352716564, ""rho_rizk2023_fit_cap"": 1195170355053320.8, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.24800001219897483}",0.0,0.0,5.386560424116707,4.490478591589541e-05,0.5536471268118045,0.8188006365535943,1.889255196821375,COMPLETE
12,91559.76186864224,27.24961181199377,20.299868229713216,2064063.0782633848,7.31041220856395e-07,0.1283427903018591,2143230158607609.5,0.24194064522334327,fig410,0.1283427903018591,222238.22035152657,0.0,0.9348679415348252,17770757495.853355,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.24194064522334327, ""rho_rizk2023_fit_cap"": 2143230158607609.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.1283427903018591}",5.217117516046832,18302.156852213455,7.011200947210141,0.5441867489427685,0.28107281629079645,0.782051484773177,0.718045042171837,COMPLETE
13,46.926659407792634,4.002029576424912,7.971011403957253,1047603.0134760055,2.516965487090592e-06,0.10872019619628714,2484958868565044.5,0.10392397105167582,fig410,0.10872019619628714,144.34274840557282,0.0,0.37946189847927064,4.337415281023191e+18,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.10392397105167582, ""rho_rizk2023_fit_cap"": 2484958868565044.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.10872019619628714}",0.0,0.0,4.59597466705893,0.00016927636368282368,0.5511717321797415,0.7459227382136284,1.6849594005873503,COMPLETE
