"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2218.1,1,0,-0.5,0,0
2218.1,1,0.001,-0.5,0,0.001
2218.1,1,0.002,-0.5,0,0.002
2218.1,1,0.003,-0.5,0,0.003
2218.1,1,0.004,-0.5,0,0.004
2218.1,1,0.005,-0.5,0,0.005
2218.1,1,0.006,-0.5,0,0.006
2218.1,1,0.007,-0.5,0,0.007
2218.1,1,0.008,-0.5,0,0.008
2218.1,1,0.009,-0.5,0,0.009
2218.1,1,0.01,-0.5,0,0.01
2218.1,1,0.011,-0.5,0,0.011
2218.1,1,0.012,-0.5,0,0.012
2218,1,0.013,-0.5,0,0.013
2218,1,0.014,-0.5,0,0.014
2218,1,0.015,-0.5,0,0.015
2218,1,0.016,-0.5,0,0.016
2218,1,0.017,-0.5,0,0.017
2218,1,0.018,-0.5,0,0.018
2218,1,0.019,-0.5,0,0.019
2218,1,0.02,-0.5,0,0.02
2218,1,0.021,-0.5,0,0.021
2218,1,0.022,-0.5,0,0.022
2218,1,0.023,-0.5,0,0.023
2218,1,0.024,-0.5,0,0.024
2217.9,1,0.025,-0.5,0,0.025
2217.9,1,0.026,-0.5,0,0.026
2217.9,1,0.027,-0.5,0,0.027
2217.9,1,0.028,-0.5,0,0.028
2217.9,1,0.029,-0.5,0,0.029
2217.9,1,0.03,-0.5,0,0.03
2217.9,1,0.031,-0.5,0,0.031
2217.9,1,0.032,-0.5,0,0.032
2217.8,1,0.033,-0.5,0,0.033
2217.8,1,0.034,-0.5,0,0.034
2217.8,1,0.035,-0.5,0,0.035
2217.8,1,0.036,-0.5,0,0.036
2217.8,1,0.037,-0.5,0,0.037
2217.8,1,0.038,-0.5,0,0.038
2217.8,1,0.039,-0.5,0,0.039
2217.7,1,0.04,-0.5,0,0.04
2217.7,1,0.041,-0.5,0,0.041
2217.7,1,0.042,-0.5,0,0.042
2217.7,1,0.043,-0.5,0,0.043
2217.7,1,0.044,-0.5,0,0.044
2217.6,1,0.045,-0.5,0,0.045
2217.6,1,0.046,-0.5,0,0.046
2217.6,1,0.047,-0.5,0,0.047
2217.6,1,0.048,-0.5,0,0.048
2217.6,1,0.049,-0.5,0,0.049
2217.5,1,0.05,-0.5,0,0.05
2217.5,1,0.051,-0.5,0,0.051
2217.5,1,0.052,-0.5,0,0.052
2217.5,1,0.053,-0.5,0,0.053
2217.4,1,0.054,-0.5,0,0.054
2217.4,1,0.055,-0.5,0,0.055
2217.4,1,0.056,-0.5,0,0.056
2217.4,1,0.057,-0.5,0,0.057
2217.3,1,0.058,-0.5,0,0.058
2217.3,1,0.059,-0.5,0,0.059
2217.3,1,0.06,-0.5,0,0.06
2217.3,1,0.061,-0.5,0,0.061
2217.2,1,0.062,-0.5,0,0.062
2217.2,1,0.063,-0.5,0,0.063
2217.2,1,0.064,-0.5,0,0.064
2217.2,1,0.065,-0.5,0,0.065
2217.1,1,0.066,-0.5,0,0.066
2217.1,1,0.067,-0.5,0,0.067
2217.1,1,0.068,-0.5,0,0.068
2217,1,0.069,-0.5,0,0.069
2217,1,0.07,-0.5,0,0.07
2217,1,0.071,-0.5,0,0.071
2217,1,0.072,-0.5,0,0.072
2216.9,1,0.073,-0.5,0,0.073
2216.9,1,0.074,-0.5,0,0.074
2216.9,1,0.075,-0.5,0,0.075
2216.8,1,0.076,-0.5,0,0.076
2216.8,1,0.077,-0.5,0,0.077
2216.8,1,0.078,-0.5,0,0.078
2216.7,1,0.079,-0.5,0,0.079
2216.7,1,0.08,-0.5,0,0.08
2216.6,1,0.081,-0.5,0,0.081
2216.6,1,0.082,-0.5,0,0.082
2216.6,1,0.083,-0.5,0,0.083
2216.5,1,0.084,-0.5,0,0.084
2216.5,1,0.085,-0.5,0,0.085
2216.5,1,0.086,-0.5,0,0.086
2216.4,1,0.087,-0.5,0,0.087
2216.4,1,0.088,-0.5,0,0.088
2216.4,1,0.089,-0.5,0,0.089
2216.3,1,0.09,-0.5,0,0.09
2216.3,1,0.091,-0.5,0,0.091
2216.2,1,0.092,-0.5,0,0.092
2216.2,1,0.093,-0.5,0,0.093
2216.2,1,0.094,-0.5,0,0.094
2216.1,1,0.095,-0.5,0,0.095
2216.1,1,0.096,-0.5,0,0.096
2216,1,0.097,-0.5,0,0.097
2216,1,0.098,-0.5,0,0.098
2215.9,1,0.099,-0.5,0,0.099
2215.9,1,0.1,-0.5,0,0.1
2215.9,1,0.101,-0.5,0,0.101
2215.8,1,0.102,-0.5,0,0.102
2215.8,1,0.103,-0.5,0,0.103
2215.7,1,0.104,-0.5,0,0.104
2215.7,1,0.105,-0.5,0,0.105
2215.6,1,0.106,-0.5,0,0.106
2215.6,1,0.107,-0.5,0,0.107
2215.5,1,0.108,-0.5,0,0.108
2215.5,1,0.109,-0.5,0,0.109
2215.4,1,0.11,-0.5,0,0.11
2215.4,1,0.111,-0.5,0,0.111
2215.3,1,0.112,-0.5,0,0.112
2215.3,1,0.113,-0.5,0,0.113
2215.2,1,0.114,-0.5,0,0.114
2215.2,1,0.115,-0.5,0,0.115
2215.1,1,0.116,-0.5,0,0.116
2215.1,1,0.117,-0.5,0,0.117
2215,1,0.118,-0.5,0,0.118
2215,1,0.119,-0.5,0,0.119
2214.9,1,0.12,-0.5,0,0.12
2214.9,1,0.121,-0.5,0,0.121
2214.8,1,0.122,-0.5,0,0.122
2214.8,1,0.123,-0.5,0,0.123
2214.7,1,0.124,-0.5,0,0.124
2214.7,1,0.125,-0.5,0,0.125
2214.6,1,0.126,-0.5,0,0.126
2214.6,1,0.127,-0.5,0,0.127
2214.5,1,0.128,-0.5,0,0.128
2214.5,1,0.129,-0.5,0,0.129
2214.4,1,0.13,-0.5,0,0.13
2214.3,1,0.131,-0.5,0,0.131
2214.3,1,0.132,-0.5,0,0.132
2214.2,1,0.133,-0.5,0,0.133
2214.2,1,0.134,-0.5,0,0.134
2214.1,1,0.135,-0.5,0,0.135
2214,1,0.136,-0.5,0,0.136
2214,1,0.137,-0.5,0,0.137
2213.9,1,0.138,-0.5,0,0.138
2213.9,1,0.139,-0.5,0,0.139
2213.8,1,0.14,-0.5,0,0.14
2213.7,1,0.141,-0.5,0,0.141
2213.7,1,0.142,-0.5,0,0.142
2213.6,1,0.143,-0.5,0,0.143
2213.6,1,0.144,-0.5,0,0.144
2213.5,1,0.145,-0.5,0,0.145
2213.4,1,0.146,-0.5,0,0.146
2213.4,1,0.147,-0.5,0,0.147
2213.3,1,0.148,-0.5,0,0.148
2213.2,1,0.149,-0.5,0,0.149
2213.2,1,0.15,-0.5,0,0.15
2213.1,1,0.151,-0.5,0,0.151
2213,1,0.152,-0.5,0,0.152
2213,1,0.153,-0.5,0,0.153
2212.9,1,0.154,-0.5,0,0.154
2212.8,1,0.155,-0.5,0,0.155
2212.8,1,0.156,-0.5,0,0.156
2212.7,1,0.157,-0.5,0,0.157
