# Region      : all 
# Cells       : 80000
# Volume      : 3.128689e+00
# Time        	weightedVolAverage(C)	weightedVolAverage(T)
0             	0.000000e+00	2.000000e+03
100000        	4.648216e+23	2.145390e+03
200000        	7.594450e+23	2.145390e+03
300000        	9.653712e+23	2.145390e+03
400000        	1.114527e+24	2.145390e+03
500000        	1.225360e+24	2.145390e+03
600000        	1.309487e+24	2.145390e+03
700000        	1.374522e+24	2.145390e+03
800000        	1.425589e+24	2.145390e+03
900000        	1.466232e+24	2.145390e+03
1e+06         	1.498944e+24	2.145390e+03
1.1e+06       	1.525525e+24	2.145390e+03
1.2e+06       	1.547305e+24	2.145390e+03
1.3e+06       	1.565276e+24	2.145390e+03
1.4e+06       	1.580190e+24	2.145390e+03
1.5e+06       	1.592626e+24	2.145390e+03
1.6e+06       	1.603043e+24	2.145390e+03
1.7e+06       	1.611802e+24	2.145390e+03
1.8e+06       	1.619190e+24	2.145390e+03
1.9e+06       	1.625440e+24	2.145390e+03
2e+06         	1.630741e+24	2.145390e+03
2.1e+06       	1.635248e+24	2.145390e+03
2.2e+06       	1.639087e+24	2.145390e+03
2.3e+06       	1.642366e+24	2.145390e+03
2.4e+06       	1.645169e+24	2.145390e+03
2.5e+06       	1.647569e+24	2.145390e+03
2.6e+06       	1.649627e+24	2.145390e+03
2.7e+06       	1.651393e+24	2.145390e+03
2.8e+06       	1.652912e+24	2.145390e+03
2.9e+06       	1.654220e+24	2.145390e+03
3e+06         	1.655345e+24	2.145390e+03
3.1e+06       	1.656315e+24	2.145390e+03
3.2e+06       	1.657151e+24	2.145390e+03
3.3e+06       	1.657874e+24	2.145390e+03
3.4e+06       	1.658496e+24	2.145390e+03
3.5e+06       	1.659035e+24	2.145390e+03
3.6e+06       	1.659501e+24	2.145390e+03
3.7e+06       	1.659905e+24	2.145390e+03
3.8e+06       	1.660256e+24	2.145390e+03
3.9e+06       	1.660561e+24	2.145390e+03
4e+06         	1.660825e+24	2.145390e+03
4.1e+06       	1.661056e+24	2.145390e+03
4.2e+06       	1.661256e+24	2.145390e+03
4.3e+06       	1.661430e+24	2.145390e+03
4.4e+06       	1.661582e+24	2.145390e+03
4.5e+06       	1.661715e+24	2.145390e+03
4.6e+06       	1.661830e+24	2.145390e+03
4.7e+06       	1.661931e+24	2.145390e+03
4.8e+06       	1.662018e+24	2.145390e+03
4.9e+06       	1.662095e+24	2.145390e+03
5e+06         	1.662161e+24	2.145390e+03
5.1e+06       	1.662220e+24	2.145390e+03
5.2e+06       	1.662270e+24	2.145390e+03
5.3e+06       	1.662315e+24	2.145390e+03
5.4e+06       	1.662339e+24	2.145390e+03
5.5e+06       	1.662339e+24	2.145390e+03
5.6e+06       	1.662339e+24	2.145390e+03
5.7e+06       	1.662339e+24	2.145390e+03
5.8e+06       	1.662339e+24	2.145390e+03
5.9e+06       	1.662339e+24	2.145390e+03
6e+06         	1.662339e+24	2.145390e+03
6.1e+06       	1.662339e+24	2.145390e+03
6.2e+06       	1.662339e+24	2.145390e+03
6.3e+06       	1.662339e+24	2.145390e+03
6.4e+06       	1.662339e+24	2.145390e+03
6.5e+06       	1.662339e+24	2.145390e+03
6.6e+06       	1.662339e+24	2.145390e+03
6.7e+06       	1.662339e+24	2.145390e+03
6.8e+06       	1.662339e+24	2.145390e+03
6.9e+06       	1.662339e+24	2.145390e+03
7e+06         	1.662339e+24	2.145390e+03
7.1e+06       	1.662339e+24	2.145390e+03
7.2e+06       	1.662339e+24	2.145390e+03
7.3e+06       	1.662339e+24	2.145390e+03
7.4e+06       	1.662339e+24	2.145390e+03
7.5e+06       	1.662339e+24	2.145390e+03
7.6e+06       	1.662339e+24	2.145390e+03
7.7e+06       	1.662339e+24	2.145390e+03
7.8e+06       	1.662339e+24	2.145390e+03
7.9e+06       	1.662339e+24	2.145390e+03
8e+06         	1.662339e+24	2.145390e+03
8.1e+06       	1.662339e+24	2.145390e+03
8.2e+06       	1.662339e+24	2.145390e+03
8.3e+06       	1.662339e+24	2.145390e+03
8.4e+06       	1.662339e+24	2.145390e+03
8.5e+06       	1.662339e+24	2.145390e+03
8.6e+06       	1.662339e+24	2.145390e+03
8.7e+06       	1.662339e+24	2.145390e+03
8.8e+06       	1.662339e+24	2.145390e+03
8.9e+06       	1.662339e+24	2.145390e+03
9e+06         	1.662339e+24	2.145390e+03
9.1e+06       	1.662339e+24	2.145390e+03
9.2e+06       	1.662339e+24	2.145390e+03
9.3e+06       	1.662339e+24	2.145390e+03
9.4e+06       	1.662339e+24	2.145390e+03
9.5e+06       	1.662339e+24	2.145390e+03
9.6e+06       	1.662339e+24	2.145390e+03
9.7e+06       	1.662339e+24	2.145390e+03
9.8e+06       	1.662339e+24	2.145390e+03
9.9e+06       	1.662339e+24	2.145390e+03
1e+07         	1.662339e+24	2.145390e+03
