Time (s),Average dC (atm/m^3)
0.0,0.0
10000.0,4.714990389993852e+22
20000.0,8.362529268356222e+22
30000.0,1.1305270441162989e+23
40000.0,1.3730307765951196e+23
50000.0,1.5756882875400174e+23
60000.0,1.7468753237138316e+23
70000.0,1.8927842166943288e+23
80000.0,2.0181250880097186e+23
90000.0,2.126561256346492e+23
100000.0,2.2209736385027425e+23
110000.0,2.3036555996335498e+23
120000.0,2.376449435164163e+23
130000.0,2.440848226624805e+23
140000.0,2.49806904639932e+23
150000.0,2.5491163223240508e+23
160000.0,2.5948200474009314e+23
170000.0,2.6358736062866215e+23
180000.0,2.6728601868479592e+23
190000.0,2.706272189430649e+23
200000.0,2.7365294001953052e+23
210000.0,2.7639888279691135e+23
220000.0,2.7889588765786997e+23
230000.0,2.8117094165215804e+23
240000.0,2.83247150625003e+23
250000.0,2.85144708262071e+23
260000.0,2.868814162512363e+23
270000.0,2.8847298270647706e+23
280000.0,2.8993320590646437e+23
290000.0,2.9127443644314454e+23
300000.0,2.9250759016692644e+23
310000.0,2.9364265041820536e+23
320000.0,2.9468817179178126e+23
330000.0,2.9565180803624455e+23
340000.0,2.9654081258807596e+23
350000.0,2.9736210711801238e+23
360000.0,2.9812013319134763e+23
370000.0,2.988211689770433e+23
380000.0,2.9946963351617988e+23
390000.0,3.0006953170265082e+23
400000.0,3.006250054212903e+23
410000.0,3.0113964709085156e+23
420000.0,3.0161670585207864e+23
430000.0,3.0205922155207503e+23
440000.0,3.024692937636263e+23
450000.0,3.028498271315727e+23
460000.0,3.032032893638529e+23
470000.0,3.0353154661691596e+23
480000.0,3.03836483657313e+23
490000.0,3.041203279596003e+23
500000.0,3.043837609304634e+23
510000.0,3.0462858750168395e+23
520000.0,3.04856310509191e+23
530000.0,3.05068379173398e+23
540000.0,3.052657638586387e+23
550000.0,3.054496866382214e+23
560000.0,3.056206769141908e+23
570000.0,3.057799983677616e+23
580000.0,3.059286559644774e+23
590000.0,3.060669034654648e+23
600000.0,3.061957870826368e+23
610000.0,3.063161134430575e+23
620000.0,3.064278749326338e+23
630000.0,3.065322046056348e+23
640000.0,3.06629607301441e+23
650000.0,3.067203988565554e+23
660000.0,3.068052940604816e+23
670000.0,3.068843914488851e+23
680000.0,3.069583081303978e+23
690000.0,3.0702759082365704e+23
700000.0,3.07091983424598e+23
710000.0,3.071519549671144e+23
720000.0,3.072079495600932e+23
730000.0,3.072603594941628e+23
740000.0,3.073094608222278e+23
750000.0,3.073551476167203e+23
760000.0,3.073978580909241e+23
770000.0,3.0743784811213265e+23
780000.0,3.074751699053472e+23
790000.0,3.075105350369416e+23
800000.0,3.075430504845585e+23
810000.0,3.075734505982109e+23
820000.0,3.076018540505912e+23
830000.0,3.0762856978402735e+23
840000.0,3.076536281520763e+23
850000.0,3.076768846518493e+23
860000.0,3.076986085774858e+23
870000.0,3.077190589341831e+23
880000.0,3.077382101999152e+23
890000.0,3.077560982406229e+23
900000.0,3.0777293116225794e+23
910000.0,3.077885047516827e+23
920000.0,3.078031610460179e+23
930000.0,3.078170251555085e+23
940000.0,3.078300082326956e+23
950000.0,3.0784210221484735e+23
960000.0,3.078533860785549e+23
970000.0,3.078639705254044e+23
980000.0,3.078737502508561e+23
990000.0,3.0788295264654944e+23
1000000.0,3.078915342081429e+23
1010000.0,3.0789961443523524e+23
1020000.0,3.0790728940271524e+23
1030000.0,3.079144092178085e+23
1040000.0,3.079208715695014e+23
1050000.0,3.079269410735053e+23
1060000.0,3.079326757156205e+23
1070000.0,3.0793825062427464e+23
1080000.0,3.079434464675379e+23
1090000.0,3.079482044015661e+23
1100000.0,3.0795259743559436e+23
1110000.0,3.079567789400682e+23
1120000.0,3.079608816902127e+23
1130000.0,3.079646463416218e+23
1140000.0,3.0796809990331254e+23
1150000.0,3.079715628732965e+23
1160000.0,3.0797471568058504e+23
1170000.0,3.079775070732204e+23
1180000.0,3.0798006533949926e+23
1190000.0,3.079825734656582e+23
1200000.0,3.0798480706636214e+23
1210000.0,3.079869520079198e+23
1220000.0,3.0798891958625384e+23
1230000.0,3.079907919381708e+23
1240000.0,3.0799308545204916e+23
1250000.0,3.0799458323709655e+23
1260000.0,3.0799608664919676e+23
1270000.0,3.0799747697401524e+23
1280000.0,3.0799878053728285e+23
1290000.0,3.080000101671961e+23
1300000.0,3.080012338270953e+23
1310000.0,3.080023632635987e+23
1320000.0,3.08003571554004e+23
1330000.0,3.080046181030253e+23
1340000.0,3.080055556587297e+23
1350000.0,3.080065254848228e+23
1360000.0,3.080074466847167e+23
1370000.0,3.0800829858412564e+23
1380000.0,3.080090623952232e+23
1390000.0,3.080096951167836e+23
1400000.0,3.080102567113875e+23
1410000.0,3.0801084139198216e+23
1420000.0,3.0801126090471554e+23
1430000.0,3.080118250751248e+23
1440000.0,3.080123404483799e+23
1450000.0,3.080129763037119e+23
1460000.0,3.080133294684389e+23
1470000.0,3.08013549876797e+23
1480000.0,3.080140130784613e+23
1490000.0,3.0801447374196515e+23
1500000.0,3.080148857707064e+23
1510000.0,3.080151358362832e+23
1520000.0,3.080154429828896e+23
1530000.0,3.080161287929288e+23
1540000.0,3.0801646851816704e+23
1550000.0,3.08016651280417e+23
1560000.0,3.0801680628508336e+23
1570000.0,3.0801705559234644e+23
1580000.0,3.080172523223146e+23
1590000.0,3.080175207260913e+23
1600000.0,3.0801764875547984e+23
1610000.0,3.080177271466452e+23
1620000.0,3.080178228775608e+23
1630000.0,3.080179627660725e+23
1640000.0,3.080181317740926e+23
1650000.0,3.080183445151095e+23
1660000.0,3.0801848609258415e+23
1670000.0,3.080186567418265e+23
1680000.0,3.0801890430332806e+23
1690000.0,3.080190383206854e+23
1700000.0,3.080189972057929e+23
1710000.0,3.080191483786355e+23
1720000.0,3.080191603360689e+23
