Time (s),Average dC (atm/m^3)
0.0,0.0
10000.0,6.085375558954466e+22
20000.0,1.1645718070428792e+23
30000.0,1.6824166823448424e+23
40000.0,2.1693073910561725e+23
50000.0,2.6297950567309696e+23
60000.0,3.0670760339766e+23
70000.0,3.4835605577889965e+23
80000.0,3.8811551730684996e+23
90000.0,4.2614112784679524e+23
100000.0,4.625634632158042e+23
110000.0,4.974935266096649e+23
120000.0,5.310287984183015e+23
130000.0,5.632550508228328e+23
140000.0,5.942473912109638e+23
150000.0,6.240742309582429e+23
160000.0,6.527991472876705e+23
170000.0,6.804778803790216e+23
180000.0,7.071621283283562e+23
190000.0,7.329011797727042e+23
200000.0,7.577384299802306e+23
210000.0,7.81715573235304e+23
220000.0,8.048708615926708e+23
230000.0,8.272421153494321e+23
240000.0,8.488626297559726e+23
250000.0,8.697653427329758e+23
260000.0,8.899791814658776e+23
270000.0,9.095337793607046e+23
280000.0,9.284529745982541e+23
290000.0,9.467690735589258e+23
300000.0,9.64502878742333e+23
310000.0,9.816765292383678e+23
320000.0,9.983116193256237e+23
330000.0,1.0144313448565209e+24
340000.0,1.0300564439328306e+24
350000.0,1.0452045739814578e+24
360000.0,1.0598925783296118e+24
370000.0,1.0741379075410077e+24
380000.0,1.0879533111073362e+24
390000.0,1.1013643651571555e+24
400000.0,1.1143809621876003e+24
410000.0,1.1270165621928256e+24
420000.0,1.1392854161760615e+24
430000.0,1.1512005976380093e+24
440000.0,1.1627754283619584e+24
450000.0,1.1740207952887443e+24
460000.0,1.1849491071636658e+24
470000.0,1.1955695262215838e+24
480000.0,1.2058942380409904e+24
490000.0,1.2159348053363547e+24
500000.0,1.2256991252360278e+24
510000.0,1.2351975305620008e+24
520000.0,1.2444376422406922e+24
530000.0,1.2534276896320806e+24
540000.0,1.2621801071206632e+24
550000.0,1.2706995189885312e+24
560000.0,1.2789947206049034e+24
570000.0,1.287068087794177e+24
580000.0,1.2949355126728744e+24
590000.0,1.302596668407257e+24
600000.0,1.31006042092191e+24
610000.0,1.3173347700905726e+24
620000.0,1.3244232963241264e+24
630000.0,1.3313325988131234e+24
640000.0,1.3380687993310658e+24
650000.0,1.344634701359729e+24
660000.0,1.3510378995411153e+24
670000.0,1.357283623943939e+24
680000.0,1.3633754693897055e+24
690000.0,1.36931754240229e+24
700000.0,1.3751152757397104e+24
710000.0,1.3807735576381069e+24
720000.0,1.386297038574693e+24
730000.0,1.3916886797792953e+24
740000.0,1.3969517569276818e+24
750000.0,1.4020891598752969e+24
760000.0,1.407106611377122e+24
770000.0,1.4120071007657782e+24
780000.0,1.4167933570407232e+24
790000.0,1.4214689677841843e+24
800000.0,1.426035004882266e+24
810000.0,1.4304970860626305e+24
820000.0,1.4348584942056338e+24
830000.0,1.4391190809096907e+24
840000.0,1.4432810159909662e+24
850000.0,1.4473541404657994e+24
860000.0,1.4513367411912515e+24
870000.0,1.4552277534440074e+24
880000.0,1.4590334866966832e+24
890000.0,1.462756382196894e+24
900000.0,1.4663980177887624e+24
910000.0,1.4699577599006253e+24
920000.0,1.473441808865671e+24
930000.0,1.4768496033687344e+24
940000.0,1.4801848040720334e+24
950000.0,1.4834468392307796e+24
960000.0,1.4866407678286133e+24
970000.0,1.489765427014245e+24
980000.0,1.492823745684598e+24
990000.0,1.4958170827300337e+24
1000000.0,1.4987477890051124e+24
1010000.0,1.5016165951092478e+24
1020000.0,1.5044288442598618e+24
1030000.0,1.5071785939845228e+24
1040000.0,1.5098727548607342e+24
1050000.0,1.5125113111931052e+24
1060000.0,1.5150921174920298e+24
1070000.0,1.5176241407743703e+24
1080000.0,1.5201029632238124e+24
1090000.0,1.5225333288393359e+24
1100000.0,1.5249123954951514e+24
1110000.0,1.527244600389989e+24
1120000.0,1.5295303646040557e+24
1130000.0,1.531769207826853e+24
1140000.0,1.5339644726426607e+24
1150000.0,1.536114712977453e+24
1160000.0,1.5382212472041085e+24
1170000.0,1.5402882094341329e+24
1180000.0,1.5423144468876243e+24
1190000.0,1.5442987254282943e+24
1200000.0,1.546242115159805e+24
1210000.0,1.5481520193157005e+24
1220000.0,1.5500228406998124e+24
1230000.0,1.55185555045143e+24
1240000.0,1.5536557859381346e+24
1250000.0,1.555420916700611e+24
1260000.0,1.5571518414685412e+24
1270000.0,1.558848239573308e+24
1280000.0,1.5605117095454905e+24
1290000.0,1.5621463674143474e+24
1300000.0,1.5637468245062416e+24
1310000.0,1.5653189446091503e+24
1320000.0,1.5668613587975878e+24
1330000.0,1.5683734926866288e+24
1340000.0,1.5698581215230415e+24
1350000.0,1.571315400847906e+24
1360000.0,1.5727440924325266e+24
1370000.0,1.5741459194308035e+24
1380000.0,1.575521953108219e+24
1390000.0,1.5768727779300236e+24
1400000.0,1.578198027640975e+24
1410000.0,1.579493121022088e+24
1420000.0,1.580771391672859e+24
