Time (s),Average dC (atm/m^3)
0.0,0.0
10000.0,6.5401684790644144e+22
20000.0,1.276843428050113e+23
30000.0,1.8764979102545233e+23
40000.0,2.457074866699409e+23
50000.0,3.0211498772949227e+23
60000.0,3.570528153896797e+23
70000.0,4.106570232735897e+23
80000.0,4.630346792127817e+23
90000.0,5.14273034434467e+23
100000.0,5.6444434357204086e+23
110000.0,6.136112145618906e+23
120000.0,6.618258721393652e+23
130000.0,7.091362904816099e+23
140000.0,7.555857039217595e+23
150000.0,8.012059362017017e+23
160000.0,8.460352390228321e+23
170000.0,8.901016136913743e+23
180000.0,9.334343952130517e+23
190000.0,9.760572485711135e+23
200000.0,1.0179951797508604e+24
210000.0,1.0592687461363264e+24
220000.0,1.0998983966850314e+24
230000.0,1.1399039779326635e+24
240000.0,1.1793013757685346e+24
250000.0,1.218109509231902e+24
260000.0,1.256341273518898e+24
270000.0,1.2940128798037157e+24
280000.0,1.3311393668500392e+24
290000.0,1.3677318957589464e+24
300000.0,1.4038041596957197e+24
310000.0,1.4393680340240342e+24
320000.0,1.4744342280187027e+24
330000.0,1.509012314149113e+24
340000.0,1.5431160479643165e+24
350000.0,1.576752133999794e+24
360000.0,1.6099344214615394e+24
370000.0,1.642668281566513e+24
380000.0,1.6749621726073366e+24
390000.0,1.7068272286558358e+24
400000.0,1.7382689265103297e+24
410000.0,1.7692972491883167e+24
420000.0,1.7999190049412415e+24
430000.0,1.8301398974695638e+24
440000.0,1.8599697174743013e+24
450000.0,1.889414013285423e+24
460000.0,1.918482091906207e+24
470000.0,1.9471762896293318e+24
480000.0,1.975506245878429e+24
490000.0,2.0034758820934839e+24
500000.0,2.0310907921898272e+24
510000.0,2.05835887904306e+24
520000.0,2.0852857578808172e+24
530000.0,2.1118743234409738e+24
540000.0,2.1381261350797181e+24
550000.0,2.164057799121389e+24
560000.0,2.1896667624860703e+24
570000.0,2.2149624171253627e+24
580000.0,2.239945778548235e+24
590000.0,2.2646182460406263e+24
600000.0,2.288992602656555e+24
610000.0,2.313068961453084e+24
620000.0,2.33685175780754e+24
630000.0,2.3603445977357547e+24
640000.0,2.3835531497059635e+24
650000.0,2.4064796484347927e+24
660000.0,2.429129628511361e+24
670000.0,2.451507489605976e+24
680000.0,2.4736180387800653e+24
690000.0,2.495460289862216e+24
700000.0,2.517042927471831e+24
710000.0,2.5383692338736946e+24
720000.0,2.5594410336851934e+24
730000.0,2.5802620638191e+24
740000.0,2.6008362220824556e+24
750000.0,2.6211667342479956e+24
760000.0,2.641257473695659e+24
770000.0,2.66110997589686e+24
780000.0,2.680728213035361e+24
790000.0,2.7001176372967006e+24
800000.0,2.719279123931512e+24
810000.0,2.7382133212896266e+24
820000.0,2.7569285790056944e+24
830000.0,2.775422066745397e+24
840000.0,2.7937018096773686e+24
850000.0,2.8117695175870093e+24
860000.0,2.8296269730020604e+24
870000.0,2.847277844243896e+24
880000.0,2.8647219131366827e+24
890000.0,2.881966724940539e+24
900000.0,2.8990067440797125e+24
910000.0,2.915852108838514e+24
920000.0,2.932508421622495e+24
930000.0,2.9489703782256174e+24
940000.0,2.9652439150786987e+24
950000.0,2.981329455110669e+24
960000.0,2.9972275983560357e+24
970000.0,3.0129470618390855e+24
980000.0,3.028486692193804e+24
990000.0,3.0438515829945375e+24
1000000.0,3.059038936351105e+24
1010000.0,3.0740493514291474e+24
1020000.0,3.088892556457041e+24
1030000.0,3.103567559755384e+24
1040000.0,3.1180749953229973e+24
1050000.0,3.132420272554629e+24
1060000.0,3.146597520783371e+24
1070000.0,3.1606184648832535e+24
1080000.0,3.1744843254440336e+24
1090000.0,3.1881882562410026e+24
1100000.0,3.201741788260984e+24
1110000.0,3.2151394593523873e+24
1120000.0,3.2283882290565566e+24
1130000.0,3.2414918919677554e+24
1140000.0,3.2544427058679407e+24
1150000.0,3.267251292491736e+24
1160000.0,3.2799176542310647e+24
1170000.0,3.292445210596008e+24
1180000.0,3.304827640075564e+24
1190000.0,3.317074634111724e+24
1200000.0,3.32918174504024e+24
1210000.0,3.341159191619615e+24
1220000.0,3.3529992926985516e+24
1230000.0,3.3647101285358726e+24
1240000.0,3.3762911415503656e+24
1250000.0,3.387746725859637e+24
1260000.0,3.399076120951311e+24
1270000.0,3.4102770229398093e+24
1280000.0,3.421354338528927e+24
1290000.0,3.432308133565476e+24
1300000.0,3.443143898965714e+24
1310000.0,3.4538583327334106e+24
1320000.0,3.464458310482384e+24
1330000.0,3.474940995098831e+24
1340000.0,3.485307411845073e+24
1350000.0,3.495565741202694e+24
1360000.0,3.505706841599094e+24
1370000.0,3.515734419183945e+24
1380000.0,3.525649377051094e+24
1390000.0,3.535461644972713e+24
1400000.0,3.5451678336492806e+24
1410000.0,3.554769073928123e+24
1420000.0,3.56426522435619e+24
1430000.0,3.573656239098722e+24
1440000.0,3.5829492562143326e+24
1450000.0,3.5921355652111776e+24
1460000.0,3.601222589988612e+24
1470000.0,3.61021832371764e+24
1480000.0,3.619114920764375e+24
1490000.0,3.6279145872450935e+24
1500000.0,3.6366157563784754e+24
1510000.0,3.645225903068271e+24
1520000.0,3.653741774928416e+24
1530000.0,3.662170277132356e+24
1540000.0,3.670506910728092e+24
1550000.0,3.678757014171724e+24
1560000.0,3.6869128442526336e+24
1570000.0,3.6949825496938847e+24
1580000.0,3.702967381567743e+24
1590000.0,3.7108676024263396e+24
1600000.0,3.7186825429777774e+24
1610000.0,3.7264151366111336e+24
1620000.0,3.734064442100497e+24
1630000.0,3.7416317161513376e+24
1640000.0,3.7491188784610577e+24
1650000.0,3.7565239181468683e+24
1660000.0,3.763854235540753e+24
1670000.0,3.7711079147274187e+24
1680000.0,3.778285570673337e+24
1690000.0,3.785381380609759e+24
1700000.0,3.7924065270691906e+24
1710000.0,3.7993541011547946e+24
1720000.0,3.806228817673891e+24
1730000.0,3.813034639274312e+24
1740000.0,3.819763386673609e+24
1750000.0,3.8264267373999033e+24
1760000.0,3.833017394764422e+24
1770000.0,3.83954140882077e+24
1780000.0,3.8459979317516016e+24
1790000.0,3.852382023061616e+24
1800000.0,3.8587012648980956e+24
1810000.0,3.864950512599899e+24
1820000.0,3.8711378708492996e+24
1830000.0,3.877259806096261e+24
1840000.0,3.8833199888287396e+24
1850000.0,3.8893181277393704e+24
1860000.0,3.8952520837092606e+24
1870000.0,3.901130561280352e+24
1880000.0,3.9069397359674555e+24
1890000.0,3.9126908353089564e+24
1900000.0,3.9183806453373634e+24
1910000.0,3.92401295941977e+24
1920000.0,3.9295884705114323e+24
1930000.0,3.9351032575500333e+24
1940000.0,3.940565095518986e+24
1950000.0,3.945969427428222e+24
1960000.0,3.9513176755979694e+24
1970000.0,3.9566050224531496e+24
1980000.0,3.961840498965232e+24
