Time (s),Average dC (atm/m^3)
0.0,0.0
10000.0,4.6853197348316544e+23
20000.0,8.760845498073556e+23
30000.0,1.2400912231779743e+24
40000.0,1.5693654148937845e+24
50000.0,1.8694638408923294e+24
60000.0,2.144317773122208e+24
70000.0,2.3969075892991483e+24
80000.0,2.6296037889813706e+24
90000.0,2.8443603553099764e+24
100000.0,3.0428257019823973e+24
110000.0,3.2264244031526284e+24
120000.0,3.396402061666728e+24
130000.0,3.5538694174251023e+24
140000.0,3.699807111694458e+24
150000.0,3.83511507691584e+24
160000.0,3.960604007937714e+24
170000.0,4.0770142583436905e+24
180000.0,4.185021581342385e+24
190000.0,4.285251069348535e+24
200000.0,4.3782761160169587e+24
210000.0,4.464616700791629e+24
220000.0,4.5447667959026624e+24
230000.0,4.6191757388751597e+24
240000.0,4.6882595965639494e+24
250000.0,4.7524022273272644e+24
260000.0,4.8119610952258684e+24
270000.0,4.867267771439971e+24
280000.0,4.918626689336784e+24
290000.0,4.96632409617774e+24
300000.0,5.010621619639209e+24
310000.0,5.05176485567726e+24
320000.0,5.089979179005032e+24
330000.0,5.125473256747724e+24
340000.0,5.158445159499826e+24
350000.0,5.189073649315392e+24
360000.0,5.217524846239368e+24
370000.0,5.243957283882651e+24
380000.0,5.268514128029589e+24
390000.0,5.291325391094116e+24
400000.0,5.312522932340713e+24
410000.0,5.332219501328609e+24
420000.0,5.350522112692553e+24
430000.0,5.367528281537655e+24
440000.0,5.383326188023605e+24
450000.0,5.398022857728218e+24
460000.0,5.411668791957155e+24
470000.0,5.424351682692712e+24
480000.0,5.436140029884931e+24
490000.0,5.447093857735312e+24
500000.0,5.457278588460495e+24
510000.0,5.466750680175007e+24
520000.0,5.475546357541517e+24
530000.0,5.48372502678196e+24
540000.0,5.491328762282776e+24
550000.0,5.498396853192175e+24
560000.0,5.504968176228956e+24
570000.0,5.51107791603654e+24
580000.0,5.516757950863172e+24
590000.0,5.522039337537873e+24
600000.0,5.526949556538664e+24
610000.0,5.531516127538777e+24
620000.0,5.535762089832336e+24
630000.0,5.539709311621249e+24
640000.0,5.543380055558573e+24
650000.0,5.546794763558183e+24
660000.0,5.549970938214942e+24
670000.0,5.552924377021044e+24
680000.0,5.555672668084582e+24
690000.0,5.558225252680537e+24
700000.0,5.560602158701374e+24
710000.0,5.562811870135439e+24
720000.0,5.564871176457643e+24
730000.0,5.566782742870195e+24
740000.0,5.568562772087517e+24
750000.0,5.570217791968251e+24
760000.0,5.571758747044899e+24
770000.0,5.573191925726616e+24
780000.0,5.574525499468633e+24
790000.0,5.575765132487185e+24
800000.0,5.576919891209474e+24
810000.0,5.577994948916621e+24
820000.0,5.578995396177087e+24
830000.0,5.579925686523289e+24
840000.0,5.580791784444013e+24
850000.0,5.58160376150056e+24
860000.0,5.582352112927755e+24
870000.0,5.583047991874593e+24
880000.0,5.583713890971098e+24
890000.0,5.584312742742002e+24
900000.0,5.584872937358592e+24
910000.0,5.585394567628701e+24
920000.0,5.585883748224408e+24
930000.0,5.586335036046563e+24
940000.0,5.586755553761217e+24
950000.0,5.587147231400361e+24
960000.0,5.587512672826556e+24
970000.0,5.587853862059094e+24
980000.0,5.588171369346918e+24
990000.0,5.588465998319544e+24
1000000.0,5.588738568518951e+24
1010000.0,5.588995121195801e+24
1020000.0,5.58923045852262e+24
1030000.0,5.589451987201682e+24
1040000.0,5.589656817775608e+24
1050000.0,5.589860499044189e+24
1060000.0,5.590036727289117e+24
1070000.0,5.590202123008435e+24
1080000.0,5.590356806780449e+24
1090000.0,5.590503766937684e+24
1100000.0,5.590638003147301e+24
1110000.0,5.590762738872377e+24
1120000.0,5.59088015582631e+24
1130000.0,5.590989692169378e+24
1140000.0,5.591091636776568e+24
1150000.0,5.591179547337762e+24
1160000.0,5.591267296911646e+24
1170000.0,5.59134490951494e+24
1180000.0,5.591421313541518e+24
1190000.0,5.591492892249674e+24
1200000.0,5.591559952003098e+24
1210000.0,5.59162590958232e+24
1220000.0,5.591685206712655e+24
1230000.0,5.59173688968959e+24
1240000.0,5.591787423628832e+24
1250000.0,5.591833619418731e+24
1260000.0,5.591877441902343e+24
1270000.0,5.591919043032223e+24
1280000.0,5.591957325647001e+24
1290000.0,5.59199176009173e+24
1300000.0,5.592023813453859e+24
1310000.0,5.592054713304406e+24
1320000.0,5.592083598164693e+24
1330000.0,5.592112525698238e+24
1340000.0,5.592136805226499e+24
1350000.0,5.592159581671473e+24
1360000.0,5.592180517819176e+24
1370000.0,5.592200928084845e+24
1380000.0,5.592219937195177e+24
1390000.0,5.592237498333906e+24
1400000.0,5.592254281612918e+24
1410000.0,5.592269642389503e+24
1420000.0,5.592286374735974e+24
1430000.0,5.592299387873186e+24
1440000.0,5.592311716931044e+24
1450000.0,5.592323052787826e+24
1460000.0,5.59233319061614e+24
1470000.0,5.592343312475764e+24
1480000.0,5.592350558226123e+24
1490000.0,5.59235907581284e+24
1500000.0,5.592367354617552e+24
1510000.0,5.592376132696145e+24
1520000.0,5.592379827206862e+24
1530000.0,5.592387036365252e+24
1540000.0,5.59239228873996e+24
1550000.0,5.592400159201824e+24
1560000.0,5.592405227911562e+24
