# Region      : all 
# Cells       : 80000
# Volume      : 3.128689e+00
# Time        	weightedVolAverage(C)	weightedVolAverage(T)
0             	0.000000e+00	2.000000e+03
100000        	5.699179e+23	2.145390e+03
200000        	1.024671e+24	2.145390e+03
300000        	1.410687e+24	2.145390e+03
400000        	1.744835e+24	2.145390e+03
500000        	2.037030e+24	2.145390e+03
600000        	2.294112e+24	2.145390e+03
700000        	2.521228e+24	2.145390e+03
800000        	2.722467e+24	2.145390e+03
900000        	2.901189e+24	2.145390e+03
1e+06         	3.060219e+24	2.145390e+03
1.1e+06       	3.201961e+24	2.145390e+03
1.2e+06       	3.328483e+24	2.145390e+03
1.3e+06       	3.441579e+24	2.145390e+03
1.4e+06       	3.542805e+24	2.145390e+03
1.5e+06       	3.633519e+24	2.145390e+03
1.6e+06       	3.714914e+24	2.145390e+03
1.7e+06       	3.788033e+24	2.145390e+03
1.8e+06       	3.853789e+24	2.145390e+03
1.9e+06       	3.912996e+24	2.145390e+03
2e+06         	3.966364e+24	2.145390e+03
2.1e+06       	4.014522e+24	2.145390e+03
2.2e+06       	4.058023e+24	2.145390e+03
2.3e+06       	4.097358e+24	2.145390e+03
2.4e+06       	4.132959e+24	2.145390e+03
2.5e+06       	4.165213e+24	2.145390e+03
2.6e+06       	4.194464e+24	2.145390e+03
2.7e+06       	4.221016e+24	2.145390e+03
2.8e+06       	4.245140e+24	2.145390e+03
2.9e+06       	4.267077e+24	2.145390e+03
3e+06         	4.287043e+24	2.145390e+03
3.1e+06       	4.305229e+24	2.145390e+03
3.2e+06       	4.321809e+24	2.145390e+03
3.3e+06       	4.336936e+24	2.145390e+03
3.4e+06       	4.350747e+24	2.145390e+03
3.5e+06       	4.363366e+24	2.145390e+03
3.6e+06       	4.374905e+24	2.145390e+03
3.7e+06       	4.385463e+24	2.145390e+03
3.8e+06       	4.395130e+24	2.145390e+03
3.9e+06       	4.403987e+24	2.145390e+03
4e+06         	4.412107e+24	2.145390e+03
4.1e+06       	4.419555e+24	2.145390e+03
4.2e+06       	4.426393e+24	2.145390e+03
4.3e+06       	4.432673e+24	2.145390e+03
4.4e+06       	4.438456e+24	2.145390e+03
4.5e+06       	4.443772e+24	2.145390e+03
4.6e+06       	4.448662e+24	2.145390e+03
4.7e+06       	4.453162e+24	2.145390e+03
4.8e+06       	4.457304e+24	2.145390e+03
4.9e+06       	4.461118e+24	2.145390e+03
5e+06         	4.464632e+24	2.145390e+03
5.1e+06       	4.467870e+24	2.145390e+03
5.2e+06       	4.470857e+24	2.145390e+03
5.3e+06       	4.473607e+24	2.145390e+03
5.4e+06       	4.476140e+24	2.145390e+03
5.5e+06       	4.478477e+24	2.145390e+03
5.6e+06       	4.480636e+24	2.145390e+03
5.7e+06       	4.482631e+24	2.145390e+03
5.8e+06       	4.484474e+24	2.145390e+03
5.9e+06       	4.486179e+24	2.145390e+03
6e+06         	4.487755e+24	2.145390e+03
6.1e+06       	4.489214e+24	2.145390e+03
6.2e+06       	4.490565e+24	2.145390e+03
6.3e+06       	4.491816e+24	2.145390e+03
6.4e+06       	4.492975e+24	2.145390e+03
6.5e+06       	4.494049e+24	2.145390e+03
6.6e+06       	4.495045e+24	2.145390e+03
6.7e+06       	4.495969e+24	2.145390e+03
6.8e+06       	4.496825e+24	2.145390e+03
6.9e+06       	4.497619e+24	2.145390e+03
7e+06         	4.498357e+24	2.145390e+03
7.1e+06       	4.499041e+24	2.145390e+03
7.2e+06       	4.499676e+24	2.145390e+03
7.3e+06       	4.500265e+24	2.145390e+03
7.4e+06       	4.500813e+24	2.145390e+03
7.5e+06       	4.501321e+24	2.145390e+03
7.6e+06       	4.501793e+24	2.145390e+03
7.7e+06       	4.502232e+24	2.145390e+03
7.8e+06       	4.502640e+24	2.145390e+03
7.9e+06       	4.503019e+24	2.145390e+03
8e+06         	4.503371e+24	2.145390e+03
8.1e+06       	4.503698e+24	2.145390e+03
8.2e+06       	4.504002e+24	2.145390e+03
8.3e+06       	4.504285e+24	2.145390e+03
8.4e+06       	4.504548e+24	2.145390e+03
8.5e+06       	4.504793e+24	2.145390e+03
8.6e+06       	4.505021e+24	2.145390e+03
8.7e+06       	4.505233e+24	2.145390e+03
8.8e+06       	4.505430e+24	2.145390e+03
8.9e+06       	4.505613e+24	2.145390e+03
9e+06         	4.505784e+24	2.145390e+03
9.1e+06       	4.505943e+24	2.145390e+03
9.2e+06       	4.506091e+24	2.145390e+03
9.3e+06       	4.506228e+24	2.145390e+03
9.4e+06       	4.506356e+24	2.145390e+03
9.5e+06       	4.506476e+24	2.145390e+03
9.6e+06       	4.506587e+24	2.145390e+03
9.7e+06       	4.506690e+24	2.145390e+03
9.8e+06       	4.506787e+24	2.145390e+03
9.9e+06       	4.506877e+24	2.145390e+03
1e+07         	4.506960e+24	2.145390e+03
