# Region      : all 
# Cells       : 80000
# Volume      : 3.128689e+00
# Time        	weightedVolAverage(C)	weightedVolAverage(T)
0             	0.000000e+00	2.000000e+03
100000        	4.646392e+23	2.145597e+03
200000        	7.590073e+23	2.145597e+03
300000        	9.646799e+23	2.145597e+03
400000        	1.113612e+24	2.145597e+03
500000        	1.224257e+24	2.145597e+03
600000        	1.308233e+24	2.145597e+03
700000        	1.373147e+24	2.145597e+03
800000        	1.424119e+24	2.145597e+03
900000        	1.464685e+24	2.145597e+03
1e+06         	1.497337e+24	2.145597e+03
1.1e+06       	1.523869e+24	2.145597e+03
1.2e+06       	1.545611e+24	2.145597e+03
1.3e+06       	1.563550e+24	2.145597e+03
1.4e+06       	1.578438e+24	2.145597e+03
1.5e+06       	1.590853e+24	2.145597e+03
1.6e+06       	1.601252e+24	2.145597e+03
1.7e+06       	1.609997e+24	2.145597e+03
1.8e+06       	1.617373e+24	2.145597e+03
1.9e+06       	1.623612e+24	2.145597e+03
2e+06         	1.628905e+24	2.145597e+03
2.1e+06       	1.633404e+24	2.145597e+03
2.2e+06       	1.637237e+24	2.145597e+03
2.3e+06       	1.640511e+24	2.145597e+03
2.4e+06       	1.643310e+24	2.145597e+03
2.5e+06       	1.645706e+24	2.145597e+03
2.6e+06       	1.647761e+24	2.145597e+03
2.7e+06       	1.649524e+24	2.145597e+03
2.8e+06       	1.651041e+24	2.145597e+03
2.9e+06       	1.652346e+24	2.145597e+03
3e+06         	1.653470e+24	2.145597e+03
3.1e+06       	1.654438e+24	2.145597e+03
3.2e+06       	1.655274e+24	2.145597e+03
3.3e+06       	1.655995e+24	2.145597e+03
3.4e+06       	1.656616e+24	2.145597e+03
3.5e+06       	1.657154e+24	2.145597e+03
3.6e+06       	1.657620e+24	2.145597e+03
3.7e+06       	1.658023e+24	2.145597e+03
3.8e+06       	1.658373e+24	2.145597e+03
3.9e+06       	1.658678e+24	2.145597e+03
4e+06         	1.658942e+24	2.145597e+03
4.1e+06       	1.659172e+24	2.145597e+03
4.2e+06       	1.659372e+24	2.145597e+03
4.3e+06       	1.659546e+24	2.145597e+03
4.4e+06       	1.659698e+24	2.145597e+03
4.5e+06       	1.659830e+24	2.145597e+03
4.6e+06       	1.659945e+24	2.145597e+03
4.7e+06       	1.660045e+24	2.145597e+03
4.8e+06       	1.660133e+24	2.145597e+03
4.9e+06       	1.660209e+24	2.145597e+03
5e+06         	1.660276e+24	2.145597e+03
5.1e+06       	1.660334e+24	2.145597e+03
5.2e+06       	1.660385e+24	2.145597e+03
5.3e+06       	1.660429e+24	2.145597e+03
5.4e+06       	1.660453e+24	2.145597e+03
5.5e+06       	1.660453e+24	2.145597e+03
5.6e+06       	1.660453e+24	2.145597e+03
5.7e+06       	1.660453e+24	2.145597e+03
5.8e+06       	1.660453e+24	2.145597e+03
5.9e+06       	1.660453e+24	2.145597e+03
6e+06         	1.660453e+24	2.145597e+03
6.1e+06       	1.660453e+24	2.145597e+03
6.2e+06       	1.660453e+24	2.145597e+03
6.3e+06       	1.660453e+24	2.145597e+03
6.4e+06       	1.660453e+24	2.145597e+03
6.5e+06       	1.660453e+24	2.145597e+03
6.6e+06       	1.660453e+24	2.145597e+03
6.7e+06       	1.660453e+24	2.145597e+03
6.8e+06       	1.660453e+24	2.145597e+03
6.9e+06       	1.660453e+24	2.145597e+03
7e+06         	1.660453e+24	2.145597e+03
7.1e+06       	1.660453e+24	2.145597e+03
7.2e+06       	1.660453e+24	2.145597e+03
7.3e+06       	1.660453e+24	2.145597e+03
7.4e+06       	1.660453e+24	2.145597e+03
7.5e+06       	1.660453e+24	2.145597e+03
7.6e+06       	1.660453e+24	2.145597e+03
7.7e+06       	1.660453e+24	2.145597e+03
7.8e+06       	1.660453e+24	2.145597e+03
7.9e+06       	1.660453e+24	2.145597e+03
8e+06         	1.660453e+24	2.145597e+03
8.1e+06       	1.660453e+24	2.145597e+03
8.2e+06       	1.660453e+24	2.145597e+03
8.3e+06       	1.660453e+24	2.145597e+03
8.4e+06       	1.660453e+24	2.145597e+03
8.5e+06       	1.660453e+24	2.145597e+03
8.6e+06       	1.660453e+24	2.145597e+03
8.7e+06       	1.660453e+24	2.145597e+03
8.8e+06       	1.660453e+24	2.145597e+03
8.9e+06       	1.660453e+24	2.145597e+03
9e+06         	1.660453e+24	2.145597e+03
9.1e+06       	1.660453e+24	2.145597e+03
9.2e+06       	1.660453e+24	2.145597e+03
9.3e+06       	1.660453e+24	2.145597e+03
9.4e+06       	1.660453e+24	2.145597e+03
9.5e+06       	1.660453e+24	2.145597e+03
9.6e+06       	1.660453e+24	2.145597e+03
9.7e+06       	1.660453e+24	2.145597e+03
9.8e+06       	1.660453e+24	2.145597e+03
9.9e+06       	1.660453e+24	2.145597e+03
1e+07         	1.660453e+24	2.145597e+03
