# Region      : all 
# Cells       : 80000
# Volume      : 3.128689e+00
# Time        	weightedVolAverage(C)	weightedVolAverage(T)
0             	0.000000e+00	2.000000e+03
100000        	2.222100e+23	2.145390e+03
200000        	2.742098e+23	2.145390e+03
300000        	2.937324e+23	2.145390e+03
400000        	3.024061e+23	2.145390e+03
500000        	3.065676e+23	2.145390e+03
600000        	3.086516e+23	2.145390e+03
700000        	3.097258e+23	2.145390e+03
800000        	3.102899e+23	2.145390e+03
900000        	3.105905e+23	2.145390e+03
1e+06         	3.107529e+23	2.145390e+03
1.1e+06       	3.108398e+23	2.145390e+03
1.2e+06       	3.108882e+23	2.145390e+03
1.3e+06       	3.109146e+23	2.145390e+03
1.4e+06       	3.109267e+23	2.145390e+03
1.5e+06       	3.109299e+23	2.145390e+03
1.6e+06       	3.109299e+23	2.145390e+03
1.7e+06       	3.109299e+23	2.145390e+03
1.8e+06       	3.109299e+23	2.145390e+03
1.9e+06       	3.109299e+23	2.145390e+03
2e+06         	3.109299e+23	2.145390e+03
2.1e+06       	3.109299e+23	2.145390e+03
2.2e+06       	3.109299e+23	2.145390e+03
2.3e+06       	3.109299e+23	2.145390e+03
2.4e+06       	3.109299e+23	2.145390e+03
2.5e+06       	3.109299e+23	2.145390e+03
2.6e+06       	3.109299e+23	2.145390e+03
2.7e+06       	3.109299e+23	2.145390e+03
2.8e+06       	3.109299e+23	2.145390e+03
2.9e+06       	3.109299e+23	2.145390e+03
3e+06         	3.109299e+23	2.145390e+03
3.1e+06       	3.109299e+23	2.145390e+03
3.2e+06       	3.109299e+23	2.145390e+03
3.3e+06       	3.109299e+23	2.145390e+03
3.4e+06       	3.109299e+23	2.145390e+03
3.5e+06       	3.109299e+23	2.145390e+03
3.6e+06       	3.109299e+23	2.145390e+03
3.7e+06       	3.109299e+23	2.145390e+03
3.8e+06       	3.109299e+23	2.145390e+03
3.9e+06       	3.109299e+23	2.145390e+03
4e+06         	3.109299e+23	2.145390e+03
4.1e+06       	3.109299e+23	2.145390e+03
4.2e+06       	3.109299e+23	2.145390e+03
4.3e+06       	3.109299e+23	2.145390e+03
4.4e+06       	3.109299e+23	2.145390e+03
4.5e+06       	3.109299e+23	2.145390e+03
4.6e+06       	3.109299e+23	2.145390e+03
4.7e+06       	3.109299e+23	2.145390e+03
4.8e+06       	3.109299e+23	2.145390e+03
4.9e+06       	3.109299e+23	2.145390e+03
5e+06         	3.109299e+23	2.145390e+03
5.1e+06       	3.109299e+23	2.145390e+03
5.2e+06       	3.109299e+23	2.145390e+03
5.3e+06       	3.109299e+23	2.145390e+03
5.4e+06       	3.109299e+23	2.145390e+03
5.5e+06       	3.109299e+23	2.145390e+03
5.6e+06       	3.109299e+23	2.145390e+03
5.7e+06       	3.109299e+23	2.145390e+03
5.8e+06       	3.109299e+23	2.145390e+03
5.9e+06       	3.109299e+23	2.145390e+03
6e+06         	3.109299e+23	2.145390e+03
6.1e+06       	3.109299e+23	2.145390e+03
6.2e+06       	3.109299e+23	2.145390e+03
6.3e+06       	3.109299e+23	2.145390e+03
6.4e+06       	3.109299e+23	2.145390e+03
6.5e+06       	3.109299e+23	2.145390e+03
6.6e+06       	3.109299e+23	2.145390e+03
6.7e+06       	3.109299e+23	2.145390e+03
6.8e+06       	3.109299e+23	2.145390e+03
6.9e+06       	3.109299e+23	2.145390e+03
7e+06         	3.109299e+23	2.145390e+03
7.1e+06       	3.109299e+23	2.145390e+03
7.2e+06       	3.109299e+23	2.145390e+03
7.3e+06       	3.109299e+23	2.145390e+03
7.4e+06       	3.109299e+23	2.145390e+03
7.5e+06       	3.109299e+23	2.145390e+03
7.6e+06       	3.109299e+23	2.145390e+03
7.7e+06       	3.109299e+23	2.145390e+03
7.8e+06       	3.109299e+23	2.145390e+03
7.9e+06       	3.109299e+23	2.145390e+03
8e+06         	3.109299e+23	2.145390e+03
8.1e+06       	3.109299e+23	2.145390e+03
8.2e+06       	3.109299e+23	2.145390e+03
8.3e+06       	3.109299e+23	2.145390e+03
8.4e+06       	3.109299e+23	2.145390e+03
8.5e+06       	3.109299e+23	2.145390e+03
8.6e+06       	3.109299e+23	2.145390e+03
8.7e+06       	3.109299e+23	2.145390e+03
8.8e+06       	3.109299e+23	2.145390e+03
8.9e+06       	3.109299e+23	2.145390e+03
9e+06         	3.109299e+23	2.145390e+03
9.1e+06       	3.109299e+23	2.145390e+03
9.2e+06       	3.109299e+23	2.145390e+03
9.3e+06       	3.109299e+23	2.145390e+03
9.4e+06       	3.109299e+23	2.145390e+03
9.5e+06       	3.109299e+23	2.145390e+03
9.6e+06       	3.109299e+23	2.145390e+03
9.7e+06       	3.109299e+23	2.145390e+03
9.8e+06       	3.109299e+23	2.145390e+03
9.9e+06       	3.109299e+23	2.145390e+03
1e+07         	3.109299e+23	2.145390e+03
