Time (s),Average dC (atm/m^3)
0.0,0.0
10000.0,6.100103038928917e+22
20000.0,1.167132738911087e+23
30000.0,1.6858685837640165e+23
40000.0,2.1735096190096466e+23
50000.0,2.6346331637760424e+23
60000.0,3.0724561787863396e+23
70000.0,3.489407110501666e+23
80000.0,3.887396369718647e+23
90000.0,4.267990831512247e+23
100000.0,4.632498216196564e+23
110000.0,4.982039745772716e+23
120000.0,5.317590034720324e+23
130000.0,5.640008530394255e+23
140000.0,5.9500586778751254e+23
150000.0,6.248429743227041e+23
160000.0,6.535740741856256e+23
170000.0,6.812567616051962e+23
180000.0,7.079432948543845e+23
190000.0,7.336817583952173e+23
200000.0,7.58517364148134e+23
210000.0,7.824916430309201e+23
220000.0,8.056424491660223e+23
230000.0,8.280085239611224e+23
240000.0,8.496229389870413e+23
250000.0,8.705175206815088e+23
260000.0,8.907240182615134e+23
270000.0,9.102711826617893e+23
280000.0,9.291843086820255e+23
290000.0,9.474901482271517e+23
300000.0,9.652143553735959e+23
310000.0,9.823786052461152e+23
320000.0,9.990051777882982e+23
330000.0,1.0151166418419396e+24
340000.0,1.0307314053639991e+24
350000.0,1.04586880007685e+24
360000.0,1.0605477438374247e+24
370000.0,1.0747850566836673e+24
380000.0,1.0885968386478148e+24
390000.0,1.1019996593366966e+24
400000.0,1.1150084346868972e+24
410000.0,1.127636823477894e+24
420000.0,1.1398992717725907e+24
430000.0,1.1518087320393507e+24
440000.0,1.1633769235584536e+24
450000.0,1.1746181631935584e+24
460000.0,1.1855430515184974e+24
470000.0,1.1961625432939093e+24
480000.0,1.2064856715192061e+24
490000.0,1.2165245529002167e+24
500000.0,1.226288880477631e+24
510000.0,1.235787928671798e+24
520000.0,1.2450295495467157e+24
530000.0,1.2540241187168522e+24
540000.0,1.2627786131385898e+24
550000.0,1.271301112973732e+24
560000.0,1.2795988005058768e+24
570000.0,1.2876804294090756e+24
580000.0,1.2955505150789604e+24
590000.0,1.3032179301529887e+24
600000.0,1.310689161721486e+24
610000.0,1.3179707510110754e+24
620000.0,1.325067616163603e+24
630000.0,1.3319845125981113e+24
640000.0,1.3387296787440867e+24
650000.0,1.3453034895808765e+24
660000.0,1.3517191511846675e+24
670000.0,1.3579759058037063e+24
680000.0,1.3640801607680117e+24
690000.0,1.370036128443436e+24
700000.0,1.3758489754577003e+24
710000.0,1.3815216740654e+24
720000.0,1.3870592477322238e+24
730000.0,1.3924651530704112e+24
740000.0,1.3977437090308688e+24
750000.0,1.40289846580912e+24
760000.0,1.407932753103836e+24
770000.0,1.4128497728862213e+24
780000.0,1.417653137633681e+24
790000.0,1.4223459736625165e+24
800000.0,1.4269299099505748e+24
810000.0,1.431412409319206e+24
820000.0,1.43579298232236e+24
830000.0,1.440072573181645e+24
840000.0,1.444257492064983e+24
850000.0,1.448347814589334e+24
860000.0,1.4523500042468717e+24
870000.0,1.456262393213165e+24
880000.0,1.4600907837520628e+24
890000.0,1.4638348807097701e+24
900000.0,1.467497302805941e+24
910000.0,1.4710785158431347e+24
920000.0,1.4745832593647388e+24
930000.0,1.4780116553693193e+24
940000.0,1.481370274223142e+24
950000.0,1.4846545105531513e+24
960000.0,1.4878718591768665e+24
970000.0,1.4910212165932877e+24
980000.0,1.4940994590977716e+24
990000.0,1.4971184335468124e+24
1000000.0,1.5000734457401843e+24
1010000.0,1.5029675965117678e+24
1020000.0,1.5058020870030266e+24
1030000.0,1.5085772059827682e+24
1040000.0,1.511295859178328e+24
1050000.0,1.5139579836235806e+24
1060000.0,1.516567776003253e+24
1070000.0,1.519124096109266e+24
1080000.0,1.5216278396540574e+24
1090000.0,1.5240808181433032e+24
1100000.0,1.5264846403686648e+24
1110000.0,1.5288424462279265e+24
1120000.0,1.5311527365617084e+24
1130000.0,1.5334169433606267e+24
1140000.0,1.5356368534424443e+24
1150000.0,1.5378107451625147e+24
1160000.0,1.5399420991757376e+24
1170000.0,1.5420341537204883e+24
1180000.0,1.544084398423048e+24
1190000.0,1.5460937415203264e+24
1200000.0,1.548061250265526e+24
1210000.0,1.5499954741245704e+24
1220000.0,1.551891461792588e+24
1230000.0,1.5537523571024547e+24
1240000.0,1.5555775499052342e+24
1250000.0,1.5573662711011067e+24
1260000.0,1.5591219062798283e+24
1270000.0,1.5608442302783648e+24
1280000.0,1.5625345174169923e+24
1290000.0,1.5641918881771793e+24
1300000.0,1.5658187392556435e+24
1310000.0,1.5674133583351648e+24
1320000.0,1.5689783992952223e+24
1330000.0,1.5705131312497547e+24
1340000.0,1.5720209284118632e+24
1350000.0,1.5735022697134467e+24
1360000.0,1.5749553268974978e+24
1370000.0,1.5763805440497257e+24
1380000.0,1.577778129854041e+24
1390000.0,1.5791525954932375e+24
1400000.0,1.5805018346878426e+24
1410000.0,1.5818263391101885e+24
1420000.0,1.5831279916443808e+24
1430000.0,1.5844035024690507e+24
1440000.0,1.5856575257880462e+24
1450000.0,1.586888129062533e+24
1460000.0,1.5880980438038115e+24
1470000.0,1.5892852754213996e+24
1480000.0,1.5904509933205053e+24
1490000.0,1.5915954463777488e+24
1500000.0,1.5927196357149312e+24
1510000.0,1.5938219705611665e+24
1520000.0,1.5949045594335344e+24
1530000.0,1.5959706693765455e+24
1540000.0,1.597016655887341e+24
1550000.0,1.598044518933955e+24
1560000.0,1.5990544627272348e+24
1570000.0,1.6000450387836545e+24
1580000.0,1.601019681264348e+24
1590000.0,1.6019749219878585e+24
1600000.0,1.6029146394391748e+24
1610000.0,1.6038392212135152e+24
1620000.0,1.6047448394341513e+24
1630000.0,1.605633556975488e+24
1640000.0,1.6065118623020862e+24
1650000.0,1.607374160825312e+24
1660000.0,1.608221284281774e+24
1670000.0,1.6090530475995688e+24
1680000.0,1.6098690720672295e+24
1690000.0,1.6106728672627041e+24
1700000.0,1.6114619096498885e+24
1710000.0,1.6122369220227857e+24
1720000.0,1.6129952906141377e+24
1730000.0,1.6137436744832424e+24
1740000.0,1.6144780488731243e+24
1750000.0,1.6152000025827164e+24
1760000.0,1.6159121356241286e+24
1770000.0,1.6166136808886185e+24
1780000.0,1.617301586376586e+24
1790000.0,1.6179779364368332e+24
1800000.0,1.6186424722763182e+24
1810000.0,1.6192922388310217e+24
1820000.0,1.6199352322652996e+24
1830000.0,1.62056694463944e+24
1840000.0,1.6211867440795695e+24
1850000.0,1.6217987160533738e+24
1860000.0,1.6223964222520785e+24
1870000.0,1.6229878370379038e+24
1880000.0,1.623569110341734e+24
1890000.0,1.6241366931709483e+24
1900000.0,1.624699216369266e+24
1910000.0,1.6252500285382262e+24
1920000.0,1.625789744239915e+24
1930000.0,1.6263239585057232e+24
1940000.0,1.6268479227098113e+24
1950000.0,1.627364120223167e+24
1960000.0,1.6278730586281347e+24
1970000.0,1.628372534314874e+24
1980000.0,1.628864218326439e+24
1990000.0,1.6293467598819875e+24
2000000.0,1.6298197823734338e+24
2010000.0,1.6302848529182456e+24
2020000.0,1.6307452734604603e+24
2030000.0,1.631197474893167e+24
2040000.0,1.631642614011555e+24
2050000.0,1.6320802642402496e+24
2060000.0,1.6325089797456572e+24
2070000.0,1.6329326090275565e+24
2080000.0,1.6333476940530686e+24
2090000.0,1.633757602503282e+24
2100000.0,1.6341604869284607e+24
2110000.0,1.6345557687090864e+24
2120000.0,1.6349455163969846e+24
2130000.0,1.6353285701485728e+24
2140000.0,1.6357055495973575e+24
2150000.0,1.6360745711084477e+24
2160000.0,1.6364384302303898e+24
2170000.0,1.6367972616663308e+24
2180000.0,1.6371478086789564e+24
2190000.0,1.637493442361305e+24
2200000.0,1.6378362229533352e+24
2210000.0,1.6381736290645354e+24
2220000.0,1.6385060021391952e+24
2230000.0,1.638829472901006e+24
2240000.0,1.6391473278585292e+24
2250000.0,1.6394640338264764e+24
2260000.0,1.6397737690755566e+24
2270000.0,1.6400797040772325e+24
2280000.0,1.6403791488580426e+24
2290000.0,1.6406758402954829e+24
2300000.0,1.6409668866778015e+24
2310000.0,1.6412525445820916e+24
2320000.0,1.6415313470125768e+24
2330000.0,1.6418084088115403e+24
2340000.0,1.6420784250628247e+24
2350000.0,1.6423494693441877e+24
2360000.0,1.6426148751538941e+24
2370000.0,1.642875635866976e+24
2380000.0,1.643132805634517e+24
2390000.0,1.643385701887487e+24
2400000.0,1.6436342128729833e+24
2410000.0,1.643880913952555e+24
2420000.0,1.6441216953170883e+24
2430000.0,1.6443583096615102e+24
2440000.0,1.6445894522363132e+24
2450000.0,1.644817652914913e+24
2460000.0,1.645043127074142e+24
2470000.0,1.6452661455198057e+24
2480000.0,1.645484842263193e+24
2490000.0,1.645699467329874e+24
2500000.0,1.6459114354490954e+24
2510000.0,1.6461186690089945e+24
2520000.0,1.6463249188639608e+24
2530000.0,1.64652359437754e+24
2540000.0,1.646723497580872e+24
2550000.0,1.646919636180705e+24
2560000.0,1.6471111595076817e+24
2570000.0,1.6473008956336037e+24
2580000.0,1.6474882514660998e+24
2590000.0,1.6476727842757313e+24
