Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	He produced (at/m3)	He in grain (at/m3)	He in intragranular solution (at/m3)	He in intragranular bubbles (at/m3)	He at grain boundary (at/m3)	He released (at/m3)	He fractional release (/)	He release rate (at/m3 s)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	673	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.683e+24	1.6e+24	8.3e+22	0	0	0	0	2.08e+20	9.05747e-10	6.474e-07	0	2.328887e+26	2.276476e+28	
0.0018	674.2770854	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682998e+24	1.599998e+24	8.300029e+22	0	1.793207e+18	1.065482e-06	2.767294e+17	2.08e+20	9.05747e-10	6.474e-07	0	2.328887e+26	2.276476e+28	
0.0036	675.5541708	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682996e+24	1.599996e+24	8.300058e+22	0	3.637987e+18	2.161608e-06	2.846883e+17	2.08e+20	9.057481e-10	6.474022e-07	0	2.328887e+26	2.276476e+28	
0.0054	676.8312562	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682994e+24	1.599994e+24	8.300087e+22	0	5.535619e+18	3.289138e-06	2.928445e+17	2.08e+20	9.057491e-10	6.474045e-07	0	2.328887e+26	2.276476e+28	
0.0072	678.1083416	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682993e+24	1.599991e+24	8.300117e+22	0	7.487408e+18	4.448846e-06	3.01202e+17	2.08e+20	9.057502e-10	6.474068e-07	0	2.328887e+26	2.276476e+28	
0.009	679.385427	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682991e+24	1.599989e+24	8.300147e+22	0	9.494685e+18	5.641524e-06	3.09765e+17	2.08e+20	9.057513e-10	6.474091e-07	0	2.328887e+26	2.276476e+28	
0.0108	680.6625124	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682988e+24	1.599987e+24	8.300178e+22	0	1.155881e+19	6.867979e-06	3.185376e+17	2.08e+20	9.057524e-10	6.474115e-07	0	2.328887e+26	2.276476e+28	
0.0126	681.9395978	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682986e+24	1.599984e+24	8.300209e+22	0	1.368117e+19	8.129035e-06	3.275242e+17	2.08e+20	9.057535e-10	6.474139e-07	0	2.328887e+26	2.276476e+28	
0.0144	683.2166832	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682984e+24	1.599982e+24	8.30024e+22	0	1.586317e+19	9.425531e-06	3.367289e+17	2.08e+20	9.057546e-10	6.474163e-07	0	2.328887e+26	2.276476e+28	
0.0162	684.4937686	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682982e+24	1.599979e+24	8.300272e+22	0	1.810626e+19	1.075832e-05	3.461561e+17	2.08e+20	9.057558e-10	6.474187e-07	0	2.328887e+26	2.276476e+28	
0.018	685.7708541	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.68298e+24	1.599977e+24	8.300304e+22	0	2.041191e+19	1.212829e-05	3.558104e+17	2.08e+20	9.057569e-10	6.474212e-07	0	2.328887e+26	2.276476e+28	
0.0198	687.0479395	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682977e+24	1.599974e+24	8.300336e+22	0	2.278162e+19	1.353632e-05	3.656961e+17	2.08e+20	9.057581e-10	6.474237e-07	0	2.328887e+26	2.276476e+28	
0.0216	688.3250249	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682975e+24	1.599971e+24	8.300369e+22	0	2.521692e+19	1.498332e-05	3.758179e+17	2.08e+20	9.057593e-10	6.474262e-07	0	2.328887e+26	2.276476e+28	
0.0234	689.6021103	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682972e+24	1.599968e+24	8.300402e+22	0	2.771937e+19	1.647021e-05	3.861803e+17	2.08e+20	9.057604e-10	6.474288e-07	0	2.328887e+26	2.276476e+28	
0.0252	690.8791957	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.68297e+24	1.599965e+24	8.300435e+22	0	3.029056e+19	1.799795e-05	3.967882e+17	2.08e+20	9.057616e-10	6.474313e-07	0	2.328887e+26	2.276476e+28	
0.027	692.1562811	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682967e+24	1.599962e+24	8.300468e+22	0	3.293211e+19	1.95675e-05	4.076462e+17	2.08e+20	9.057628e-10	6.474339e-07	0	2.328887e+26	2.276476e+28	
0.0288	693.4333665	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682964e+24	1.599959e+24	8.300501e+22	0	3.564567e+19	2.117984e-05	4.187592e+17	2.08e+20	9.05764e-10	6.474365e-07	0	2.328887e+26	2.276476e+28	
0.0306	694.7104519	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682962e+24	1.599956e+24	8.300535e+22	0	3.843292e+19	2.283596e-05	4.301321e+17	2.08e+20	9.057653e-10	6.474391e-07	0	2.328887e+26	2.276476e+28	
0.0324	695.9875373	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682959e+24	1.599953e+24	8.300569e+22	0	4.129559e+19	2.453689e-05	4.417699e+17	2.08e+20	9.057665e-10	6.474417e-07	0	2.328887e+26	2.276476e+28	
0.0342	697.2646227	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682956e+24	1.59995e+24	8.300602e+22	0	4.423542e+19	2.628367e-05	4.536777e+17	2.08e+20	9.057677e-10	6.474444e-07	0	2.328887e+26	2.276476e+28	
0.036	698.5417081	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.682953e+24	1.599946e+24	8.300636e+22	0	4.72542e+19	2.807736e-05	4.658606e+17	2.08e+20	9.057689e-10	6.47447e-07	0	2.328887e+26	2.276476e+28	
0.0378	699.8187935	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.68295e+24	1.599943e+24	8.30067e+22	0	5.035374e+19	2.991904e-05	4.783237e+17	2.08e+20	9.057702e-10	6.474496e-07	0	2.328887e+26	2.276476e+28	
