Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	He produced (at/m3)	He in grain (at/m3)	He in intragranular solution (at/m3)	He in intragranular bubbles (at/m3)	He at grain boundary (at/m3)	He released (at/m3)	He fractional release (/)	He release rate (at/m3 s)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08e+20	0	0	0	2.328887e+26	2.276476e+28	
0.0025	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	2.696402e+17	-2.50107e+23	-2.287216e+23	-2.138547e+22	0	2.501073e+23	927559.4	2.77897e+22	3.804576e+21	0	0	3.151729e-06	2.328887e+26	2.276476e+28	
0.005	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	5.392804e+17	-5.00214e+23	-4.574431e+23	-4.277093e+22	0	5.002146e+23	927559.4	2.77897e+22	7.397918e+21	-nan	nan	6.303458e-06	2.328887e+26	2.276476e+28	
0.0075	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	8.089205e+17	-7.503211e+23	-6.861647e+23	-6.41564e+22	0	7.503219e+23	927559.4	2.77897e+22	1.098803e+22	-nan	nan	9.455187e-06	2.328887e+26	2.276476e+28	
0.01	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	1.078561e+18	-1.000428e+24	-9.148862e+23	-8.554186e+22	0	1.000429e+24	927559.4	2.77897e+22	1.457491e+22	-nan	nan	1.260692e-05	2.328887e+26	2.276476e+28	
0.0125	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	1.348201e+18	-1.250535e+24	-1.143608e+24	-1.069273e+23	0	1.250536e+24	927559.4	2.77897e+22	1.815857e+22	-nan	nan	1.575865e-05	2.328887e+26	2.276476e+28	
0.015	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	1.617841e+18	-1.500642e+24	-1.372329e+24	-1.283128e+23	0	1.500644e+24	927559.4	2.77897e+22	2.1739e+22	-nan	nan	1.891037e-05	2.328887e+26	2.276476e+28	
0.0175	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	1.887481e+18	-1.750749e+24	-1.601051e+24	-1.496983e+23	0	1.750751e+24	927559.4	2.77897e+22	2.531622e+22	-nan	nan	2.20621e-05	2.328887e+26	2.276476e+28	
0.02	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	2.157121e+18	-2.000856e+24	-1.829772e+24	-1.710837e+23	0	2.000858e+24	927559.4	2.77897e+22	2.889022e+22	-nan	nan	2.521383e-05	2.328887e+26	2.276476e+28	
0.0225	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	2.426762e+18	-2.250963e+24	-2.058494e+24	-1.924692e+23	0	2.250966e+24	927559.4	2.77897e+22	3.2461e+22	-nan	nan	2.836556e-05	2.328887e+26	2.276476e+28	
0.025	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	2.696402e+18	-2.50107e+24	-2.287216e+24	-2.138547e+23	0	2.501073e+24	927559.4	2.77897e+22	3.602858e+22	-nan	nan	3.151729e-05	2.328887e+26	2.276476e+28	
0.0275	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	2.966042e+18	-2.751177e+24	-2.515937e+24	-2.352401e+23	0	2.75118e+24	927559.4	2.77897e+22	3.959294e+22	-nan	nan	3.466902e-05	2.328887e+26	2.276476e+28	
0.03	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	3.235682e+18	-3.001284e+24	-2.744659e+24	-2.566256e+23	0	3.001288e+24	927559.4	2.77897e+22	4.31541e+22	-nan	nan	3.782075e-05	2.328887e+26	2.276476e+28	
0.0325	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	3.505322e+18	-3.251391e+24	-2.97338e+24	-2.780111e+23	0	3.251395e+24	927559.4	2.77897e+22	4.671206e+22	-nan	nan	4.097248e-05	2.328887e+26	2.276476e+28	
0.035	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	3.774963e+18	-3.501498e+24	-3.202102e+24	-2.993965e+23	0	3.501502e+24	927559.4	2.77897e+22	5.026682e+22	-nan	nan	4.412421e-05	2.328887e+26	2.276476e+28	
0.0375	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	4.044603e+18	-3.751605e+24	-3.430823e+24	-3.20782e+23	0	3.751609e+24	927559.4	2.77897e+22	5.381839e+22	-nan	nan	4.727594e-05	2.328887e+26	2.276476e+28	
0.04	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	4.314243e+18	-4.001712e+24	-3.659545e+24	-3.421675e+23	0	4.001717e+24	927559.4	2.77897e+22	5.736676e+22	-nan	nan	5.042767e-05	2.328887e+26	2.276476e+28	
0.0425	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	4.583883e+18	-4.251819e+24	-3.888266e+24	-3.635529e+23	0	4.251824e+24	927559.4	2.77897e+22	6.091194e+22	-nan	nan	5.357939e-05	2.328887e+26	2.276476e+28	
0.045	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	4.853523e+18	-4.501926e+24	-4.116988e+24	-3.849384e+23	0	4.501931e+24	927559.4	2.77897e+22	6.445393e+22	-nan	nan	5.673112e-05	2.328887e+26	2.276476e+28	
0.0475	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	5.123163e+18	-4.752033e+24	-4.34571e+24	-4.063238e+23	0	4.752039e+24	927559.4	2.77897e+22	6.799273e+22	-nan	nan	5.988285e-05	2.328887e+26	2.276476e+28	
0.05	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	5.392804e+18	-5.00214e+24	-4.574431e+24	-4.277093e+23	0	5.002146e+24	927559.4	2.77897e+22	7.152836e+22	-nan	nan	6.303458e-05	2.328887e+26	2.276476e+28	
0.0525	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	5.662444e+18	-5.252247e+24	-4.803153e+24	-4.490948e+23	0	5.252253e+24	927559.4	2.77897e+22	7.50608e+22	-nan	nan	6.618631e-05	2.328887e+26	2.276476e+28	
0.055	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	5.932084e+18	-5.502355e+24	-5.031874e+24	-4.704802e+23	0	5.50236e+24	927559.4	2.77897e+22	7.859007e+22	-nan	nan	6.933804e-05	2.328887e+26	2.276476e+28	
0.0575	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.201724e+18	-5.752462e+24	-5.260596e+24	-4.918657e+23	0	5.752468e+24	927559.4	2.77897e+22	8.211617e+22	-nan	nan	7.248977e-05	2.328887e+26	2.276476e+28	
0.06	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.471364e+18	-6.002569e+24	-5.489317e+24	-5.132512e+23	0	6.002575e+24	927559.4	2.77897e+22	8.563909e+22	-nan	nan	7.56415e-05	2.328887e+26	2.276476e+28	
0.0625	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.741004e+18	-6.252676e+24	-5.718039e+24	-5.346366e+23	0	6.252682e+24	927559.4	2.77897e+22	8.915885e+22	-nan	nan	7.879323e-05	2.328887e+26	2.276476e+28	
0.065	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	7.010645e+18	-6.502783e+24	-5.946761e+24	-5.560221e+23	0	6.50279e+24	927559.4	2.77897e+22	9.267544e+22	-nan	nan	8.194496e-05	2.328887e+26	2.276476e+28	
0.0675	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	7.280285e+18	-6.75289e+24	-6.175482e+24	-5.774076e+23	0	6.752897e+24	927559.4	2.77897e+22	9.618887e+22	-nan	nan	8.509669e-05	2.328887e+26	2.276476e+28	
0.07	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	7.549925e+18	-7.002997e+24	-6.404204e+24	-5.98793e+23	0	7.003004e+24	927559.4	2.77897e+22	9.969914e+22	-nan	nan	8.824841e-05	2.328887e+26	2.276476e+28	
0.0725	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	7.819565e+18	-7.253104e+24	-6.632925e+24	-6.201785e+23	0	7.253112e+24	927559.4	2.77897e+22	1.032063e+23	-nan	nan	9.140014e-05	2.328887e+26	2.276476e+28	
0.075	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	8.089205e+18	-7.503211e+24	-6.861647e+24	-6.41564e+23	0	7.503219e+24	927559.4	2.77897e+22	1.067102e+23	-nan	nan	9.455187e-05	2.328887e+26	2.276476e+28	
0.0775	300	1e+19	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	8.358846e+18	-7.753318e+24	-7.090368e+24	-6.629494e+23	0	7.753326e+24	927559.4	2.77897e+22	1.10211e+23	-nan	nan	9.77036e-05	2.328887e+26	2.276476e+28	
