Time: 0 s # Volume Average: 4.88e+18 at/m^3.s
r (micron)	S (at/m^3.s)
0	1e+10
5	1e+10
10	1e+10
15	1e+10
20	1e+10
25	1e+10
30	1e+10
35	1e+10
40	1e+10
45	1e+10
50	1e+10
55	1e+10
60	1e+10
65	1e+10
70	1e+10
75	1e+10
80	1e+10
85	1e+10
90	1e+10
95	1e+10
100	1e+10
105	1e+10
110	1e+10
115	1e+10
120	1e+10
125	1e+10
130	1e+10
135	1e+10
140	1e+10
145	1e+10
150	1e+10
155	1e+10
160	1e+10
165	1e+10
170	1e+10
175	1e+10
180	1e+10
185	1e+10
190	1e+10
195	1e+10
200	1e+10
205	1e+10
210	1e+10
215	1e+10
220	1e+10
225	1e+10
230	1e+10
235	1e+10
240	1e+10
245	1e+10
250	1e+10
255	1e+10
260	1e+10
265	1e+10
270	1e+10
275	1e+10
280	1e+10
285	1e+10
290	1e+10
295	1e+10
300	1e+10
305	1e+10
310	1e+10
315	1e+10
320	1e+10
325	1e+10
330	1e+10
335	1e+10
340	1e+10
345	1e+10
350	1e+10
355	1e+10
360	1e+10
365	1e+10
370	1e+10
375	1e+10
380	1e+10
385	1e+10
390	1e+10
395	1e+10
400	1e+10
405	1e+10
410	1e+10
415	1e+10
420	1e+10
425	1e+10
430	1e+10
435	1e+10
440	1e+10
445	1e+10
450	1e+10
455	1e+10
460	1e+10
465	1e+10
470	1e+10
475	1e+10
480	1e+10
485	1e+10
490	1e+10
495	1e+10
500	1e+10
505	1e+10
510	1e+10
515	1e+10
520	1e+10
525	1e+10
530	1e+10
535	1e+10
540	1e+10
545	1e+10
550	1e+10
555	1e+10
560	1e+10
565	1e+10
570	1e+10
575	1e+10
580	1e+10
585	1e+10
590	1e+10
595	1e+10
600	1e+10
605	1e+10
610	1e+10
615	1e+10
620	1e+10
625	1e+10
630	1e+10
635	1e+10
640	1e+10
645	1e+10
650	1e+10
655	1e+10
660	1e+10
665	1e+10
670	1e+10
675	1e+10
680	1e+10
685	1e+10
690	1e+10
695	1e+10
700	1e+10
705	1e+10
710	1e+10
715	1e+10
720	1e+10
725	1e+10
730	1e+10
735	1e+10
740	1e+10
745	1e+10
750	1e+10
755	1e+10
760	1e+10
765	1e+10
770	1e+10
775	1e+10
780	1e+10
785	1e+10
790	1e+10
795	1e+10
800	1e+10
805	1e+10
810	1e+10
815	1e+10
820	1e+10
825	1e+10
830	1e+10
835	1e+10
840	1e+10
845	1e+10
850	1e+10
855	1e+10
860	1e+10
865	1e+10
870	1e+10
875	1e+10
880	1e+10
885	1e+10
890	1e+10
895	1e+10
900	1e+10
905	1e+10
910	1e+10
915	1e+10
920	1e+10
925	1e+10
930	1e+10
935	1e+10
940	1e+10
945	1e+10
950	1e+10
955	1e+10
960	1e+10
965	1e+10
970	1e+10
975	1e+10
980	1e+10
985	1e+10
990	1e+10
995	1e+10
1000	1e+10
1005	1e+10
1010	1e+10
1015	1e+10
1020	1e+10
1025	1e+10
1030	1e+10
1035	1e+10
1040	1e+10
1045	1e+10
1050	1e+10
1055	1e+10
1060	1e+10
1065	1e+10
1070	1e+10
1075	1e+10
1080	1e+10
1085	1e+10
1090	1e+10
1095	1e+10
1100	1e+10
1105	1e+10
1110	1e+10
1115	1e+10
1120	1e+10
1125	1e+10
1130	1e+10
1135	1e+10
1140	1e+10
1145	1e+10
1150	1e+10
1155	1e+10
1160	1e+10
1165	1e+10
1170	1e+10
1175	1e+10
1180	1e+10
1185	1e+10
1190	1e+10
1195	1e+10
1200	1e+10
1205	1e+10
1210	1e+10
1215	1e+10
1220	1e+10
1225	1e+10
1230	1e+10
1235	1e+10
1240	1e+10
1245	1e+10
1250	1e+10
1255	1e+10
1260	1e+10
1265	1e+10
1270	1e+10
1275	1e+10
1280	1e+10
1285	1e+10
1290	1e+10
1295	1e+10
1300	1e+10
1305	1e+10
1310	1e+10
1315	1e+10
1320	1e+10
1325	1e+10
1330	1e+10
1335	1e+10
1340	1e+10
1345	1e+10
1350	1e+10
1355	1e+10
1360	1e+10
1365	1e+10
1370	1e+10
1375	1e+10
1380	1e+10
1385	1e+10
1390	1e+10
1395	1e+10
1400	1e+10
1405	1e+10
1410	1e+10
1415	1e+10
1420	1e+10
1425	1e+10
1430	1e+10
1435	1e+10
1440	1e+10
1445	1e+10
1450	1e+10
1455	1e+10
1460	1e+10
1465	1e+10
1470	1e+10
1475	1e+10
1480	1e+10
1485	1e+10
1490	1e+10
1495	1e+10
1500	1e+10
1505	1e+10
1510	1e+10
1515	1e+10
1520	1e+10
1525	1e+10
1530	1e+10
1535	1e+10
1540	1e+10
1545	1e+10
1550	1e+10
1555	1e+10
1560	1e+10
1565	1e+10
1570	1e+10
1575	1e+10
1580	1e+10
1585	1e+10
1590	1e+10
1595	1e+10
1600	1e+10
1605	1e+10
1610	1e+10
1615	1e+10
1620	1e+10
1625	1e+10
1630	1e+10
1635	1e+10
1640	1e+10
1645	1e+10
1650	1e+10
1655	1e+10
1660	1e+10
1665	1e+10
1670	1e+10
1675	1e+10
1680	1e+10
1685	1e+10
1690	1e+10
1695	1e+10
1700	1e+10
1705	1e+10
1710	1e+10
1715	1e+10
1720	1e+10
1725	1e+10
1730	1e+10
1735	1e+10
1740	1e+10
1745	1e+10
1750	1e+10
1755	1e+10
1760	1e+10
1765	1e+10
1770	1e+10
1775	1e+10
1780	1e+10
1785	1e+10
1790	1e+10
1795	1e+10
1800	1e+10
1805	1e+10
1810	1e+10
1815	1e+10
1820	1e+10
1825	1e+10
1830	1e+10
1835	1e+10
1840	1e+10
1845	1e+10
1850	1e+10
1855	1e+10
1860	1e+10
1865	1e+10
1870	1e+10
1875	1e+10
1880	1e+10
1885	1e+10
1890	1e+10
1895	1e+10
1900	1e+10
1905	1e+10
1910	1e+10
1915	1e+10
1920	1e+10
1925	1e+10
1930	1e+10
1935	1e+10
1940	1e+10
1945	1e+10
1950	1e+10
1955	1e+10
1960	1e+10
1965	1e+10
1970	1e+10
1975	1e+10
1980	1e+10
1985	1e+10
1990	1e+10
1995	1e+10
2000	1e+10
2005	1e+10
2010	1e+10
2015	1e+10
2020	1e+10
2025	1e+10
2030	1e+10
2035	1e+10
2040	1e+10
2045	1e+10
2050	1e+10
2055	1e+10
2060	1e+10
2065	1e+10
2070	1e+10
2075	1e+10
2080	1e+10
2085	1e+10
2090	1e+10
2095	1e+10
2100	1e+10
2105	1e+10
2110	1e+10
2115	1e+10
2120	1e+10
2125	1e+10
2130	1e+10
2135	1e+10
2140	1e+10
2145	1e+10
2150	1e+10
2155	1e+10
2160	1e+10
2165	1e+10
2170	1e+10
2175	1e+10
2180	1e+10
2185	1e+10
2190	1e+10
2195	1e+10
2200	1e+10
2205	1e+10
2210	1e+10
2215	1e+10
2220	1e+10
2225	1e+10
2230	1e+10
2235	1e+10
2240	1e+10
2245	1e+10
2250	1e+10
2255	1e+10
2260	1e+10
2265	1e+10
2270	1e+10
2275	1e+10
2280	1e+10
2285	1e+10
2290	1e+10
2295	1e+10
2300	1e+10
2305	1e+10
2310	1e+10
2315	1e+10
2320	1e+10
2325	1e+10
2330	1e+10
2335	1e+10
2340	1e+10
2345	1e+10
2350	1e+10
2355	1e+10
2360	1e+10
2365	1e+10
2370	1e+10
2375	1e+10
2380	1e+10
2385	1e+10
2390	1e+10
2395	1e+10
2400	1e+10
2405	1e+10
2410	1e+10
2415	1e+10
2420	1e+10
2425	1e+10
2430	1e+10
2435	1e+10
2440	1e+10
2445	1e+10
2450	1e+10
2455	1e+10
2460	1e+10
2465	1e+10
2470	1e+10
2475	1e+10
2480	1e+10
2485	1e+10
2490	1e+10
2495	1e+10
2500	1e+10
2505	1e+10
2510	1e+10
2515	1e+10
2520	1e+10
2525	1e+10
2530	1e+10
2535	1e+10
2540	1e+10
2545	1e+10
2550	1e+10
2555	1e+10
2560	1e+10
2565	1e+10
2570	1e+10
2575	1e+10
2580	1e+10
2585	1e+10
2590	1e+10
2595	1e+10
2600	1e+10
2605	1e+10
2610	1e+10
2615	1e+10
2620	1e+10
2625	1e+10
2630	1e+10
2635	1e+10
2640	1e+10
2645	1e+10
2650	1e+10
2655	1e+10
2660	1e+10
2665	1e+10
2670	1e+10
2675	1e+10
2680	1e+10
2685	1e+10
2690	1e+10
2695	1e+10
2700	1e+10
2705	1e+10
2710	1e+10
2715	1e+10
2720	1e+10
2725	1e+10
2730	1e+10
2735	1e+10
2740	1e+10
2745	1e+10
2750	1e+10
2755	1e+10
2760	1e+10
2765	1e+10
2770	1e+10
2775	1e+10
2780	1e+10
2785	1e+10
2790	1e+10
2795	1e+10
2800	1e+10
2805	1e+10
2810	1e+10
2815	1e+10
2820	1e+10
2825	1e+10
2830	1e+10
2835	1e+10
2840	1e+10
2845	1e+10
2850	1e+10
2855	1e+10
2860	1e+10
2865	1e+10
2870	1e+10
2875	1e+10
2880	1e+10
2885	1e+10
2890	1e+10
2895	1e+10
2900	1e+10
2905	1e+10
2910	1e+10
2915	1e+10
2920	1e+10
2925	1e+10
2930	1e+10
2935	1e+10
2940	1e+10
2945	1e+10
2950	1e+10
2955	1e+10
2960	1e+10
2965	1e+10
2970	1e+10
2975	1e+10
2980	1e+10
2985	1e+10
2990	1e+10
2995	1e+10
3000	1e+10
3005	1e+10
3010	1e+10
3015	1e+10
3020	1e+10
3025	1e+10
3030	1e+10
3035	1e+10
3040	1e+10
3045	1e+10
3050	1e+10
3055	1e+10
3060	1e+10
3065	1e+10
3070	1e+10
3075	1e+10
3080	1e+10
3085	1e+10
3090	1e+10
3095	1e+10
3100	1e+10
3105	1e+10
3110	1e+10
3115	1e+10
3120	1e+10
3125	1e+10
3130	1e+10
3135	1e+10
3140	1e+10
3145	1e+10
3150	1e+10
3155	1e+10
3160	1e+10
3165	1e+10
3170	1e+10
3175	1e+10
3180	1e+10
3185	1e+10
3190	1e+10
3195	1e+10
3200	1e+10
3205	1e+10
3210	1e+10
3215	1e+10
3220	1e+10
3225	1e+10
3230	1e+10
3235	1e+10
3240	1e+10
3245	1e+10
3250	1e+10
3255	1e+10
3260	1e+10
3265	1e+10
3270	1e+10
3275	1e+10
3280	1e+10
3285	1e+10
3290	1e+10
3295	1e+10
3300	1e+10
3305	1e+10
3310	1e+10
3315	1e+10
3320	1e+10
3325	1e+10
3330	1e+10
3335	1e+10
3340	1e+10
3345	1e+10
3350	1e+10
3355	1e+10
3360	1e+10
3365	1e+10
3370	1e+10
3375	1e+10
3380	1e+10
3385	1e+10
3390	1e+10
3395	1e+10
3400	1e+10
3405	1e+10
3410	1e+10
3415	1e+10
3420	1e+10
3425	1e+10
3430	1e+10
3435	1e+10
3440	1e+10
3445	1e+10
3450	1e+10
3455	1e+10
3460	1e+10
3465	1e+10
3470	1e+10
3475	1e+10
3480	1e+10
3485	1e+10
3490	1e+10
3495	1e+10
3500	1e+10
3505	1e+10
3510	1e+10
3515	1e+10
3520	1e+10
3525	1e+10
3530	1e+10
3535	1e+10
3540	1e+10
3545	1e+10
3550	1e+10
3555	1e+10
3560	1e+10
3565	1e+10
3570	1e+10
3575	1e+10
3580	1e+10
3585	1e+10
3590	1e+10
3595	1e+10
3600	1e+10
3605	1e+10
3610	1e+10
3615	1e+10
3620	1e+10
3625	1e+10
3630	1e+10
3635	1e+10
3640	1e+10
3645	1e+10
3650	1e+10
3655	1e+10
3660	1e+10
3665	1e+10
3670	1e+10
3675	1e+10
3680	1e+10
3685	1e+10
3690	1e+10
3695	1e+10
3700	1e+10
3705	1e+10
3710	1e+10
3715	1e+10
3720	1e+10
3725	1e+10
3730	1e+10
3735	1e+10
3740	1e+10
3745	1e+10
3750	1e+10
3755	1e+10
3760	1e+10
3765	1e+10
3770	1e+10
3775	1e+10
3780	1e+10
3785	1e+10
3790	1e+10
3795	1e+10
3800	1e+10
3805	1e+10
3810	1e+10
3815	1e+10
3820	1e+10
3825	1e+10
3830	1e+10
3835	1e+10
3840	1e+10
3845	1e+10
3850	1e+10
3855	1e+10
3860	1e+10
3865	1e+10
3870	1e+10
3875	1e+10
3880	1e+10
3885	1e+10
3890	1e+10
3895	1e+10
3900	1e+10
3905	1e+10
3910	1e+10
3915	1e+10
3920	1e+10
3925	1e+10
3930	1e+10
3935	1e+10
3940	1e+10
3945	1e+10
3950	1e+10
3955	1e+10
3960	1e+10
3965	1e+10
3970	1e+10
3975	1e+10
3980	1e+10
3985	1e+10
3990	1e+10
3995	1e+10
4000	1e+10
4000	1e+19
4005	1e+19
4010	1e+19
4015	1e+19
4020	1e+19
4025	1e+19
4030	1e+19
4035	1e+19
4040	1e+19
4045	1e+19
4050	1e+19
4055	1e+19
4060	1e+19
4065	1e+19
4070	1e+19
4075	1e+19
4080	1e+19
4085	1e+19
4090	1e+19
4095	1e+19
4100	1e+19
4105	1e+19
4110	1e+19
4115	1e+19
4120	1e+19
4125	1e+19
4130	1e+19
4135	1e+19
4140	1e+19
4145	1e+19
4150	1e+19
4155	1e+19
4160	1e+19
4165	1e+19
4170	1e+19
4175	1e+19
4180	1e+19
4185	1e+19
4190	1e+19
4195	1e+19
4200	1e+19
4205	1e+19
4210	1e+19
4215	1e+19
4220	1e+19
4225	1e+19
4230	1e+19
4235	1e+19
4240	1e+19
4245	1e+19
4250	1e+19
4255	1e+19
4260	1e+19
4265	1e+19
4270	1e+19
4275	1e+19
4280	1e+19
4285	1e+19
4290	1e+19
4295	1e+19
4300	1e+19
4305	1e+19
4310	1e+19
4315	1e+19
4320	1e+19
4325	1e+19
4330	1e+19
4335	1e+19
4340	1e+19
4345	1e+19
4350	1e+19
4355	1e+19
4360	1e+19
4365	1e+19
4370	1e+19
4375	1e+19
4380	1e+19
4385	1e+19
4390	1e+19
4395	1e+19
4400	1e+19
4405	1e+19
4410	1e+19
4415	1e+19
4420	1e+19
4425	1e+19
4430	1e+19
4435	1e+19
4440	1e+19
4445	1e+19
4450	1e+19
4455	1e+19
4460	1e+19
4465	1e+19
4470	1e+19
4475	1e+19
4480	1e+19
4485	1e+19
4490	1e+19
4495	1e+19
4500	1e+19
4505	1e+19
4510	1e+19
4515	1e+19
4520	1e+19
4525	1e+19
4530	1e+19
4535	1e+19
4540	1e+19
4545	1e+19
4550	1e+19
4555	1e+19
4560	1e+19
4565	1e+19
4570	1e+19
4575	1e+19
