# Experimental data extracted from:
# Tourasse, M., Boidron, M., & Pasquet, B. (1992). 
# Fission product behaviour in phenix fuel pins at high burnup. 
# Journal of Nuclear Materials, 188(C), 49–57. 
# https://doi.org/10.1016/0022-3115(92)90453-R
#
# X-ray mapping of the radial distributions of the “noble metal” precipitates
# allows to point out the evolution with burnup.
#
# At high burnup, the remaining precipitates are very sparse in the columnar grain region. 
# However, quantitative measurements have been performed in these phases, 
# in areas where their diameter exceeds 1 um 
# (in the very peripheral rim of the fuel pellets the quantitative measurements are not feasible).
#
# Data: Mo/Ru ratio of the “noble metal” inclusions in the columnar grain region.
FIMA(%);Mo-to-Ru(-)
4.85;0.79
4.91;0.85
6.91;0.87
8.89;0.20
11.00;0.13
13.58;0.08
# Data: Radial evolution of the Mo/Ru ratio of the “noble metal” inclusions at high burnup.
# Radial coordinate reported as distance from the pellet outer rim.
um/outerrim;Mo-to-Ru(-)
360.92;0.05
378.80;0.11
403.08;0.16
444.19;0.18
471.86;0.24
484.11;0.28
513.76;0.32
551.31;0.33
580.95;0.39
616.52;0.42
660.00;0.42
703.48;0.42
746.96;0.42
790.44;0.46
833.92;0.46
865.54;0.43
897.16;0.37
940.64;0.36
984.12;0.36
1027.60;0.35
1071.08;0.35
1102.70;0.34
1110.61;0.29
1119.83;0.24
1129.24;0.19
1141.10;0.13
1167.52;0.11
1209.42;0.11
1252.90;0.11
1296.38;0.10
1339.86;0.10
1383.34;0.07
1426.82;0.05
1470.30;0.06
1513.78;0.07
1557.25;0.07
1600.73;0.08
1644.21;0.07
1687.69;0.07
1731.17;0.07
1774.65;0.07
1818.13;0.07
1861.61;0.07
1905.09;0.08
1948.57;0.08
1994.68;0.07
2035.52;0.08
2079.00;0.08
2122.48;0.08
2165.96;0.08
2209.44;0.08
2252.92;0.08
2296.40;0.08
2339.88;0.07
2371.50;0.05
