Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	
0	2000	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03107104	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	7.320397e-13	0	7.320397e-13	0	-426.5626	0	-426.5626	0	30531.45	77194.93	1	8554.591	0	0	0	0	0	0	0	0	
28	2000	3.45e+19	0	0	100000	1.97460197	2.045002e-05	8.137584e+23	4.372725e+23	4.372725e+23	0	3.593752e+23	1.711073e+22	5.91192e+22	3.176766e+22	3.176766e+22	0	2.610845e+22	1.243087e+21	0.02102679	5.91192e+23	3.176766e+23	3.176766e+23	0	2.610845e+23	1.243087e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.615944e+23	7.615944e+23	0	3.442824e+23	3.442824e+23	0	1.843128e+23	1.843128e+23	0	6.885648e+23	6.885648e+23	0	2.051784e+23	2.051784e+23	0	6.572664e+23	6.572664e+23	0	1.316251e+24	0	0	1.254e+13	352913.2	1.494259e+07	9.740206e-08	2.028027e-14	6.526471e-22	0.2543146	0.5	0.001200614	1	0.1188102	0.01477465	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02163715	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02539803	0	6.997142e-13	0	6.997142e-13	0	-427.3136	0	-427.3136	0	30537.6	77194.93	1	8556.316	0	0	0	0	0	0	0	0	
56	2000	3.45e+19	0	0	100000	1.97420394	2.184467e-05	1.627517e+24	1.225284e+24	1.261366e+22	1.21267e+24	2.620686e+23	1.401645e+23	1.182384e+23	8.901634e+22	9.163769e+20	8.809996e+22	1.903917e+22	1.018289e+22	0.08612168	1.182384e+24	8.901634e+23	9.163769e+21	8.809996e+23	1.856906e+23	9.425419e+22	1.227584e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523189e+24	5.110435e+17	1.523188e+24	6.885648e+23	1.210963e+20	6.884437e+23	3.686256e+23	3.933577e+13	3.686256e+23	1.37713e+24	9.348956e+13	1.37713e+24	4.103568e+23	2.759162e+14	4.103568e+23	1.314533e+24	9.85217e+19	1.314434e+24	1.326215e+24	0	0	7.402151e+12	461605.2	8.023224e+07	1.677701e-07	6.016815e-14	3.335168e-21	0.4453737	0.5	0.003390403	1	0.2376204	0.0295493	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02047152	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02579606	0	6.690845e-13	0	6.690845e-13	0	-428.0579	0	-428.0579	0	30543.76	77194.93	1.825344	8558.042	1.006734	1	0.5389135	0.4522958	1	2	0	0	
84	2000	3.45e+19	0	0	100000	1.97380591	2.184467e-05	2.441275e+24	2.005972e+24	2.049687e+22	1.985475e+24	2.694995e+23	1.658041e+23	1.773576e+23	1.45733e+23	1.489089e+21	1.442439e+23	1.957902e+22	1.20456e+22	0.06791702	1.773576e+24	1.45733e+24	1.489089e+22	1.442439e+24	1.877354e+23	1.101369e+23	1.837395e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284783e+24	3.570832e+17	2.284783e+24	1.032847e+24	9.410204e+19	1.032753e+24	5.529384e+23	2.993764e+13	5.529384e+23	2.065694e+24	7.108249e+13	2.065694e+24	6.155352e+23	2.094954e+14	6.155352e+23	1.971799e+24	7.488668e+19	1.971724e+24	1.326291e+24	2.524561e-10	8.938922e-05	5.125109e+12	682313.4	1.538567e+08	2.08179e-07	9.26427e-14	6.372129e-21	0.474804	0.5	0.00448501	1	0.3564306	0.04432395	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02046649	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02619409	0	6.400462e-13	0	6.400462e-13	0	-428.7957	0	-428.7957	0	30549.92	77194.93	2.725461	8559.768	1.007952	1	0.5322914	0.4523344	1	2	0	0	
112	2000	3.45e+19	0	0	100000	1.97340788	2.184467e-05	3.255034e+24	2.786147e+24	2.033736e+22	2.76581e+24	2.816633e+23	1.872229e+23	2.364768e+23	2.024124e+23	1.477501e+21	2.009349e+23	2.046272e+22	1.360166e+22	0.05751795	2.364768e+24	2.024124e+24	1.477501e+22	2.009349e+24	1.932853e+23	1.229111e+23	2.444734e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.046378e+24	3.319861e+17	3.046377e+24	1.37713e+24	9.720259e+19	1.377032e+24	7.372512e+23	3.029401e+13	7.372512e+23	2.754259e+24	7.185708e+13	2.754259e+24	8.207136e+23	2.114877e+14	8.207136e+23	2.629066e+24	7.567925e+19	2.62899e+24	8.47827e+23	3.453965e-10	0.0001463355	3.75464e+12	968951.9	2.653709e+08	2.494738e-07	1.330416e-13	1.096602e-20	0.4995234	0.5	0.005654484	1	0.4752408	0.0590986	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0204613	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02659212	0	6.125024e-13	0	6.125024e-13	0	-429.5271	0	-429.5271	0	30556.08	77194.93	3.617288	8561.495	1.00916	1	0.5257158	0.452344	1	2	0	0	
140	2000	3.45e+19	0	0	100000	1.97300985	2.184467e-05	4.068792e+24	3.54981e+24	3.880416e+22	3.511006e+24	3.036323e+23	2.1535e+23	2.95596e+23	2.578922e+23	2.819105e+21	2.550731e+23	2.205876e+22	1.564508e+22	0.05292725	2.95596e+24	2.578922e+24	2.819105e+22	2.550731e+24	2.061025e+23	1.404383e+23	3.049759e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.807972e+24	3.312397e+17	3.807972e+24	1.721412e+24	1.07653e+20	1.721304e+24	9.21564e+23	3.287431e+13	9.21564e+23	3.442824e+24	7.790071e+13	3.442824e+24	1.025892e+24	2.289643e+14	1.025892e+24	3.286332e+24	8.201889e+19	3.28625e+24	7.332034e+23	4.051091e-10	0.0002041875	2.731747e+12	1431472	4.726916e+08	3.022337e-07	1.952645e-13	1.949856e-20	0.5334132	0.5	0.007315076	1	0.594051	0.07387325	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02045597	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02699015	0	5.863631e-13	0	5.863631e-13	0	-430.2523	0	-430.2523	0	30562.25	77194.93	4.500996	8563.222	1.010356	1	0.5192096	0.452348	1	2	0	0	
168	2000	3.45e+19	0	0	100000	1.97261182	2.184467e-05	4.88255e+24	4.303185e+24	5.34882e+22	4.249697e+24	3.345372e+23	2.44828e+23	3.547152e+23	3.126246e+23	3.885895e+21	3.087387e+23	2.430398e+22	1.778665e+22	0.05014346	3.547152e+24	3.126246e+24	3.885895e+22	3.087387e+24	2.253127e+23	1.590675e+23	3.65261e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569566e+24	3.324195e+17	4.569566e+24	2.065694e+24	1.19814e+20	2.065575e+24	1.105877e+24	3.585725e+13	1.105877e+24	4.131389e+24	8.488656e+13	4.131389e+24	1.23107e+24	2.491631e+14	1.23107e+24	3.943598e+24	8.934659e+19	3.943509e+24	6.720036e+23	4.515045e-10	0.0002590874	1.934604e+12	2223017	8.732263e+08	3.706758e-07	2.937148e-13	3.597133e-20	0.5682219	0.5	0.009557061	1	0.7128612	0.0886479	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02045049	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02738818	0	5.61545e-13	0	5.61545e-13	0	-430.9714	0	-430.9714	0	30568.42	77194.93	5.376729	8564.95	1.011538	1	0.5127753	0.4523504	1	2	0	0	
196	2000	3.45e+19	0	0	100000	1.97221379	2.184467e-05	5.696309e+24	5.048038e+24	6.786307e+22	4.980175e+24	3.722514e+23	2.760191e+23	4.138344e+23	3.667378e+23	4.930223e+21	3.618076e+23	2.704391e+22	2.005267e+22	0.04845579	4.138344e+24	3.667378e+24	4.930223e+22	3.618076e+24	2.493835e+23	1.790481e+23	4.253414e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.331161e+24	3.379262e+17	5.33116e+24	2.409977e+24	1.349585e+20	2.409842e+24	1.29019e+24	3.959075e+13	1.29019e+24	4.819954e+24	9.363492e+13	4.819954e+24	1.436249e+24	2.744786e+14	1.436249e+24	4.600865e+24	9.852463e+19	4.600766e+24	6.296626e+23	4.917055e-10	0.0003135535	1.320643e+12	3620044	1.690884e+09	4.618391e-07	4.559518e-13	6.957386e-20	0.6021495	0.5	0.01261849	1	0.8316714	0.1034226	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02044488	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02778621	0	5.379701e-13	0	5.379701e-13	0	-431.6846	0	-431.6846	0	30574.59	77194.93	6.24462	8566.679	1.012707	1	0.5064117	0.4523516	1	2	0	0	
224	2000	3.45e+19	0	0	100000	1.97181576	2.184467e-05	6.510067e+24	5.78515e+24	8.257169e+22	5.702578e+24	4.152655e+23	3.096516e+23	4.729536e+23	4.202887e+23	5.998798e+21	4.142899e+23	3.016886e+22	2.249606e+22	0.04756505	4.729536e+24	4.202887e+24	5.998798e+22	4.142899e+24	2.772644e+23	2.008618e+23	4.852293e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092755e+24	3.456518e+17	6.092755e+24	2.754259e+24	1.528274e+20	2.754106e+24	1.474502e+24	4.395437e+13	1.474502e+24	5.508518e+24	1.038565e+14	5.508518e+24	1.641427e+24	3.040446e+14	1.641427e+24	5.258131e+24	1.092471e+20	5.258022e+24	5.961512e+23	5.279249e-10	0.0003674188	8.723891e+11	6110967	3.375859e+09	5.81361e-07	7.224856e-13	1.387751e-19	0.6302885	0.5	0.01662637	1	0.9504816	0.1181972	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02043913	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02818424	0	5.155662e-13	0	5.155662e-13	0	-432.3919	0	-432.3919	0	30580.76	77194.93	7.104801	8568.409	1.013864	1	0.5001182	0.4523522	1	2	0	0	
252	2000	3.45e+19	0	0	100000	1.97141773	2.184467e-05	7.323826e+24	6.514894e+24	9.790909e+22	6.416985e+24	4.627579e+23	3.461732e+23	5.320728e+23	4.733043e+23	7.113053e+21	4.661912e+23	3.361917e+22	2.514933e+22	0.04726672	5.320728e+24	4.733043e+24	7.113053e+22	4.661912e+24	3.083913e+23	2.248002e+23	5.449359e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85435e+24	3.54061e+17	6.854349e+24	3.098542e+24	1.731655e+20	3.098368e+24	1.658815e+24	4.883711e+13	1.658815e+24	6.197083e+24	1.152853e+14	6.197083e+24	1.846606e+24	3.370684e+14	1.846606e+24	5.915398e+24	1.212332e+20	5.915276e+24	5.682045e+23	5.612062e-10	0.0004206884	5.684176e+11	1.045192e+07	6.668209e+09	7.292703e-07	1.13688e-12	2.7393e-19	0.6462225	0.5	0.0213837	1	1.069292	0.1329719	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02043326	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02858227	0	4.942657e-13	0	4.942657e-13	0	-433.0935	0	-433.0935	0	30586.94	77194.93	7.957397	8570.139	1.015007	1	0.4938934	0.4523524	1	2	0	0	
