Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Phase std density (g/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	JOG (Pd) (/)	
0	2000	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03107104	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	7.320397e-13	0	7.320397e-13	0	-426.5626	0	-426.5626	0	30531.45	77194.93	0.001	8554.591	3515587	0	0	0	0	0	0	0	0	0	0	
0.252252	2000	3.45e+19	0	0	100000	1.97431	1.010388e-05	7.331149e+21	6.93445e+21	6.93445e+21	0	3.844001e+20	1.229914e+19	5.326049e+20	5.037848e+20	5.037848e+20	0	2.79265e+19	8.935275e+17	0.001677656	3.195629e+20	0	0	0	3.096553e+20	9.907632e+18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.997843e+13	122.5763	417.5126	3.554317e-09	2.700535e-17	3.171337e-26	0.0005395245	0.5	1.881208e-07	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03100367	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02569	0	6.770864e-13	0	6.770864e-13	0	-427.8602	0	-427.8602	0	30542.12	77194.93	0.001	8557.582	3515587	0	0	0	0	0	0	0	0	0	0	
0.504504	2000	3.45e+19	0	0	100000	1.97362	1.020623e-05	1.46623e+22	1.414019e+22	2.645094e+20	1.387568e+22	5.059325e+20	1.617897e+19	1.06521e+21	1.027279e+21	1.92165e+19	1.008062e+21	3.675578e+19	1.175395e+18	0.00110344	6.391258e+20	0	0	0	5.124968e+20	1.638318e+19	1.102459e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372241e+22	8.746728e+14	1.372241e+22	6.20328e+21	2.42158e+17	6.203038e+21	3.320948e+21	7.630027e+10	3.320948e+21	1.240656e+22	1.810812e+11	1.240656e+22	3.696904e+21	5.333439e+11	3.696904e+21	1.184263e+22	1.907473e+17	1.184244e+22	1.047495e+24	0	0	1.996785e+13	181.5732	861.8123	4.340273e-09	4.026906e-17	5.774642e-26	0.0008040865	0.5	3.389317e-07	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03093654	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02638	0	6.270007e-13	0	6.270007e-13	0	-429.1381	0	-429.1381	0	30552.8	77194.93	0.01633431	8560.575	3515587	1.008514	0.08825538	5.996596	5.125576	1	2	0	0	5.321935e-07	0	
0.756756	2000	3.45e+19	0	0	100000	1.97293	1.03071e-05	2.199345e+22	2.134412e+22	2.753746e+20	2.106874e+22	6.292234e+20	2.010615e+19	1.597815e+21	1.550641e+21	2.000585e+19	1.530635e+21	4.571281e+19	1.460703e+18	0.0009141881	9.586888e+20	0	0	0	7.693373e+20	2.456431e+19	1.647872e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.058361e+22	1.132477e+15	2.058361e+22	9.30492e+21	3.758077e+17	9.304545e+21	4.981422e+21	1.142956e+11	4.981422e+21	1.860984e+22	2.707893e+11	1.860984e+22	5.545357e+21	7.956854e+11	5.545357e+21	1.776394e+22	2.850888e+17	1.776365e+22	1.198468e+24	4.952131e-11	6.09665e-07	1.995668e+13	251.4265	1424.891	5.039543e-09	5.428999e-17	9.039563e-26	0.001083448	0.5	5.250741e-07	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03086963	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02707	0	5.812809e-13	0	5.812809e-13	0	-430.397	0	-430.397	0	30563.49	77194.93	0.02430774	8563.57	3515587	1.010592	0.08637538	5.996208	5.237135	1	2	0	0	7.956133e-07	0	
1.009008	2000	3.45e+19	0	0	100000	1.97224	1.040653e-05	2.93246e+22	2.854689e+22	2.877391e+20	2.825915e+22	7.536437e+20	2.406047e+19	2.130419e+21	2.07392e+21	2.090412e+19	2.053015e+21	5.475189e+19	1.747983e+18	0.0008204877	1.278252e+21	0	0	0	1.026521e+21	3.273811e+19	2.189928e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.744482e+22	1.305108e+15	2.744481e+22	1.240656e+22	5.177345e+17	1.240604e+22	6.641896e+21	1.520786e+11	6.641896e+21	2.481312e+22	3.597005e+11	2.481312e+22	7.393809e+21	1.054508e+12	7.393809e+21	2.368525e+22	3.784936e+17	2.368487e+22	1.201642e+24	5.687769e-11	9.261679e-07	1.994557e+13	322.9161	2089.218	5.650251e-09	6.824532e-17	1.274022e-25	0.001361192	0.5	7.325529e-07	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03080297	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02776	0	5.394857e-13	0	5.394857e-13	0	-431.6378	0	-431.6378	0	30574.19	77194.93	0.03215708	8566.567	3515587	1.01263	0.08453231	5.995781	5.35132	1	2	0	0	1.057321e-06	0	
1.26126	2000	3.45e+19	0	0	100000	1.97155	1.050457e-05	3.665575e+22	3.574538e+22	3.54414e+20	3.539097e+22	8.822258e+20	2.813797e+19	2.663024e+21	2.596887e+21	2.574803e+19	2.571139e+21	6.409333e+19	2.044212e+18	0.0007676278	1.597815e+21	0	0	0	1.284014e+21	4.090356e+19	2.728966e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.430602e+22	1.414306e+15	3.430602e+22	1.55082e+22	6.689723e+17	1.550753e+22	8.30237e+21	1.898959e+11	8.30237e+21	3.10164e+22	4.484103e+11	3.10164e+22	9.242261e+21	1.311612e+12	9.242261e+21	2.960656e+22	4.715932e+17	2.960609e+22	1.193529e+24	6.289512e-11	1.243863e-06	1.993441e+13	396.623	2851.265	6.20419e-09	8.228252e-17	1.686666e-25	0.001640254	0.5	9.602308e-07	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03073653	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02845	0	5.012257e-13	0	5.012257e-13	0	-432.8609	0	-432.8609	0	30584.89	77194.93	0.03988589	8569.566	3515587	1.014627	0.08272497	5.995313	5.468233	1	2	0	0	1.317366e-06	0	
1.513512	2000	3.45e+19	0	0	100000	1.97086	1.060126e-05	4.39869e+22	4.293963e+22	4.239916e+20	4.251564e+22	1.014927e+21	3.233674e+19	3.195629e+21	3.119546e+21	3.080281e+19	3.088743e+21	7.373401e+19	2.349251e+18	0.0007351449	1.917378e+21	0	0	0	1.541789e+21	4.905976e+19	3.265285e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.116722e+22	1.474901e+15	4.116722e+22	1.860984e+22	8.297608e+17	1.860901e+22	9.962844e+21	2.277433e+11	9.962844e+21	3.721968e+22	5.369182e+11	3.721968e+22	1.109071e+22	1.567041e+12	1.109071e+22	3.552788e+22	5.643902e+17	3.552731e+22	1.18235e+24	6.801008e-11	1.557954e-06	1.992315e+13	472.5366	3709.339	6.717782e-09	9.646932e-17	2.141172e-25	0.001921973	0.5	1.207183e-06	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03067033	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02914	0	4.661561e-13	0	4.661561e-13	0	-434.0671	0	-434.0671	0	30595.6	77194.93	0.04749757	8572.568	3515587	1.016587	0.08095221	5.9948	5.58798	1	2	0	0	1.575799e-06	0	
1.765764	2000	3.45e+19	0	0	100000	1.97017	1.069665e-05	5.131805e+22	5.012975e+22	4.952044e+20	4.963455e+22	1.151642e+21	3.665292e+19	3.728234e+21	3.641905e+21	3.597639e+19	3.605929e+21	8.36663e+19	2.662819e+18	0.0007142306	2.23694e+21	0	0	0	1.799819e+21	5.720592e+19	3.799154e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802843e+22	1.498576e+15	4.802843e+22	2.171148e+22	1.000341e+18	2.171048e+22	1.162332e+22	2.65617e+11	1.162332e+22	4.342296e+22	6.252242e+11	4.342296e+22	1.293917e+22	1.820837e+12	1.293917e+22	4.144919e+22	6.568883e+17	4.144853e+22	1.171103e+24	7.253022e-11	1.87172e-06	1.991175e+13	550.6346	4662.726	7.200963e-09	1.108456e-16	2.637215e-25	0.00220713	0.5	1.472748e-06	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03060435	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02983	0	4.339709e-13	0	4.339709e-13	0	-435.2567	0	-435.2567	0	30606.32	77194.93	0.05499541	8575.571	3515587	1.018509	0.07921302	5.994237	5.710668	1	2	0	0	1.832664e-06	0	
2.018016	2000	3.45e+19	0	0	100000	1.96948	1.079077e-05	5.86492e+22	5.731589e+22	5.672453e+20	5.674864e+22	1.292228e+21	4.108148e+19	4.260839e+21	4.163975e+21	4.121013e+19	4.122764e+21	9.387984e+19	2.984552e+18	0.0007004611	2.556503e+21	0	0	0	2.058081e+21	6.534132e+19	4.330815e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.488963e+22	1.494517e+15	5.488963e+22	2.481312e+22	1.180955e+18	2.481194e+22	1.328379e+22	3.035135e+11	1.328379e+22	4.962624e+22	7.133289e+11	4.962624e+22	1.478762e+22	2.073041e+12	1.478762e+22	4.73705e+22	7.490911e+17	4.736975e+22	1.160661e+24	7.660099e-11	2.18523e-06	1.990019e+13	630.8873	5711.263	7.660243e-09	1.254361e-16	3.174692e-25	0.002496202	0.5	1.756418e-06	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03053861	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03052	0	4.043978e-13	0	4.043978e-13	0	-436.4303	0	-436.4303	0	30617.05	77194.93	0.06238258	8578.576	3515587	1.020396	0.07750647	5.993621	5.836404	1	2	0	0	2.088008e-06	0	
2.270268	2000	3.45e+19	0	0	100000	1.96879	1.088365e-05	6.598034e+22	6.449819e+22	6.39737e+20	6.385846e+22	1.436533e+21	4.56171e+19	4.793444e+21	4.685766e+21	4.647662e+19	4.63929e+21	1.043635e+20	3.314063e+18	0.0006913741	2.876066e+21	0	0	0	2.316553e+21	7.346534e+19	4.860482e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175084e+22	1.469923e+15	6.175083e+22	2.791476e+22	1.371849e+18	2.791339e+22	1.494427e+22	3.414299e+11	1.494427e+22	5.582952e+22	8.012335e+11	5.582952e+22	1.663607e+22	2.323698e+12	1.663607e+22	5.329182e+22	8.410033e+17	5.329098e+22	1.15119e+24	8.031864e-11	2.498531e-06	1.988846e+13	713.2628	6855.135	8.100146e-09	1.402565e-16	3.753639e-25	0.002789487	0.5	2.057787e-06	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03047311	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03121	0	3.77194e-13	0	3.77194e-13	0	-437.5882	0	-437.5882	0	30627.78	77194.93	0.06966207	8581.584	3515587	1.022247	0.0758316	5.992948	5.965309	1	2	0	0	2.341873e-06	0	
