Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Phase std density (g/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	
0	1955	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02897714	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	2.528607e-13	0	2.528607e-13	0	-434.2428	0	-434.2428	0	30531.45	77194.93	0.001	8554.591	3521075	0	0	0	0	0	0	0	0	0	
28	1955	3.45e+19	0	0	100000	1.97461	1.689571e-05	8.137584e+23	4.872441e+23	4.872441e+23	0	3.187309e+23	7.783417e+21	5.91192e+22	3.539808e+22	3.539808e+22	0	2.315566e+22	5.65462e+20	0.009564777	2.95596e+22	0	0	0	2.885496e+22	7.04639e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.615944e+23	7.615944e+23	0	3.442824e+23	3.442824e+23	0	1.843128e+23	1.843128e+23	0	6.885648e+23	6.885648e+23	0	2.051784e+23	2.051784e+23	0	6.572664e+23	6.572664e+23	0	1.316251e+24	0	0	1.561942e+13	134656.9	3858504	6.219012e-08	8.267615e-15	1.698784e-22	0.1291354	0.5	0.0004711376	1	0.1188102	0.01477465	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02368343	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02539	0	2.411372e-13	0	2.411372e-13	0	-435.0144	0	-435.0144	0	30537.48	77194.93	0.001	8556.281	3521075	0	0	0	0	0	0	0	0	0	
56	1955	3.45e+19	0	0	100000	1.97422	1.857297e-05	1.627517e+24	1.270399e+24	1.867966e+22	1.251719e+24	3.445255e+23	1.259245e+22	1.182384e+23	9.229394e+22	1.35707e+21	9.093687e+22	2.502963e+22	9.148362e+20	0.007737217	5.91192e+22	0	0	0	4.455927e+22	1.749135e+21	1.281079e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523189e+24	6.64606e+16	1.523189e+24	6.885648e+23	1.381724e+19	6.88551e+23	3.686256e+23	2.817795e+12	3.686256e+23	1.37713e+24	6.515656e+12	1.37713e+24	4.103568e+23	2.084129e+13	4.103568e+23	1.314533e+24	1.012591e+19	1.314523e+24	1.326215e+24	0	0	1.171215e+13	221269.3	1.683454e+07	1.001216e-07	2.142855e-14	7.088541e-22	0.2509743	0.5	0.001341014	1	0.2376204	0.0295493	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02216826	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02578	0	2.300562e-13	0	2.300562e-13	0	-435.779	0	-435.779	0	30543.51	77194.93	1.797677	8557.972	3521075	1.010779	0.08620617	5.996986	5.247524	1	2	0	0	5.877411e-05	
84	1955	3.45e+19	0	0	100000	1.97383	1.885185e-05	2.441275e+24	2.045581e+24	2.98551e+22	2.015726e+24	3.463791e+23	4.931464e+22	1.773576e+23	1.486106e+23	2.16896e+21	1.464417e+23	2.516429e+22	3.582688e+21	0.02020036	8.86788e+22	0	0	0	5.939834e+22	1.010521e+22	1.917525e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284783e+24	9.025226e+16	2.284783e+24	1.032847e+24	2.098092e+19	1.032826e+24	5.529384e+23	4.186075e+12	5.529384e+23	2.065694e+24	9.669415e+12	2.065694e+24	6.155352e+23	3.088456e+13	6.155352e+23	1.971799e+24	1.5022e+19	1.971784e+24	1.326291e+24	2.148123e-10	5.506868e-05	8.752399e+12	313613.7	4.177392e+07	1.350092e-07	3.896407e-14	1.738058e-21	0.3410291	0.5	0.002420799	1	0.3564306	0.04432395	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02190408	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02617	0	2.195773e-13	0	2.195773e-13	0	-436.5367	0	-436.5367	0	30549.55	77194.93	2.683571	8559.663	3521075	1.012031	0.08507413	5.996778	5.31735	1	2	0	0	8.798247e-05	
112	1955	3.45e+19	0	0	100000	1.97344	1.885185e-05	3.255034e+24	2.82037e+24	3.014683e+22	2.790223e+24	3.389042e+23	9.575988e+22	2.364768e+23	2.048986e+23	2.190155e+21	2.027085e+23	2.462124e+22	6.956914e+21	0.02941901	1.182384e+23	0	0	0	6.951733e+22	2.320634e+22	2.551473e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.046378e+24	1.00669e+17	3.046377e+24	1.37713e+24	2.614167e+19	1.377103e+24	7.372512e+23	5.103958e+12	7.372512e+23	2.754259e+24	1.177745e+13	2.754259e+24	8.207136e+23	3.756435e+13	8.207136e+23	2.629066e+24	1.82908e+19	2.629047e+24	9.009106e+23	2.864142e-10	8.866539e-05	6.787086e+12	406971.7	7.540597e+07	1.641361e-07	5.75898e-14	3.123102e-21	0.3908669	0.5	0.003373158	1	0.4752408	0.0590986	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0218801	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02656	0	2.096629e-13	0	2.096629e-13	0	-437.2877	0	-437.2877	0	30555.59	77194.93	3.561047	8561.355	3521075	1.013267	0.08395587	5.996559	5.388187	1	2	0	0	0.0001170749	
140	1955	3.45e+19	0	0	100000	1.97305	1.885185e-05	4.068792e+24	3.577528e+24	5.378489e+22	3.523743e+24	3.51444e+23	1.398197e+23	2.95596e+23	2.599059e+23	3.907449e+21	2.559985e+23	2.553226e+22	1.015784e+22	0.03436393	1.47798e+23	0	0	0	7.960685e+22	3.636038e+22	3.183077e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.807972e+24	1.034706e+17	3.807972e+24	1.721412e+24	2.998439e+19	1.721382e+24	9.21564e+23	5.73001e+12	9.21564e+23	3.442824e+24	1.320859e+13	3.442824e+24	1.025892e+24	4.207005e+13	1.025892e+24	3.286332e+24	2.050661e+19	3.286311e+24	8.019078e+23	3.32119e-10	0.0001230535	5.409938e+12	539101.5	1.199023e+08	1.914518e-07	7.835311e-14	4.956238e-21	0.4238855	0.5	0.004266893	1	0.594051	0.07387325	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02185607	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02695	0	2.00278e-13	0	2.00278e-13	0	-438.0321	0	-438.0321	0	30561.63	77194.93	4.430255	8563.048	3521075	1.014488	0.08285112	5.996327	5.460047	1	2	0	0	0.0001460534	
168	1955	3.45e+19	0	0	100000	1.97266	1.885185e-05	4.88255e+24	4.324331e+24	7.160684e+22	4.252725e+24	3.7198e+23	1.86239e+23	3.547152e+23	3.141608e+23	5.202206e+21	3.089586e+23	2.702418e+22	1.353018e+22	0.03814379	1.773576e+23	0	0	0	8.935454e+22	5.022205e+22	3.778101e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569566e+24	1.084731e+17	4.569566e+24	2.065694e+24	3.389856e+19	2.065661e+24	1.105877e+24	6.369477e+12	1.105877e+24	4.131389e+24	1.453863e+13	4.131389e+24	1.23107e+24	4.568408e+13	1.23107e+24	3.943598e+24	2.249946e+19	3.943576e+24	7.476329e+23	3.67403e-10	0.000155312	4.328307e+12	721632	1.861268e+08	2.215738e-07	1.04948e-13	7.682968e-21	0.4542472	0.5	0.005291934	1	0.7128612	0.0886479	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.021832	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02734	0	1.913902e-13	0	1.913902e-13	0	-438.7699	0	-438.7699	0	30567.67	77194.93	5.07128	8564.741	3521075	1.026379	0.07209329	5.996151	6.274856	1	2	0	0	0.0001534873	
196	1955	3.45e+19	0	0	100000	1.97227	1.885185e-05	5.696309e+24	5.06254e+24	8.886349e+22	4.973676e+24	4.002188e+23	2.335504e+23	4.138344e+23	3.677913e+23	6.455894e+21	3.613354e+23	2.907573e+22	1.696733e+22	0.0410003	2.069172e+23	0	0	0	9.96631e+22	6.417002e+22	4.308408e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.331161e+24	1.1675e+17	5.331161e+24	2.409977e+24	3.764859e+19	2.409939e+24	1.29019e+24	6.992272e+12	1.29019e+24	4.819954e+24	1.562226e+13	4.819954e+24	1.436249e+24	4.767066e+13	1.436249e+24	4.600865e+24	2.401078e+19	4.600841e+24	7.094816e+23	3.980373e-10	0.0001874135	3.42505e+12	988837.2	2.911669e+08	2.571202e-07	1.41322e-13	1.200556e-20	0.4840349	0.5	0.006543597	1	0.8316714	0.1034226	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0218079	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02773	0	1.829693e-13	0	1.829693e-13	0	-439.5012	0	-439.5012	0	30573.72	77194.93	5.280996	8566.435	3521075	1.052821	0.04817002	5.996066	9.391393	1	2	0	0	0.0001196461	
224	1955	3.45e+19	0	0	100000	1.97188	1.885185e-05	6.510067e+24	5.79297e+24	1.062787e+23	5.686691e+24	4.366917e+23	2.804056e+23	4.729536e+23	4.208568e+23	7.721099e+21	4.131357e+23	3.172546e+22	2.037135e+22	0.04307261	2.364768e+23	0	0	0	1.10871e+23	7.747418e+22	4.813157e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092755e+24	1.248007e+17	6.092755e+24	2.754259e+24	4.152178e+19	2.754218e+24	1.474502e+24	7.617015e+12	1.474502e+24	5.508518e+24	1.665995e+13	5.508518e+24	1.641427e+24	4.938022e+13	1.641427e+24	5.258131e+24	2.54336e+19	5.258106e+24	6.787007e+23	4.256e-10	0.0002191653	2.6529e+12	1399448	4.677586e+08	3.01041e-07	1.937264e-13	1.926863e-20	0.5139366	0.5	0.008134652	1	0.9504816	0.1181972	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0217838	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02812	0	1.749873e-13	0	1.749873e-13	0	-440.2262	0	-440.2262	0	30579.77	77194.93	5.288912	8568.13	3521075	1.080001	0.02357817	5.995978	19.18691	1	2	0	0	6.693002e-05	
252	1955	3.45e+19	0	0	100000	1.97149	1.885185e-05	7.323826e+24	6.516031e+24	1.24216e+23	6.391815e+24	4.813789e+23	3.264161e+23	5.320728e+23	4.733868e+23	9.024241e+21	4.643626e+23	3.497197e+22	2.371399e+22	0.04456907	2.660364e+23	0	0	0	1.231444e+23	8.98778e+22	5.301419e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85435e+24	1.326713e+17	6.854349e+24	3.098542e+24	4.573676e+19	3.098496e+24	1.658815e+24	8.283725e+12	1.658815e+24	6.197083e+24	1.776438e+13	6.197083e+24	1.846606e+24	5.125617e+13	1.846606e+24	5.915398e+24	2.695294e+19	5.915371e+24	6.526922e+23	4.508611e-10	0.0002505679	1.99695e+12	2054043	7.799844e+08	3.568813e-07	2.722607e-13	3.210297e-20	0.5436912	0.5	0.01020187	1	1.069292	0.1329719	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02175969	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02851	0	1.674178e-13	0	1.674178e-13	0	-440.945	0	-440.945	0	30585.82	77194.93	5.144889	8569.825	3521075	1.106061	0	0	0	1	2	0	0	0	
