Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	BA2 (gas, at grain boundary) (g/m3)	BA2O (gas, at grain boundary) (g/m3)	BA2O2 (gas, at grain boundary) (g/m3)	BAMOO4 (gas, at grain boundary) (g/m3)	BAO (gas, at grain boundary) (g/m3)	CS (gas, at grain boundary) (g/m3)	CS2 (gas, at grain boundary) (g/m3)	CS2MOO4 (gas, at grain boundary) (g/m3)	CS2O (gas, at grain boundary) (g/m3)	CS2O2 (gas, at grain boundary) (g/m3)	CSO (gas, at grain boundary) (g/m3)	HE (gas, at grain boundary) (g/m3)	MO (gas, at grain boundary) (g/m3)	MO2 (gas, at grain boundary) (g/m3)	MO2O6 (gas, at grain boundary) (g/m3)	MO3O9 (gas, at grain boundary) (g/m3)	MO4O12 (gas, at grain boundary) (g/m3)	MO5O15 (gas, at grain boundary) (g/m3)	MOO (gas, at grain boundary) (g/m3)	MOO2 (gas, at grain boundary) (g/m3)	MOO3 (gas, at grain boundary) (g/m3)	O (gas, at grain boundary) (g/m3)	O2 (gas, at grain boundary) (g/m3)	O3 (gas, at grain boundary) (g/m3)	PD (gas, at grain boundary) (g/m3)	RH (gas, at grain boundary) (g/m3)	RU (gas, at grain boundary) (g/m3)	TC (gas, at grain boundary) (g/m3)	LIQUID (liquid, at grain boundary) (g/m3)	BA2MOO5 (condensed, at grain boundary) (g/m3)	BA3MOO6 (condensed, at grain boundary) (g/m3)	BAMO2O7 (condensed, at grain boundary) (g/m3)	BAMO3O10 (condensed, at grain boundary) (g/m3)	BAMOO4 (condensed, at grain boundary) (g/m3)	HCP_ORD (condensed, at grain boundary) (g/m3)	CS2MO2O7_S1 (condensed, at grain boundary) (g/m3)	CS2MO2O7_S2 (condensed, at grain boundary) (g/m3)	CS2MO3O10 (condensed, at grain boundary) (g/m3)	CS2MO4O13 (condensed, at grain boundary) (g/m3)	CS2MO5O16 (condensed, at grain boundary) (g/m3)	CS2MO7O22 (condensed, at grain boundary) (g/m3)	CS2MOO4_S1 (condensed, at grain boundary) (g/m3)	CS2MOO4_S2 (condensed, at grain boundary) (g/m3)	CS2O1 (condensed, at grain boundary) (g/m3)	CS2O2 (condensed, at grain boundary) (g/m3)	CS3O (condensed, at grain boundary) (g/m3)	CS4O (condensed, at grain boundary) (g/m3)	CS7O1 (condensed, at grain boundary) (g/m3)	CS7O2 (condensed, at grain boundary) (g/m3)	CSO2 (condensed, at grain boundary) (g/m3)	CSO3 (condensed, at grain boundary) (g/m3)	HALITE (condensed, at grain boundary) (g/m3)	MO2_C11A (condensed, at grain boundary) (g/m3)	MO4O11 (condensed, at grain boundary) (g/m3)	MO8O23 (condensed, at grain boundary) (g/m3)	MO9O26 (condensed, at grain boundary) (g/m3)	MOO2 (condensed, at grain boundary) (g/m3)	MOO3 (condensed, at grain boundary) (g/m3)	PEROVSKITE (condensed, at grain boundary) (g/m3)	ZRO2_TETR (condensed, at grain boundary) (g/m3)	A15_CR3SI (condensed, at grain boundary) (g/m3)	BCC_A2 (condensed, at grain boundary) (g/m3)	C14_LAVES (condensed, at grain boundary) (g/m3)	C15_LAVES (condensed, at grain boundary) (g/m3)	DIAMOND_A4 (condensed, at grain boundary) (g/m3)	DIS_SIG (condensed, at grain boundary) (g/m3)	FCC_A1 (condensed, at grain boundary) (g/m3)	HCP_A3 (condensed, at grain boundary) (g/m3)	HCP_DIS (condensed, at grain boundary) (g/m3)	MC_ETA (condensed, at grain boundary) (g/m3)	MO3TE4 (condensed, at grain boundary) (g/m3)	MOPD2 (condensed, at grain boundary) (g/m3)	MOTE2_A (condensed, at grain boundary) (g/m3)	MOTE2_B (condensed, at grain boundary) (g/m3)	ORTHORHOMBIC_A20 (condensed, at grain boundary) (g/m3)	SIGMA (condensed, at grain boundary) (g/m3)	TETRAGONAL_U (condensed, at grain boundary) (g/m3)	O (gas, matrix) (g/m3)	O2 (gas, matrix) (g/m3)	C1_MO2 (condensed, matrix) (g/m3)	PU2O3 (condensed, matrix) (g/m3)	PUO152 (condensed, matrix) (g/m3)	M2O3_C (condensed, matrix) (g/m3)	U3O8_S1 (condensed, matrix) (g/m3)	U3O8_S2 (condensed, matrix) (g/m3)	U3O8_S3 (condensed, matrix) (g/m3)	U3O8_S4 (condensed, matrix) (g/m3)	U4O9_S1 (condensed, matrix) (g/m3)	U4O9_S2 (condensed, matrix) (g/m3)	U4O9_S3 (condensed, matrix) (g/m3)	UO3 (condensed, matrix) (g/m3)	BA+2 (liquid, derived) (-)	CS+ (liquid, derived) (-)	MO+4 (liquid, derived) (-)	PD+2 (liquid, derived) (-)	RH+3 (liquid, derived) (-)	RU+4 (liquid, derived) (-)	TC+4 (liquid, derived) (-)	MOO4-2 (liquid, derived) (-)	O-2 (liquid, derived) (-)	VA (liquid, derived) (-)	CSO2 (liquid, derived) (-)	MOO3 (liquid, derived) (-)	O (liquid, derived) (-)	
0	2003	3.45e+19	0	0	100000	1.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	2003	3.45e+19	0	0	100070	1.9746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	2003	3.45e+19	0	0	100140	1.9742	1.753e-11	3.98e-06	1.764e-06	8.021e-10	0.0001267	0.3664	0.001981	2.291e-06	1.617e-05	1.67e-12	6.46e-07	0	5.15e-07	1.926e-17	2.117e-20	1.094e-28	1.589e-30	1.986e-30	2.104e-11	3.854e-11	1.797e-12	1.491e-05	6.254e-13	1.508e-25	0.0001115	3.081e-10	1.031e-10	4.193e-11	1.877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9982	0.001813	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1991	0.8006	0.0003097	1.1e-12	1.543e-10	1.605e-08	
0.756756	2003	3.45e+19	0	0	100210	1.9738	2.802e-11	6.224e-06	2.699e-06	1.139e-09	0.0001914	0.5473	0.002962	3.148e-06	2.365e-05	2.389e-12	9.442e-07	0	7.077e-07	2.894e-17	2.789e-20	1.355e-28	2.374e-30	2.967e-30	3.082e-11	5.525e-11	2.521e-12	2.245e-05	8.937e-13	2.108e-25	0.0001662	4.588e-10	1.537e-10	6.258e-11	2.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9982	0.001774	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1967	0.803	0.0003256	1.1e-12	1.454e-10	1.589e-08	
1.009008	2003	3.45e+19	0	0	100280	1.9734	3.984e-11	8.661e-06	3.675e-06	1.44e-09	0.0002575	0.7279	0.003942	3.855e-06	3.081e-05	3.045e-12	1.229e-06	0	8.665e-07	3.87e-17	3.276e-20	1.496e-28	3.157e-30	3.946e-30	4.022e-11	7.054e-11	3.15e-12	3.01e-05	1.137e-12	2.626e-25	0.0002206	6.082e-10	2.04e-10	8.317e-11	3.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9983	0.001736	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1943	0.8054	0.0003421	1.1e-12	1.371e-10	1.574e-08	
1.26126	2003	3.45e+19	0	0	100350	1.973	5.311e-11	1.13e-05	4.694e-06	1.71e-09	0.000325	0.9085	0.004924	4.432e-06	3.766e-05	3.643e-12	1.501e-06	0	9.963e-07	4.857e-17	3.615e-20	1.553e-28	3.941e-30	4.926e-30	4.925e-11	8.455e-11	3.695e-12	3.787e-05	1.359e-12	3.071e-25	0.0002748	7.568e-10	2.542e-10	1.037e-10	4.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9983	0.001699	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1919	0.8077	0.0003593	1.1e-12	1.294e-10	1.559e-08	
1.513512	2003	3.45e+19	0	0	100420	1.9726	6.795e-11	1.416e-05	5.756e-06	1.95e-09	0.0003939	1.089	0.005907	4.898e-06	4.423e-05	4.189e-12	1.762e-06	0	1.101e-06	5.854e-17	3.835e-20	1.55e-28	4.724e-30	5.905e-30	5.793e-11	9.737e-11	4.166e-12	4.578e-05	1.561e-12	3.452e-25	0.0003287	9.046e-10	3.042e-10	1.243e-10	5.588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9983	0.001663	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1896	0.81	0.0003771	1.1e-12	1.222e-10	1.545e-08	
1.765764	2003	3.45e+19	0	0	100490	1.9722	8.449e-11	1.723e-05	6.86e-06	2.164e-09	0.0004642	1.27	0.006892	5.268e-06	5.053e-05	4.685e-12	2.011e-06	0	1.184e-06	6.862e-17	3.961e-20	1.507e-28	5.508e-30	6.885e-30	6.629e-11	1.091e-10	4.57e-12	5.381e-05	1.743e-12	3.775e-25	0.0003825	1.051e-09	3.541e-10	1.448e-10	6.507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9984	0.001629	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1873	0.8123	0.0003957	1.1e-12	1.154e-10	1.531e-08	
2.018016	2003	3.45e+19	0	0	100560	1.9718	1.028e-10	2.054e-05	8.008e-06	2.353e-09	0.0005359	1.451	0.007878	5.555e-06	5.656e-05	5.136e-12	2.25e-06	0	1.249e-06	7.88e-17	4.012e-20	1.438e-28	6.292e-30	7.865e-30	7.433e-11	1.198e-10	4.914e-12	6.198e-05	1.908e-12	4.047e-25	0.0004361	1.197e-09	4.038e-10	1.652e-10	7.423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9984	0.001596	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.185	0.8146	0.000415	1.1e-12	1.091e-10	1.518e-08	
2.270268	2003	3.45e+19	0	0	100630	1.9714	1.231e-10	2.409e-05	9.199e-06	2.519e-09	0.0006088	1.631	0.008866	5.77e-06	6.235e-05	5.545e-12	2.478e-06	0	1.297e-06	8.907e-17	4.004e-20	1.353e-28	7.076e-30	8.845e-30	8.206e-11	1.295e-10	5.204e-12	7.027e-05	2.057e-12	4.274e-25	0.0004894	1.343e-09	4.533e-10	1.857e-10	8.336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9984	0.001564	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1828	0.8168	0.000435	1.1e-12	1.032e-10	1.505e-08	
