Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid oxide) (/)	JOG (Perovskite) (/)	JOG (Ba3MoO6) (/)	JOG (BaO) (/)	JOG (other phases) (/)	JOG (HCP) (/)	JOG (MoPd2) (/)	JOG (FCC) (/)	JOG (liquid metallic) (/)	JOG (MoO2) (/)	JOG (Sigma) (/)	
0	1653	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0232162	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	2.483818e-17	0	2.483818e-17	0	-493.9865	0	-493.9865	0	30531.45	77194.93	0.001	8554.591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	1653	3.45e+19	0	0	100070	1.97523	1.000203e-05	7.331149e+21	7.189938e+21	7.189938e+21	0	1.379334e+20	3.278305e+18	5.326049e+20	5.223459e+20	5.223459e+20	0	1.002081e+19	2.381674e+17	0.0004471747	1.855974e+21	0	0	0	1.812886e+21	4.30874e+19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.995032e+13	328.5511	1417.797	5.400801e-09	6.235249e-17	1.112624e-25	0.001243952	0.5	6.657811e-07	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02321549	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02477	0	2.574534e-17	0	2.574534e-17	0	-493.4935	0	-493.4935	0	30527.89	77194.93	0.001	8553.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	1653	3.45e+19	0	0	100140	1.97546	1.000406e-05	1.46623e+22	1.439557e+22	3.490826e+21	1.090474e+22	2.60539e+20	6.192216e+18	1.06521e+21	1.045832e+21	2.53607e+20	7.922248e+20	1.892805e+19	4.498619e+17	0.0004223223	3.711947e+21	0	0	0	3.461904e+21	8.227887e+19	1.677642e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372241e+22	3.138726e+14	1.372241e+22	6.20328e+21	1.959088e+16	6.203261e+21	3.320948e+21	1.859538e+08	3.320948e+21	1.240656e+22	3.212091e+08	1.240656e+22	3.696904e+21	1.813937e+09	3.696904e+21	1.184263e+22	1.138081e+16	1.184261e+22	1.047495e+24	0	0	1.991237e+13	628.3389	3896.05	7.178441e-09	1.101534e-16	2.612548e-25	0.002193415	0.5	1.560029e-06	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02321478	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02454	0	2.669409e-17	0	2.669409e-17	0	-492.9962	0	-492.9962	0	30524.34	77194.93	0.01030075	8552.6	1.106061	0	0	0	1	2	0	0	0	0	0	2.614894e-07	0	6.658103e-07	0	0	0	0	0	
0.756756	1653	3.45e+19	0	0	100210	1.97569	1.000607e-05	2.199345e+22	2.159935e+22	3.887535e+21	1.771181e+22	3.849509e+20	9.148966e+18	1.597815e+21	1.569183e+21	2.824277e+20	1.286756e+21	2.796652e+19	6.646685e+17	0.000415986	5.567921e+21	0	0	0	5.192684e+21	1.234123e+20	2.51824e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.058361e+22	5.058061e+14	2.058361e+22	9.30492e+21	2.901605e+16	9.304891e+21	4.981422e+21	2.777858e+08	4.981422e+21	1.860984e+22	4.798391e+08	1.860984e+22	5.545357e+21	2.70979e+09	5.545357e+21	1.776394e+22	1.700128e+16	1.776392e+22	1.198468e+24	4.570587e-11	4.79326e-07	1.987417e+13	943.4968	7280.589	8.610437e-09	1.584849e-16	4.508681e-25	0.003149756	0.5	2.686558e-06	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02321407	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02431	0	2.768676e-17	0	2.768676e-17	0	-492.4944	0	-492.4944	0	30520.79	77194.93	0.01545112	8551.604	1.106061	0	0	0	1	2	0	0	0	0	0	3.922341e-07	0	9.987189e-07	0	0	0	0	0	
1.009008	1653	3.45e+19	0	0	100280	1.97592	1.000808e-05	2.93246e+22	2.880157e+22	4.232718e+21	2.456885e+22	5.108879e+20	1.214187e+19	2.130419e+21	2.092422e+21	3.075052e+20	1.784916e+21	3.711579e+19	8.821017e+17	0.0004140507	7.423894e+21	0	0	0	6.92335e+21	1.645417e+20	3.360024e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.744482e+22	7.26033e+14	2.744482e+22	1.240656e+22	3.813273e+16	1.240652e+22	6.641896e+21	3.693777e+08	6.641896e+21	2.481312e+22	6.380565e+08	2.481312e+22	7.393809e+21	3.603334e+09	7.393809e+21	2.368525e+22	2.260713e+16	2.368523e+22	1.206594e+24	5.361377e-11	7.788947e-07	1.983669e+13	1260.212	11345.11	9.81855e-09	2.060782e-16	6.685224e-25	0.00408791	0.5	3.975169e-06	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02321336	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02408	0	2.872579e-17	0	2.872579e-17	0	-491.9881	0	-491.9881	0	30517.23	77194.93	0.0206015	8550.609	1.106061	0	0	0	1	2	0	0	0	0	0	5.22979e-07	0	1.33163e-06	0	0	0	0	0	
1.26126	1653	3.45e+19	0	0	100350	1.97615	1.001008e-05	3.665575e+22	3.599955e+22	5.191373e+21	3.080818e+22	6.409598e+20	1.523294e+19	2.663024e+21	2.615352e+21	3.77151e+20	2.238201e+21	4.656545e+19	1.106667e+18	0.0004155676	9.279868e+21	0	0	0	8.653901e+21	2.056671e+20	4.202991e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.430602e+22	9.784299e+14	3.430602e+22	1.55082e+22	4.701766e+16	1.550815e+22	8.30237e+21	4.608332e+08	8.30237e+21	3.10164e+22	7.960401e+08	3.10164e+22	9.242261e+21	4.495581e+09	9.242261e+21	2.960656e+22	2.820473e+16	2.960654e+22	1.199873e+24	5.993113e-11	1.081885e-06	1.979988e+13	1578.964	15969.51	1.087889e-08	2.529917e-16	9.09342e-25	0.005009206	0.5	5.39602e-06	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02321265	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02385	0	2.981379e-17	0	2.981379e-17	0	-491.4772	0	-491.4772	0	30513.68	77194.93	0.02575188	8549.614	1.106061	0	0	0	1	2	0	0	0	0	0	6.537238e-07	0	1.664543e-06	0	0	0	0	0	
1.513512	1653	3.45e+19	0	0	100420	1.97638	1.001207e-05	4.39869e+22	4.319317e+22	6.19608e+21	3.699709e+22	7.75306e+20	1.842549e+19	3.195629e+21	3.137965e+21	4.501425e+20	2.687822e+21	5.632565e+19	1.338604e+18	0.0004188859	1.113584e+22	0	0	0	1.038434e+22	2.467885e+20	5.047144e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.116722e+22	1.267189e+15	4.116722e+22	1.860984e+22	5.567464e+16	1.860979e+22	9.962844e+21	5.521525e+08	9.962844e+21	3.721968e+22	9.537907e+08	3.721968e+22	1.109071e+22	5.386533e+09	1.109071e+22	3.552788e+22	3.379407e+16	3.552784e+22	1.188853e+24	6.482912e-11	1.356835e-06	1.976363e+13	1899.765	21083.51	1.183386e-08	2.993578e-16	1.170452e-24	0.005916397	0.5	6.931346e-06	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02321194	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02362	0	3.095355e-17	0	3.095355e-17	0	-490.9616	0	-490.9616	0	30510.13	77194.93	0.03090227	8548.619	1.106061	0	0	0	1	2	0	0	0	0	0	7.844687e-07	0	1.997458e-06	0	0	0	0	0	
1.765764	1653	3.45e+19	0	0	100490	1.97661	1.001406e-05	5.131805e+22	5.038233e+22	7.230248e+21	4.315208e+22	9.139931e+20	2.172109e+19	3.728234e+21	3.660255e+21	5.252744e+20	3.13498e+21	6.640121e+19	1.578028e+18	0.0004232642	1.299181e+22	0	0	0	1.211466e+22	2.879059e+20	5.89248e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802843e+22	1.597043e+15	4.802843e+22	2.171148e+22	6.410752e+16	2.171142e+22	1.162332e+22	6.433359e+08	1.162332e+22	4.342296e+22	1.111309e+09	4.342296e+22	1.293917e+22	6.276194e+09	1.293917e+22	4.144919e+22	3.937519e+16	4.144915e+22	1.177895e+24	6.912329e-11	1.629553e-06	1.972785e+13	2222.624	26641.61	1.270956e-08	3.453014e-16	1.449991e-24	0.006812053	0.5	8.569512e-06	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02321122	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02339	0	3.214804e-17	0	3.214804e-17	0	-490.4412	0	-490.4412	0	30506.58	77194.93	0.03605265	8547.624	1.106061	0	0	0	1	2	0	0	0	0	0	9.152135e-07	0	2.330376e-06	0	0	0	0	0	
2.018016	1653	3.45e+19	0	0	100560	1.97684	1.001604e-05	5.86492e+22	5.756707e+22	8.274095e+21	4.929298e+22	1.057002e+21	2.511927e+19	4.260839e+21	4.182223e+21	6.011094e+20	3.581114e+21	7.679071e+19	1.824905e+18	0.000428297	1.484779e+22	0	0	0	1.384487e+22	3.290193e+20	6.739004e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.488963e+22	1.973353e+15	5.488963e+22	2.481312e+22	7.232009e+16	2.481305e+22	1.328379e+22	7.343837e+08	1.328379e+22	4.962624e+22	1.268594e+09	4.962624e+22	1.478762e+22	7.164565e+09	1.478762e+22	4.73705e+22	4.494808e+16	4.737046e+22	1.167807e+24	7.297197e-11	1.900763e-06	1.969244e+13	2547.534	32611.51	1.35231e-08	3.909219e-16	1.746638e-24	0.007698207	0.5	1.030215e-05	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02321051	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02316	0	3.340043e-17	0	3.340043e-17	0	-489.916	0	-489.916	0	30503.03	77194.93	0.04120304	8546.63	1.106061	0	0	0	1	2	0	0	0	0	0	1.045958e-06	0	2.663296e-06	0	0	0	0	0	
2.270268	1653	3.45e+19	0	0	100630	1.97707	1.001801e-05	6.598034e+22	6.474743e+22	9.322821e+21	5.542461e+22	1.204292e+21	2.861911e+19	4.793444e+21	4.703873e+21	6.772989e+20	4.026574e+21	8.749133e+19	2.079166e+18	0.000433752	1.670376e+22	0	0	0	1.557496e+22	3.701287e+20	7.586711e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175084e+22	2.402187e+15	6.175083e+22	2.791476e+22	8.031611e+16	2.791468e+22	1.494427e+22	8.252962e+08	1.494427e+22	5.582952e+22	1.425648e+09	5.582952e+22	1.663607e+22	8.051649e+09	1.663607e+22	5.329182e+22	5.051279e+16	5.329177e+22	1.158713e+24	7.648135e-11	2.171357e-06	1.965735e+13	2874.489	38968.84	1.428637e-08	4.362959e-16	2.059394e-24	0.008576421	0.5	1.212284e-05	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02320979	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02293	0	3.471411e-17	0	3.471411e-17	0	-489.3858	0	-489.3858	0	30499.48	77194.93	0.04635343	8545.636	1.106061	0	0	0	1	2	0	0	0	0	0	1.176703e-06	0	2.996219e-06	0	0	0	0	0	
