Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid oxide) (/)	JOG (Perovskite) (/)	JOG (Ba3MoO6) (/)	JOG (BaO) (/)	JOG (other phases) (/)	JOG (HCP) (/)	JOG (MoPd2) (/)	JOG (FCC) (/)	JOG (liquid metallic) (/)	JOG (MoO2) (/)	JOG (Sigma) (/)	
0	1128	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03342224	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	8.005505e-29	0	8.005505e-29	0	-585.2477	0	-585.2477	0	30531.45	77194.93	0.001	8554.591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	1128	3.45e+19	0	0	100070	1.97525	1e-05	7.331149e+21	7.219906e+21	7.219906e+21	0	1.075258e+20	3.717932e+18	5.326049e+20	5.245231e+20	5.245231e+20	0	7.811705e+18	2.701062e+17	0.0005071418	1.190194e+22	0	0	0	1.150416e+22	3.977806e+20	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.989692e+13	1947.473	183.0974	7.797359e-09	1.299668e-16	3.348239e-25	0.002585939	0.5	1.998589e-06	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03342146	0.03560165	0.03560165	0.001424115	0.02670164	6.116756e-05	0	-0.02475	0	8.334068e-29	0	8.334068e-29	0	-584.8704	0	-584.8704	0	30527.58	77194.93	0.001	8553.509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	1128	3.45e+19	0	0	100140	1.9755	1e-05	1.46623e+22	1.443885e+22	1.300455e+22	1.434301e+21	2.159818e+20	7.46791e+18	1.06521e+21	1.048976e+21	9.447748e+20	1.042014e+20	1.569099e+19	5.425405e+17	0.0005093274	2.380388e+22	0	0	0	2.205377e+22	7.625442e+20	9.875686e+20	1.372241e+22	1.275372e+12	1.372241e+22	6.20328e+21	1.248086e+12	6.20328e+21	3.320948e+21	0.6402774	3.320948e+21	1.240656e+22	0.5607511	1.240656e+22	3.696904e+21	25.38924	3.696904e+21	1.184263e+22	2.525055e+11	1.184263e+22	1.047495e+24	0	0	1.984069e+13	3745.83	369.1496	9.699688e-09	2.011189e-16	6.445361e-25	0.003990338	0.5	3.836412e-06	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03342045	0.03560056	0.03560056	0.001424071	0.02670164	0.0001222045	0	-0.0245	0	8.679648e-29	0	8.679648e-29	0	-584.4894	0	-584.4894	0	30523.72	77194.93	0.0103008	8552.427	1.106061	0	0	0	1	2	0	0	0	0	0	2.614917e-07	0	6.817239e-07	0	0	0	0	0	
0.756756	1128	3.45e+19	0	0	100210	1.97575	1e-05	2.199345e+22	2.165686e+22	1.865588e+22	3.000976e+21	3.25344e+20	1.124908e+19	1.597815e+21	1.573361e+21	1.355342e+21	2.180196e+20	2.36361e+19	8.172406e+17	0.000511474	3.570582e+22	0	0	0	3.307957e+22	1.143758e+21	1.482496e+21	2.058361e+22	2.070585e+12	2.058361e+22	9.30492e+21	1.824239e+12	9.30492e+21	4.981422e+21	0.9548846	4.981422e+21	1.860984e+22	0.8363292	1.860984e+22	5.545357e+21	37.87073	5.545357e+21	1.776394e+22	3.766027e+11	1.776394e+22	1.198468e+24	2.334194e-11	6.38448e-08	1.979132e+13	5632.893	562.6118	1.111373e-08	2.640324e-16	9.69513e-25	0.005225551	0.5	5.756384e-06	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03341922	0.03559893	0.03559893	0.001424006	0.02670164	0.000183111	0	-0.02425	0	9.043315e-29	0	9.043315e-29	0	-584.1045	0	-584.1045	0	30519.86	77194.93	0.0154512	8551.345	1.106061	0	0	0	1	2	0	0	0	0	0	3.922375e-07	0	1.022608e-06	0	0	0	0	0	
1.009008	1128	3.45e+19	0	0	100280	1.976	1e-05	2.93246e+22	2.887395e+22	2.415668e+22	4.717267e+21	4.355857e+20	1.506048e+19	2.130419e+21	2.09768e+21	1.754973e+21	3.427074e+20	3.164511e+19	1.094138e+18	0.0005135785	4.760776e+22	0	0	0	4.410465e+22	1.52493e+21	1.978183e+21	2.744482e+22	2.996923e+12	2.744482e+22	1.240656e+22	2.374607e+12	1.240656e+22	6.641896e+21	1.2685	6.641896e+21	2.481312e+22	1.111069	2.481312e+22	7.393809e+21	50.31699	7.393809e+21	2.368525e+22	5.003258e+11	2.368525e+22	1.236073e+24	2.954339e-11	1.335101e-07	1.97473e+13	7527.421	762.0144	1.22426e-08	3.203942e-16	1.29597e-24	0.006326921	0.5	7.67757e-06	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03341777	0.03559676	0.03559676	0.001423919	0.02670164	0.0002438874	0	-0.024	0	9.426216e-29	0	9.426216e-29	0	-583.7156	0	-583.7156	0	30516	77194.93	0.0206016	8550.263	1.106061	0	0	0	1	2	0	0	0	0	0	5.229833e-07	0	1.363507e-06	0	0	0	0	0	
1.26126	1128	3.45e+19	0	0	100350	1.97625	1e-05	3.665575e+22	3.609009e+22	2.996832e+22	6.121771e+21	5.467543e+20	1.890374e+19	2.663024e+21	2.62193e+21	2.177186e+21	4.44744e+20	3.972147e+19	1.373349e+18	0.0005157101	5.95097e+22	0	0	0	5.512901e+22	1.906058e+21	2.474633e+21	3.430602e+22	4.074712e+12	3.430602e+22	1.55082e+22	2.900567e+12	1.55082e+22	8.30237e+21	1.581595	8.30237e+21	3.10164e+22	1.385385	3.10164e+22	9.242261e+21	62.74672	9.242261e+21	2.960656e+22	6.23861e+11	2.960656e+22	1.244519e+24	3.430365e-11	2.104317e-07	1.970687e+13	9428.776	966.57	1.319825e-08	3.72366e-16	1.623764e-24	0.00733817	0.5	9.599792e-06	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0334161	0.03559405	0.03559405	0.001423811	0.02670164	0.000304534	0	-0.02375	0	9.829585e-29	0	9.829585e-29	0	-583.3226	0	-583.3226	0	30512.14	77194.93	0.02575199	8549.181	1.106061	0	0	0	1	2	0	0	0	0	0	6.537292e-07	0	1.704421e-06	0	0	0	0	0	
1.513512	1128	3.45e+19	0	0	100420	1.9765	1e-05	4.39869e+22	4.330526e+22	3.585373e+22	7.451529e+21	6.588591e+20	2.277913e+19	3.195629e+21	3.146109e+21	2.604758e+21	5.413504e+20	4.786584e+19	1.654894e+18	0.0005178617	7.141164e+22	0	0	0	6.615266e+22	2.287138e+21	2.971846e+21	4.116722e+22	5.32623e+12	4.116722e+22	1.860984e+22	3.402568e+12	1.860984e+22	9.962844e+21	1.894171	9.962844e+21	3.721968e+22	1.659277	3.721968e+22	1.109071e+22	75.15995	1.109071e+22	3.552788e+22	7.472085e+11	3.552788e+22	1.241871e+24	3.744936e-11	2.732109e-07	1.966911e+13	11336.5	1175.753	1.403549e-08	4.211074e-16	1.952797e-24	0.008282808	0.5	1.152293e-05	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03341421	0.0355908	0.0355908	0.001423681	0.02670164	0.000365051	0	-0.0235	0	1.025475e-28	0	1.025475e-28	0	-582.9255	0	-582.9255	0	30508.28	77194.93	0.03090239	8548.1	1.106061	0	0	0	1	2	0	0	0	0	0	7.84475e-07	0	2.045349e-06	0	0	0	0	0	
1.765764	1128	3.45e+19	0	0	100490	1.97675	1e-05	5.131805e+22	5.051945e+22	4.179349e+22	8.725959e+21	7.719061e+20	2.668684e+19	3.728234e+21	3.670217e+21	3.036279e+21	6.339372e+20	5.607865e+19	1.938787e+18	0.0005200283	8.331358e+22	0	0	0	7.717559e+22	2.668169e+21	3.46982e+21	4.802843e+22	6.777105e+12	4.802843e+22	2.171148e+22	3.881055e+12	2.171148e+22	1.162332e+22	2.20623	1.162332e+22	4.342296e+22	1.932747	4.342296e+22	1.293917e+22	87.55672	1.293917e+22	4.144919e+22	8.703689e+11	4.144919e+22	1.236496e+24	4.004796e-11	3.326767e-07	1.963343e+13	13250.25	1389.178	1.478576e-08	4.673311e-16	2.282994e-24	0.009175313	0.5	1.34469e-05	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0334121	0.03558702	0.03558702	0.001423529	0.02670164	0.0004254388	0	-0.02325	0	1.070314e-28	0	1.070314e-28	0	-582.5242	0	-582.5242	0	30504.42	77194.93	0.03605279	8547.019	1.106061	0	0	0	1	2	0	0	0	0	0	9.152209e-07	0	2.386293e-06	0	0	0	0	0	
2.018016	1128	3.45e+19	0	0	100560	1.977	1e-05	5.86492e+22	5.773267e+22	4.775169e+22	9.980987e+21	8.858954e+20	3.062683e+19	4.260839e+21	4.194254e+21	3.46914e+21	7.251145e+20	6.435992e+19	2.225026e+18	0.0005222038	9.521552e+22	0	0	0	8.819782e+22	3.049148e+21	3.968556e+21	5.488963e+22	8.456717e+12	5.488963e+22	2.481312e+22	4.336478e+12	2.481312e+22	1.328379e+22	2.517773	1.328379e+22	4.962624e+22	2.205795	4.962624e+22	1.478762e+22	99.93707	1.478762e+22	4.73705e+22	9.933426e+11	4.73705e+22	1.230674e+24	4.228189e-11	3.896683e-07	1.959945e+13	15169.74	1606.541	1.546893e-08	5.115147e-16	2.614297e-24	0.0100254	0.5	1.537163e-05	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03340976	0.03558271	0.03558271	0.001423357	0.02670164	0.0004856975	0	-0.023	0	1.117629e-28	0	1.117629e-28	0	-582.1185	0	-582.1185	0	30500.56	77194.93	0.04120319	8545.938	1.106061	0	0	0	1	2	0	0	0	0	0	1.045967e-06	0	2.727251e-06	0	0	0	0	0	
2.270268	1128	3.45e+19	0	0	100630	1.97725	1e-05	6.598034e+22	6.494492e+22	5.371814e+22	1.122678e+22	1.000826e+21	3.459904e+19	4.793444e+21	4.718221e+21	3.9026e+21	8.15621e+20	7.270956e+19	2.513606e+18	0.0005243841	1.071175e+23	0	0	0	9.921933e+22	3.430073e+21	4.468055e+21	6.175084e+22	1.039891e+13	6.175084e+22	2.791476e+22	4.769283e+12	2.791476e+22	1.494427e+22	2.8288	1.494427e+22	5.582952e+22	2.478422	5.582952e+22	1.663607e+22	112.301	1.663607e+22	5.329182e+22	1.11613e+12	5.329182e+22	1.225163e+24	4.428805e-11	4.458021e-07	1.956688e+13	17094.76	1827.598	1.609849e-08	5.539976e-16	2.946657e-24	0.01084001	0.5	1.729707e-05	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03340721	0.03557786	0.03557786	0.001423163	0.02670164	0.0005458276	0	-0.02275	0	1.167586e-28	0	1.167586e-28	0	-581.7084	0	-581.7084	0	30496.71	77194.93	0.04635359	8544.858	1.106061	0	0	0	1	2	0	0	0	0	0	1.176713e-06	0	3.068224e-06	0	0	0	0	0	
