# index | category | phase | compound | location | uom | output | density (g/cm3)
0 | fission_products | gas | BA2 | at grain boundary | (g/m3) | 1
1 | fission_products | gas | BA2O | at grain boundary | (g/m3) | 1
2 | fission_products | gas | BA2O2 | at grain boundary | (g/m3) | 1
3 | fission_products | gas | BAMOO4 | at grain boundary | (g/m3) | 1
4 | fission_products | gas | BAO | at grain boundary | (g/m3) | 1
5 | fission_products | gas | CS | at grain boundary | (g/m3) | 1
6 | fission_products | gas | CS2 | at grain boundary | (g/m3) | 1
7 | fission_products | gas | CS2MOO4 | at grain boundary | (g/m3) | 1
8 | fission_products | gas | CS2O | at grain boundary | (g/m3) | 1
9 | fission_products | gas | CS2O2 | at grain boundary | (g/m3) | 1
10 | fission_products | gas | CSO | at grain boundary | (g/m3) | 1
11 | fission_products | gas | HE | at grain boundary | (g/m3) | 1
12 | fission_products | gas | MO | at grain boundary | (g/m3) | 1
13 | fission_products | gas | MO2 | at grain boundary | (g/m3) | 1
14 | fission_products | gas | MO2O6 | at grain boundary | (g/m3) | 1
15 | fission_products | gas | MO3O9 | at grain boundary | (g/m3) | 1
16 | fission_products | gas | MO4O12 | at grain boundary | (g/m3) | 1
17 | fission_products | gas | MO5O15 | at grain boundary | (g/m3) | 1
18 | fission_products | gas | MOO | at grain boundary | (g/m3) | 1
19 | fission_products | gas | MOO2 | at grain boundary | (g/m3) | 1
20 | fission_products | gas | MOO3 | at grain boundary | (g/m3) | 1
21 | fission_products | gas | O | at grain boundary | (g/m3) | 1
22 | fission_products | gas | O2 | at grain boundary | (g/m3) | 1
23 | fission_products | gas | O3 | at grain boundary | (g/m3) | 1
24 | fission_products | gas | PD | at grain boundary | (g/m3) | 1
25 | fission_products | gas | RH | at grain boundary | (g/m3) | 1
26 | fission_products | gas | RU | at grain boundary | (g/m3) | 1
27 | fission_products | gas | TC | at grain boundary | (g/m3) | 1
28 | fission_products | liquid | LIQUID | at grain boundary | (g/m3) | 1
29 | fission_products | condensed | BA2MOO5 | at grain boundary | (g/m3) | 1
30 | fission_products | condensed | BA3MOO6 | at grain boundary | (g/m3) | 1 | 6.31
31 | fission_products | condensed | BAMO2O7 | at grain boundary | (g/m3) | 1
32 | fission_products | condensed | BAMO3O10 | at grain boundary | (g/m3) | 1
33 | fission_products | condensed | BAMOO4 | at grain boundary | (g/m3) | 1 | 4.93
34 | fission_products | condensed | HCP_ORD | at grain boundary | (g/m3) | 1
35 | fission_products | condensed | CS2MO2O7_S1 | at grain boundary | (g/m3) | 1
36 | fission_products | condensed | CS2MO2O7_S2 | at grain boundary | (g/m3) | 1
37 | fission_products | condensed | CS2MO3O10 | at grain boundary | (g/m3) | 1
38 | fission_products | condensed | CS2MO4O13 | at grain boundary | (g/m3) | 1
39 | fission_products | condensed | CS2MO5O16 | at grain boundary | (g/m3) | 1
40 | fission_products | condensed | CS2MO7O22 | at grain boundary | (g/m3) | 1
41 | fission_products | condensed | CS2MOO4_S1 | at grain boundary | (g/m3) | 1
42 | fission_products | condensed | CS2MOO4_S2 | at grain boundary | (g/m3) | 1
43 | fission_products | condensed | CS2O1 | at grain boundary | (g/m3) | 1
44 | fission_products | condensed | CS2O2 | at grain boundary | (g/m3) | 1
45 | fission_products | condensed | CS3O | at grain boundary | (g/m3) | 1
46 | fission_products | condensed | CS4O | at grain boundary | (g/m3) | 1
47 | fission_products | condensed | CS7O1 | at grain boundary | (g/m3) | 1
48 | fission_products | condensed | CS7O2 | at grain boundary | (g/m3) | 1
49 | fission_products | condensed | CSO2 | at grain boundary | (g/m3) | 1
50 | fission_products | condensed | CSO3 | at grain boundary | (g/m3) | 1
51 | fission_products | condensed | HALITE | at grain boundary | (g/m3) | 1 | 6.04
