Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Phase std density (g/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	JOG (Ba3MoO6) (/)	JOG (Ba2MoO5) (/)	
0	2000	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03107104	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	7.320397e-13	0	7.320397e-13	0	-426.5626	0	-426.5626	0	30531.45	77194.93	0.001	8554.591	3515587	0	0	0	0	0	0	0	0	0	0	0	
0.252252	2000	3.45e+19	0	0	100000	1.97431	1.010388e-05	7.331149e+21	6.93445e+21	6.93445e+21	0	3.844001e+20	1.229914e+19	5.326049e+20	5.037848e+20	5.037848e+20	0	2.79265e+19	8.935275e+17	0.001677656	3.212886e+20	0	0	0	3.113274e+20	9.961134e+18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.997839e+13	122.8585	418.9272	3.558255e-09	2.706522e-17	3.18189e-26	0.0005407195	0.5	1.887464e-07	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03100367	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02569	0	6.770864e-13	0	6.770864e-13	0	-427.8602	0	-427.8602	0	30542.12	77194.93	0.001	8557.582	3515587	0	0	0	0	0	0	0	0	0	0	0	
0.504504	2000	3.45e+19	0	0	100000	1.97362	1.020623e-05	1.46623e+22	1.414019e+22	2.645094e+20	1.387568e+22	5.059325e+20	1.617897e+19	1.06521e+21	1.027279e+21	1.92165e+19	1.008062e+21	3.675578e+19	1.175395e+18	0.00110344	6.425771e+20	0	0	0	5.158412e+20	1.649007e+19	1.102459e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372241e+22	8.803996e+14	1.372241e+22	6.20328e+21	2.437434e+17	6.203037e+21	3.320948e+21	7.679983e+10	3.320948e+21	1.240656e+22	1.822668e+11	1.240656e+22	3.696904e+21	5.368358e+11	3.696904e+21	1.184263e+22	1.919962e+17	1.184243e+22	1.047495e+24	0	0	1.996775e+13	182.1439	865.6422	4.346604e-09	4.038662e-17	5.799947e-26	0.0008064301	0.5	3.404154e-07	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03093654	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02638	0	6.270007e-13	0	6.270007e-13	0	-429.1381	0	-429.1381	0	30552.8	77194.93	0.01633431	8560.575	3515587	1.008514	0.08825536	5.996596	5.125576	1	2	0	0	5.321933e-07	0	0	
0.756756	2000	3.45e+19	0	0	100000	1.97293	1.03071e-05	2.199345e+22	2.134412e+22	2.753746e+20	2.106874e+22	6.292234e+20	2.010615e+19	1.597815e+21	1.550641e+21	2.000585e+19	1.530635e+21	4.571281e+19	1.460703e+18	0.0009141881	9.638657e+20	0	0	0	7.743541e+20	2.472447e+19	1.647872e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.058361e+22	1.139862e+15	2.058361e+22	9.30492e+21	3.782582e+17	9.304542e+21	4.981422e+21	1.150409e+11	4.981422e+21	1.860984e+22	2.725551e+11	1.860984e+22	5.545357e+21	8.008738e+11	5.545357e+21	1.776394e+22	2.869477e+17	1.776365e+22	1.198468e+24	4.952131e-11	6.09665e-07	1.995654e+13	252.2919	1431.934	5.0476e-09	5.446372e-17	9.082988e-26	0.001086907	0.5	5.275928e-07	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03086963	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02707	0	5.812809e-13	0	5.812809e-13	0	-430.397	0	-430.397	0	30563.49	77194.93	0.02430774	8563.57	3515587	1.010592	0.08637536	5.996208	5.237134	1	2	0	0	7.956131e-07	0	0	
1.009008	2000	3.45e+19	0	0	100000	1.97224	1.040653e-05	2.93246e+22	2.854689e+22	2.877391e+20	2.825915e+22	7.536437e+20	2.406047e+19	2.130419e+21	2.07392e+21	2.090412e+19	2.053015e+21	5.475189e+19	1.747983e+18	0.0008204877	1.285154e+21	0	0	0	1.03321e+21	3.295142e+19	2.189929e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.744482e+22	1.313613e+15	2.744481e+22	1.240656e+22	5.211082e+17	1.240604e+22	6.641896e+21	1.530696e+11	6.641896e+21	2.481312e+22	3.620444e+11	2.481312e+22	7.393809e+21	1.061379e+12	7.393809e+21	2.368525e+22	3.8096e+17	2.368487e+22	1.201642e+24	5.687769e-11	9.261679e-07	1.994539e+13	324.0824	2100.14	5.659751e-09	6.8475e-17	1.280459e-25	0.001365761	0.5	7.362473e-07	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03080297	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02776	0	5.394857e-13	0	5.394857e-13	0	-431.6378	0	-431.6378	0	30574.19	77194.93	0.03215708	8566.567	3515587	1.01263	0.08453229	5.995781	5.35132	1	2	0	0	1.05732e-06	0	0	
1.26126	2000	3.45e+19	0	0	100000	1.97155	1.050457e-05	3.665575e+22	3.574538e+22	3.54414e+20	3.539097e+22	8.822258e+20	2.813797e+19	2.663024e+21	2.596887e+21	2.574803e+19	2.571139e+21	6.409333e+19	2.044212e+18	0.0007676278	1.606443e+21	0	0	0	1.292376e+21	4.116992e+19	2.728965e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.430602e+22	1.423517e+15	3.430602e+22	1.55082e+22	6.733288e+17	1.550753e+22	8.30237e+21	1.911325e+11	8.30237e+21	3.10164e+22	4.513305e+11	3.10164e+22	9.242261e+21	1.320154e+12	9.242261e+21	2.960656e+22	4.746643e+17	2.960609e+22	1.193529e+24	6.289512e-11	1.243863e-06	1.993419e+13	398.0964	2866.672	6.214949e-09	8.256815e-17	1.695456e-25	0.001645929	0.5	9.652239e-07	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03073653	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02845	0	5.012257e-13	0	5.012257e-13	0	-432.8609	0	-432.8609	0	30584.89	77194.93	0.03988588	8569.566	3515587	1.014627	0.08272496	5.995313	5.468233	1	2	0	0	1.317366e-06	0	0	
1.513512	2000	3.45e+19	0	0	100000	1.97086	1.060126e-05	4.39869e+22	4.293963e+22	4.239916e+20	4.251564e+22	1.014927e+21	3.233674e+19	3.195629e+21	3.119546e+21	3.080281e+19	3.088743e+21	7.373401e+19	2.349251e+18	0.0007351449	1.927731e+21	0	0	0	1.551824e+21	4.937905e+19	3.265283e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.116722e+22	1.4845e+15	4.116722e+22	1.860984e+22	8.351612e+17	1.860901e+22	9.962844e+21	2.292255e+11	9.962844e+21	3.721968e+22	5.404127e+11	3.721968e+22	1.109071e+22	1.57724e+12	1.109071e+22	3.552788e+22	5.680634e+17	3.552731e+22	1.18235e+24	6.801008e-11	1.557954e-06	1.992288e+13	474.323	3729.808	6.729671e-09	9.681108e-17	2.15256e-25	0.001928755	0.5	1.213587e-06	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03067033	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02914	0	4.661561e-13	0	4.661561e-13	0	-434.0671	0	-434.0671	0	30595.6	77194.93	0.04749756	8572.568	3515587	1.016587	0.08095219	5.9948	5.58798	1	2	0	0	1.575798e-06	0	0	
1.765764	2000	3.45e+19	0	0	100000	1.97017	1.069665e-05	5.131805e+22	5.012975e+22	4.952044e+20	4.963455e+22	1.151642e+21	3.665292e+19	3.728234e+21	3.641905e+21	3.597639e+19	3.605929e+21	8.36663e+19	2.662819e+18	0.0007142306	2.24902e+21	0	0	0	1.811527e+21	5.757801e+19	3.799153e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802843e+22	1.508324e+15	4.802843e+22	2.171148e+22	1.006848e+18	2.171047e+22	1.162332e+22	2.673448e+11	1.162332e+22	4.342296e+22	6.292911e+11	4.342296e+22	1.293917e+22	1.832681e+12	1.293917e+22	4.144919e+22	6.611611e+17	4.144853e+22	1.171103e+24	7.253022e-11	1.87172e-06	1.991143e+13	552.7398	4688.815	7.213887e-09	1.112439e-16	2.65144e-25	0.002215025	0.5	1.480669e-06	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03060435	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02983	0	4.339709e-13	0	4.339709e-13	0	-435.2567	0	-435.2567	0	30606.32	77194.93	0.0549954	8575.571	3515587	1.018509	0.079213	5.994237	5.710667	1	2	0	0	1.832664e-06	0	0	
2.018016	2000	3.45e+19	0	0	100000	1.96948	1.079077e-05	5.86492e+22	5.731589e+22	5.672453e+20	5.674864e+22	1.292228e+21	4.108148e+19	4.260839e+21	4.163975e+21	4.121013e+19	4.122764e+21	9.387984e+19	2.984552e+18	0.0007004611	2.570309e+21	0	0	0	2.071461e+21	6.576611e+19	4.330814e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.488963e+22	1.504233e+15	5.488963e+22	2.481312e+22	1.188632e+18	2.481193e+22	1.328379e+22	3.054868e+11	1.328379e+22	4.962624e+22	7.179665e+11	4.962624e+22	1.478762e+22	2.086519e+12	1.478762e+22	4.73705e+22	7.539611e+17	4.736975e+22	1.160661e+24	7.660099e-11	2.18523e-06	1.989983e+13	633.3172	5743.521	7.674129e-09	1.258913e-16	3.191988e-25	0.002505215	0.5	1.765955e-06	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03053861	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03052	0	4.043978e-13	0	4.043978e-13	0	-436.4303	0	-436.4303	0	30617.05	77194.93	0.06238256	8578.576	3515587	1.020396	0.07750645	5.993621	5.836404	1	2	0	0	2.088007e-06	0	0	
2.270268	2000	3.45e+19	0	0	100000	1.96879	1.088365e-05	6.598034e+22	6.449819e+22	6.39737e+20	6.385846e+22	1.436533e+21	4.56171e+19	4.793444e+21	4.685766e+21	4.647662e+19	4.63929e+21	1.043635e+20	3.314063e+18	0.0006913741	2.891597e+21	0	0	0	2.331606e+21	7.394272e+19	4.860482e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175084e+22	1.479475e+15	6.175083e+22	2.791476e+22	1.380764e+18	2.791338e+22	1.494427e+22	3.436486e+11	1.494427e+22	5.582952e+22	8.0644e+11	5.582952e+22	1.663607e+22	2.338797e+12	1.663607e+22	5.329182e+22	8.464681e+17	5.329097e+22	1.15119e+24	8.031864e-11	2.498531e-06	1.988806e+13	716.0233	6894.103	8.114935e-09	1.407692e-16	3.774237e-25	0.002799626	0.5	2.069037e-06	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03047311	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03121	0	3.77194e-13	0	3.77194e-13	0	-437.5882	0	-437.5882	0	30627.78	77194.93	0.06966206	8581.584	3515587	1.022247	0.07583158	5.992948	5.965309	1	2	0	0	2.341872e-06	0	0	
