Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Phase std density (g/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	JOG (Pd) (/)	JOG (Ba3MoO6) (/)	JOG (Ba2MoO5) (/)	
0	1900	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02672005	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	6.191912e-14	0	6.191912e-14	0	-444.2522	0	-444.2522	0	30531.45	77194.93	0.001	8554.591	3528955	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	1900	3.45e+19	0	0	100000	1.97432	1.004113e-05	7.331149e+21	7.056704e+21	7.056704e+21	0	2.671175e+20	7.328036e+18	5.326049e+20	5.126665e+20	5.126665e+20	0	1.940597e+19	5.323787e+17	0.0009995753	3.728234e+20	0	0	0	3.628686e+20	9.954848e+18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.997983e+13	109.65	351.9971	3.437495e-09	2.525932e-17	2.868799e-26	0.0005046768	0.5	1.712499e-07	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02670121	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02568	0	5.663479e-14	0	5.663479e-14	0	-445.6613	0	-445.6613	0	30541.97	77194.93	0.001	8557.539	3528955	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	1900	3.45e+19	0	0	100000	1.97364	1.008197e-05	1.46623e+22	1.426115e+22	5.864572e+20	1.367469e+22	3.904447e+20	1.070892e+19	1.06521e+21	1.036066e+21	4.260587e+19	9.934602e+20	2.836564e+19	7.779982e+17	0.0007303709	7.456468e+20	0	0	0	6.155554e+20	1.688198e+19	1.132094e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372241e+22	6.38909e+14	1.372241e+22	6.20328e+21	1.035397e+17	6.203177e+21	3.320948e+21	1.246938e+10	3.320948e+21	1.240656e+22	2.586991e+10	1.240656e+22	3.696904e+21	8.307104e+10	3.696904e+21	1.184263e+22	6.468866e+16	1.184256e+22	1.047495e+24	0	0	1.996874e+13	175.8601	780.9661	4.279504e-09	3.914933e-17	5.535468e-26	0.0007817629	0.5	3.289128e-07	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0266824	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02636	0	5.188397e-14	0	5.188397e-14	0	-447.0453	0	-447.0453	0	30552.49	77194.93	0.01030033	8560.488	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	0	
0.756756	1900	3.45e+19	0	0	100000	1.97296	1.012252e-05	2.199345e+22	2.146395e+22	6.131134e+20	2.085084e+22	5.153649e+20	1.413099e+19	1.597815e+21	1.559347e+21	4.454243e+19	1.514805e+21	3.744104e+19	1.02661e+18	0.0006425091	1.11847e+21	0	0	0	9.233426e+20	2.531352e+19	1.698141e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.058361e+22	8.051479e+14	2.058361e+22	9.30492e+21	1.578481e+17	9.304763e+21	4.981422e+21	1.866506e+10	4.981422e+21	1.860984e+22	3.872394e+10	1.860984e+22	5.545357e+21	1.243468e+11	5.545357e+21	1.776394e+22	9.683065e+16	1.776384e+22	1.198468e+24	4.92814e-11	6.008473e-07	1.995698e+13	252.3269	1350.269	5.021791e-09	5.390818e-17	8.944369e-26	0.001075845	0.5	5.290261e-07	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02666361	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02704	0	4.760536e-14	0	4.760536e-14	0	-448.4049	0	-448.4049	0	30563.03	77194.93	0.01545046	8563.44	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	0	
1.009008	1900	3.45e+19	0	0	100000	1.97228	1.016279e-05	2.93246e+22	2.866554e+22	6.422353e+20	2.802331e+22	6.414735e+20	1.758312e+19	2.130419e+21	2.082539e+21	4.665812e+19	2.035881e+21	4.660277e+19	1.277406e+18	0.0005996031	1.491294e+21	0	0	0	1.231136e+21	3.373914e+19	2.264186e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.744482e+22	9.044761e+14	2.744481e+22	1.240656e+22	2.138939e+17	1.240635e+22	6.641896e+21	2.483063e+10	6.641896e+21	2.481312e+22	5.151553e+10	2.481312e+22	7.393809e+21	1.654222e+11	7.393809e+21	2.368525e+22	1.288165e+17	2.368512e+22	1.201953e+24	5.667643e-11	9.16608e-07	1.994539e+13	329.7005	2027.226	5.659824e-09	6.847678e-17	1.280509e-25	0.001365796	0.5	7.539347e-07	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02664485	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02772	0	4.37455e-14	0	4.37455e-14	0	-449.7406	0	-449.7406	0	30573.57	77194.93	0.02060057	8566.393	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	0	
1.26126	1900	3.45e+19	0	0	100000	1.9716	1.020277e-05	3.665575e+22	3.586252e+22	7.902496e+20	3.507228e+22	7.720669e+20	2.115544e+19	2.663024e+21	2.605397e+21	5.74113e+19	2.547986e+21	5.609033e+19	1.536934e+18	0.0005771384	1.864117e+21	0	0	0	1.538935e+21	4.215884e+19	2.83023e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.430602e+22	9.562196e+14	3.430602e+22	1.55082e+22	2.720004e+17	1.550793e+22	8.30237e+21	3.099636e+10	8.30237e+21	3.10164e+22	6.430745e+10	3.10164e+22	9.242261e+21	2.064987e+11	9.242261e+21	2.960656e+22	1.608032e+17	2.96064e+22	1.193922e+24	6.271328e-11	1.233511e-06	1.993386e+13	408.6125	2801.418	6.230243e-09	8.297504e-17	1.708004e-25	0.001654013	0.5	1.001115e-06	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02662612	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0284	0	4.025765e-14	0	4.025765e-14	0	-451.0531	0	-451.0531	0	30584.12	77194.93	0.02575066	8569.349	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	0	
1.513512	1900	3.45e+19	0	0	100000	1.97092	1.024247e-05	4.39869e+22	4.305485e+22	9.44767e+20	4.211009e+22	9.071949e+20	2.484913e+19	3.195629e+21	3.127917e+21	6.863692e+19	3.05928e+21	6.590732e+19	1.805279e+18	0.0005649211	2.23694e+21	0	0	0	1.846741e+21	5.057262e+19	3.396273e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.116722e+22	9.737067e+14	4.116722e+22	1.860984e+22	3.322394e+17	1.860951e+22	9.962844e+21	3.716223e+10	9.962844e+21	3.721968e+22	7.709968e+10	3.721968e+22	1.109071e+22	2.475764e+11	1.109071e+22	3.552788e+22	1.927907e+17	3.552769e+22	1.18275e+24	6.779832e-11	1.543968e-06	1.992235e+13	489.0785	3667.394	6.752668e-09	9.747386e-17	2.174703e-25	0.001941909	0.5	1.268987e-06	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02660742	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02908	0	3.710086e-14	0	3.710086e-14	0	-452.343	0	-452.343	0	30594.67	77194.93	0.03090072	8572.306	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	0	
1.765764	1900	3.45e+19	0	0	100000	1.97024	1.02819e-05	5.131805e+22	5.024255e+22	1.103e+21	4.913955e+22	1.046831e+21	2.866329e+19	3.728234e+21	3.6501e+21	8.01325e+19	3.569967e+21	7.60518e+19	2.082375e+18	0.000558542	2.609764e+21	0	0	0	2.154552e+21	5.898051e+19	3.962314e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802843e+22	9.669067e+14	4.802843e+22	2.171148e+22	3.946834e+17	2.171109e+22	1.162332e+22	4.332825e+10	1.162332e+22	4.342296e+22	8.989225e+10	4.342296e+22	1.293917e+22	2.886551e+11	1.293917e+22	4.144919e+22	2.24779e+17	4.144897e+22	1.17154e+24	7.229063e-11	1.853923e-06	1.991082e+13	571.1	4621.972	7.239069e-09	1.120219e-16	2.679304e-25	0.002230447	0.5	1.556536e-06	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02658874	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02976	0	3.423918e-14	0	3.423918e-14	0	-453.611	0	-453.611	0	30605.24	77194.93	0.03605075	8575.266	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	0	
2.018016	1900	3.45e+19	0	0	100000	1.96956	1.032105e-05	5.86492e+22	5.742571e+22	1.263013e+21	5.616269e+22	1.190895e+21	3.259557e+19	4.260839e+21	4.171953e+21	9.175735e+19	4.080196e+21	8.651798e+19	2.368054e+18	0.0005557717	2.982587e+21	0	0	0	2.46237e+21	6.738251e+19	4.528352e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.488963e+22	9.4326e+14	5.488963e+22	2.481312e+22	4.594044e+17	2.481266e+22	1.328379e+22	4.949442e+10	1.328379e+22	4.962624e+22	1.026851e+11	4.962624e+22	1.478762e+22	3.297351e+11	1.478762e+22	4.73705e+22	2.567681e+17	4.737025e+22	1.161145e+24	7.633572e-11	2.163508e-06	1.989923e+13	654.669	5663.126	7.697285e-09	1.266522e-16	3.22097e-25	0.00252028	0.5	1.863032e-06	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0265701	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03044	0	3.164102e-14	0	3.164102e-14	0	-454.8576	0	-454.8576	0	30615.81	77194.93	0.04120077	8578.228	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	0	
2.270268	1900	3.45e+19	0	0	100000	1.96888	1.035993e-05	6.598034e+22	6.460441e+22	1.423983e+21	6.318043e+22	1.339287e+21	3.664308e+19	4.793444e+21	4.693483e+21	1.034517e+20	4.590031e+21	9.729864e+19	2.662104e+18	0.0005553636	3.355411e+21	0	0	0	2.770193e+21	7.577862e+19	5.09439e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175084e+22	9.08301e+14	6.175083e+22	2.791476e+22	5.264747e+17	2.791423e+22	1.494427e+22	5.566074e+10	1.494427e+22	5.582952e+22	1.154784e+11	5.582952e+22	1.663607e+22	3.708162e+11	1.663607e+22	5.329182e+22	2.887581e+17	5.329153e+22	1.151722e+24	8.002982e-11	2.472817e-06	1.988757e+13	739.7732	6789.52	8.132746e-09	1.413878e-16	3.799142e-25	0.002811859	0.5	2.18792e-06	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02655149	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03112	0	2.927853e-14	0	2.927853e-14	0	-456.0834	0	-456.0834	0	30626.38	77194.93	0.04635075	8581.191	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	0	
