Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	BA2 (gas, at grain boundary) (g/m3)	BA2O (gas, at grain boundary) (g/m3)	BA2O2 (gas, at grain boundary) (g/m3)	BAMOO4 (gas, at grain boundary) (g/m3)	BAO (gas, at grain boundary) (g/m3)	CS (gas, at grain boundary) (g/m3)	CS2 (gas, at grain boundary) (g/m3)	CS2MOO4 (gas, at grain boundary) (g/m3)	CS2O (gas, at grain boundary) (g/m3)	CS2O2 (gas, at grain boundary) (g/m3)	CSO (gas, at grain boundary) (g/m3)	HE (gas, at grain boundary) (g/m3)	MO (gas, at grain boundary) (g/m3)	MO2 (gas, at grain boundary) (g/m3)	MO2O6 (gas, at grain boundary) (g/m3)	MO3O9 (gas, at grain boundary) (g/m3)	MO4O12 (gas, at grain boundary) (g/m3)	MO5O15 (gas, at grain boundary) (g/m3)	MOO (gas, at grain boundary) (g/m3)	MOO2 (gas, at grain boundary) (g/m3)	MOO3 (gas, at grain boundary) (g/m3)	O (gas, at grain boundary) (g/m3)	O2 (gas, at grain boundary) (g/m3)	O3 (gas, at grain boundary) (g/m3)	PD (gas, at grain boundary) (g/m3)	RH (gas, at grain boundary) (g/m3)	RU (gas, at grain boundary) (g/m3)	TC (gas, at grain boundary) (g/m3)	LIQUID (liquid, at grain boundary) (g/m3)	BA2MOO5 (condensed, at grain boundary) (g/m3)	BA3MOO6 (condensed, at grain boundary) (g/m3)	BAMO2O7 (condensed, at grain boundary) (g/m3)	BAMO3O10 (condensed, at grain boundary) (g/m3)	BAMOO4 (condensed, at grain boundary) (g/m3)	HCP_ORD (condensed, at grain boundary) (g/m3)	CS2MO2O7_S1 (condensed, at grain boundary) (g/m3)	CS2MO2O7_S2 (condensed, at grain boundary) (g/m3)	CS2MO3O10 (condensed, at grain boundary) (g/m3)	CS2MO4O13 (condensed, at grain boundary) (g/m3)	CS2MO5O16 (condensed, at grain boundary) (g/m3)	CS2MO7O22 (condensed, at grain boundary) (g/m3)	CS2MOO4_S1 (condensed, at grain boundary) (g/m3)	CS2MOO4_S2 (condensed, at grain boundary) (g/m3)	CS2O1 (condensed, at grain boundary) (g/m3)	CS2O2 (condensed, at grain boundary) (g/m3)	CS3O (condensed, at grain boundary) (g/m3)	CS4O (condensed, at grain boundary) (g/m3)	CS7O1 (condensed, at grain boundary) (g/m3)	CS7O2 (condensed, at grain boundary) (g/m3)	CSO2 (condensed, at grain boundary) (g/m3)	CSO3 (condensed, at grain boundary) (g/m3)	HALITE (condensed, at grain boundary) (g/m3)	MO2_C11A (condensed, at grain boundary) (g/m3)	MO4O11 (condensed, at grain boundary) (g/m3)	MO8O23 (condensed, at grain boundary) (g/m3)	MO9O26 (condensed, at grain boundary) (g/m3)	MOO2 (condensed, at grain boundary) (g/m3)	MOO3 (condensed, at grain boundary) (g/m3)	PEROVSKITE (condensed, at grain boundary) (g/m3)	ZRO2_TETR (condensed, at grain boundary) (g/m3)	A15_CR3SI (condensed, at grain boundary) (g/m3)	BCC_A2 (condensed, at grain boundary) (g/m3)	C14_LAVES (condensed, at grain boundary) (g/m3)	C15_LAVES (condensed, at grain boundary) (g/m3)	DIAMOND_A4 (condensed, at grain boundary) (g/m3)	DIS_SIG (condensed, at grain boundary) (g/m3)	FCC_A1 (condensed, at grain boundary) (g/m3)	HCP_A3 (condensed, at grain boundary) (g/m3)	HCP_DIS (condensed, at grain boundary) (g/m3)	MC_ETA (condensed, at grain boundary) (g/m3)	MO3TE4 (condensed, at grain boundary) (g/m3)	MOPD2 (condensed, at grain boundary) (g/m3)	MOTE2_A (condensed, at grain boundary) (g/m3)	MOTE2_B (condensed, at grain boundary) (g/m3)	ORTHORHOMBIC_A20 (condensed, at grain boundary) (g/m3)	SIGMA (condensed, at grain boundary) (g/m3)	TETRAGONAL_U (condensed, at grain boundary) (g/m3)	O (gas, matrix) (g/m3)	O2 (gas, matrix) (g/m3)	C1_MO2 (condensed, matrix) (g/m3)	PU2O3 (condensed, matrix) (g/m3)	PUO152 (condensed, matrix) (g/m3)	M2O3_C (condensed, matrix) (g/m3)	U3O8_S1 (condensed, matrix) (g/m3)	U3O8_S2 (condensed, matrix) (g/m3)	U3O8_S3 (condensed, matrix) (g/m3)	U3O8_S4 (condensed, matrix) (g/m3)	U4O9_S1 (condensed, matrix) (g/m3)	U4O9_S2 (condensed, matrix) (g/m3)	U4O9_S3 (condensed, matrix) (g/m3)	UO3 (condensed, matrix) (g/m3)	BA+2 (liquid, derived) (-)	CS+ (liquid, derived) (-)	MO+4 (liquid, derived) (-)	PD+2 (liquid, derived) (-)	RH+3 (liquid, derived) (-)	RU+4 (liquid, derived) (-)	TC+4 (liquid, derived) (-)	MOO4-2 (liquid, derived) (-)	O-2 (liquid, derived) (-)	VA (liquid, derived) (-)	CSO2 (liquid, derived) (-)	MOO3 (liquid, derived) (-)	O (liquid, derived) (-)	
0	2003	3.45e+19	0	0	100000	1.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	2003	3.45e+19	0	0	100000	1.9746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	2003	3.45e+19	0	0	100000	1.9742	1.759e-11	3.992e-06	1.768e-06	8.02e-10	0.0001269	0.3664	0.001979	2.282e-06	1.614e-05	1.665e-12	6.456e-07	0	5.13e-07	1.929e-17	2.112e-20	1.09e-28	1.589e-30	1.987e-30	2.106e-11	3.855e-11	1.797e-12	1.493e-05	6.255e-13	1.507e-25	0.0001117	3.085e-10	1.032e-10	4.199e-11	1.877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9982	0.00181	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.199	0.8007	0.0003102	1.1e-12	1.54e-10	1.604e-08	
0.756756	2003	3.45e+19	0	0	100000	1.9738	2.817e-11	6.252e-06	2.708e-06	1.139e-09	0.000192	0.5474	0.002956	3.13e-06	2.358e-05	2.38e-12	9.434e-07	0	7.035e-07	2.901e-17	2.779e-20	1.346e-28	2.374e-30	2.968e-30	3.087e-11	5.527e-11	2.519e-12	2.25e-05	8.939e-13	2.106e-25	0.0001666	4.597e-10	1.54e-10	6.273e-11	2.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9982	0.001768	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1965	0.8031	0.0003264	1.1e-12	1.45e-10	1.588e-08	
1.009008	2003	3.45e+19	0	0	100000	1.9734	4.013e-11	8.712e-06	3.692e-06	1.44e-09	0.0002585	0.728	0.003932	3.824e-06	3.068e-05	3.029e-12	1.227e-06	0	8.596e-07	3.883e-17	3.26e-20	1.483e-28	3.158e-30	3.947e-30	4.029e-11	7.057e-11	3.147e-12	3.019e-05	1.138e-12	2.623e-25	0.0002212	6.1e-10	2.046e-10	8.342e-11	3.739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9983	0.001728	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1941	0.8055	0.0003432	1.1e-12	1.366e-10	1.573e-08	
1.26126	2003	3.45e+19	0	0	100000	1.973	5.36e-11	1.139e-05	4.721e-06	1.709e-09	0.0003265	0.9087	0.004908	4.388e-06	3.747e-05	3.619e-12	1.499e-06	0	9.865e-07	4.877e-17	3.592e-20	1.535e-28	3.942e-30	4.927e-30	4.936e-11	8.459e-11	3.691e-12	3.802e-05	1.36e-12	3.066e-25	0.0002758	7.595e-10	2.551e-10	1.041e-10	4.665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9983	0.00169	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1917	0.8079	0.0003607	1.1e-12	1.288e-10	1.558e-08	
1.513512	2003	3.45e+19	0	0	100000	1.9726	6.87e-11	1.428e-05	5.795e-06	1.949e-09	0.0003961	1.089	0.005884	4.84e-06	4.397e-05	4.155e-12	1.759e-06	0	1.088e-06	5.884e-17	3.807e-20	1.529e-28	4.726e-30	5.907e-30	5.809e-11	9.743e-11	4.16e-12	4.6e-05	1.561e-12	3.446e-25	0.0003302	9.084e-10	3.056e-10	1.248e-10	5.587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9983	0.001653	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1894	0.8102	0.0003789	1.1e-12	1.215e-10	1.544e-08	
1.765764	2003	3.45e+19	0	0	100000	1.9722	8.557e-11	1.741e-05	6.915e-06	2.163e-09	0.0004673	1.27	0.00686	5.195e-06	5.017e-05	4.641e-12	2.007e-06	0	1.168e-06	6.903e-17	3.926e-20	1.484e-28	5.51e-30	6.888e-30	6.65e-11	1.092e-10	4.562e-12	5.412e-05	1.744e-12	3.767e-25	0.0003844	1.057e-09	3.559e-10	1.455e-10	6.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9984	0.001617	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.187	0.8126	0.0003979	1.1e-12	1.147e-10	1.53e-08	
2.018016	2003	3.45e+19	0	0	100000	1.9718	1.043e-10	2.078e-05	8.08e-06	2.351e-09	0.0005399	1.451	0.007837	5.467e-06	5.611e-05	5.081e-12	2.245e-06	0	1.229e-06	7.933e-17	3.972e-20	1.412e-28	6.295e-30	7.868e-30	7.459e-11	1.199e-10	4.904e-12	6.238e-05	1.909e-12	4.038e-25	0.0004386	1.204e-09	4.061e-10	1.662e-10	7.421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9984	0.001583	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1847	0.8149	0.0004176	1.1e-12	1.083e-10	1.516e-08	
2.270268	2003	3.45e+19	0	0	100000	1.9714	1.251e-10	2.441e-05	9.291e-06	2.518e-09	0.0006139	1.632	0.008814	5.668e-06	6.179e-05	5.479e-12	2.472e-06	0	1.274e-06	8.976e-17	3.96e-20	1.326e-28	7.079e-30	8.849e-30	8.239e-11	1.296e-10	5.193e-12	7.078e-05	2.058e-12	4.262e-25	0.0004926	1.351e-09	4.563e-10	1.869e-10	8.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9985	0.00155	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.1824	0.8171	0.0004381	1.1e-12	1.023e-10	1.503e-08	
