Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Phase std density (g/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	
0	1760	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02323065	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	9.906513e-16	0	9.906513e-16	0	-472.027	0	-472.027	0	30531.45	77194.93	0.001	8554.591	3554913	0	0	0	0	0	0	0	0	0	
28	1760	3.45e+19	0	0	100000	1.97469	1.077819e-05	8.137584e+23	6.523306e+23	6.523306e+23	0	1.577081e+23	3.719775e+21	5.91192e+22	4.739154e+22	4.739154e+22	0	1.145742e+22	2.702401e+20	0.004571105	4.138344e+22	0	0	0	4.042984e+22	9.535969e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.615944e+23	7.615944e+23	0	3.442824e+23	3.442824e+23	0	1.843128e+23	1.843128e+23	0	6.885648e+23	6.885648e+23	0	2.051784e+23	2.051784e+23	0	6.572664e+23	6.572664e+23	0	1.316251e+24	0	0	1.799282e+13	42393.37	802033.7	3.741575e-08	2.992584e-15	3.699451e-23	0.05384504	0.5	0.0001852729	1	0.1188102	0.01477465	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02304087	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02531	0	9.460132e-16	0	9.460132e-16	0	-472.7017	0	-472.7017	0	30536.24	77194.93	0.001	8555.935	3554913	0	0	0	0	0	0	0	0	0	
56	1760	3.45e+19	0	0	100000	1.97438	1.122511e-05	1.627517e+24	1.416081e+24	9.820471e+22	1.317876e+24	2.065666e+23	4.869592e+21	1.182384e+23	1.028777e+23	7.13453e+21	9.574312e+22	1.500697e+22	3.537738e+20	0.002992038	8.276688e+22	0	0	0	6.587155e+22	1.551394e+21	1.534394e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523189e+24	1.787515e+16	1.523189e+24	6.885648e+23	1.792333e+18	6.88563e+23	3.686256e+23	5.671289e+10	3.686256e+23	1.37713e+24	1.068741e+11	1.37713e+24	4.103568e+23	3.788396e+11	4.103568e+23	1.314533e+24	1.096744e+18	1.314532e+24	1.326215e+24	0	0	1.607667e+13	68236.96	2777766	5.546661e-08	6.576588e-15	1.205226e-22	0.1057296	0.5	0.00051784	1	0.2376204	0.0295493	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02287893	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02562	0	9.038371e-16	0	9.038371e-16	0	-473.369	0	-473.369	0	30541.04	77194.93	1.143372	8557.278	3554913	1.106061	0	0	0	1	2	0	0	0	
84	1760	3.45e+19	0	0	100000	1.97407	1.140227e-05	2.441275e+24	2.164323e+24	1.490451e+23	2.015278e+24	2.704862e+23	6.465586e+21	1.773576e+23	1.572372e+23	1.082806e+22	1.464091e+23	1.965071e+22	4.69722e+20	0.002648446	1.241503e+23	0	0	0	9.877431e+22	2.36011e+21	2.30159e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284783e+24	2.446961e+16	2.284783e+24	1.032847e+24	2.718085e+18	1.032844e+24	5.529384e+23	8.496612e+10	5.529384e+23	2.065694e+24	1.601167e+11	2.065694e+24	6.155352e+23	6.947566e+11	6.155352e+23	1.971799e+24	1.64312e+18	1.971798e+24	1.326291e+24	2.185182e-10	5.796826e-05	1.415056e+13	106983.1	6325074	7.255096e-08	1.125185e-14	2.69714e-22	0.15922	0.5	0.00100417	1	0.3564306	0.04432395	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02275468	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02593	0	8.639633e-16	0	8.639633e-16	0	-474.0292	0	-474.0292	0	30545.83	77194.93	1.715058	8558.622	3554913	1.106061	0	0	0	1	2	0	0	0	
112	1760	3.45e+19	0	0	100000	1.97376	1.140227e-05	3.255034e+24	2.91342e+24	1.48769e+23	2.764652e+24	3.327449e+23	8.8682e+21	2.364768e+23	2.116588e+23	1.0808e+22	2.008508e+23	2.417378e+22	6.442709e+20	0.002724457	1.655338e+23	0	0	0	1.313306e+23	3.51531e+21	3.068788e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.046378e+24	2.97742e+16	3.046378e+24	1.37713e+24	3.660373e+18	1.377126e+24	7.372512e+23	1.130394e+11	7.372512e+23	2.754259e+24	2.130202e+11	2.754259e+24	8.207136e+23	9.243083e+11	8.207136e+23	2.629066e+24	2.186017e+18	2.629063e+24	8.954669e+23	2.869653e-10	8.86393e-05	1.235291e+13	153984.4	1.179238e+07	8.902658e-08	1.694247e-14	4.983482e-22	0.2092888	0.5	0.001619691	1	0.4752408	0.0590986	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02265812	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02624	0	8.26244e-16	0	8.26244e-16	0	-474.6824	0	-474.6824	0	30550.63	77194.93	2.286743	8559.967	3554913	1.106061	0	0	0	1	2	0	0	0	
140	1760	3.45e+19	0	0	100000	1.97345	1.140227e-05	4.068792e+24	3.632844e+24	2.586674e+23	3.374176e+24	4.180812e+23	1.786713e+22	2.95596e+23	2.639245e+23	1.879208e+22	2.451325e+23	3.037342e+22	1.29804e+21	0.004391263	2.069172e+23	0	0	0	1.616673e+23	6.890016e+21	3.835986e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.807972e+24	3.395484e+16	3.807972e+24	1.721412e+24	4.615581e+18	1.721407e+24	9.21564e+23	1.408171e+11	9.21564e+23	3.442824e+24	2.653665e+11	3.442824e+24	1.025892e+24	1.151443e+12	1.025892e+24	3.286332e+24	2.723196e+18	3.286329e+24	8.011994e+23	3.311889e-10	0.0001219149	1.054417e+13	225582.3	2.114745e+07	1.079447e-07	2.490808e-14	8.883378e-22	0.262635	0.5	0.002464453	1	0.594051	0.07387325	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02256219	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02655	0	7.905422e-16	0	7.905422e-16	0	-475.3288	0	-475.3288	0	30555.43	77194.93	2.858427	8561.312	3554913	1.106061	0	0	0	1	2	0	0	0	
168	1760	3.45e+19	0	0	100000	1.97314	1.140227e-05	4.88255e+24	4.336837e+24	3.367268e+23	4.00011e+24	4.961337e+23	4.95802e+22	3.547152e+23	3.150693e+23	2.446306e+22	2.906063e+23	3.60439e+22	3.601981e+21	0.01015457	2.483006e+23	0	0	0	1.841919e+23	1.807694e+22	4.603183e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569566e+24	3.683152e+16	4.569566e+24	2.065694e+24	5.530719e+18	2.065689e+24	1.105877e+24	1.66701e+11	1.105877e+24	4.131389e+24	3.141443e+11	4.131389e+24	1.23107e+24	1.363093e+12	1.23107e+24	3.943598e+24	3.223754e+18	3.943595e+24	7.486704e+23	3.619666e-10	0.0001487253	8.784326e+12	318096.3	3.697302e+07	1.298121e-07	3.602198e-14	1.544967e-21	0.3164288	0.5	0.003570735	1	0.7128612	0.0886479	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0224669	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02686	0	7.567308e-16	0	7.567308e-16	0	-475.9684	0	-475.9684	0	30560.23	77194.93	3.430111	8562.657	3554913	1.106061	0	0	0	1	2	0	0	0	
196	1760	3.45e+19	0	0	100000	1.97283	1.140227e-05	5.696309e+24	5.027984e+24	4.118734e+23	4.616111e+24	5.507094e+23	1.176151e+23	4.138344e+23	3.652809e+23	2.992242e+22	3.353585e+23	4.00088e+22	8.544685e+21	0.0206476	2.896841e+23	0	0	0	1.954309e+23	4.054936e+22	5.370382e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.331161e+24	3.767323e+16	5.331161e+24	2.409977e+24	6.243619e+18	2.409971e+24	1.29019e+24	1.859194e+11	1.29019e+24	4.819954e+24	3.50361e+11	4.819954e+24	1.436249e+24	1.52024e+12	1.436249e+24	4.600865e+24	3.595411e+18	4.600861e+24	7.151378e+23	3.889779e-10	0.0001763003	7.205456e+12	425749.1	6.181271e+07	1.538434e-07	5.059358e-14	2.571644e-21	0.3645498	0.5	0.004875312	1	0.8316714	0.1034226	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02237226	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02717	0	7.246921e-16	0	7.246921e-16	0	-476.6014	0	-476.6014	0	30565.04	77194.93	4.001795	8564.003	3554913	1.106061	0	0	0	1	2	0	0	0	
224	1760	3.45e+19	0	0	100000	1.97252	1.140227e-05	6.510067e+24	5.708001e+24	4.845755e+23	5.223426e+24	5.984445e+23	2.036213e+23	4.729536e+23	4.146839e+23	3.520421e+22	3.794797e+23	4.347674e+22	1.4793e+22	0.03127791	3.310675e+23	0	0	0	2.029645e+23	6.672723e+22	6.137579e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092755e+24	3.636519e+16	6.092755e+24	2.754259e+24	6.645714e+18	2.754253e+24	1.474502e+24	1.955088e+11	1.474502e+24	5.508518e+24	3.684321e+11	5.508518e+24	1.641427e+24	1.598652e+12	1.641427e+24	5.258131e+24	3.780857e+18	5.258127e+24	6.875703e+23	4.133741e-10	0.0002034395	5.903193e+12	558688.4	9.68009e+07	1.784844e-07	6.809859e-14	4.015827e-21	0.4019991	0.5	0.006237233	1	0.9504816	0.1181972	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0222783	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02748	0	6.943165e-16	0	6.943165e-16	0	-477.228	0	-477.228	0	30569.84	77194.93	4.573479	8565.349	3554913	1.106061	0	0	0	1	2	0	0	0	
252	1760	3.45e+19	0	0	100000	1.97221	1.140227e-05	7.323826e+24	6.37745e+24	5.586006e+23	5.818849e+24	6.543229e+23	2.920532e+23	5.320728e+23	4.63319e+23	4.05821e+22	4.227369e+23	4.753628e+22	2.121754e+22	0.03987713	3.72451e+23	0	0	0	2.121577e+23	9.124552e+22	6.904778e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85435e+24	3.45081e+16	6.85435e+24	3.098542e+24	6.947827e+18	3.098535e+24	1.658815e+24	2.019367e+11	1.658815e+24	6.197083e+24	3.805453e+11	6.197083e+24	1.846606e+24	1.651212e+12	1.846606e+24	5.915398e+24	3.905163e+18	5.915394e+24	6.640235e+23	4.357899e-10	0.000230199	4.850475e+12	735790.7	1.446778e+08	2.039481e-07	8.891538e-14	5.991465e-21	0.4312818	0.5	0.00764623	1	1.069292	0.1329719	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02218504	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02779	0	6.655023e-16	0	6.655023e-16	0	-477.8482	0	-477.8482	0	30574.65	77194.93	5.145162	8566.695	3554913	1.106061	0	0	0	1	2	0	0	0	
