Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
0.504504	at grain boundary	HALITE	HALITE#2	0.02060152271	0.01030076135	1	1	BA+2	1
0.504504	at grain boundary	HALITE	HALITE#2	0.02060152271	0.01030076135	1	1	VA	4.816024354e-12
0.504504	at grain boundary	HALITE	HALITE#2	0.02060152271	0.01030076135	2	1	O-2	1
0.504504	at grain boundary	HALITE	HALITE#2	0.02060152271	0.01030076135	2	1	VA	4.816131952e-12
0.504504	at grain boundary	HCP_A3	HCP_A3	0.07504657797	0.07504657797	1	1	BA	3.334283241e-07
0.504504	at grain boundary	HCP_A3	HCP_A3	0.07504657797	0.07504657797	1	1	CS	0.004528138125
0.504504	at grain boundary	HCP_A3	HCP_A3	0.07504657797	0.07504657797	1	1	MO	0.303632685
0.504504	at grain boundary	HCP_A3	HCP_A3	0.07504657797	0.07504657797	1	1	PD	0.2620391475
0.504504	at grain boundary	HCP_A3	HCP_A3	0.07504657797	0.07504657797	1	1	RH	0.08180058773
0.504504	at grain boundary	HCP_A3	HCP_A3	0.07504657797	0.07504657797	1	1	RU	0.2745172239
0.504504	at grain boundary	HCP_A3	HCP_A3	0.07504657797	0.07504657797	1	1	TC	0.07348188433
0.504504	at grain boundary	HCP_A3	HCP_A3	0.07504657797	0.07504657797	2	0.5	O	1.100440176e-12
0.504504	at grain boundary	HCP_A3	HCP_A3	0.07504657797	0.07504657797	2	0.5	VA	1
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	BA	9.592936698e-07
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	BA2	1.859802473e-15
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	BA2O	5.958744233e-09
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	BA2O2	2.381250001e-10
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	BAMOO4	2.546841264e-15
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	BAO	3.521425557e-07
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	CS	0.9933598882
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	CS2	0.006634763019
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	CS2MOO4	2.291296642e-08
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	CS2O	3.341724249e-06
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	CS2O2	1.668919963e-15
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	CSO	2.782152691e-09
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	MO	1.017200631e-15
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	MO2	1.989480855e-23
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	MO2O6	1.211341775e-29
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	MO3O9	1e-30
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	MO4O12	1e-30
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	MO5O15	1e-30
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	MOO	2.528592582e-16
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	MOO2	2.355296301e-16
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	MOO3	3.246359403e-18
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	O	2.389110168e-14
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	O2	7.234283068e-18
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	O3	1e-30
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	PD	6.636883086e-07
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	RH	4.068270608e-14
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	RU	5.564782477e-15
0.504504	at grain boundary	gas	GAS	0.002427607615	0.002427607615	1	1	TC	3.515029926e-15
0.756756	at grain boundary	HALITE	HALITE#2	0.03090228633	0.01545114317	1	1	BA+2	1
0.756756	at grain boundary	HALITE	HALITE#2	0.03090228633	0.01545114317	1	1	VA	4.816909389e-12
0.756756	at grain boundary	HALITE	HALITE#2	0.03090228633	0.01545114317	2	1	O-2	1
0.756756	at grain boundary	HALITE	HALITE#2	0.03090228633	0.01545114317	2	1	VA	4.815276384e-12
0.756756	at grain boundary	HCP_A3	HCP_A3	0.1125698675	0.1125698675	1	1	BA	3.281040409e-07
0.756756	at grain boundary	HCP_A3	HCP_A3	0.1125698675	0.1125698675	1	1	CS	0.004528137785
0.756756	at grain boundary	HCP_A3	HCP_A3	0.1125698675	0.1125698675	1	1	MO	0.303632684
