Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	CsI (1/m3)	CsO2 (1/m3)	Cs2O2 (1/m3)	Cs2O (1/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	973	1e+19	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	1.067289e+27	2.236414e+28	
1000	973	1e+19	0	5e-06	8.64e+24	8.17428e+24	8.17428e+24	0	4.657195e+23	0	1.08e+24	1.021785e+24	1.021785e+24	0	5.821494e+22	0	0	8.136e+24	7.697447e+24	7.697447e+24	0	4.385525e+23	0	0	4.32e+23	4.08714e+23	4.08714e+23	0	2.328598e+22	0	0	0	0	0	0	1.325315e+24	0	0	1.959767e+13	83834.22	197607.2	2.956716e-08	1.611673e-15	1.825588e-23	0.03158503	0.5	0.0002146636	1	1.237907	1.067289e+27	2.236414e+28	
2000	973	1e+19	0	5e-06	1.728e+25	1.613817e+25	1.580798e+25	3.301956e+23	1.141826e+24	0	2.16e+24	2.017272e+24	1.975997e+24	4.127445e+22	1.427282e+23	0	0	1.6272e+25	1.519678e+25	1.488585e+25	3.109342e+23	1.075219e+24	0	0	8.64e+23	8.069087e+23	7.903989e+23	1.650978e+22	5.709129e+22	0	0	0	0	0	0	1.32629e+24	0	0	1.914515e+13	210398.3	533669.6	4.062682e-08	3.042871e-15	4.736009e-23	0.05825621	0.5	0.0005440295	1	2.475813	1.067289e+27	2.236414e+28	
3000	973	1e+19	0	5e-06	2.592e+25	2.393728e+25	2.344715e+25	4.901225e+23	1.982725e+24	0	3.24e+24	2.992159e+24	2.930894e+24	6.126532e+22	2.478406e+23	0	0	2.4408e+25	2.254093e+25	2.20794e+25	4.615321e+23	1.867066e+24	0	0	1.296e+24	1.196864e+24	1.172358e+24	2.450613e+22	9.913623e+22	0	0	0	0	0	0	1.326291e+24	1.726394e-10	2.858558e-05	1.867552e+13	374533.8	994755.3	4.959132e-08	4.533871e-15	8.613724e-23	0.08467238	0.5	0.0009651944	1	3.71372	1.067289e+27	2.236414e+28	
4000	973	1e+19	0	5e-06	3.456e+25	3.160432e+25	3.075252e+25	8.517987e+23	2.955679e+24	0	4.32e+24	3.95054e+24	3.844065e+24	1.064748e+23	3.694598e+23	0	0	3.2544e+25	2.976074e+25	2.895863e+25	8.021104e+23	2.783264e+24	0	0	1.728e+24	1.580216e+24	1.537626e+24	4.258993e+22	1.477839e+23	0	0	0	0	0	0	9.647109e+23	2.189769e-10	4.243072e-05	1.819871e+13	572951.5	1579976	5.748319e-08	6.091715e-15	1.341518e-22	0.1108613	0.5	0.001464834	1	4.951626	1.067289e+27	2.236414e+28	
5000	973	1e+19	0	5e-06	4.32e+25	3.914826e+25	3.834672e+25	8.015396e+23	4.051737e+24	0	5.4e+24	4.893533e+24	4.79334e+24	1.001925e+23	5.064672e+23	0	0	4.068e+25	3.686461e+25	3.610983e+25	7.547831e+23	3.815386e+24	0	0	2.16e+24	1.957413e+24	1.917336e+24	4.007698e+22	2.025869e+23	0	0	0	0	0	0	8.926174e+23	2.701798e-10	7.374163e-05	1.771612e+13	806815.1	2299085	6.477393e-08	7.734964e-15	1.91944e-22	0.1370335	0.5	0.002040302	1	6.189533	1.067289e+27	2.236414e+28	
6000	973	1e+19	0	5e-06	5.184e+25	4.658619e+25	4.567548e+25	9.107068e+23	5.253813e+24	0	6.48e+24	5.823273e+24	5.709435e+24	1.138383e+23	6.567267e+23	0	0	4.8816e+25	4.386866e+25	4.301108e+25	8.575822e+23	4.947341e+24	0	0	2.592e+24	2.329309e+24	2.283774e+24	4.553534e+22	2.626907e+23	0	0	0	0	0	0	8.221016e+23	2.721211e-10	6.939062e-05	1.722824e+13	1075808	3166278	7.167445e-08	9.470796e-15	2.60056e-22	0.1631652	0.5	0.002688185	1	7.42744	1.067289e+27	2.236414e+28	
7000	973	1e+19	0	5e-06	6.048e+25	5.392686e+25	5.295349e+25	9.733655e+23	6.55314e+24	0	7.56e+24	6.740857e+24	6.619187e+24	1.216707e+23	8.191426e+23	0	0	5.6952e+25	5.078113e+25	4.986454e+25	9.165858e+23	6.170874e+24	0	0	3.024e+24	2.696343e+24	2.647675e+24	4.866827e+22	3.27657e+23	0	0	0	0	0	0	8.195635e+23	2.84246e-10	7.88414e-05	1.67352e+13	1381401	4200241	7.832956e-08	1.131121e-14	3.394305e-22	0.1892954	0.5	0.003408262	1	8.665346	1.067289e+27	2.236414e+28	
8000	973	1e+19	0	5e-06	6.912e+25	6.117919e+25	6.007191e+25	1.10728e+24	7.940811e+24	0	8.64e+24	7.647399e+24	7.508989e+24	1.3841e+23	9.926013e+23	0	0	6.5088e+25	5.76104e+25	5.656771e+25	1.042688e+24	7.477597e+24	0	0	3.456e+24	3.058959e+24	3.003595e+24	5.536399e+22	3.970405e+23	0	0	0	0	0	0	8.041668e+23	2.924639e-10	8.426587e-05	1.623749e+13	1725231	5422860	8.483113e-08	1.326687e-14	4.311613e-22	0.2154206	0.5	0.004200585	1	9.903253	1.067289e+27	2.236414e+28	
9000	973	1e+19	0	5e-06	7.776e+25	6.834878e+25	6.713011e+25	1.218676e+24	9.411217e+24	0	9.72e+24	8.543598e+24	8.391263e+24	1.523345e+23	1.176402e+24	0	0	7.3224e+25	6.436177e+25	6.321418e+25	1.147586e+24	8.86223e+24	0	0	3.888e+24	3.417439e+24	3.356505e+24	6.093378e+22	4.705609e+23	0	0	0	0	0	0	7.939707e+23	3.066056e-10	9.585905e-05	1.573589e+13	2109870	6859525	9.124841e-08	1.535e-14	5.365989e-22	0.2415459	0.5	0.005066317	1	11.14116	1.067289e+27	2.236414e+28	
10000	973	1e+19	0	5e-06	8.64e+25	7.544082e+25	7.41046e+25	1.336215e+24	1.095918e+25	0	1.08e+25	9.430102e+24	9.263075e+24	1.670269e+23	1.369898e+24	0	0	8.136e+25	7.10401e+25	6.978183e+25	1.258269e+24	1.03199e+25	0	0	4.32e+24	3.772041e+24	3.70523e+24	6.681075e+22	5.479592e+23	0	0	0	0	0	0	7.768801e+23	3.188652e-10	0.0001055028	1.523135e+13	2538289	8539482	9.7633e-08	1.757321e-14	6.573002e-22	0.2676637	0.5	0.006006941	1	12.37907	1.067289e+27	2.236414e+28	
11000	973	1e+19	0	5e-06	9.504e+25	8.245932e+25	8.102296e+25	1.436359e+24	1.258068e+25	0	1.188e+25	1.030742e+25	1.012787e+25	1.795448e+23	1.572585e+24	0	0	8.9496e+25	7.76492e+25	7.629662e+25	1.352571e+24	1.18468e+25	0	0	4.752e+24	4.122966e+24	4.051148e+24	7.181794e+22	6.290338e+23	0	0	0	0	0	0	7.62503e+23	3.308572e-10	0.0001156784	1.472475e+13	3014097	1.0497e+07	1.04028e-07	1.995069e-14	7.951045e-22	0.293769	0.5	0.007024629	1	13.61697	1.067289e+27	2.236414e+28	
12000	973	1e+19	0	5e-06	1.0368e+26	8.940805e+25	8.787248e+25	1.535574e+24	1.427195e+25	0	1.296e+25	1.117601e+25	1.098406e+25	1.919467e+23	1.783993e+24	0	0	9.7632e+25	8.419258e+25	8.274658e+25	1.445999e+24	1.343942e+25	0	0	5.184e+24	4.470403e+24	4.393624e+24	7.67787e+22	7.135974e+23	0	0	0	0	0	0	7.488231e+23	3.409758e-10	0.000124348	1.421679e+13	3541464	1.277292e+07	1.104714e-07	2.249869e-14	9.521885e-22	0.3198592	0.5	0.008122241	1	14.85488	1.067289e+27	2.236414e+28	
13000	973	1e+19	0	5e-06	1.1232e+26	9.629022e+25	9.46602e+25	1.630024e+24	1.602978e+25	0	1.404e+25	1.203628e+25	1.183252e+25	2.03753e+23	2.003723e+24	0	0	1.05768e+26	9.067329e+25	8.913835e+25	1.534939e+24	1.509471e+25	0	0	5.616e+24	4.814511e+24	4.73301e+24	8.150118e+22	8.014891e+23	0	0	0	0	0	0	7.37564e+23	3.504177e-10	0.0001329372	1.37079e+13	4125322	1.541681e+07	1.17e-07	2.523651e-14	1.131178e-21	0.3459395	0.5	0.009303647	1	16.09279	1.067289e+27	2.236414e+28	
14000	973	1e+19	0	5e-06	1.2096e+26	1.031087e+26	1.013841e+26	1.724653e+24	1.785126e+25	0	1.512e+25	1.288859e+25	1.267301e+25	2.155816e+23	2.231408e+24	0	0	1.13904e+26	9.709406e+25	9.547001e+25	1.624048e+24	1.680994e+25	0	0	6.048e+24	5.155437e+24	5.069204e+24	8.623264e+22	8.925632e+23	0	0	0	0	0	0	7.272858e+23	3.591358e-10	0.0001411139	1.319821e+13	4771501	1.848954e+07	1.236512e-07	2.818738e-14	1.33527e-21	0.372023	0.5	0.01057391	1	17.33069	1.067289e+27	2.236414e+28	
15000	973	1e+19	0	5e-06	1.296e+26	1.098662e+26	1.080491e+26	1.817076e+24	1.973383e+25	0	1.62e+25	1.373327e+25	1.350614e+25	2.271345e+23	2.466729e+24	0	0	1.2204e+26	1.034573e+26	1.017462e+26	1.71108e+24	1.858269e+25	0	0	6.48e+24	5.493308e+24	5.402454e+24	9.085378e+22	9.866917e+23	0	0	0	0	0	0	7.179851e+23	3.675286e-10	0.0001493061	1.268767e+13	5486946	2.206627e+07	1.304646e-07	3.137928e-14	1.568382e-21	0.3981301	0.5	0.01193947	1	18.5686	1.067289e+27	2.236414e+28	
16000	973	1e+19	0	5e-06	1.3824e+26	1.165648e+26	1.146568e+26	1.907975e+24	2.167518e+25	0	1.728e+25	1.45706e+25	1.433211e+25	2.384969e+23	2.709397e+24	0	0	1.30176e+26	1.097652e+26	1.079685e+26	1.796677e+24	2.041079e+25	0	0	6.912e+24	5.828241e+24	5.732842e+24	9.539876e+22	1.083759e+24	0	0	0	0	0	0	7.091991e+23	3.755179e-10	0.0001573073	1.217614e+13	6279923	2.623985e+07	1.374819e-07	3.484565e-14	1.835313e-21	0.4242855	0.5	0.01340821	1	19.80651	1.067289e+27	2.236414e+28	
17000	973	1e+19	0	5e-06	1.4688e+26	1.232068e+26	1.212103e+26	1.996512e+24	2.367321e+25	0	1.836e+25	1.540085e+25	1.515128e+25	2.49564e+23	2.959151e+24	0	0	1.38312e+26	1.160197e+26	1.141397e+26	1.880049e+24	2.229227e+25	0	0	7.344e+24	6.16034e+24	6.060514e+24	9.98256e+22	1.18366e+24	0	0	0	0	0	0	7.009844e+23	3.831632e-10	0.0001651766	1.166352e+13	7160259	3.112455e+07	1.447473e-07	3.862592e-14	2.141931e-21	0.4505142	0.5	0.01498947	1	21.04441	1.067289e+27	2.236414e+28	
18000	973	1e+19	0	5e-06	1.5552e+26	1.29794e+26	1.277108e+26	2.083148e+24	2.572602e+25	0	1.944e+25	1.622425e+25	1.596385e+25	2.603935e+23	3.215753e+24	0	0	1.46448e+26	1.222227e+26	1.20261e+26	1.961631e+24	2.422534e+25	0	0	7.776e+24	6.489699e+24	6.385542e+24	1.041574e+23	1.286301e+24	0	0	0	0	0	0	6.932564e+23	3.904407e-10	0.0001728414	1.114995e+13	8139558	3.686011e+07	1.523069e-07	4.276586e-14	2.495359e-21	0.4768373	0.5	0.01669388	1	22.28232	1.067289e+27	2.236414e+28	
19000	973	1e+19	0	5e-06	1.6416e+26	1.363281e+26	1.341602e+26	2.167901e+24	2.760618e+25	2.256863e+23	2.052e+25	1.704102e+25	1.677003e+25	2.709876e+23	3.450773e+24	2.821079e+22	0.001374795	1.54584e+26	1.283757e+26	1.263342e+26	2.04144e+24	2.599582e+25	2.125213e+23	0	8.208e+24	6.816407e+24	6.708011e+24	1.083951e+23	1.380309e+24	1.128432e+22	0	0	0	0	0	6.860183e+23	3.973963e-10	0.0001803416	1.060134e+13	9186430	4.340335e+07	1.599468e-07	4.716384e-14	2.890021e-21	0.5	0.5	0.01838286	1	23.52023	1.067289e+27	2.236414e+28	
20000	973	1e+19	0	5e-06	1.728e+26	1.428109e+26	1.405598e+26	2.251057e+24	2.792016e+25	2.068979e+24	2.16e+25	1.785136e+25	1.756998e+25	2.813821e+23	3.49002e+24	2.586223e+23	0.01197326	1.6272e+26	1.344802e+26	1.323605e+26	2.119745e+24	2.629149e+25	1.948288e+24	0	8.64e+24	7.140543e+24	7.02799e+24	1.125528e+23	1.396008e+24	1.034489e+23	0	0	0	0	0	6.792057e+23	4.040562e-10	0.0001876788	9.845333e+12	1.000435e+07	4.926967e+07	1.659743e-07	5.078548e-14	3.229212e-21	0.5	0.5	0.0190756	1	24.75813	1.067289e+27	2.236414e+28	
21000	973	1e+19	0	5e-06	1.8144e+26	1.492437e+26	1.46911e+26	2.33266e+24	2.840693e+25	3.789417e+24	2.268e+25	1.865546e+25	1.836387e+25	2.915825e+23	3.550866e+24	4.736772e+23	0.02088524	1.70856e+26	1.405378e+26	1.383412e+26	2.196588e+24	2.674986e+25	3.568368e+24	0	9.072e+24	7.462183e+24	7.34555e+24	1.16633e+23	1.420346e+24	1.894709e+23	0	0	0	0	0	6.727775e+23	4.104567e-10	0.0001948777	9.216525e+12	1.087322e+07	5.490797e+07	1.715428e-07	5.425038e-14	3.565261e-21	0.5	0.5	0.01971559	1	25.99604	1.067289e+27	2.236414e+28	
22000	973	1e+19	0	5e-06	1.9008e+26	1.556279e+26	1.532151e+26	2.412801e+24	2.902072e+25	5.431385e+24	2.376e+25	1.945349e+25	1.915189e+25	3.016002e+23	3.62759e+24	6.789231e+23	0.0285742	1.78992e+26	1.465496e+26	1.442775e+26	2.272055e+24	2.732784e+25	5.114554e+24	0	9.504e+24	7.781395e+24	7.660755e+24	1.206401e+23	1.451036e+24	2.715692e+23	0	0	0	0	0	6.666852e+23	4.166192e-10	0.0002019422	8.678351e+12	1.179702e+07	6.039999e+07	1.767818e-07	5.761463e-14	3.901992e-21	0.5	0.5	0.02031771	1	27.23395	1.067289e+27	2.236414e+28	
23000	973	1e+19	0	5e-06	1.9872e+26	1.619649e+26	1.594734e+26	2.491512e+24	2.973222e+25	7.022893e+24	2.484e+25	2.024561e+25	1.993417e+25	3.114391e+23	3.716528e+24	8.778616e+23	0.03534064	1.87128e+26	1.525169e+26	1.501708e+26	2.346174e+24	2.799784e+25	6.613224e+24	0	9.936e+24	8.098244e+24	7.973668e+24	1.245756e+23	1.486611e+24	3.511446e+23	0	0	0	0	0	6.608974e+23	4.225631e-10	0.0002088802	8.208142e+12	1.277861e+07	6.580161e+07	1.817748e-07	6.091512e-14	4.242041e-21	0.5	0.5	0.02089157	1	28.47185	1.067289e+27	2.236414e+28	
24000	973	1e+19	0	5e-06	2.0736e+26	1.682558e+26	1.65687e+26	2.568856e+24	3.052151e+25	8.582678e+24	2.592e+25	2.103198e+25	2.071087e+25	3.21107e+23	3.815189e+24	1.072835e+24	0.04139023	1.95264e+26	1.584409e+26	1.560219e+26	2.419006e+24	2.874109e+25	8.082022e+24	0	1.0368e+25	8.412791e+24	8.284348e+24	1.284428e+23	1.526076e+24	4.291339e+23	0	0	0	0	0	6.55386e+23	4.283029e-10	0.0002156944	7.790919e+12	1.382033e+07	7.115275e+07	1.865786e-07	6.417728e-14	4.587321e-21	0.5	0.5	0.02144367	1	29.70976	1.067289e+27	2.236414e+28	
25000	973	1e+19	0	5e-06	2.16e+26	1.745018e+26	1.718569e+26	2.644886e+24	3.137435e+25	1.012383e+25	2.7e+25	2.181273e+25	2.148212e+25	3.306108e+23	3.921794e+24	1.265479e+24	0.04686958	2.034e+26	1.643225e+26	1.618319e+26	2.490601e+24	2.954418e+25	9.533273e+24	0	1.08e+25	8.725091e+24	8.592847e+24	1.322443e+23	1.568718e+24	5.061915e+23	0	0	0	0	0	6.50129e+23	4.338529e-10	0.0002223901	7.416275e+12	1.492417e+07	7.648283e+07	1.912332e-07	6.741929e-14	4.939278e-21	0.5	0.5	0.02197863	1	30.94767	1.067289e+27	2.236414e+28	
26000	973	1e+19	0	5e-06	2.2464e+26	1.80704e+26	1.779843e+26	2.719664e+24	3.228024e+25	1.165581e+25	2.808e+25	2.258799e+25	2.224804e+25	3.39958e+23	4.035029e+24	1.456976e+24	0.0518866	2.11536e+26	1.701629e+26	1.676019e+26	2.561017e+24	3.039722e+25	1.097588e+25	0	1.1232e+25	9.035198e+24	8.899215e+24	1.359832e+23	1.614012e+24	5.827903e+23	0	0	0	0	0	6.451058e+23	4.392257e-10	0.0002289722	7.076687e+12	1.609192e+07	8.18141e+07	1.957677e-07	7.065453e-14	5.29904e-21	0.5	0.5	0.02249979	1	32.18557	1.067289e+27	2.236414e+28	
27000	973	1e+19	0	5e-06	2.3328e+26	1.868632e+26	1.8407e+26	2.793241e+24	3.323114e+25	1.318562e+25	2.916e+25	2.335791e+25	2.300875e+25	3.491551e+23	4.153892e+24	1.648203e+24	0.05652272	2.19672e+26	1.759629e+26	1.733326e+26	2.630302e+24	3.129266e+25	1.241646e+25	0	1.1664e+25	9.343162e+24	9.2035e+24	1.396621e+23	1.661557e+24	6.59281e+23	0	0	0	0	0	6.402981e+23	4.444334e-10	0.0002354458	6.766536e+12	1.732527e+07	8.716373e+07	2.002041e-07	7.389305e-14	5.667514e-21	0.5	0.5	0.02300966	1	33.42348	1.067289e+27	2.236414e+28	
