Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	THERMOCHIMICA pressure (Pa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted - IG (at/m3)	Cs reacted - GB (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted - IG (at/m3)	I reacted - GB (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted - IG (at/m3)	Te reacted - GB (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgMOX)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Plutonium content (mol/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Stoichiometry deviation (/)	Uranium content (mol/m3)	Oxygen content (mol/m3)	
0	973	1e+19	-1	1000000	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
120.00099	973	1e+19	-1	1000000	5e-06	9.638544e+23	9.263384e+23	9.263384e+23	0	3.751602e+22	0	8.644199e+22	8.307742e+22	8.307742e+22	0	3.364574e+21	0	0	8.44598e+23	8.117238e+23	8.117238e+23	0	3.287421e+22	0	0	0	4.484357e+22	4.309813e+22	4.309813e+22	0	1.745442e+21	0	0	0	1.019789e+23	9.800957e+22	9.800957e+22	0	3.969315e+21	0	0	0	1.318197e+24	0	0	1.999723e+13	7699.91	433.7666	1.038941e-08	2.307379e-16	7.920382e-25	0.00461412	0.5	9.503144e-06	1	0.146604	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
240.00198	973	1e+19	-1	1000000	5e-06	1.927709e+24	1.623598e+24	1.496645e+24	1.269533e+23	3.041109e+23	0	1.72884e+23	1.456102e+23	1.342246e+23	1.138564e+22	2.727378e+22	0	0	1.689196e+24	1.422712e+24	1.311467e+24	1.112456e+23	2.664837e+23	1.342177e+08	0	0	8.968714e+22	7.553831e+22	6.963177e+22	5.906535e+21	1.414884e+22	0	0	0	2.039578e+23	1.717819e+23	1.583498e+23	1.343207e+22	3.217591e+22	0	0	0	1.326242e+24	0	0	1.999325e+13	56091.31	1684.438	2.072097e-08	9.1782e-16	6.283535e-24	0.0183502	0.5	7.537696e-05	1	0.2932079	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
360.00297	973	1e+19	-1	1000000	5e-06	2.891563e+24	2.313744e+24	2.131809e+24	1.819349e+23	5.77819e+23	0	2.59326e+23	2.07505e+23	1.911885e+23	1.631659e+22	5.182092e+22	0	0	2.533794e+24	2.027468e+24	1.868043e+24	1.594244e+23	5.063262e+23	0	0	0	1.345307e+23	1.076475e+23	9.918297e+22	8.464568e+21	2.688318e+22	8388608	0	0	3.059367e+23	2.448016e+23	2.255523e+23	1.92493e+22	6.11351e+22	0	0	0	1.326291e+24	1.266019e-10	1.127322e-05	1.998934e+13	106061	3204.639	2.566229e-08	1.407759e-15	1.193603e-23	0.02814016	0.5	0.000143156	1	0.4398119	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
480.00396	973	1e+19	-1	1000000	5e-06	3.855418e+24	2.999078e+24	2.707286e+24	2.917925e+23	8.563396e+23	0	3.45768e+23	2.689683e+23	2.427993e+23	2.616902e+22	7.679967e+22	0	0	3.378392e+24	2.628006e+24	2.372317e+24	2.556894e+23	7.503858e+23	0	0	0	1.793743e+23	1.395329e+23	1.259572e+23	1.357572e+22	3.984142e+22	1.677722e+07	0	0	4.079155e+23	3.173121e+23	2.864395e+23	3.087258e+22	9.060347e+22	0	0	0	1.04631e+24	1.544626e-10	1.615172e-05	1.998553e+13	156609.5	4893.188	2.92599e-08	1.830135e-15	1.769263e-23	0.03657622	0.5	0.000212158	1	0.5864159	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
600.00495	973	1e+19	-1	1000000	5e-06	4.819272e+24	3.678809e+24	3.382266e+24	2.965426e+23	1.140464e+24	0	4.322099e+23	3.29929e+23	3.03334e+23	2.659503e+22	1.022809e+23	0	0	4.22299e+24	3.223634e+24	2.963783e+24	2.598518e+23	9.993556e+23	0	0	0	2.242179e+23	1.711575e+23	1.573608e+23	1.379672e+22	5.306036e+22	1.677722e+07	0	0	5.098944e+23	3.892297e+23	3.578546e+23	3.137516e+22	1.206647e+23	0	0	0	9.953633e+23	1.840361e-10	2.59884e-05	1.99818e+13	208417.4	6716.561	3.219708e-08	2.216003e-15	2.357346e-23	0.04427973	0.5	0.000282624	1	0.7330199	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
720.00594	973	1e+19	-1	1000000	5e-06	5.783127e+24	4.354319e+24	4.010513e+24	3.438059e+23	1.428808e+24	0	5.186519e+23	3.905112e+23	3.596775e+23	3.083377e+22	1.281407e+23	0	0	5.067588e+24	3.815565e+24	3.514297e+24	3.012673e+23	1.252023e+24	0	0	0	2.690614e+23	2.025858e+23	1.865901e+23	1.599566e+22	6.647565e+22	3.355443e+07	0	0	6.118733e+23	4.607009e+23	4.243251e+23	3.637577e+22	1.511724e+23	0	0	0	9.462539e+23	1.884705e-10	2.653546e-05	1.997812e+13	261040.1	8653.825	3.471488e-08	2.576136e-15	2.954751e-23	0.05146635	0.5	0.0003541822	1	0.8796238	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
840.00693	973	1e+19	-1	1000000	5e-06	6.746981e+24	5.025747e+24	4.645727e+24	3.8002e+23	1.721233e+24	0	6.050939e+23	4.507274e+23	4.166458e+23	3.408159e+22	1.543665e+23	0	0	5.912186e+24	4.403918e+24	4.070918e+24	3.330007e+23	1.508268e+24	0	0	0	3.13905e+23	2.338242e+23	2.161437e+23	1.768053e+22	8.008083e+22	3.355443e+07	0	0	7.138522e+23	5.317402e+23	4.915328e+23	4.020734e+22	1.82112e+23	0	0	0	9.390238e+23	1.985538e-10	3.07893e-05	1.997449e+13	314498.6	10692.71	3.694371e-08	2.917551e-15	3.561193e-23	0.0582766	0.5	0.0004267981	1	1.026228	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
960.00792	973	1e+19	-1	1000000	5e-06	7.710835e+24	5.693552e+24	5.262868e+24	4.306842e+23	2.017283e+24	0	6.915359e+23	5.106186e+23	4.719933e+23	3.862533e+22	1.809173e+23	0	0	6.756784e+24	4.989097e+24	4.6117e+24	3.773962e+23	1.767687e+24	5.368709e+08	0	0	3.587486e+23	2.64894e+23	2.448563e+23	2.003769e+22	9.385461e+22	3.355443e+07	0	0	8.158311e+23	6.023961e+23	5.568283e+23	4.556777e+22	2.13435e+23	0	0	0	9.233267e+23	2.065129e-10	3.406319e-05	1.997089e+13	368666.8	12824.58	3.895685e-08	3.244181e-15	4.175662e-23	0.06478917	0.5	0.0005003501	1	1.172832	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
1080.00891	973	1e+19	-1	1000000	5e-06	8.67469e+24	6.357884e+24	5.881727e+24	4.761573e+23	2.316805e+24	0	7.779779e+23	5.701983e+23	5.274948e+23	4.270353e+22	2.077796e+23	0	0	7.601382e+24	5.571232e+24	5.153989e+24	4.17243e+23	2.03015e+24	1.073742e+09	0	0	4.035922e+23	2.958022e+23	2.736489e+23	2.215334e+22	1.0779e+23	6.710886e+07	0	0	9.1781e+23	6.726845e+23	6.223056e+23	5.037897e+22	2.451254e+23	6.710886e+07	0	0	9.1117e+23	2.162523e-10	3.859847e-05	1.996731e+13	423528.4	15043.55	4.080286e-08	3.558923e-15	4.797838e-23	0.07106212	0.5	0.0005747996	1	1.319436	10641	6.248414e+25	2.366474e+28	0	3.418666e+24	4.953635e+27	7.613533e+26	3.261665e+25	1.538615e+25	0.244	0	39411.11	78822.22	
