Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1273	1e+19	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	7.209709e+26	2.301694e+28	
55	1273	1e+19	0	5e-06	4.752285e+23	4.490571e+23	4.490571e+23	0	6.371363e+21	1.98e+22	5.940356e+22	5.613214e+22	5.613214e+22	0	0	3.27142e+21	0.04315383	1.308758e+24	0	0	1.999146e+13	531.1737	651.3093	4.664577e-09	4.011273e-17	7.168208e-26	0.0008019121	0.5	8.598176e-07	1	0.06719696	7.209709e+26	2.301694e+28	
110	1273	1e+19	0	5e-06	9.504854e+23	8.923271e+23	6.411827e+23	2.511444e+23	0	5.815823e+22	1.188107e+23	1.115409e+23	8.014784e+22	3.139306e+22	0	7.269779e+21	0.06118793	1.326059e+24	0	0	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.1343979	7.209709e+26	2.301694e+28	
165	1273	1e+19	0	5e-06	1.425771e+24	1.327415e+24	9.50296e+23	3.771189e+23	0	9.835581e+22	1.782213e+23	1.659269e+23	1.18787e+23	4.713987e+22	0	1.229448e+22	0.06898431	1.326288e+24	1.27651e-10	1.155578e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.2016029	7.209709e+26	2.301694e+28	
220	1273	1e+19	0	5e-06	1.901085e+24	1.757897e+24	1.170493e+24	5.874037e+23	0	1.431874e+23	2.376356e+23	2.197371e+23	1.463117e+23	7.342546e+22	0	1.789843e+22	0.07531881	1.045966e+24	1.582156e-10	1.735219e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.268812	7.209709e+26	2.301694e+28	
275	1273	1e+19	0	5e-06	2.376427e+24	2.180365e+24	1.547349e+24	6.330155e+23	0	1.96062e+23	2.970534e+23	2.725456e+23	1.934187e+23	7.912694e+22	0	2.450775e+22	0.08250286	9.892561e+23	1.868408e-10	2.702791e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.336025	7.209709e+26	2.301694e+28	
330	1273	1e+19	0	5e-06	2.851798e+24	2.597445e+24	1.85917e+24	7.382753e+23	0	2.543527e+23	3.564747e+23	3.246806e+23	2.323962e+23	9.228441e+22	0	3.179408e+22	0.0891903	9.420221e+23	1.947064e-10	2.912663e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.4032421	7.209709e+26	2.301694e+28	
385	1273	1e+19	0	5e-06	3.327197e+24	3.00938e+24	2.179841e+24	8.295388e+23	0	3.178172e+23	4.158996e+23	3.761724e+23	2.724801e+23	1.036924e+23	0	3.972715e+22	0.09552101	9.293348e+23	2.058786e-10	3.396989e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.4704632	7.209709e+26	2.301694e+28	
440	1273	1e+19	0	5e-06	3.802624e+24	3.416994e+24	2.478506e+24	9.384879e+23	0	3.856306e+23	4.75328e+23	4.271242e+23	3.098132e+23	1.17311e+23	0	4.820383e+22	0.1014117	9.12235e+23	2.153636e-10	3.816916e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.5376883	7.209709e+26	2.301694e+28	
495	1273	1e+19	0	5e-06	4.27808e+24	3.820448e+24	2.780069e+24	1.040379e+24	0	4.576328e+23	5.347601e+23	4.77556e+23	3.475086e+23	1.300473e+23	0	5.72041e+22	0.1069715	8.980256e+23	2.255844e-10	4.318218e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.6049175	7.209709e+26	2.301694e+28	
550	1273	1e+19	0	5e-06	4.753565e+24	4.220012e+24	3.078138e+24	1.141873e+24	0	5.335532e+23	5.941956e+23	5.275015e+23	3.847673e+23	1.427342e+23	0	6.669414e+22	0.1122427	8.831162e+23	2.347759e-10	4.787042e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.6721506	7.209709e+26	2.301694e+28	
605	1273	1e+19	0	5e-06	5.229078e+24	4.615845e+24	3.376736e+24	1.239108e+24	0	6.132335e+23	6.536348e+23	5.769806e+23	4.220921e+23	1.548885e+23	0	7.665419e+22	0.1172737	8.700017e+23	2.433857e-10	5.254045e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.7393878	7.209709e+26	2.301694e+28	
660	1273	1e+19	0	5e-06	5.704619e+24	5.008133e+24	3.67328e+24	1.334853e+24	0	6.964866e+23	7.130774e+23	6.260166e+23	4.5916e+23	1.668566e+23	0	8.706082e+22	0.1220917	8.579853e+23	2.51269e-10	5.701446e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.806629	7.209709e+26	2.301694e+28	
715	1273	1e+19	0	5e-06	6.180189e+24	5.397031e+24	3.968387e+24	1.428644e+24	0	7.831588e+23	7.725237e+23	6.746288e+23	4.960483e+23	1.785805e+23	0	9.789485e+22	0.1267208	8.471979e+23	2.586695e-10	6.141992e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.8738743	7.209709e+26	2.301694e+28	
770	1273	1e+19	0	5e-06	6.655788e+24	5.782682e+24	4.261601e+24	1.521081e+24	0	8.731059e+23	8.319735e+23	7.228352e+23	5.327002e+23	1.901351e+23	0	1.091382e+23	0.1311799	8.372575e+23	2.656342e-10	6.573548e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	0.9411235	7.209709e+26	2.301694e+28	
825	1273	1e+19	0	5e-06	7.131415e+24	6.165211e+24	4.553228e+24	1.611983e+24	0	9.662036e+23	8.914268e+23	7.706514e+23	5.691535e+23	2.014979e+23	0	1.207754e+23	0.1354855	8.280619e+23	2.722444e-10	6.998872e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.008377	7.209709e+26	2.301694e+28	
880	1273	1e+19	0	5e-06	7.60707e+24	6.544731e+24	4.843256e+24	1.701475e+24	0	1.062339e+24	9.508837e+23	8.180914e+23	6.05407e+23	2.126844e+23	0	1.327924e+23	0.1396515	8.194746e+23	2.785292e-10	7.417136e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.075634	7.209709e+26	2.301694e+28	
935	1273	1e+19	0	5e-06	8.082754e+24	6.921343e+24	5.131783e+24	1.78956e+24	0	1.161411e+24	1.010344e+24	8.651678e+23	6.414728e+23	2.23695e+23	0	1.451764e+23	0.14369	8.114334e+23	2.845247e-10	7.828912e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.142895	7.209709e+26	2.301694e+28	
990	1273	1e+19	0	5e-06	8.558466e+24	7.29514e+24	5.418816e+24	1.876323e+24	0	1.263326e+24	1.069808e+24	9.118924e+23	6.77352e+23	2.345404e+23	0	1.579158e+23	0.1476113	8.038724e+23	2.902566e-10	8.234213e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.210161	7.209709e+26	2.301694e+28	
1045	1273	1e+19	0	5e-06	9.034206e+24	7.666206e+24	5.70439e+24	1.961816e+24	0	1.368e+24	1.129276e+24	9.582758e+23	7.130487e+23	2.45227e+23	0	1.71e+23	0.1514245	7.967425e+23	2.957506e-10	8.633433e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.27743	7.209709e+26	2.301694e+28	
1100	1273	1e+19	0	5e-06	9.509976e+24	8.034622e+24	5.988523e+24	2.046099e+24	0	1.475354e+24	1.188747e+24	1.004328e+24	7.485653e+23	2.557624e+23	0	1.844192e+23	0.1551375	7.899973e+23	3.010278e-10	9.026807e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.344704	7.209709e+26	2.301694e+28	
1155	1273	1e+19	0	5e-06	9.985773e+24	8.400459e+24	6.271242e+24	2.129217e+24	0	1.585314e+24	1.248222e+24	1.050057e+24	7.839052e+23	2.661521e+23	0	1.981643e+23	0.1587573	7.835988e+23	3.061071e-10	9.414613e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.411981	7.209709e+26	2.301694e+28	
1210	1273	1e+19	0	5e-06	1.04616e+25	8.763785e+24	6.552569e+24	2.211216e+24	0	1.697814e+24	1.3077e+24	1.095473e+24	8.190711e+23	2.764019e+23	0	2.122268e+23	0.1622901	7.775136e+23	3.110043e-10	9.79706e-05	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.479262	7.209709e+26	2.301694e+28	
1265	1273	1e+19	0	5e-06	1.093745e+25	9.124663e+24	6.832529e+24	2.292134e+24	0	1.812791e+24	1.367182e+24	1.140583e+24	8.540661e+23	2.865168e+23	0	2.265988e+23	0.1657416	7.717135e+23	3.157335e-10	0.0001017436	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.546548	7.209709e+26	2.301694e+28	
1320	1273	1e+19	0	5e-06	1.141334e+25	9.483152e+24	7.111141e+24	2.372011e+24	0	1.930184e+24	1.426667e+24	1.185394e+24	8.888927e+23	2.965014e+23	0	2.41273e+23	0.1691165	7.661738e+23	3.203072e-10	0.0001054668	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.613837	7.209709e+26	2.301694e+28	
1375	1273	1e+19	0	5e-06	1.188925e+25	9.839309e+24	7.388427e+24	2.450882e+24	0	2.049939e+24	1.486156e+24	1.229914e+24	9.235534e+23	3.063602e+23	0	2.562424e+23	0.1724196	7.60873e+23	3.247361e-10	0.0001091422	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.681131	7.209709e+26	2.301694e+28	
1430	1273	1e+19	0	5e-06	1.236519e+25	1.019318e+25	7.664405e+24	2.528779e+24	0	2.172004e+24	1.545648e+24	1.274148e+24	9.580506e+23	3.160974e+23	0	2.715005e+23	0.1756547	7.557922e+23	3.290302e-10	0.0001127712	2.000805e+13	0	0	0	0	0	0	0.5	0	1	1.748429	7.209709e+26	2.301694e+28	
