t (h)	Normalized Domain (-)	Slopes (at/m2.s)	Intercepts (at/m3.s)	Volume Average (at/m3.s)
0	0 0.2 0.5 1	0 1e+30 0	1e+19 0 1e+19	2.28384e+23
55	0 0.2 0.5 1	0 9.9e+29 0	1e+19 1e+17 1e+19	2.261e+23
110	0 0.2 0.5 1	0 9.8e+29 0	1e+19 2e+17 1e+19	2.23816e+23
165	0 0.2 0.5 1	0 9.7e+29 0	1e+19 3e+17 1e+19	2.21533e+23
220	0 0.2 0.5 1	0 9.6e+29 0	1e+19 4e+17 1e+19	2.19249e+23
275	0 0.2 0.5 1	0 9.5e+29 0	1e+19 5e+17 1e+19	2.16965e+23
330	0 0.2 0.5 1	0 9.4e+29 0	1e+19 6e+17 1e+19	2.14681e+23
385	0 0.2 0.5 1	0 9.3e+29 0	1e+19 7e+17 1e+19	2.12398e+23
440	0 0.2 0.5 1	0 9.2e+29 0	1e+19 8e+17 1e+19	2.10114e+23
495	0 0.2 0.5 1	0 9.1e+29 0	1e+19 9e+17 1e+19	2.0783e+23
550	0 0.2 0.5 1	0 9e+29 0	1e+19 1e+18 1e+19	2.05546e+23
605	0 0.2 0.5 1	0 8.9e+29 0	1e+19 1.1e+18 1e+19	2.03263e+23
660	0 0.2 0.5 1	0 8.8e+29 0	1e+19 1.2e+18 1e+19	2.00979e+23
715	0 0.2 0.5 1	0 8.7e+29 0	1e+19 1.3e+18 1e+19	1.98695e+23
770	0 0.2 0.5 1	0 8.6e+29 0	1e+19 1.4e+18 1e+19	1.96411e+23
825	0 0.2 0.5 1	0 8.5e+29 0	1e+19 1.5e+18 1e+19	1.94128e+23
880	0 0.2 0.5 1	0 8.4e+29 0	1e+19 1.6e+18 1e+19	1.91844e+23
935	0 0.2 0.5 1	0 8.3e+29 0	1e+19 1.7e+18 1e+19	1.8956e+23
990	0 0.2 0.5 1	0 8.2e+29 0	1e+19 1.8e+18 1e+19	1.87277e+23
1045	0 0.2 0.5 1	0 8.1e+29 0	1e+19 1.9e+18 1e+19	1.84993e+23
1100	0 0.2 0.5 1	0 8e+29 0	1e+19 2e+18 1e+19	1.82709e+23
1155	0 0.2 0.5 1	0 7.9e+29 0	1e+19 2.1e+18 1e+19	1.80425e+23
1210	0 0.2 0.5 1	0 7.8e+29 0	1e+19 2.2e+18 1e+19	1.78142e+23
1265	0 0.2 0.5 1	0 7.7e+29 0	1e+19 2.3e+18 1e+19	1.75858e+23
1320	0 0.2 0.5 1	0 7.6e+29 0	1e+19 2.4e+18 1e+19	1.73574e+23
1375	0 0.2 0.5 1	0 7.5e+29 0	1e+19 2.5e+18 1e+19	1.7129e+23
1430	0 0.2 0.5 1	0 7.4e+29 0	1e+19 2.6e+18 1e+19	1.69007e+23
1485	0 0.2 0.5 1	0 7.3e+29 0	1e+19 2.7e+18 1e+19	1.66723e+23
1540	0 0.2 0.5 1	0 7.2e+29 0	1e+19 2.8e+18 1e+19	1.64439e+23
1595	0 0.2 0.5 1	0 7.1e+29 0	1e+19 2.9e+18 1e+19	1.62155e+23
1650	0 0.2 0.5 1	0 7e+29 0	1e+19 3e+18 1e+19	1.59872e+23
1705	0 0.2 0.5 1	0 6.9e+29 0	1e+19 3.1e+18 1e+19	1.57588e+23
1760	0 0.2 0.5 1	0 6.8e+29 0	1e+19 3.2e+18 1e+19	1.55304e+23
1815	0 0.2 0.5 1	0 6.7e+29 0	1e+19 3.3e+18 1e+19	1.5302e+23
1870	0 0.2 0.5 1	0 6.6e+29 0	1e+19 3.4e+18 1e+19	1.50737e+23
1925	0 0.2 0.5 1	0 6.5e+29 0	1e+19 3.5e+18 1e+19	1.48453e+23
1980	0 0.2 0.5 1	0 6.4e+29 0	1e+19 3.6e+18 1e+19	1.46169e+23
2035	0 0.2 0.5 1	0 6.3e+29 0	1e+19 3.7e+18 1e+19	1.43886e+23
2090	0 0.2 0.5 1	0 6.2e+29 0	1e+19 3.8e+18 1e+19	1.41602e+23
2145	0 0.2 0.5 1	0 6.1e+29 0	1e+19 3.9e+18 1e+19	1.39318e+23
2200	0 0.2 0.5 1	0 6e+29 0	1e+19 4e+18 1e+19	1.37034e+23
2255	0 0.2 0.5 1	0 5.9e+29 0	1e+19 4.1e+18 1e+19	1.34751e+23
2310	0 0.2 0.5 1	0 5.8e+29 0	1e+19 4.2e+18 1e+19	1.32467e+23
2365	0 0.2 0.5 1	0 5.7e+29 0	1e+19 4.3e+18 1e+19	1.30183e+23
2420	0 0.2 0.5 1	0 5.6e+29 0	1e+19 4.4e+18 1e+19	1.27899e+23
2475	0 0.2 0.5 1	0 5.5e+29 0	1e+19 4.5e+18 1e+19	1.25616e+23
2530	0 0.2 0.5 1	0 5.4e+29 0	1e+19 4.6e+18 1e+19	1.23332e+23
2585	0 0.2 0.5 1	0 5.3e+29 0	1e+19 4.7e+18 1e+19	1.21048e+23
2640	0 0.2 0.5 1	0 5.2e+29 0	1e+19 4.8e+18 1e+19	1.18764e+23
2695	0 0.2 0.5 1	0 5.1e+29 0	1e+19 4.9e+18 1e+19	1.16481e+23
2750	0 0.2 0.5 1	0 5e+29 0	1e+19 5e+18 1e+19	1.14197e+23
2805	0 0.2 0.5 1	0 4.9e+29 0	1e+19 5.1e+18 1e+19	1.11913e+23
2860	0 0.2 0.5 1	0 4.8e+29 0	1e+19 5.2e+18 1e+19	1.09629e+23
2915	0 0.2 0.5 1	0 4.7e+29 0	1e+19 5.3e+18 1e+19	1.07346e+23
2970	0 0.2 0.5 1	0 4.6e+29 0	1e+19 5.4e+18 1e+19	1.05062e+23
3025	0 0.2 0.5 1	0 4.5e+29 0	1e+19 5.5e+18 1e+19	1.02778e+23
3080	0 0.2 0.5 1	0 4.4e+29 0	1e+19 5.6e+18 1e+19	1.00494e+23
3135	0 0.2 0.5 1	0 4.3e+29 0	1e+19 5.7e+18 1e+19	9.82107e+22
3190	0 0.2 0.5 1	0 4.2e+29 0	1e+19 5.8e+18 1e+19	9.5927e+22
