log_P_O2	log_P_I	log_P_Cs	Fase	Reazione	Reagenti	Prodotti Solidi	Prodotti Gas	Cs Atoms Transferred	O2 Atoms Transferred	I Atoms Transferred
-100.0	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-97.95918367346938	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-95.91836734693878	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-93.87755102040816	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-91.83673469387755	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-89.79591836734694	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-87.75510204081633	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-85.71428571428571	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-83.6734693877551	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-81.63265306122449	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-79.59183673469389	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-77.55102040816327	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-75.51020408163265	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-73.46938775510205	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-71.42857142857143	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-69.38775510204081	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-67.34693877551021	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-65.3061224489796	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-63.265306122448976	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-61.224489795918366	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-59.183673469387756	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-57.14285714285714	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-55.10204081632653	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-53.06122448979592	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-51.0204081632653	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-48.97959183673469	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-46.93877551020408	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-44.89795918367347	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-42.857142857142854	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-40.816326530612244	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-38.775510204081634	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-36.73469387755102	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-34.69387755102041	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-32.65306122448979	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-30.612244897959187	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-28.57142857142857	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-26.530612244897952	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-24.48979591836735	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-22.448979591836732	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-20.408163265306115	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-18.367346938775512	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-16.326530612244895	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-14.285714285714278	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-12.244897959183675	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-10.204081632653057	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-8.16326530612244	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-6.122448979591837	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-4.08163265306122	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-2.040816326530603	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
0.0	-100.0	-100.0	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-100.0	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-97.95918367346938	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-95.91836734693878	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-93.87755102040816	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-91.83673469387755	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-89.79591836734694	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-87.75510204081633	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-85.71428571428571	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-83.6734693877551	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-81.63265306122449	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-79.59183673469389	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-77.55102040816327	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-75.51020408163265	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-73.46938775510205	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-71.42857142857143	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-69.38775510204081	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-67.34693877551021	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-65.3061224489796	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-63.265306122448976	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-61.224489795918366	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-59.183673469387756	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-57.14285714285714	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-55.10204081632653	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-53.06122448979592	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-51.0204081632653	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-48.97959183673469	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-46.93877551020408	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-44.89795918367347	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-42.857142857142854	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-40.816326530612244	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-38.775510204081634	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
-36.73469387755102	-100.0	-97.95918367346938	Cs+I+O2	Cs+I+O2	Cs, I, O2		Cs, I, O2	0	0.0	0
