source	case	temperature	pu_m_percent	om	exp_mu	sci_mu	residual
Ewart1979a	Ewart1979a/T_1100K_q_30	1100.0	30.0	1.994	-574.0	-513.5845	60.41549999999995
Ewart1979a	Ewart1979a/T_1100K_q_30	1100.0	30.0	1.995	-565.0	-507.0042	57.995799999999974
Ewart1979a	Ewart1979a/T_1100K_q_30	1100.0	30.0	1.995	-561.0	-507.0042	53.995799999999974
Ewart1979a	Ewart1979a/T_1100K_q_30	1100.0	30.0	1.996	-557.0	-498.9907	58.009299999999996
Ewart1979a	Ewart1979a/T_1100K_q_30	1100.0	30.0	1.996	-557.0	-498.9907	58.009299999999996
Ewart1979a	Ewart1979a/T_1100K_q_30	1100.0	30.0	1.997	-548.0	-488.7489	59.25110000000001
Ewart1979a	Ewart1979a/T_1100K_q_30	1100.0	30.0	1.997	-548.0	-488.7489	59.25110000000001
Ewart1979a	Ewart1979a/T_1100K_q_30	1100.0	30.0	1.999	-519.0	-451.3177	67.6823
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.989	-548.0	-519.9996	28.000400000000013
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.99	-544.0	-516.0022	27.997799999999984
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.992	-532.0	-506.6691	25.330899999999986
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.993	-519.0	-501.1055	17.894499999999994
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.993	-523.0	-501.1055	21.894499999999994
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.993	-523.0	-501.1055	21.894499999999994
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.995	-498.0	-487.1852	10.814799999999991
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.996	-502.0	-478.0591	23.9409
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.996	-498.0	-478.0591	19.9409
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.996	-498.0	-478.0591	19.9409
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.997	-486.0	-466.4662	19.533799999999985
Ewart1979b	Ewart1979b/T_1273K_q_25	1273.0	25.0	1.999	-446.0	-425.2272	20.772800000000018
Ewart1984	Ewart1984/T_1007K_q_20	1007.0	20.0	1.996	-614.0	-542.1154	71.88459999999998
Ewart1984	Ewart1984/T_1063K_q_20	1063.0	20.0	1.998	-544.0	-509.0228	34.97719999999998
Ewart1984	Ewart1984/T_1099K_q_20	1099.0	20.0	1.992	-623.0	-552.8063	70.19370000000004
Ewart1984	Ewart1984/T_1099K_q_20	1099.0	20.0	1.995	-596.0	-535.6324	60.36760000000004
Ewart1984	Ewart1984/T_1100K_q_20	1100.0	20.0	1.995	-600.0	-535.4669	64.53309999999999
Ewart1984	Ewart1984/T_1101K_q_20	1101.0	20.0	1.994	-611.0	-541.9748	69.02520000000004
Ewart1984	Ewart1984/T_1101K_q_20	1101.0	20.0	1.996	-590.0	-527.1342	62.865800000000036
Ewart1984	Ewart1984/T_1122K_q_20	1122.0	20.0	1.998	-533.0	-497.6063	35.393700000000024
Ewart1984	Ewart1984/T_1169K_q_20	1169.0	20.0	1.952	-667.0	-611.5238	55.47619999999995
Ewart1984	Ewart1984/T_1179K_q_20	1179.0	20.0	1.996	-564.0	-512.8298	51.17020000000002
Ewart1984	Ewart1984/T_1189K_q_20	1189.0	20.0	1.952	-659.0	-609.3103	49.689700000000016
Ewart1984	Ewart1984/T_1194K_q_20	1194.0	20.0	1.995	-572.0	-518.7562	53.243799999999965
Ewart1984	Ewart1984/T_1195K_q_20	1195.0	20.0	1.992	-591.0	-537.2269	53.7731
Ewart1984	Ewart1984/T_1195K_q_20	1195.0	20.0	1.994	-581.0	-525.8037	55.19629999999995
Ewart1984	Ewart1984/T_1203K_q_20	1203.0	20.0	1.998	-514.0	-480.5235	33.47649999999999
Ewart1984	Ewart1984/T_1204K_q_20	1204.0	20.0	1.995	-571.0	-516.8542	54.14580000000001
Ewart1984	Ewart1984/T_1248K_q_20	1248.0	20.0	1.952	-640.0	-602.2519	37.74810000000002
Ewart1984	Ewart1984/T_1258K_q_20	1258.0	20.0	1.996	-535.0	-496.9215	38.07850000000002
Ewart1984	Ewart1984/T_1260K_q_20	1260.0	20.0	1.992	-565.0	-525.4623	39.53769999999997
Ewart1984	Ewart1984/T_1261K_q_20	1261.0	20.0	1.994	-557.0	-513.2348	43.76520000000005
Ewart1984	Ewart1984/T_1263K_q_20	1263.0	20.0	1.995	-545.0	-505.2056	39.794399999999996
Ewart1984	Ewart1984/T_1263K_q_20	1263.0	20.0	1.998	-500.0	-467.0361	32.963900000000024
Ewart1984	Ewart1984/T_1266K_q_20	1266.0	20.0	1.952	-640.0	-599.9509	40.04909999999995
Ewart1984	Ewart1984/T_1267K_q_20	1267.0	20.0	1.952	-632.0	-599.8211	32.1789
Ewart1984	Ewart1984/T_1273K_q_20	1273.0	20.0	1.995	-547.0	-503.1638	43.83620000000002
Ewart1984	Ewart1984/T_1293K_q_20	1293.0	20.0	1.952	-655.0	-596.3782	58.62180000000001
Ewart1984	Ewart1984/T_1295K_q_20	1295.0	20.0	1.994	-544.0	-506.425	37.57499999999999
Ewart1984	Ewart1984/T_1325K_q_20	1325.0	20.0	1.952	-622.0	-591.9646	30.03539999999998
Ewart1984	Ewart1984/T_1404K_q_20	1404.0	20.0	1.952	-589.0	-580.3032	8.696800000000053
Johnson1973	Johnson1973/T_1723K_q_20	1723.0	20.0	1.988	-366.0	-447.7767	-81.7767
Johnson1973	Johnson1973/T_1908K_q_20	1908.0	20.0	2.0	-317.0	-305.7507	11.249300000000005
Johnson1973	Johnson1973/T_1943K_q_20	1943.0	20.0	1.998	-308.0	-349.7743	-41.77429999999998
Johnson1973	Johnson1973/T_1998K_q_20	1998.0	20.0	2.0	-316.0	-300.5424	15.457600000000014
Johnson1973	Johnson1973/T_2028K_q_20	2028.0	20.0	1.998	-309.0	-337.8985	-28.898500000000013
Johnson1973	Johnson1973/T_2043K_q_20	2043.0	20.0	1.988	-340.0	-394.5837	-54.58370000000002
Johnson1973	Johnson1973/T_2048K_q_20	2048.0	20.0	2.0	-343.0	-297.5407	45.459299999999985
Johnson1973	Johnson1973/T_2053K_q_20	2053.0	20.0	2.0	-333.0	-297.2366	35.76339999999999
Johnson1973	Johnson1973/T_2118K_q_20	2118.0	20.0	1.998	-299.0	-325.8593	-26.85930000000002
Johnson1973	Johnson1973/T_2178K_q_20	2178.0	20.0	1.988	-324.0	-375.8562	-51.8562
Johnson1973	Johnson1973/T_2205K_q_20	2205.0	20.0	2.0	-304.0	-287.6719	16.328100000000006
Johnson1973	Johnson1973/T_2213K_q_20	2213.0	20.0	2.0	-312.0	-287.1526	24.847399999999993
