source	case	temperature	pu_m_percent	om	exp_mu	sci_mu	residual
AdamsonAndCarney1974	AdamsonAndCarney1974/T_1623K_q_15	1623.0	15.0	2.071	-161.3	-163.3603	-2.060299999999984
AdamsonAndCarney1974	AdamsonAndCarney1974/T_1773K_q_15	1773.0	15.0	2.046	-159.6	-175.1878	-15.587800000000016
AdamsonAndCarney1974	AdamsonAndCarney1974/T_1773K_q_15	1773.0	15.0	2.05	-159.6	-172.7298	-13.129800000000017
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9982	-325.15	-402.2516	-77.10160000000002
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9986	-312.34	-394.83842222222165	-82.49842222222168
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9987	-315.98	-392.6227277777783	-76.6427277777783
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9987	-279.68	-392.6227277777783	-112.94272777777832
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.999	-299.57	-385.3713111111082	-85.80131111110819
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9991	-304.0	-382.4001999999967	-78.40019999999669
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9991	-282.06	-382.4001999999967	-100.34019999999668
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9993	-298.44	-376.0948166666608	-77.65481666666079
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9995	-258.45	-366.52098333333214	-108.07098333333215
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9996	-256.11	-361.73406666666784	-105.62406666666783
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9998	-261.01	-341.0893444444473	-80.07934444444732
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9998	-225.21	-341.0893444444473	-115.8793444444473
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0	-245.35	-317.6769	-72.3269
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0001	-298.31	-306.01256666664653	-7.702566666646533
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0003	-257.7	-282.68389999999135	-24.983899999991365
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0003	-216.21	-282.68389999999135	-66.47389999999135
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0004	-216.46	-273.81184444445137	-57.35184444445136
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0004	-215.75	-273.81184444445137	-58.06184444445137
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0011	-209.09	-248.28850555555306	-39.198505555553055
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0042	-204.4	-214.41996666666668	-10.019966666666676
