source	case	temperature	pu_m_percent	om	exp_mu	sci_mu	residual
AdamsonAndCarney1974	AdamsonAndCarney1974/T_1623K_q_15	1623.0	15.0	2.071	-161.3	-145.345	15.955000000000013
AdamsonAndCarney1974	AdamsonAndCarney1974/T_1773K_q_15	1773.0	15.0	2.046	-159.6	-151.1185	8.481499999999983
AdamsonAndCarney1974	AdamsonAndCarney1974/T_1773K_q_15	1773.0	15.0	2.05	-159.6	-147.3565	12.243499999999983
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9982	-325.15	-420.9074	-95.75740000000002
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9986	-312.34	-414.0751999999995	-101.73519999999951
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9987	-315.98	-411.9999500000005	-96.0199500000005
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9987	-279.68	-411.9999500000005	-132.31995000000052
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.999	-299.57	-405.10446666666377	-105.53446666666377
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9991	-304.0	-402.19204999999675	-98.19204999999675
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9991	-282.06	-402.19204999999675	-120.13204999999675
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9993	-298.44	-396.0028111111053	-97.5628111111053
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9995	-258.45	-386.53392222222107	-128.08392222222108
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9996	-256.11	-381.799477777779	-125.68947777777896
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9998	-261.01	-362.5944111111138	-101.58441111111381
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	1.9998	-225.21	-362.5944111111138	-137.3844111111138
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0	-245.35	-340.9553	-95.60530000000003
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0001	-298.31	-330.3045777777594	-31.99457777775939
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0003	-257.7	-309.0031333333255	-51.30313333332549
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0003	-216.21	-309.0031333333255	-92.79313333332547
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0004	-216.46	-300.7864555555623	-84.32645555556232
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0004	-215.75	-300.7864555555623	-85.03645555556233
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0011	-209.09	-275.6425999999975	-66.55259999999751
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0042	-204.4	-241.53383333333332	-37.133833333333314
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0052	-200.67	-235.97802222222296	-35.308022222222974
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0057	-194.81	-233.57704999999967	-38.76704999999967
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0196	-182.5	-197.49952222222205	-14.999522222222055
Chilton1979	Chilton1979/T_1523K_q_23p16	1523.0	23.16	2.0342	-173.04	-176.0138	-2.9738000000000113
Chilton1979	Chilton1979/T_1623K_q_23p16	1623.0	23.16	1.999	-297.72	-377.4302	-79.71019999999999
Chilton1979	Chilton1979/T_1623K_q_23p16	1623.0	23.16	1.9991	-308.06	-374.70443207547015	-66.64443207547015
Chilton1979	Chilton1979/T_1623K_q_23p16	1623.0	23.16	1.9995	-297.93	-359.57319056603427	-61.643190566034264
