case,T_K,target_FIMA_percent,quantity,sciantix_column,reference_column,sciantix,reference,abs_diff,rel_diff,status,warning
test_UN_T900_FIMA1p3,900,1.3,FIMA (%),FIMA (%),FIMA (%),1.3000000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,PASS,
test_UN_T900_FIMA1p3,900,1.3,Intragranular bulk gas bubble swelling,Intragranular bulk gas bubble swelling (/),Intragranular bulk gas bubble swelling (/),4.0784089999999999e-03,6.5631755183815990e-03,2.4847665183815992e-03,3.7859211770620343e-01,FAIL,
test_UN_T900_FIMA1p3,900,1.3,Dislocation gas bubble swelling,Dislocation gas bubble swelling (/),Dislocation gas bubble swelling (/),3.3896310000000002e-03,4.2108371906683460e-03,8.2120619066834580e-04,1.9502207126132171e-01,PASS,
test_UN_T900_FIMA1p3,900,1.3,Intragranular gas bubble swelling,Intragranular gas bubble swelling (/),Intragranular gas bubble swelling (/),7.4680399999999996e-03,1.0774012709049945e-02,3.3059727090499454e-03,3.0684692865388935e-01,PASS,
test_UN_T900_FIMA1p3,900,1.3,Dislocation bubble radius,Dislocation bubble radius (m),Dislocation bubble radius (m),3.8119760000000003e-08,3.9272287484251646e-08,1.1525274842516429e-09,2.9347093283369634e-02,PASS,
test_UN_T900_FIMA1p3,900,1.3,Dislocation bubble concentration,Dislocation bubble concentration (bub/m3),Dislocation bubble concentration (bub/m3),1.4608760000000000e+19,1.6596680973774017e+19,1.9879209737740165e+18,1.1977822414706400e-01,PASS,
test_UN_T900_FIMA1p3,900,1.3,Dislocation bubble pressure,Dislocation bubble pressure (MPa),Dislocation bubble pressure (MPa),2.7491789999999997e+02,2.5890277926938904e+02,1.6015120730610931e+01,6.1857662462352921e-02,PASS,
test_UN_T900_FIMA1p3,900,1.3,Dislocation bubble equilibrium pressure,Dislocation bubble equilibrium pressure (MPa),Dislocation bubble equilibrium pressure (MPa),5.8237520000000004e+01,5.6528410800879122e+01,1.7091091991208813e+00,3.0234517031465909e-02,PASS,
test_UN_T900_FIMA1p3,900,1.3,UN grain-face gas,UN grain-face gas (at/m3),UN grain-face gas (at/m3),3.9750519999999999e+24,4.9727567690989943e+24,9.9770476909899443e+23,2.0063413825079704e-01,PASS,
test_UN_T900_FIMA1p3,900,1.3,UN released gas,UN released gas (at/m3),UN released gas (at/m3),0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,PASS,
test_UN_T900_FIMA1p3,900,1.3,UN fission gas release,UN fission gas release (/),UN fission gas release (/),0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,PASS,
test_UN_T900_FIMA1p3,900,1.3,Grain-face fractional coverage,Grain-face fractional coverage (/),Grain-face fractional coverage (/),5.2949099999999999e-02,7.3498444114424757e-02,2.0549344114424759e-02,2.7958883160074621e-01,PASS,
test_UN_T900_FIMA1p3,900,1.3,UN bulk nucleation rate,UN bulk nucleation rate (bub/m3/s),UN bulk nucleation rate (bub/m3/s),7.9636580000000000e+16,8.4986195084429808e+16,5.3496150844298080e+15,6.2946871302041657e-02,PASS,
test_UN_T1200_FIMA1p3,1200,1.3,FIMA (%),FIMA (%),FIMA (%),1.3000000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,PASS,
