case,metric,experimental,legacy,barani_2019,zullo_2026,zullo_nicodemo_2026
test_White2004_4000-1,radius_m,9.120000000000001e-08,6.480828e-10,8.090113e-08,5.54589e-08,7.764119e-08
test_White2004_4000-1,density_bub_m3,1.3799999999999998e+19,4.233911e+23,4e+19,1.873374e+20,7.46242e+19
test_White2004_4000-1,swelling_percent,4.39,0.04827494,8.871813000000001,13.385259999999999,14.630019999999998
test_White2004_4000-2,radius_m,8.56e-08,6.31778e-10,7.961314e-08,5.337017e-08,7.595195e-08
test_White2004_4000-2,density_bub_m3,1.26e+19,4.288383e+23,4e+19,1.873374e+20,7.46242e+19
test_White2004_4000-2,swelling_percent,3.31,0.04529765,8.454792,11.92913,13.695730000000001
test_White2004_4000-3,radius_m,7.35e-08,6.125332e-10,7.807919e-08,5.179927e-08,7.373773e-08
test_White2004_4000-3,density_bub_m3,2.09e+19,4.352249e+23,4e+19,1.869931e+20,7.425532e+19
test_White2004_4000-3,swelling_percent,3.7,0.04189779,7.975437,10.88642,12.47054
test_White2004_4000-4,radius_m,6.580000000000001e-08,5.901412e-10,7.572388e-08,5.072389e-08,6.991914e-08
test_White2004_4000-4,density_bub_m3,3.39e+19,4.434603e+23,4e+19,1.873418e+20,7.462891e+19
test_White2004_4000-4,swelling_percent,4.05,0.03817782,7.275237,10.24144,10.685229999999999
test_White2004_4004-1,radius_m,6.440000000000001e-08,6.756802e-10,8.098169e-08,5.519526e-08,7.892881e-08
test_White2004_4004-1,density_bub_m3,3.8e+19,4.206737e+23,4e+19,1.849219e+20,7.204771e+19
test_White2004_4004-1,swelling_percent,4.25,0.05435726,8.898343,13.025139999999999,14.839369999999999
test_White2004_4004-2,radius_m,6.81e-08,6.642489e-10,7.986371e-08,5.385977e-08,7.779193e-08
test_White2004_4004-2,density_bub_m3,4.38e+19,4.256663e+23,4e+19,1.849219e+20,7.204771e+19
test_White2004_4004-2,swelling_percent,5.8,0.05225771,8.534873,12.10237,14.20733
test_White2004_4004-3,radius_m,4.510000000000001e-08,6.490717e-10,7.862685e-08,5.185975e-08,7.579521e-08
test_White2004_4004-3,density_bub_m3,1.38e+20,4.312399e+23,4e+19,1.85095e+20,7.223147e+19
test_White2004_4004-3,swelling_percent,5.29,0.049395299999999996,8.144440999999999,10.81371,13.17469
test_White2004_4004-4,radius_m,4.3500000000000006e-08,6.337161e-10,7.678048e-08,4.999647e-08,7.312002e-08
test_White2004_4004-4,density_bub_m3,1.09e+20,4.359651e+23,4e+19,1.852676e+20,7.241482e+19
test_White2004_4004-4,swelling_percent,3.77,0.04647556,7.584046999999999,9.698533,11.85837
test_White2004_4005-1,radius_m,6.82e-08,1.332846e-09,8.518266e-08,5.50758e-08,8.095796e-08
test_White2004_4005-1,density_bub_m3,4.9e+19,4.272726e+23,3.616972e+19,1.143064e+20,4.282411e+19
test_White2004_4005-1,swelling_percent,6.5,0.4237735,9.364559999999999,7.9991080000000006,9.518215
test_White2004_4005-2,radius_m,5.620000000000001e-08,1.333692e-09,8.381355e-08,5.423624e-08,7.945657e-08
test_White2004_4005-2,density_bub_m3,6.769999999999999e+19,4.304733e+23,3.671552e+19,1.143064e+20,4.350073e+19
test_White2004_4005-2,swelling_percent,5.04,0.42776159999999996,9.054844,7.638845,9.140597
test_White2004_4005-3,radius_m,4.4100000000000004e-08,1.341075e-09,8.10253e-08,5.268104e-08,7.626774e-08
test_White2004_4005-3,density_bub_m3,1.59e+20,4.376166e+23,3.776872e+19,1.144133e+20,4.489408e+19
test_White2004_4005-3,swelling_percent,5.72,0.44212110000000004,8.415557999999999,7.00694,8.342579
test_White2004_4005-4,radius_m,2.97e-08,1.321205e-09,7.482546e-08,4.906151e-08,7.077114e-08
test_White2004_4005-4,density_bub_m3,2.1e+20,4.5966e+23,3.947658e+19,1.1431e+20,4.56851e+19
test_White2004_4005-4,swelling_percent,2.31,0.44405369999999994,6.927496,5.654517,6.783155000000001
test_White2004_4064-1,radius_m,6.17e-08,1.765858e-09,8.769206e-08,5.695578e-08,8.031162e-08
test_White2004_4064-1,density_bub_m3,3.77e+19,1.851309e+23,3.346497e+19,1.209341e+20,4.569389e+19
test_White2004_4064-1,swelling_percent,3.71,0.42700669999999996,9.452787,9.359464000000001,9.914753
test_White2004_4064-2,radius_m,5.69e-08,1.775062e-09,8.707208e-08,5.654776e-08,7.980507e-08
test_White2004_4064-2,density_bub_m3,4.2e+19,1.845781e+23,3.364866e+19,1.209341e+20,4.580812e+19
test_White2004_4064-2,swelling_percent,3.24,0.43242369999999997,9.304501,9.159755,9.752648
test_White2004_4064-3,radius_m,6.29e-08,1.710301e-09,8.262263e-08,5.308893e-08,7.524424e-08
test_White2004_4064-3,density_bub_m3,3.78e+19,1.958374e+23,3.480819e+19,1.209558e+20,4.801486e+19
test_White2004_4064-3,swelling_percent,3.95,0.4103949,8.223699,7.5810130000000004,8.56809
test_White2004_4064-4,radius_m,5.1500000000000005e-08,1.752741e-09,8.159576e-08,5.245417e-08,7.418465e-08
test_White2004_4064-4,density_bub_m3,4.82e+19,1.941526e+23,3.468312e+19,1.208179e+20,4.781827e+19
test_White2004_4064-4,swelling_percent,2.76,0.43791009999999997,7.892408,7.303987000000001,8.177577
test_White2004_4065-1,radius_m,1.8990000000000003e-07,1.223224e-09,7.279126e-08,6.822012e-08,0.0
test_White2004_4065-1,density_bub_m3,1.4000000000000003e+18,2.849684e+23,3.905109e+19,4.693948e+19,0.0
test_White2004_4065-1,swelling_percent,3.96,0.2184756,6.308986,6.2425809999999995,0.0
test_White2004_4065-2,radius_m,1.7460000000000001e-07,1.198612e-09,7.061931e-08,6.603566e-08,0.0
test_White2004_4065-2,density_bub_m3,1.5e+18,2.92332e+23,3.928681e+19,4.690666e+19,0.0
test_White2004_4065-2,swelling_percent,3.28,0.21086310000000003,5.795699,5.657946,0.0
test_White2004_4065-3,radius_m,1.416e-07,1.189319e-09,6.862297e-08,6.399333e-08,0.0
test_White2004_4065-3,density_bub_m3,2.5e+18,2.970746e+23,3.974316e+19,4.694596e+19,0.0
test_White2004_4065-3,swelling_percent,2.93,0.2093386,5.379718,5.153366,0.0
test_White2004_4065-4,radius_m,1.0990000000000001e-07,1.169071e-09,6.64659e-08,6.199048e-08,0.0
test_White2004_4065-4,density_bub_m3,5.2e+18,3.043612e+23,4e+19,4.694924e+19,0.0
test_White2004_4065-4,swelling_percent,2.87,0.2037043,4.919775,4.684813,0.0
test_White2004_4065-5,radius_m,4.5500000000000004e-08,1.175146e-09,6.571687e-08,6.13866e-08,0.0
test_White2004_4065-5,density_bub_m3,4.04e+19,3.051781e+23,3.9693e+19,4.695246e+19,0.0
test_White2004_4065-5,swelling_percent,1.59,0.20745199999999997,4.7188170000000005,4.549543,0.0
test_White2004_4135-1,radius_m,2.75e-08,4.007073e-10,7.4222e-08,5.094184e-08,1.242359e-07
test_White2004_4135-1,density_bub_m3,4.09e+19,6.210863e+23,4e+19,1.336695e+20,2.476206e+19
test_White2004_4135-1,swelling_percent,0.37,0.01673873,6.850884,7.401924999999999,19.88915
test_White2004_4135-2,radius_m,2.52e-08,4.007074e-10,7.422018e-08,5.093999e-08,1.24234e-07
test_White2004_4135-2,density_bub_m3,3.57e+19,6.210862e+23,4e+19,1.336695e+20,2.476206e+19
test_White2004_4135-2,swelling_percent,0.25,0.01673873,6.850378,7.40112,19.88826
test_White2004_4135-3,radius_m,2.1800000000000003e-08,4.00985e-10,7.237516e-08,5.048491e-08,1.235391e-07
test_White2004_4135-3,density_bub_m3,5.39e+19,6.22094e+23,4e+19,1.337717e+20,2.484001e+19
test_White2004_4135-3,swelling_percent,0.25,0.01680077,6.352097,7.210041,19.61798
test_White2004_4136-1,radius_m,5.2e-08,3.841683e-10,7.12505e-08,6.156182e-08,1.293856e-07
test_White2004_4136-1,density_bub_m3,6.1e+18,6.584166e+23,4e+19,1.018775e+20,4.370116e+18
test_White2004_4136-1,swelling_percent,0.35,0.01563701,6.060555,9.95637,3.9649660000000004
test_White2004_4136-2,radius_m,4.7700000000000004e-08,3.841708e-10,7.040626e-08,6.071679e-08,1.293705e-07
test_White2004_4136-2,density_bub_m3,7.5e+18,6.590381e+23,4e+19,1.017912e+20,4.325829e+18
test_White2004_4136-2,swelling_percent,0.34,0.01565209,5.847664,9.543886,3.923412
test_White2004_4136-3,radius_m,3.36e-08,3.718862e-10,6.878092e-08,5.901642e-08,1.288186e-07
test_White2004_4136-3,density_bub_m3,1.52e+19,7.037855e+23,4e+19,1.017053e+20,4.281781e+18
test_White2004_4136-3,swelling_percent,0.24,0.01516209,5.4519589999999996,8.756906,3.833971
test_White2004_4136-4,radius_m,2.5800000000000003e-08,3.848617e-10,6.711139e-08,5.734761e-08,1.268499e-07
test_White2004_4136-4,density_bub_m3,2.48e+19,6.634349e+23,4e+19,1.019818e+20,4.423779e+18
test_White2004_4136-4,swelling_percent,0.18,0.01584168,5.064508,8.056704,3.782267
test_White2004_4140-1,radius_m,3.2200000000000004e-08,3.935409e-10,6.278923e-08,5.55963e-08,1.050976e-07
test_White2004_4140-1,density_bub_m3,1.36e+19,6.278004e+23,4e+19,1.017653e+20,4.312536e+18
test_White2004_4140-1,swelling_percent,0.2,0.01602802,4.147669,7.325309000000001,2.097009
test_White2004_4140-2,radius_m,2.49e-08,3.934349e-10,6.259227e-08,5.555697e-08,1.049774e-07
test_White2004_4140-2,density_bub_m3,2.17e+19,6.283177e+23,4e+19,1.017653e+20,4.31254e+18
test_White2004_4140-2,swelling_percent,0.15,0.01602826,4.10876,7.309771,2.0898239999999997
test_White2004_4162-1,radius_m,5.06e-08,1.130469e-09,6.256602e-08,5.151368e-08,1.309052e-07
test_White2004_4162-1,density_bub_m3,5.28e+19,2.772912e+23,4e+19,1.058947e+20,6.501634e+18
test_White2004_4162-1,swelling_percent,2.86,0.1678035,4.103592,6.063598,6.109160999999999
test_White2004_4162-2,radius_m,3.6700000000000004e-08,1.133564e-09,6.240029e-08,5.132497e-08,1.309982e-07
test_White2004_4162-2,density_bub_m3,8.37e+19,2.768192e+23,4e+19,1.058947e+20,6.501634e+18
test_White2004_4162-2,swelling_percent,1.73,0.1688973,4.0710690000000005,5.997203,6.122190000000001
test_White2004_4162-3,radius_m,3.06e-08,1.154215e-09,6.317906e-08,5.145262e-08,1.319896e-07
test_White2004_4162-3,density_bub_m3,1.35e+20,2.7189e+23,4e+19,1.059007e+20,6.504943e+18
