case,case_group,final_burnup,grain_radius_um,max_temperature,base_temperature,temperature_excursion,time_at_peak,time_above_1200,time_above_1500,time_above_1800,thermal_dose_1500,thermal_dose_1800,ramp_up_duration,ramp_down_duration,max_heating_rate,max_cooling_rate,peak_fission_rate,mean_fission_rate,fluence_proxy,transient_fluence_proxy,min_hydrostatic_stress,dislocation_density,inferred_k_exp,inferred_spacing_nm,exp_density_bub_m3,exp_radius_m,exp_swelling_percent,calc_density_bub_m3,calc_radius_m,calc_swelling_percent,density_ratio_calc_exp,radius_ratio_calc_exp,swelling_ratio_calc_exp,inferred_k_exp
test_White2004_4000-1,4000,18.43351,12.3,2048.0,1157.0,891.0,0.5,0.5505373737348587,0.5326585858569605,0.5147797979790625,288.5493999992759,130.5843999996723,0.02530000000115251,0.07779999999911524,35217.39130274354,32050.359716605595,1.08e+19,4.1500954249349217e+18,1.477729628225e+23,1.2748172499992324e+19,-14.8,74624200000000.0,184926.60557835124,5407.550724637682,1.3799999999999998e+19,9.120000000000001e-08,4.39,7.46242e+19,7.764119e-08,14.630019999999998,5.407550724637682,0.8513288377192981,3.3325785876993166,184926.60557835124
test_White2004_4000-2,4000,18.43351,10.950000000000001,2016.0,1145.0,871.0,0.5,0.549746957517616,0.5314576349008454,0.5131683122840748,271.6997999993182,113.7347999997146,0.02530000000115251,0.07779999999911524,34426.877468787454,31330.93525607573,1.08e+19,4.1500954249349217e+18,1.477729628225e+23,1.2748172499992324e+19,-18.5,74624200000000.0,168846.03118023375,5922.555555555556,1.26e+19,8.56e-08,3.31,7.46242e+19,7.595195e-08,13.695730000000001,5.922555555555555,0.8872891355140187,4.137682779456194,168846.03118023375
test_White2004_4000-3,4000,18.40407,9.9,1974.0,1128.0,846.0,0.5,0.5485808510614121,0.5297510638283066,0.5109212765952011,249.5846999993737,91.61969999977009,0.02530000000115251,0.07779999999911524,33438.73517634235,30431.654680413394,1.08e+19,4.1500955775895726e+18,1.475369481725e+23,1.2748172499992324e+19,-20.3,74255320000000.0,281461.3148256583,3552.886124401914,2.09e+19,7.35e-08,3.7,7.425532e+19,7.373773e-08,12.47054,3.552886124401914,1.0032344217687075,3.370416216216216,281461.3148256583
test_White2004_4000-4,4000,18.43389,9.45,1893.0,1102.0,791.0,0.5,0.5465212389357378,0.5263821744613926,0.5062431099870471,206.93414999948072,48.96914999987712,0.02530000000115251,0.07779999999911524,31264.82213296312,28453.23741395626,1.09e+19,4.1700970574761774e+18,1.477759750445e+23,1.2834858499992226e+19,-18.0,74628910000000.0,454247.55634244153,2201.442772861357,3.39e+19,6.580000000000001e-08,4.05,7.462891e+19,6.991914e-08,10.685229999999999,2.2014427728613573,1.062600911854103,2.6383283950617282,454247.55634244153
test_White2004_4004-1,4004,18.22684,10.72,2080.0,1176.0,904.0,0.03960000000370201,0.09596283185482231,0.07674823008739493,0.057533628319967556,39.75899999997637,19.19399999998859,0.03289999999833526,0.07499999999708962,27477.20364880676,36160.000008419156,1.08e+19,4.140010003011418e+18,1.4611615346700001e+23,7.794692999996114e+18,-14.38,72047710000000.0,527428.2832861724,1895.9923684210528,3.8e+19,6.440000000000001e-08,4.25,7.204771e+19,7.892881e-08,14.839369999999999,1.8959923684210527,1.2256026397515527,3.491616470588235,527428.2832861724
test_White2004_4004-2,4004,18.22684,9.3,2068.0,1172.0,896.0,0.03960000000370201,0.09569062499645042,0.07630446428467101,0.05691830357289161,38.93639999997686,18.37139999998908,0.03289999999833526,0.07499999999708962,27234.042554569533,35840.00000834465,1.08e+19,4.140010003011418e+18,1.4611615346700001e+23,7.794692999996114e+18,-15.43,72047710000000.0,607930.4949456409,1644.9248858447488,4.38e+19,6.81e-08,5.8,7.204771e+19,7.779193e-08,14.20733,1.644924885844749,1.1423190895741557,2.449539655172414,607930.4949456409
test_White2004_4004-3,4004,18.24166,8.85,2029.0,1158.0,871.0,0.03960000000370201,0.09470803674288258,0.07476544202424064,0.05482284730559869,36.26295000190294,15.697950000823766,0.03289999999833526,0.07500000000436557,26474.164135078194,34839.999997972045,1.08e+19,4.150009992476941e+18,1.4623497778750002e+23,7.811732500020298e+18,-19.2,72231470000000.0,1910524.5954429558,523.4164492753623,1.38e+20,4.510000000000001e-08,5.29,7.223147e+19,7.579521e-08,13.17469,0.5234164492753623,1.6806033259423503,2.4904896030245744,1910524.5954429558
test_White2004_4004-4,4004,18.25644,9.3,1966.0,1136.0,830.0,0.03969999999389984,0.09304313252615834,0.07215156626026076,0.051259999994363176,31.967599997697107,11.387599999179656,0.03280000000086147,0.07500000000436557,25304.87804811587,33199.999998067506,1.08e+19,4.160009991294057e+18,1.4635342964799999e+23,7.829103999963555e+18,-22.91,72414820000000.0,1505216.749831043,664.3561467889908,1.09e+20,4.3500000000000006e-08,3.77,7.241482e+19,7.312002e-08,11.85837,0.6643561467889908,1.6809199999999997,3.1454562334217506,1505216.749831043
test_White2004_4005-1,4005,18.49048,8.549999999999999,2080.0,1176.0,904.0,0.0334999999977299,0.08411300949930302,0.06685857444194854,0.04960413938459408,40.31000000082713,19.460000000399305,0.02200000000448199,0.05000000000291038,41090.90908253777,30139.99999824562,1.08e+19,4.140002450827634e+18,1.4822960615999998e+23,5.245200000105978e+17,-14.38,75339670000000.0,650387.770480014,1537.5442857142857,4.9e+19,6.82e-08,6.5,4.282411e+19,8.095796e-08,9.518215,0.8739614285714286,1.187066862170088,1.4643407692307693,650387.770480014
test_White2004_4005-2,4005,18.49048,8.620000000000001,2062.0,1170.0,892.0,0.0334999999977299,0.08370569076439133,0.06623271253933515,0.04875973431427896,39.05900000080146,18.209000000373635,0.02200000000448199,0.05000000000291038,40545.454537194346,29779.999998266576,1.08e+19,4.140002450827634e+18,1.4822960615999998e+23,5.245200000105978e+17,-16.0,75339670000000.0,898596.9808468764,1112.8459379615954,6.769999999999999e+19,5.620000000000001e-08,5.04,4.350073e+19,7.945657e-08,9.140597,0.6425514032496308,1.4138179715302488,1.8136105158730158,898596.9808468764
