# Region      : all 
# Cells       : 80000
# Volume      : 3.128689e+00
# Time        	weightedVolAverage(C)	weightedVolAverage(T)
0             	0.000000e+00	2.145000e+03
10000         	1.032750e-01	2.145000e+03
20000         	1.972534e-01	2.145000e+03
30000         	2.846479e-01	2.145000e+03
40000         	3.667800e-01	2.145000e+03
50000         	4.444463e-01	2.145000e+03
60000         	5.181942e-01	2.145000e+03
70000         	5.884308e-01	2.145000e+03
80000         	6.554751e-01	2.145000e+03
90000         	7.195860e-01	2.145000e+03
100000        	7.809796e-01	2.145000e+03
110000        	8.398396e-01	2.145000e+03
120000        	8.963255e-01	2.145000e+03
130000        	9.505770e-01	2.145000e+03
140000        	1.002718e+00	2.145000e+03
150000        	1.052861e+00	2.145000e+03
160000        	1.101106e+00	2.145000e+03
170000        	1.147544e+00	2.145000e+03
180000        	1.192260e+00	2.145000e+03
190000        	1.235333e+00	2.145000e+03
200000        	1.276832e+00	2.145000e+03
210000        	1.316827e+00	2.145000e+03
220000        	1.355378e+00	2.145000e+03
230000        	1.392546e+00	2.145000e+03
240000        	1.428386e+00	2.145000e+03
250000        	1.462949e+00	2.145000e+03
260000        	1.496285e+00	2.145000e+03
270000        	1.528442e+00	2.145000e+03
280000        	1.559464e+00	2.145000e+03
290000        	1.589392e+00	2.145000e+03
300000        	1.618269e+00	2.145000e+03
310000        	1.646132e+00	2.145000e+03
320000        	1.673019e+00	2.145000e+03
330000        	1.698965e+00	2.145000e+03
340000        	1.724004e+00	2.145000e+03
350000        	1.748168e+00	2.145000e+03
360000        	1.771489e+00	2.145000e+03
370000        	1.793997e+00	2.145000e+03
380000        	1.815721e+00	2.145000e+03
390000        	1.836688e+00	2.145000e+03
400000        	1.856926e+00	2.145000e+03
410000        	1.876460e+00	2.145000e+03
420000        	1.895314e+00	2.145000e+03
430000        	1.913513e+00	2.145000e+03
440000        	1.931080e+00	2.145000e+03
450000        	1.948036e+00	2.145000e+03
460000        	1.964403e+00	2.145000e+03
470000        	1.980202e+00	2.145000e+03
480000        	1.995453e+00	2.145000e+03
490000        	2.010175e+00	2.145000e+03
500000        	2.024385e+00	2.145000e+03
510000        	2.038103e+00	2.145000e+03
520000        	2.051344e+00	2.145000e+03
530000        	2.064126e+00	2.145000e+03
540000        	2.076464e+00	2.145000e+03
550000        	2.088375e+00	2.145000e+03
560000        	2.099872e+00	2.145000e+03
570000        	2.110971e+00	2.145000e+03
580000        	2.121684e+00	2.145000e+03
590000        	2.132026e+00	2.145000e+03
600000        	2.142010e+00	2.145000e+03
610000        	2.151647e+00	2.145000e+03
620000        	2.160950e+00	2.145000e+03
630000        	2.169930e+00	2.145000e+03
640000        	2.178599e+00	2.145000e+03
650000        	2.186968e+00	2.145000e+03
660000        	2.195046e+00	2.145000e+03
670000        	2.202845e+00	2.145000e+03
680000        	2.210373e+00	2.145000e+03
690000        	2.217640e+00	2.145000e+03
