Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	Intergranular vented fraction (/)	Intergranular venting probability (/)	
0	1750	3e+18	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e+13	0	0	0	0	0	0	0.5	0	1	0	7.209709e+26	2.301694e+28	0	0.497177	
500	1750	3e+18	0	4.337034e-05	1.296e+24	1.142781e+24	1.142781e+24	0	8.094087e+22	7.22784e+22	1.62e+23	1.428476e+23	1.428476e+23	0	1.011761e+22	9.034801e+21	0.05577037	1.319808e+24	0	0	3.776481e+13	34858.18	230611.2	2.593143e-08	1.239684e-15	1.231554e-23	0.04681642	0.5	3.217135e-05	1	0.1832535	7.209709e+26	2.301694e+28	0	0.4717318	
1000	1750	3e+18	0	4.337034e-05	2.592e+24	2.408754e+24	4.365194e+22	2.365103e+24	9.672707e+22	8.651843e+22	3.24e+23	3.010943e+23	5.456493e+21	2.956378e+23	1.209088e+22	1.08148e+22	0.03337902	1.32626e+24	0	0	3.621075e+13	43444.48	482472.3	3.208445e-08	1.897785e-15	2.332694e-23	0.06872023	0.5	5.842837e-05	1	0.3665069	7.209709e+26	2.301694e+28	0	0.474253	
1500	1750	3e+18	0	4.337034e-05	3.888e+24	3.667611e+24	6.614772e+22	3.601463e+24	1.161626e+23	1.042265e+23	4.86e+23	4.584514e+23	8.268464e+21	4.501829e+23	1.452033e+22	1.302831e+22	0.02680722	1.326291e+24	2.695666e-10	0.0001088243	3.499702e+13	53983.3	738270	3.661186e-08	2.471163e-15	3.466086e-23	0.08648334	0.5	8.390712e-05	1	0.5497604	7.209709e+26	2.301694e+28	0	0.4767456	
2000	1750	3e+18	0	4.337034e-05	5.184e+24	4.926528e+24	6.304552e+22	4.863482e+24	1.354752e+23	1.21997e+23	6.48e+23	6.15816e+23	7.88069e+21	6.079353e+23	1.693439e+22	1.524963e+22	0.02353338	8.243933e+23	3.633936e-10	0.0001657123	3.393695e+13	64924.85	1010062	4.043208e-08	3.013769e-15	4.668228e-23	0.1022781	0.5	0.0001095856	1	0.7330138	7.209709e+26	2.301694e+28	0	0.4792092	
2500	1750	3e+18	0	4.337034e-05	6.48e+24	6.17003e+24	1.216681e+23	6.048362e+24	1.626878e+23	1.472823e+23	8.1e+23	7.712537e+23	1.520851e+22	7.560452e+23	2.033597e+22	1.841029e+22	0.02272875	7.137962e+23	4.214248e-10	0.000223781	3.271019e+13	80890.2	1390494	4.481354e-08	3.702341e-15	6.356262e-23	0.1211043	0.5	0.000143818	1	0.9162673	7.209709e+26	2.301694e+28	0	0.4816432	
3000	1750	3e+18	0	4.337034e-05	7.776e+24	7.40347e+24	1.65968e+23	7.237502e+24	1.949656e+23	1.775641e+23	9.72e+23	9.254338e+23	2.0746e+22	9.046878e+23	2.43707e+22	2.219551e+22	0.02283489	6.565732e+23	4.659943e-10	0.0002783002	3.130284e+13	101297.4	1928545	4.98053e-08	4.573081e-15	8.725705e-23	0.1431504	0.5	0.0001889351	1	1.099521	7.209709e+26	2.301694e+28	0	0.484047	
3500	1750	3e+18	0	4.337034e-05	9.072e+24	8.6284e+24	2.085576e+23	8.419842e+24	2.31466e+23	2.121343e+23	1.134e+24	1.07855e+24	2.60697e+22	1.05248e+24	2.893326e+22	2.651678e+22	0.02338341	6.172166e+23	5.050249e-10	0.0003330156	2.974766e+13	126549	2675051	5.536753e-08	5.651558e-15	1.19878e-22	0.1681206	0.5	0.0002466725	1	1.282774	7.209709e+26	2.301694e+28	0	0.4864202	
4000	1750	3e+18	0	4.337034e-05	1.0368e+25	9.845535e+24	2.518815e+23	9.593654e+24	2.717846e+23	2.506803e+23	1.296e+24	1.230692e+24	3.148519e+22	1.199207e+24	3.397307e+22	3.133503e+22	0.02417826	5.856018e+23	5.405422e-10	0.000387418	2.808031e+13	157415.3	3695673	6.148618e-08	6.969679e-15	1.641748e-22	0.1957107	0.5	0.0003188869	1	1.466028	7.209709e+26	2.301694e+28	0	0.4887621	
4500	1750	3e+18	0	4.337034e-05	1.1664e+25	1.10552e+25	2.971575e+23	1.075804e+25	3.157226e+23	2.930767e+23	1.458e+24	1.3819e+24	3.714468e+22	1.344755e+24	3.946533e+22	3.663459e+22	0.02512661	5.589007e+23	5.73428e-10	0.000441428	2.633149e+13	195008.8	5080055	6.818631e-08	8.571407e-15	2.239058e-22	0.225698	0.5	0.0004078208	1	1.649281	7.209709e+26	2.301694e+28	0	0.4910722	
5000	1750	3e+18	0	4.337034e-05	1.296e+25	1.225762e+25	3.445617e+23	1.191306e+25	3.631338e+23	3.392433e+23	1.62e+24	1.532203e+24	4.307022e+22	1.489133e+24	4.539173e+22	4.240542e+22	0.02617618	5.357749e+23	6.041981e-10	0.0004950045	2.452829e+13	240781.8	6951136	7.552157e-08	1.051477e-14	3.042195e-22	0.2579094	0.5	0.000516158	1	1.832535	7.209709e+26	2.301694e+28	0	0.49335	
5500	1750	3e+18	0	4.337034e-05	1.4256e+25	1.345299e+25	3.940885e+23	1.30589e+25	4.138952e+23	3.891181e+23	1.782e+24	1.681623e+24	4.926106e+22	1.632362e+24	5.17369e+22	4.863976e+22	0.02729504	5.154133e+23	6.332157e-10	0.0005481497	2.269524e+13	296605.8	9478302	8.35688e-08	1.287497e-14	4.121984e-22	0.2922005	0.5	0.0006470973	1	2.015788	7.209709e+26	2.301694e+28	0	0.4955949	
6000	1750	3e+18	0	4.337034e-05	1.5552e+25	1.464145e+25	4.456922e+23	1.419576e+25	4.67899e+23	4.426501e+23	1.944e+24	1.830181e+24	5.571153e+22	1.77447e+24	5.848737e+22	5.533127e+22	0.02846259	4.972571e+23	6.607506e-10	0.0006008726	2.085491e+13	364895	1.28966e+07	9.24267e-08	1.574899e-14	5.576558e-22	0.3284437	0.5	0.0008044571	1	2.199041	7.209709e+26	2.301694e+28	0	0.4978065	
6500	1750	3e+18	0	4.337034e-05	1.6848e+25	1.582315e+25	4.993269e+23	1.532383e+25	5.250496e+23	4.997971e+23	2.106e+24	1.977894e+24	6.241586e+22	1.915478e+24	6.56312e+22	6.247463e+22	0.02966507	4.809017e+23	6.870102e-10	0.0006531823	1.902799e+13	448777.8	1.753503e+07	1.022174e-07	1.926226e-14	7.543067e-22	0.3665221	0.5	0.0009928174	1	2.382295	7.209709e+26	2.301694e+28	0	0.4999841	
7000	1750	3e+18	0	4.337034e-05	1.8144e+25	1.699822e+25	5.549495e+23	1.644327e+25	5.852614e+23	5.605234e+23	2.268e+24	2.124777e+24	6.936868e+22	2.055408e+24	7.315768e+22	7.006543e+22	0.03089305	4.660445e+23	7.121569e-10	0.0007050876	1.723341e+13	552335.2	2.385863e+07	1.130896e-07	2.357779e-14	1.021508e-21	0.4063258	0.5	0.001217704	1	2.565548	7.209709e+26	2.301694e+28	0	0.5021272	
