Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1973	3e+19	0	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	7.209709e+26	2.301694e+28	
2.777777778	1973	3e+19	0	1e-05	7.2e+22	6.540458e+22	6.540458e+22	0	6.59542e+21	0	9e+21	0	0	0	9e+21	0	0	1.218548e+24	0	0	1.994186e+13	2606.815	8038.73	9.039654e-09	1.506473e-16	5.217102e-25	0.003004187	0.5	3.121161e-06	1	1	7.209709e+26	2.301694e+28	
5.555555556	1973	3e+19	0	1e-05	1.44e+23	1.27692e+23	4.740444e+21	1.229516e+23	1.630796e+22	0	1.8e+22	0	0	0	1.8e+22	0	0	1.317539e+24	0	0	1.984608e+13	5762.34	28076.75	1.307984e-08	3.154005e-16	1.58045e-24	0.006259464	0.5	9.409722e-06	1	2	7.209709e+26	2.301694e+28	
8.333333333	1973	3e+19	0	1e-05	2.16e+23	1.876629e+23	6.461391e+21	1.812015e+23	2.833707e+22	0	2.7e+22	0	0	0	2.7e+22	0	0	1.32558e+24	9.675074e-11	5.02872e-06	1.972555e+13	9351.168	61341.95	1.65757e-08	5.065258e-16	3.216544e-24	0.009991498	0.5	1.903443e-05	1	3	7.209709e+26	2.301694e+28	
11.11111111	1973	3e+19	0	1e-05	2.88e+23	2.457268e+23	6.968347e+21	2.387585e+23	4.22732e+22	0	3.6e+22	0	0	0	3.6e+22	0	0	1.11788e+24	1.165379e-10	7.411143e-06	1.958788e+13	13320.01	108206.7	1.974961e-08	7.190758e-16	5.440631e-24	0.01408517	0.5	3.197113e-05	1	4	7.209709e+26	2.301694e+28	
13.88888889	1973	3e+19	0	1e-05	3.6e+23	3.021411e+23	9.848777e+21	2.922924e+23	5.785887e+22	0	4.5e+22	0	0	0	4.5e+22	0	0	1.067455e+24	1.297422e-10	9.765221e-06	1.943736e+13	17639.37	168977.6	2.270122e-08	9.500713e-16	8.262691e-24	0.01846688	0.5	4.818148e-05	1	5	7.209709e+26	2.301694e+28	
16.66666667	1973	3e+19	0	1e-05	4.32e+23	3.570867e+23	1.198275e+22	3.451039e+23	7.491333e+22	0	5.4e+22	0	0	0	5.4e+22	0	0	1.040988e+24	1.399594e-10	1.195476e-05	1.927652e+13	22291.95	244097.3	2.549151e-08	1.197978e-15	1.169932e-23	0.02309285	0.5	6.765664e-05	1	6	7.209709e+26	2.301694e+28	
19.44444444	1973	3e+19	0	1e-05	5.04e+23	4.106993e+23	1.396254e+22	3.967367e+23	9.330074e+22	0	6.3e+22	0	0	0	6.3e+22	0	0	1.021909e+24	1.488415e-10	1.411475e-05	1.910696e+13	27267.68	334149.3	2.81612e-08	1.462043e-15	1.577348e-23	0.02793519	0.5	9.041494e-05	1	7	7.209709e+26	2.301694e+28	
22.22222222	1973	3e+19	0	1e-05	5.76e+23	4.630858e+23	1.588032e+22	4.472055e+23	1.129142e+23	0	7.2e+22	0	0	0	7.2e+22	0	0	1.005959e+24	1.567421e-10	1.622653e-05	1.892983e+13	32561.34	439828.9	3.073873e-08	1.741926e-15	2.051312e-23	0.03297436	0.5	0.0001164929	1	8	7.209709e+26	2.301694e+28	
25	1973	3e+19	0	1e-05	6.48e+23	5.143334e+23	1.776866e+22	4.965647e+23	1.336666e+23	0	8.1e+22	0	0	0	8.1e+22	0	0	9.921245e+23	1.638797e-10	1.829071e-05	1.874602e+13	38171.05	561922.2	3.324468e-08	2.037522e-15	2.595019e-23	0.03819542	0.5	0.0001459388	1	9	7.209709e+26	2.301694e+28	
27.77777778	1973	3e+19	0	1e-05	7.2e+23	5.645146e+23	1.963214e+22	5.448825e+23	1.554854e+23	0	9e+22	0	0	0	9e+22	0	0	9.798888e+23	1.704033e-10	2.03095e-05	1.855625e+13	44097.54	701295.4	3.569449e-08	2.348876e-15	3.212013e-23	0.04358632	0.5	0.0001788087	1	10	7.209709e+26	2.301694e+28	
30.55555556	1973	3e+19	0	1e-05	7.92e+23	6.136913e+23	2.147232e+22	5.922189e+23	1.783087e+23	0	9.9e+22	0	0	0	9.9e+22	0	0	9.689145e+23	1.764212e-10	2.228569e-05	1.836111e+13	50343.5	858890.4	3.810005e-08	2.676141e-15	3.906166e-23	0.04913692	0.5	0.0002151646	1	11	7.209709e+26	2.301694e+28	
33.33333333	1973	3e+19	0	1e-05	8.64e+23	6.619169e+23	2.329019e+22	6.386267e+23	2.020831e+23	0	1.08e+23	0	0	0	1.08e+23	0	0	9.589618e+23	1.820142e-10	2.422175e-05	1.816114e+13	56913.3	1035725	4.047085e-08	3.019552e-15	4.681672e-23	0.05483851	0.5	0.0002550735	1	12	7.209709e+26	2.301694e+28	
36.11111111	1973	3e+19	0	1e-05	9.36e+23	7.092382e+23	2.508658e+22	6.841516e+23	2.267618e+23	0	1.17e+23	0	0	0	1.17e+23	0	0	9.498546e+23	1.872441e-10	2.611983e-05	1.79568e+13	63812.74	1232895	4.281459e-08	3.379415e-15	5.543058e-23	0.06068347	0.5	0.0002986067	1	13	7.209709e+26	2.301694e+28	
38.88888889	1973	3e+19	0	1e-05	1.008e+24	7.556968e+23	2.686218e+22	7.288347e+23	2.523032e+23	0	1.26e+23	0	0	0	1.26e+23	0	0	9.414599e+23	1.921595e-10	2.79818e-05	1.774851e+13	71048.82	1451576	4.513769e-08	3.756093e-15	6.495189e-23	0.06666506	0.5	0.0003458397	1	14	7.209709e+26	2.301694e+28	
