Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1973	3e+19	0	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	7.209709e+26	2.301694e+28	
2.777777778	1973	3e+19	0	1e-05	7.2e+22	6.540162e+22	6.540162e+22	0	6.59838e+21	0	9e+21	0	0	0	9e+21	0	0	1.218548e+24	0	0	1.994184e+13	2607.311	8040.844	9.040396e-09	1.506721e-16	5.218387e-25	0.003004679	0.5	3.121928e-06	1	1	7.209709e+26	2.301694e+28	
5.555555556	1973	3e+19	0	1e-05	1.44e+23	1.276847e+23	4.740171e+21	1.229445e+23	1.631531e+22	0	1.8e+22	0	0	0	1.8e+22	0	0	1.317539e+24	0	0	1.984605e+13	5763.584	28085.16	1.308108e-08	3.154604e-16	1.5809e-24	0.006260641	0.5	9.412385e-06	1	2	7.209709e+26	2.301694e+28	
8.333333333	1973	3e+19	0	1e-05	2.16e+23	1.876502e+23	6.460951e+21	1.811892e+23	2.834985e+22	0	2.7e+22	0	0	0	2.7e+22	0	0	1.32558e+24	9.674888e-11	5.028431e-06	1.972549e+13	9353.355	61362.12	1.657743e-08	5.066318e-16	3.217554e-24	0.009993559	0.5	1.904035e-05	1	3	7.209709e+26	2.301694e+28	
11.11111111	1973	3e+19	0	1e-05	2.88e+23	2.457078e+23	6.967826e+21	2.3874e+23	4.229222e+22	0	3.6e+22	0	0	0	3.6e+22	0	0	1.117884e+24	1.165351e-10	7.410638e-06	1.958778e+13	13323.31	108244.8	1.975183e-08	7.192379e-16	5.44247e-24	0.01408827	0.5	3.198177e-05	1	4	7.209709e+26	2.301694e+28	
13.88888889	1973	3e+19	0	1e-05	3.6e+23	3.021152e+23	9.847934e+21	2.922672e+23	5.788484e+22	0	4.5e+22	0	0	0	4.5e+22	0	0	1.06746e+24	1.297387e-10	9.764464e-06	1.943722e+13	17643.95	169040.4	2.270393e-08	9.50298e-16	8.265648e-24	0.01847116	0.5	4.819838e-05	1	5	7.209709e+26	2.301694e+28	
16.66666667	1973	3e+19	0	1e-05	4.32e+23	3.570531e+23	1.198161e+22	3.450715e+23	7.494686e+22	0	5.4e+22	0	0	0	5.4e+22	0	0	1.040995e+24	1.399551e-10	1.195373e-05	1.927633e+13	22297.96	244192.1	2.54947e-08	1.198278e-15	1.170371e-23	0.0230984	0.5	6.768135e-05	1	6	7.209709e+26	2.301694e+28	
19.44444444	1973	3e+19	0	1e-05	5.04e+23	4.106576e+23	1.396111e+22	3.966965e+23	9.334238e+22	0	6.3e+22	0	0	0	6.3e+22	0	0	1.021916e+24	1.488365e-10	1.411343e-05	1.910672e+13	27275.28	334283.9	2.816486e-08	1.462423e-15	1.577963e-23	0.02794211	0.5	9.04491e-05	1	7	7.209709e+26	2.301694e+28	
22.22222222	1973	3e+19	0	1e-05	5.76e+23	4.630356e+23	1.587856e+22	4.47157e+23	1.129644e+23	0	7.2e+22	0	0	0	7.2e+22	0	0	1.005968e+24	1.567363e-10	1.622489e-05	1.892955e+13	32570.67	440011.9	3.074286e-08	1.742394e-15	2.052139e-23	0.03298273	0.5	0.0001165382	1	8	7.209709e+26	2.301694e+28	
25	1973	3e+19	0	1e-05	6.48e+23	5.142741e+23	1.776656e+22	4.965075e+23	1.337259e+23	0	8.1e+22	0	0	0	8.1e+22	0	0	9.921343e+23	1.638733e-10	1.828872e-05	1.874568e+13	38182.28	562162.9	3.324929e-08	2.038086e-15	2.596098e-23	0.03820532	0.5	0.0001459969	1	9	7.209709e+26	2.301694e+28	
