Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1973	2.707448929e+19	0	1.203668e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	7.209709e+26	2.301694e+28	
2.777777778	1973	2.707448929e+19	0	1.203668e-05	6.497877e+22	7.974035e+21	7.974035e+21	0	5.700474e+22	0	8.122347e+21	0	0	0	8.122347e+21	0	0	1.207945e+24	0	0	1.973023e+13	13243.87	72529.88	1.791168e-08	5.914672e-16	4.058665e-24	0.01166978	0.5	1.995859e-05	1	1	7.209709e+26	2.301694e+28	
5.555555556	1973	2.707448929e+19	0	1.203668e-05	1.299575e+23	1.554819e+22	5.2725e+20	1.502094e+22	1.144094e+23	0	1.624469e+22	0	0	0	1.624469e+22	0	0	1.315731e+24	0	0	1.931902e+13	27134.58	250444.2	2.604711e-08	1.250768e-15	1.248109e-23	0.02416363	0.5	6.009694e-05	1	2	7.209709e+26	2.301694e+28	
8.333333333	1973	2.707448929e+19	0	1.203668e-05	1.949363e+23	2.282561e+22	7.126022e+20	2.211301e+22	1.721107e+23	0	2.436704e+22	0	0	0	2.436704e+22	0	0	1.325349e+24	4.801024e-11	6.143565e-07	1.885005e+13	41820.22	533367.9	3.294909e-08	2.001449e-15	2.526412e-23	0.03772741	0.5	0.0001186946	1	3	7.209709e+26	2.301694e+28	
11.11111111	1973	2.707448929e+19	0	1.203668e-05	2.599151e+23	2.985903e+22	8.301934e+20	2.902884e+22	2.300561e+23	0	3.248939e+22	0	0	0	3.248939e+22	0	0	1.217204e+24	5.618749e-11	9.044219e-07	1.836497e+13	57358.76	912643.3	3.905047e-08	2.811321e-15	4.20584e-23	0.05162981	0.5	0.0001925119	1	4	7.209709e+26	2.301694e+28	
13.88888889	1973	2.707448929e+19	0	1.203668e-05	3.248939e+23	3.668161e+22	1.091067e+21	3.559054e+22	2.882123e+23	0	4.061173e+22	0	0	0	4.061173e+22	0	0	1.191214e+24	6.196667e-11	1.187279e-06	1.787984e+13	73787.94	1383644	4.460464e-08	3.667904e-15	6.267785e-23	0.06558152	0.5	0.0002793137	1	5	7.209709e+26	2.301694e+28	
16.66666667	1973	2.707448929e+19	0	1.203668e-05	3.898726e+23	4.33166e+22	1.302265e+21	4.201433e+22	3.46556e+23	0	4.873408e+22	0	0	0	4.873408e+22	0	0	1.17724e+24	6.658372e-11	1.455653e-06	1.740003e+13	91148.91	1946723	4.978307e-08	4.568999e-15	8.714025e-23	0.07950071	0.5	0.0003779056	1	6	7.209709e+26	2.301694e+28	
19.44444444	1973	2.707448929e+19	0	1.203668e-05	4.548514e+23	4.978149e+22	1.501922e+21	4.827957e+22	4.050699e+23	0	5.685643e+22	0	0	0	5.685643e+22	0	0	1.166769e+24	7.058013e-11	1.718386e-06	1.692718e+13	109489.8	2605577	5.470105e-08	5.516316e-15	1.156008e-22	0.09337566	0.5	0.0004877082	1	7	7.209709e+26	2.301694e+28	
22.22222222	1973	2.707448929e+19	0	1.203668e-05	5.198302e+23	5.609005e+22	1.695652e+21	5.43944e+22	4.637401e+23	0	6.497877e+22	0	0	0	6.497877e+22	0	0	1.157934e+24	7.411477e-11	1.974634e-06	1.646177e+13	128864.6	3365995	5.943695e-08	6.512846e-15	1.483008e-22	0.107213	0.5	0.0006084635	1	8	7.209709e+26	2.301694e+28	
25	1973	2.707448929e+19	0	1.203668e-05	5.84809e+23	6.225349e+22	1.885035e+21	6.036845e+22	5.225555e+23	0	7.310112e+22	0	0	0	7.310112e+22	0	0	1.15023e+24	7.729204e-11	2.224731e-06	1.600394e+13	149332.6	4235224	6.404555e-08	7.561982e-15	1.855413e-22	0.1210215	0.5	0.0007400859	1	9	7.209709e+26	2.301694e+28	
